	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ARM_1																									nob				nowi					
ARM_2															koomi																			
ARM_3		seka									seka																							
ARM_4																																		konkabam
ARM_5					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_6								nocat										juca		huca														
ARM_7							mwahkaʔa		ahkol												mahkul													
ARM_8	mal			maːi̯tl				mamat		maʔa		mama		mat							maji~mah		maː				mama			man	mavoːi̯r	maʦon~madzan		
ARM_9																											møtzaca							
ARM_10																												mø						
ARM_11			aŋapɨ																															
ASH_1																		matːe		matʰai̯					matai̯				matai̯					
ASH_2	nisxiʃ	napiso					nasi	napsa			nahpiso	nari			naposa												napot				nasit			naposa
ASH_3				neʃtli																	neʧ~nesʧta~neʃti	noʃt						tlakoneʃtliː						
ASH_4																esija																		
ASH_5			kucapːɨ		etuhsipːɨh								kucapɨ				kutːusːipɨ~kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ							kucapːɨ	
ASH_6																							kukuht											
ASH_7						wɨʂkiʃ			kʷonːeʃ																					koʃiʃ				
ASH_8										qøcvi																								
ASH_9														teeliŋiʃ																				
ASH_10																																tonɡul		
BARK_1																							qoʦ		kom									
BARK_2																														axoːxoʦ				
BARK_3		eɡoli																																
BARK_4																																opit~opun		
BARK_5										ʦiipɨ																								
BARK_6		kuhe					kucapeʔe				kahe																				ulapet			
BARK_7				eʔwaːtl				beɡuat	eːwat						beewa						juwajo~ijewaju						bewat	jewajutl						bea
BARK_8																		hilidaɡa		ɨlidaɡ									ɨldaɡ					
BARK_9	taʧal					ʧalal																												
BARK_10	taʃʔa													taaʧi																				
BARK_11			asiaʔa										asiavi													asiaː							siʔaːpi	
BARK_12					poʔa											woʔaɡːapɨ	puʔa		poʔa					poʔan										
BELLY_1	teʔily													teeʔla																				
BELLY_2				iʔtetl																	ihti							hte						
BELLY_3								siɡuat									siː										siɡua							
BELLY_4			sapːɨ		sapːɨh								sapɨi̯vɨ											sapːɨh		sapːɨ							sakoipi	
BELLY_5						ʂaʔi	ʃai̯e																									ʃapuʃt		
BELLY_6							huka					huka																						
BELLY_7												ijamuja																						
BELLY_8								panza											punu															
BELLY_9									poʃ	pono																				xoːnen~xoːnon				
BELLY_10																ɡohi	kohi														njolir			
BELLY_11								boa												voːk					bok				woːk					
BELLY_12		ropa									tohpa				topːa			voca					toːʔ											toʔona
BIG_1					pia							epɨpa~epɨnena				papa	papa		pia					pia		pia								
BIG_2	amnaʔa																						atiɨ̯ʔaʦ											
BIG_3						ai̯ʔaniʃ																												
BIG_4																																	apatːɨ	
BIG_5			hokːo										woko																					
BIG_6										wɨːjoqa				jot								wjom												
BIG_7																														jooiʧ				
BIG_8				weːi̯~weʔ			veʔe		weːji						bweʔuru~bweere						wei̯							bi̯ejiː			wee			bweʔu
BIG_9											weruma																							
BIG_10																				ɡɨʔɨd					ɡəʔ				ɡɨʔɨ					
BIG_11		waʔlu																																buːʔu
BIG_12								huei̯										ɡu~aɡu									ɡue							
BIG_13																																eɡeːwan		
BIRD_1		ʧuluɡi									ʦuʔruki							uːɡːui̯~uruɡui̯		uʔuviɡ									uʔuw̥iɡ					
BIRD_2					kuʦːuː												hucipa							hui̯ʦːu										
BIRD_3	wikikmal					mukikmal								iheŋmal																				
BIRD_4			wiciʔici									wiki~wi	wizikizi		wiːkit								wicit			wicɨ						ʧikiːt	wicici	wiikit
BIRD_5								viqui̯tz																										
BIRD_6																									uiʔ		ʧi			ʧiʔuː				
BIRD_7							pinaʔa									ʦiːpːaʔ																		
BIRD_8										ʦiro																								
BIRD_9				toːtoːtl					toːtoːciːn												totoʧ	tutut						tututl						
BIRD_10																															kolo			
BIRD_11																			kasakantin															
BITE_1																		ʦuui̯~ʦujanta~ʦujui̯																
BITE_2								nequen~queen																										
BITE_3																											qui̯quja							
BITE_4		iʔki									kiʔcu																							
BITE_5				kecuma~kehcuma	kɨccia				keːhcoma										kɨcciʔa					kɨcciʔa				kecoma						
BITE_6	keʔ						ʧeʔe					ke~kei			keʔeje																ke			keʔe
BITE_7			kɨʔi			qɨʔɨ				kɨːki			kiʔi	koʔi		kɨhjɨ	kɨʔi~kɨi̯			kɨʔɨ			kɨːʔ		kɨjaʔ	kɨʔi			kɨʔi			kɨi̯ʔɨt	kɨʔi	
BITE_8																																ɨːɡɨ		
BITE_9																					tankʷa													
BLACK_1								sovei̯																			sovai̯							
BLACK_2		ʧokame									ohconame																							
BLACK_3				tliltik					tiːltik																			tliltiːk						
BLACK_4										qøymviwsaʔ																								
BLACK_5																														jupiːxaʔ~jopiːxaʔ				
BLACK_6			tupːaka											juvatai̯							puʃawak													
BLACK_7																							tɨnaːraʔn											
BLACK_8																				stuk					ʧuk				sʧuk					
BLACK_9					tuhupihtɨ								tuhukʷidɨ						tuːppihtɨ					tuːppihtɨn									tuukːwatɨ	
BLACK_10	tulnek					tula										tumːu	tu	tuco~tucu								tuy					tokur	tuːɡu		
BLACK_11							ʃuʔumwa					juwi~pujuwi			ʧukuli																			ʧukui̯~ʧukuli
BLACK_12																																uːduːɡu		
BLOOD_1															ohbo																			ohbo
BLOOD_2						ɨw				ɨŋwa																						ɨkʷa		
BLOOD_3																				ɨːʔɨr					ɨɨr				ɨːʔɨɖ					
BLOOD_4																							ɨːʈ͡ʂʈ͡ʂ											
BLOOD_5							ʃuureʔe											vure																
BLOOD_6												zurija																						
BLOOD_7			paɨ̯pːi		pɨːppin								pɨːpi			paː	pɨːpːi		pau̯ppin					pɨːppin		paɨ̯							paapːɨ	
BLOOD_8																														xai̯n				
BLOOD_9	eu̯ily			estli					esti												ehti	est						jestliː						
BLOOD_10								erat										iːrai̯									herat				arat			
BLOOD_11		la									ela			ou̯la																				
BLOOD_12																															ava			
BONE_1					ʦuhni														ʦuhmi					ʦuhni										
BONE_2							kari																											
BONE_3														kulaawut																				
BONE_4																									aoː									
BONE_5	teʔily					tiʔil																								ʔeːʔin				
BONE_6				omitl					oːmit												umit							miːmiːtetl						
BONE_7												ume																						
BONE_8																											ramohudura~ramoɡui̯tzura							
BONE_9								hoɡua							otːa							ot					oɡua				hotarak~ola			ota
