	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
ARM OR HAND_1	ɡol	qul	qol	χul	qol			kol	qol	qol	kol	qol	χol	qol	qol	qoɫ	qol	qol	qol	qol	qol	qol	qol	qul	qol	koɫ	ɡol	χol	qol	qol	qol	
ARM OR HAND_2	æl				el	el	iliː	el		bilek	bilek~bilɛk			ɛl					eliɡ	el~il						elʲ	el				elɯɣ~eliɡ	iliː
ARM OR HAND_3				ɑlɤ̆ʷ																												
ASH_1	cyl	køl	kulʲ	kɘ̆ʷl	kyl		kyl	kyl	kyl	kyl	kyl	kyl	kyl	kil	kyl	cyl	kyl	kyl	kyl	kul~kyl	kyl		kyl	køl	hyl	cylʲ	kyl	χyl	kyl	kul	kul	kyl
BACK_1			pɛl									bel						bel					bel									
BACK_2							his														køksy											køɣys
BACK_3	ɑrχɑ	ɑrqɑ	ʧɑːrən		ɑrqɑ	ɑrkɑ		ɑrkɑ	ɑrqɑ		ɑrkɑ~ɑrqɑ	ɑrqɑ	ɑrɣɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ~ɑrɣɑ	ɑrqɑ	ɑrɣɑ~ɑrχɑ		ɑrɣɑ		ɑrqɑ	oːrhɑ	ɑrkɑ	ɑrqɑ	oːrɣɑ	ɑrqɑ	ɔrqɑ	ɑrqɑ	
BACK_4				ɕurɤ̆ʷm						sɯrt								sɯrt						sɯrt		sɯrt						
BARK_1																									ʧøˤprɛː			ʧøvyreː				
BARK_2	ɡɑbɯɡ	qɑbɯq	qɑqβɑʧ		qɑbuq	kɑbuk	kɑtɯrɯk	kɑbuk	qɑbɯq	qɑbuq	kɑbuk	qɑbɯq	χɑχpɑs	qɑːɑs	qɑbuq	qɑbɯq	qɑbɯq	qɑɣɑʃ	qɑdɯz		qɑqpɑʃ	qɑbɯq		qɑbɯq		kɑbuk~kɑbuːu	ɡɑbɯq		qovzɑq		qɑzdɯq	χɑtɯrɯk
