	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
ARM OR HAND_1		ɕi¹	si	siː¹	səi	siː	sei	sɪ³				siː	siː¹	
ARM OR HAND_2	tʰiː								tʰaj¹	saj¹	tăj¹			tai̯³³
ASH_1					buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vun¹	buːɲ³		
ASH_2		tapɛh¹	tăpɛh											
ASH_3	ʈɤː													ʈɔː³³
ASH_4													plɒː¹	
BACK_1		nul⁴	nuol	nuːl⁴										
BACK_2	roŋˀ				lɔŋ	kʰlɨŋ	lʌŋ		lɨŋ¹	ləŋ¹	lɨŋ¹	kɔːŋ¹		lɨŋ³³
BACK_3								takɒŋ³						
BARK_1									pɔː⁵	pɔː⁵	pɔ⁵¹		pɒː⁵	vɔː²¹⁴
BARK_2		kupɔk³				kdoːk		kʰalɒk³⁴				kʰabɔh¹		
BARK_3			kăduhkəʌj											
BARK_4	aɗaˀsʰelːʔ													
BELLY OR STOMACH_1		kuɗɤ̆l¹	kdəl	kudəl¹									duːl³	
BELLY OR STOMACH_2												kʰaʔal		
BELLY OR STOMACH_3	puŋ				poŋ	kluŋ	poŋ		kloːŋ⁴	ploːŋ⁴⁵	puŋ⁴			ɓuŋ͡m²¹²
BELLY OR STOMACH_4								ɬɔ̰c³⁴						
BIG_1		mɤ̤̆m²	mə̯am											
BIG_2											nə̆j⁴			
BIG_3														ləːŋ⁴⁵
BIG_4					neː	neː		kḛ³⁴³						
BIG_5							niː							
BIG_6												ʔih		
BIG_7	katɛ̆h													
BIRD_1	iʨiːm	ʔacim¹	ĭcim	ciːm¹	ciːm	ciːm	ciːm		ciːm¹	ciːm¹		ciːm¹	ciːm¹	cim³³
BIRD_2											sɨm¹			
BIRD_3								ʔɔ̰³⁴³						
BITE_1	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴	kaːt	kaːt	kaːt	kĭɳ³⁴³	kaɲ³	kaɲ³	kăn³		kam⁴	kăŋ⁴⁵
BITE_2												tuh³		
BLACK_1									jəm¹	jəm¹				
BLACK_2								ɳɯ̆m³⁴				ɲum²		
BLACK_3		tɛn¹	tɛntɛn	tɛn							tɛn¹			
BLACK_4														ɗɛːŋ³³
BLACK_5	tʰiːu̯													
BLOOD_1									maw³	maw³	maw³			mau̯⁴⁵
BLOOD_2	atʰɛa̯mˀ	ʔaɕam³	asam	asaːm³		saːm	saːm							
BLOOD_3												tamuː¹		
BLUE OR GREEN_1								salɛːw³²⁴				salɛːw¹		san³³
BLUE OR GREEN_2	ɕɛi̯ɲ										sɛɲ¹			
BLUE OR GREEN_3		ɕeŋ¹	sĭŋ	seŋ										
BODY LOUSE_1										fəɲ⁴⁵				
BODY LOUSE_2														ɹəŋ²¹²
BODY LOUSE_3								ma³hriɳ³⁴³				hahiŋ³		
BODY LOUSE_4	n̩rei̯ɲˀ		briɲ	briɲ³							reɲ⁴			
BODY LOUSE_5		ɓlĭŋ³			pʰlʌɲ	pʰliŋ	pʰlɛɲ		kʰiɲ³				pʰriɲ³	
BONE_1	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹		sɨəŋ¹	sɨːŋ³³
BONE_2												tkoːk²		
BREAST_1	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³	now		now							
BREAST_2						nuː		panṵ³⁴³	puː³	puː³	ʔu³	panuː	ʔuː³	vu⁴⁵
