	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1		wo																																		bɔ́	
ARM_2	ukùboko			mukono	múwoko	mkono	boko	kẅɔ́kɔ̏	ɣuɔkɔ		koko	lobɔ́kɔ			kuboko	mɔ̌nɔ	uko	okwako	mhóno	mhóno		kóno	omukono	ukuboko	ruoko	mbòko	nkono	mkono	kuboko	vókó	wókó	bɔ́χɔ́	ókwo̍kwó		umkʰono		
ARM_3													lizoho																								
ARM_4										lukuaku																											
ARM_5														diːkàsa																							
ARM_6																					inɡalo																ínɡàló
ARM_7			enam																																		
ARM_8																																		ʧanda			
ASH_1	imìto																	omutoko															éti̍kó				
ASH_2														butò	bútu											butǒ											
ASH_3												mputulú																									
ASH_4							lota						mulola								lotʰa			umuɲota	dòtà							mõlõrã		mulora	umlotʰa		umlota
ASH_5																						pʰulusa								nkuma	kʰuma						
ASH_6						eijwi											ifu						eiju				ibu										
ASH_7																												sizi									
ASH_8										ditókua						ittuúra																					
ASH_9																													itwe								
ASH_10				vvu															vú	vú																	
ASH_11					máfu			mou	mohû																												
ASH_12		asup	asup																																		
ASH_13																																				sùvé	
ASH_14											bombi																										
BARK_1		ebapele	ebap																																		
BARK_2										kiʃiʃi														iɡiʃiʃwa													
BARK_3						ekiʃuʃu									ʧízúbú								ekiʃuʃu			kifùsù											
BARK_4																																			iǁolo		íliǁôlo
BARK_5											kibula			kibàle		nikúla		ejula									iɡula										
BARK_6																													cikwa								
BARK_7																																	óʧípétà				
BARK_8																						kʰunɡwa															
BARK_9	bós											póso																									
BARK_10																					kʰonkotʰa				kòkó											kókó	
BARK_11					ibada			ekɔndɛ	ikɔni								ikanda																				
BARK_12																			ɡózi	ɡozi																	
BARK_13													likwati																	rihantí	hatí	kwàtí		ɡwatí			
BELLY_1																														kʰwírí							
BELLY_2																																				ɛ̀ì	
BELLY_3					nda				nda									epunda					enda	inda					ida								
BELLY_4						eibundaenda																															
BELLY_5																	ndeu																				
BELLY_6																ntʰúkwa																					
BELLY_7							tumbu						mba						mímba	mmba		mímba			dùmbù		ŋ̤umbi	tumbo			rúmbú	ḿpá		tʰumbu			
BELLY_8		abum	abum																																		
BELLY_9	ì̀fumo									divumu	kivumu	libumu																					ímò				
BELLY_10																					isisu														isisu		ìsísù
BELLY_11								eβu						fu	dífu											efù											
BIG_1																													pati							làí	
BIG_2					βaha									kàtà												mukàtà											
BIG_3	kalàmbà																																				
BIG_4							kulukulu													kúu	kʰulu	kulu			ɡuru					kúlú					kʰulu		kʰúlù
BIG_5																			libwávu									kubwa						hulwane			
BIG_6													tuna																								
BIG_7																wunnuwela																					
BIG_8						hanɡo																	hanɡo														
BIG_9		anen	nən	nene				nɛ́nɛ̏	nɛ́nɛ	nene	nene	monene			nené		nini	omunene						nini									ne̍nè				
BIG_10																											ale										
BIG_11																																ɡóló					
BIG_12																															hombé						
BIRD_1		ônon	onwan																																		
