	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōtō	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
ALL_1							soːjo																												ɡoʔto																							
ALL_2												muːruɴ								muːru																		muru							muːru											muru		
ALL_3	miɴna	miɴna	miɴna	miɴa	miɴna	miɴna		miɴna	miɴna	miɴna	meɴna		mːna	miɴna	miɴna	miɴna	miɴna	mːna	mːna		ɴna	miɴna	miɴna	miɴna	miɴna	mina	miɴna	miɴnaː	mina	miɴna	miɴna	miɴna	miɴna	miɴna		ɴna	miɴna		mɨna		miɴa	mina	meɴna	miɴna		mːna	mina	mina	miɴna	ɴna	miɴa	miɴna	miɴna	miɴna	miɴna		miɴna	mina
ALL_4																																								ʃiʔkja																		
ASH_1	βɛː			hɛː					çɛː																																													hɛː				
ASH_2																										çaː														çaː																		
ASH_3					hai	hai	hai			hai	heː	peː		hai		hai	hae			hai	hai		hai	heː	heː		hai	hai	hai		fe	heː	hai	hai	hə		hai	heː	haçi		hai	hae	hae	heː	pai		hai	hai	hai	hai	hai	hai			heː		heː	hai
ASH_4													karapaɨ					karapai	karapaɨ																											karapaɨ												
ASH_5		aɡu	aɡu					aɡu							aku							aɡu								aɡu						aku																	aɡu			çiɡuɴ		
BACK_1													kusɨ					kuːɴmi	kuːɴni	kusu															kusɨ											kusɨbuni										kuʧʔibuni		
BACK_2	senaka	henaɡa	henaɡa	senaka		ʃenaɡa	ʃenaka	ʃenaɡa	senaka	senaka	hedaka	iʃinaɡa		sena	senaka	senaka	ʃenaɡa				senaka	senaɡa	senaka	senaka	senaka		senaka	senaka	senaka	ʃenaɡa	ʃenaka	senaka	ʃenaka	senaka		senaka	ʃena			ʃena	senaka	senaka	ʃena	senaka	kuʃinaka		senaka	ʃenaka	senaka	senaka	senaka	senaka	henaɡa	sena	senaka		ʃenaka	senaka
BACK_3					seɴɡo																																		se																			
BACK_4																																						naɡaːni																				
BACK_5																										ɡotjaː																																
BE DEAD OR DIE_1	ʃinu	ʃinu	sunu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinu				ʃinuru	ʃinu	ʃinu	ʃinu				ʃiɴ	sunu	ʃinu	keʃiɴ	ʃinu	ʃinuru	ʃinu	ʃinuru	ʃinu		keʃinuru	ʃimu	ʃinu	ʃinu		ʃiɡu	ʃinuru		ʃinu	ʃiɴ	ʃinu	ʃinu	ʃinoː	ʃinu			ʃinu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinuru	ʃinu		ʃinuru	ʃinu
