	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
COLD_2	xaɫˈodnɨ								xwˈɔdnɨ	xɐɫˈodnɨɪ̯		xlàːdɛn	xɔɫˈɔdnɪi̯	xlǎːdni	xlâːdan	xlǎːdan
COLD_3		studˈɛn		stˈudɛniː	zdæn			studen			stˈuɟɛniː					
COLD_4						āwksts										
COLD_5							ʃɐ̂ɫtɐs									
COME_1		dˈɔjdɐ	du̯ôjt		dowt~du̯ojt~dˈowti			doj								dǒːʨi
COME_2		ˈidɐ						idi								
COME_3	prɨjsʲʦʲˈi			pr̝̊ˈɪjiːt			ɐtʲêjtʲɪ			prʲɪjtʲˈi	priːsc	prìːti	prɪjtˈɪ	prǐːt	prǐːt	
COME_4									pʂɨjɕʨ							
COME_5						atnāːkt										
COUNT_1		brˈɔjɐ														brǒjiti
COUNT_2	lʲiʧˈɨʦʲ								lʲˈiʈ͡ʂɨʨ				lʲiʧˈɪtɪ			
COUNT_3				pˈoʧiːtat							pˈɔʧiːtac					
COUNT_4										ɕːɪtˈatʲ		ʃtɛ̀ːti				
DIE_1	pamʲˈerʦʲi						mʲǐrʲtʲɪ~nʊmʲǐrʲtʲɪ			ʊmʲɪrʲˈetʲ						
DIE_2					mrejt											
DIE_3						mīrt~nuɔ̯̌mīrt							pɔmˈɛrtɪ	pɔmrěːt		
DIE_4		umrˈɤ	ˈumriːt	ˈumr̝iːt				umri	ˈumʐɛʨ		ˈumrɪ̯ɛc~zˈɔmrɪ̯ɛc	umrɛ̀ːti		umrěːt	umrjěːt	ǔmrjeːti
DIRTY_1	brˈudnɨ								bɾˈudnɨ	ɡrʲˈaznɨɪ̯			brʊdnˈɪi̯			
DIRTY_2		mrˈɤsɛn														
DIRTY_3				ʃpˈɪnaviː							ʃpˈinaʋiː					pr̩̂ʎaʋ
DIRTY_4												umàːzan				
DOG_1	sabˈaka									sɐbˈakə			sɔbˈɑkɐ			
DOG_2			pas	pɛs					pʲjɛs		pɛs	pɛ́s		pɛs		pâs
DOG_3					ʦˈuʦːæk~ʦˈuːʦæk										brɛk	
DOG_4		kˈuʧɛ						kuʧe								
DOG_5						sǔns										
DOG_6							ʃuə̌									
DRINK_1	pʲiʦʲ	pˈijɐ	pit	piːt	pit~piːt			pije	pʲiʨ	pʲitʲ	pic	pìːti	pˈɪtɪ	pit	pit	pîti
DRINK_2						ʣêrt										
DRINK_3							ɡʲæ̂rʲtʲɪ									
DRY_1						sǎwss	sɐ̌wsɐs									
DRY_2	suxʲˈi	sux	sûːɦ	sˈuxiː	suːh			suf	sˈuxɨ	sʊxˈoɪ̯	sˈuxiː	sùːx	sʊxˈɪi̯	sûːx	sûːx	sûːx
EAR_1						ǎwss	ɐwsʲˈɪs									
EAR_2	vˈuxa	uxˈɔ	ǔːɦɔ	ˈuxo				uvo	ˈuxɔ	ˈuxə	ˈuxɔ	uxɔ̀ː	wˈuxɔ	ûːxɔ	ûːxɔ	ûxo
EAR_3					vuʃˈejso											
EARTH_1	zʲæmlʲˈæ	zɛmʲˈa	zˈɛmʎa~zˈɛmja	zˈɛmɲɛ	zˈæmʎɒ~zˈæmjɒ	zɛmɛ	ʒʲæ̌mʲeː	zemʲa	ʑˈɛmʲja	zʲɪmlʲˈa	zɛm	zéːmla	zɛmlʲˈɑ	zɛmjˈa	zɛmʎˈa	zěmʎa
EAT_1		jam						jaj								
EAT_2	jˈesʲʦʲi		jîːst	jiːst	jejs	êːst				jesʲtʲ	jɛsc	jɛ̀ːsti	jˈistɪ	jɛst	jɛs	jêsti
EAT_3									jɛɕʨ							
EAT_4							vɐ̂ɫɡʲiːtʲɪ									
EGG_1	jˈæjka	jɐjʦˈɛ	jâːjʦɛ	vˈɛjʦɛ	jˈɒjʦæ			jajʦe	jˈajkɔ	jɪjʦˈo	ʋˈajʦɛ	jàːjʦɛ	jɐjʦˈɛ	jâːjɛ	jâːje	jǎːje
EGG_2							kʲɛwʃʲˈɪnʲɪs									
EGG_3						uɔ̯la										
EYE_1	vˈoka	okˈɔ	u̯ɔ̌kɔ	ˈoko	ˈu̯okːɔ			oko	ˈɔkɔ		ˈɔkɔ	ɔkɔ̀ː	ˈɔkɔ	ɔ̌ːkɔ	ˈɔkɔ	ôko
EYE_2						aʦs	ɐkʲˈɪs									
EYE_3										ɡɫas						
FALL_1	pˈadaʦʲ	pˈadɐm		pˈadat					pˈadaʨ	pˈadətʲ	pˈadac	pàːdati	pˈɑdɐtɪ			pâdati
FAR_1						tâːlu	toːlʲɪ									
FAR_2	dalʲˈɵka	dɐlˈɛʧɛ	dǎːlɛkɔ	dˈalɛko	dˈaːlkɔ			daʎeko	dalˈɛkɔ	dəlʲɪkˈo	ɟˈaɫɛkɔ	dàːlɛʧ	dɐɫˈɛkɔ			dalěko
FAR_3														děːlɡɔ~lǎːrɡɔ	dˈuɡɔ	
FEATHER_1	pʲærˈo	pɛrˈɔ	pˈɛrɔ	pˈɛro	pˈærɔ			perduf	pʲjˈuɾɔ	pʲɪrˈo	pˈɛrɔ	pɛrɔ̀ː	pɛrˈɔ	pɛrˈɔ	pɛrˈɔ~perijˈɔ	pěro
FEATHER_2						spālva										
FEATHER_3							pɫûŋksnɐ									
FINGERNAIL_1						naks	nɐ̌ɡɐs									
FINGERNAIL_2	nˈoʁaʦʲ	nˈɔkɐt	nu̯ɔ̌ɦat	nˈɛɦɛt	nˈu̯ovæt			nokt		nˈoɡətʲ		nɔ̀ːxt		nɔ̌ːxɛt~nɔ̌ːfɛt	nˈɔxat	nôkat
FINGERNAIL_3													nʲˈiɦɔtʲ			
FINGERNAIL_4									paznˈɔkʲjɛʨ							
FINGERNAIL_5											ɲɛxt					
FIRE_1		ˈɔɡɐn	ʔˈɔɡaːɲ	ˈoɦɛɲ	ˈu̯oɡæɲ			oɡan	ˈɔɡʲjɛɲ		ˈɔɦɛɲ	óːɡɛn		ɔɡˈɛɲ	uɡǎːɲ	
FIRE_2						uɡǔns	ʊɡnʲˈɪs									
FIRE_3	aʁˈonʲ									ɐɡˈonʲ			wɔɦˈɔnʲ			
FIRE_4																ʋâtra
FISH_1	rˈɨba	rˈibɐ	rˈiba	rˈɪba	rˈibɒ			riba	ɾˈɨba	rˈɨbə	rˈiba	rìːba	rˈɪbɐ	rˈiba	rˈiba	rîba
FISH_2						zǐws										
FISH_3							ʒʊvʲˈɪs									
FIVE_1	pʲæʦʲ	pɛt		pjɛt					pʲjɛɲʨ	pʲætʲ	pæc	pɛ̀ːt	pjɑtʲ			pêːt
FLOWER_1	kʲvʲˈetka	ʦvˈɛtɛ		kvjɛt						ʦvʲɪtˈok	kʋɛt	ʦʋéːt	kʋʲˈitkɐ			ʦʋjeː̂t
FLOWER_2									kfʲjat							
FLY_1								ʎeta~ʎetnuva								
FLY_2									lˈɛʨɛʨ		ɫˈɛcɪ̯ɛc					
FLY_3	lʲætˈaʦʲ	lɛtʲˈɤ	lˈɛtit	lˈɛːtat	lˈætit		lʲěːktʲɪ		lˈataʨ	lʲɪtˈatʲ		lɛ̀ːtati	lʲitˈɑtɪ	lɛtˈɛt	lɛtˈɛt	lětjeti~ljeː̌tati
FLY_4						liduɔ̯̂t										
FLY_5							sʲkrʲˈɪsʲtʲɪ									
FOOT_1		krak														
FOOT_2							kôːjɛ									
FOOT_3									stˈɔpa	stʊpnʲˈa						stǒpalo
FOOT_4			nu̯ɔ̌ɡa	nˈoɦa	nˈu̯oɡɒ			noɡa			nˈɔɦa	nóːɡa	nɔɦˈɑ	nɔɡˈa	nɔɡˈa	nǒɡa
FOOT_5	naʁˈa					kāːja										
FOUR_1	ʧatˈɨrɨ	ʧˈɛtiri		ʧtˈɪr̝ɪ					ʈ͡ʂtˈɛɾɨ	ʨɪtˈɨrʲe	ʃtˈiri	ʃtìːri	ʧɔtˈɪrɪ			ʧětiri
FULL_1	pˈownɨ	pˈɤlɛn	pûːn	pˈl̩niː	pun	pīlns	pîɫnɐs	poln	pˈɛwnɨ	pˈoɫnɨɪ̯	pˈɫ̩niː	pɔ̀ːu̯n	pˈɔʋnɪi̯	pˈɛlni	pǔːn	pûn
GIVE_1	daʦʲ	dam	dat	daːt	dɒt~daːt	duɔ̯̂t~duɔ̯t	duə̂tʲɪ	daj	daʨ	datʲ	dac	dàːti	dˈɑtɪ	dat	dat	dâti
GOOD_1						laps										
GOOD_2							ɡʲæ̌rɐs									
GOOD_3	dˈobrɨ	dobˈɤr	du̯ɔ̌bar	dˈobriː	dˈu̯obær			dober	dˈɔbɾɨ		dˈɔbriː	dɔ̀ːbɛr	dˈɔbrɪi̯	dɔ̌ːbɛr	dˈɔbar	dôbar
GOOD_4										xɐrˈoʂɨɪ̯						
GRASS_1	travˈa	trɛvˈa		trˈaːva					tɾˈava	trɐvˈa	trˈaːʋa	tràːʋa	trɐʋˈɑ			trǎːʋa
GREEN_1	zʲælʲˈɵnɨ	zɛlˈɛn	zˈɛljɛn	zˈɛlɛniː	zˈælæn			zeʎen	ʑɛlˈɔnɨ	zʲɪlʲˈɵnɨɪ̯	zˈɛɫɛniː	zɛlɛ́n	zɛɫˈɛnɪi̯	zɛlěːni	zˈɛlɛn	zělen
GREEN_2							ʒɐ̌lʲɛs									
GREEN_3						zǎʎʃ										
HAIR_1		kosˈa						kosa	vwˈɔsɨ							kǒsa
HAIR_2													wɔɫˈɔsʲsʲɐ			
HAIR_3	vʌɫasˈɨ		vlâːs	vlˈasɪ	lˈaːsi					vˈoɫəsɨ	ʋɫas	làːs		vlâːs	vlâːs	
HAIR_4							pɫɐ̂wkɐs									
HAIR_5						mats										
HAND_1	rukˈa	rɐkˈa	rˈuka	rˈuka	rˈowka	ruɔ̯̌ka	rɐŋkˈɐ	raka	ɾˈɛŋka	rʊkˈa	rˈuka	róːka	rʊkˈɑ	rukˈa	ru̯okˈa	rǔːka
HEAD_1	ʁʌɫavˈa	ɡɫɐvˈa	ɡlâːva	ɦlˈava	ɡlˈaːvɒ~ɡlˈɒvɒ	ɡâlva	ɡɐɫvˈɐ	ɡlava	ɡwˈɔva	ɡəɫɐvˈa	ɦɫˈaʋa	ɡlàːʋa	ɦɔɫɔʋˈɑ	ɡlavˈa	ɡlaːvˈa	ɡlǎːʋa
HEAR_1	ʧuʦʲ	ʧˈuvɐm	ʧut		ʧut~ʧˈutːi			ʧuje					ʧˈutɪ	ʧut	ʧut	ʧûti
HEAR_2											pˈɔʧuc					
HEAR_3						ʣǐrdêːt	ɡʲɪrʲdʲêːtʲɪ									
HEAR_4				slˈɪʃɛt				sluʃa	swˈɨʂɛʨ	sɫˈɨʂətʲ		slìːʃati				
HEART_1	sˈɛrʦa	sɐrʦˈɛ	sˈr̩ʦɛ	sˈr̩ʦɛ	sˈɛrʦæ	sîrts		sr̩ʦe	sˈɛɾʦɛ	sʲˈerʦə	sˈr̩ʦɛ	srʦɛ̀ː	sˈɛrʦɛ	sˈɛrʦɛ	sˈr̩ʦɛ	sr̩̂ʦe
HEART_2							ʃʲɪrʲdʲˈɪs									
HEAVY_1		tˈɛʒɐk	tjêʒak		tˈæʒæk			teʒok				téːʒɛk			tˈɛʒak	těːʒak
HEAVY_2										tʲɪʐˈoɫɨɪ̯						
HEAVY_3						smaks	sʊŋkˈʊs									
HEAVY_4	ʦʲˈæʂkʲi			cˈɛʃkiː					ʨˈɛw̃ʂkʲi		cˈaʃkiː		ʋɐʒkˈɪi̯	těːʃki		
HOLD_1		dɐrʒˈɤ		dˈr̩ʒɛt						dʲɪrʐˈatʲ	dˈr̩ʒac	drʒàːti				dř̩ʒati
HOLD_2	trɨmˈaʦʲ								tʂˈɨmaʨ				trɪmˈɑtɪ			
HORN_1						raks	rɐ̌ɡɐs									
HORN_2	roʁ̥	rɔk	ru̯ôɡ	rox	ru̯oɡ			rok	ɾuk	rok	rɔx	rɔ̀ːk		rôːx	ru̯ôx	rôːɡ
HORN_3													ɾʲiɦ			
I_1			mjênɛ		mˈænæ	mani	mɐnʲɛ	mene						mɛnˈɛ	manˈɛ	
I_2	jæ	as	jâː	jaː	jaː			jas	ja	ja	ja	jás	jɑ	ja	jǎː	jâː
I_3							ɐʃ									
I_4						ɛs										
KILL_1	zabʲˈiʦʲ			zˈabiːt					zˈabʲiʨ		zˈabic					
KILL_2		ubˈijɐ	ʔˈubit		ˈubit		nʊʒʊdʲîːtʲɪ	ubije		ʊbʲˈitʲ		ubìːti	ʊbˈɪtɪ	ubˈit	ubˈit	ǔbiti
KILL_3						nuɔ̯̌ɡalinâːt										
KNEE_1						ʦɛlis	kʲæ̌lʲɪs									
KNEE_2	kalʲˈena	kolʲˈano	kɔljěnɔ	kˈolɛno	kɔlˈænɔ			koʎeno	kɔlˈanɔ	kɐlʲˈenə	kˈɔɫɛnɔ	kɔlɛ̀ːnɔ	kɔlʲˈinɔ	kɔlěːnɔ	kɔlˈɛnɔ	kǒʎeno
KNOW_1				vjˈɛɟɛt					vʲjˈɛʥɛʨ		ʋˈɛɟɪ̯ɛc	ʋɛ̀ːdɛti				
KNOW_2	znaʦʲ	znˈajɐ	znat		znɒt	zinâːt		znaj		znatʲ		znàːti	znˈɑtɪ	znat	znat	znâti
KNOW_3							ʒʲɪnôːtʲɪ									
LAUGH_1	smʲæjˈæʦʦa	smˈɛjɐ sɛ		smaːt sɛ					ɕmʲjaʨ ɕɛ	smʲɪjˈatʦə	smɪ̯acsa	smɛjàːtisɛ	smʲijˈɑtɪsʲɐ			smǐjatise
LEAF_1						lapːa	ɫɐ̌pɐs									
LEAF_2	lʲist	list	lîːst	lɪst	lˈiːʃʧæ			ʎis	lʲiɕʨ	lʲist	ɫist	lìːst	ɫɪst		lîːs	lîːst
LEAF_3														pɛrˈɔ		
LEG_1	naʁˈa			nˈoɦa					nˈɔɡa	nɐɡˈa	nˈɔɦa	nóːɡa	nɔɦˈɑ			nǒɡa
LEG_2		krak														
LIE_1						ɡulêːt	ɡʊlʲêːtʲɪ									
LIE_2	lʲæʐˈaʦʲ	lɛʒˈɤ	lˈɛʒat	lˈɛʒɛt	lˈæʒɒt				lˈɛʐɛʨ	lʲɪʐˈatʲ	ɫˈɛʒac	lɛʒàːti	ɫɛʒˈɑtɪ	lɛʒˈat	lɛʒˈat	lěʒati
LIE_3								ʎeʒi								
LIVER_1			jâːtra	jˈaːtra	jejtra				vɔntɾˈɔba			jɛ̀ːtra		jěːtra	jjětra	jêtra
LIVER_2	pʲˈeʧanʲ									pʲˈeʨɪnʲ			peʧʲˈinkɐ			
LIVER_3											pˈɛʧɛɲ					
LIVER_4							kʲæ̌pʲɛnʲiːs									
LIVER_5		ʧˈɛrɛn drɔp														
LIVER_6								ʦr̩n ʤiɡer								
LIVER_7						aknas										
LONG_1		dˈɤɫɐk						dolk~dok				dɔ̀ːu̯k				
LONG_2	dˈowɣʲi			dlˈou̯ɦiː	dˈowɡi				dwˈuɡʲi	dˈoɫɡʲɪɪ̯	dˈɫ̩ɦiː		dˈɔʋɦɪi̯	děːlɡi		
LONG_3			dˈuʒiʧak													dûɡaʧak
LONG_4															dǔːx	dûɡ
LONG_5						ɡǎrʃ										
LONG_6							îɫɡɐs									
LOUSE_1						uts										
LOUSE_2							ʊtʲeːlʲěː									
LOUSE_3														svɛnˈɛʦ	ʃɛnˈaʦ	
LOUSE_4	voʂ	vˈɤʃkɐ	vûːʃ	vɛʃ	vuːʃ			voʃka	vɛʂ	voʂ	ʋɔʃ	ùːʃ	wˈɔʃɐ			ûːʃ
MAN_1	muʂʧˈɨna	mɤʃ	mûːʒ	muʃ	mowʃ~mɔʃkiː			maʃ		mʊɕːˈinə	muʃ	mɔ̀ːʃ~móːʃki		mûːʃ~mǔːʃki~mˈuʃki	muʃkîː	muʃkǎːraʦ
MAN_2									mɛw̃ʐʈ͡ʂˈɨzna							
MAN_3			ɦlâːp								xɫap					
MAN_4						vīːrs~vīːrjɛtis	vʲîːrɐs									
MAN_5													ʧɔɫɔʋʲˈik			
MANY_1			ʧˈuda		ʧˈudɒ										ʧˈuda	
MANY_2															pˈunɔ	
MANY_3								mnoɡu~noɡu								
MANY_4						dāwʣ	dɐ̌wk									
MANY_5														blâːɡɔ		
MEAT_1	mʲˈæsa	mɛsˈɔ	mjêsɔ	mˈaso	mˈejsɔ		mʲeːsˈɐ	meso	mʲjˈɛw̃sɔ	mʲˈasə	mˈæsɔ	mɛsɔ̀ː	mjˈɑsɔ	mêːsɔ	mjêsɔ	mêːso
MEAT_2						ɡaʎa										
MOON_1		ɫunˈa								ɫʊnˈa		lùːna				
MOON_2						mɛːnɛss										
MOON_3							mʲeːnˈʊlʲɪs									
MOON_4	mʲˈesʲæʦ		misɛʦ	mɲˈɛsiːʦ							mˈɛsɪ̯aʦ	mɛ̀ːsɛʦ	mʲˈisʲɐʦʲ	měːsɛʦ	mˈɛsɛʦ	mjêseːʦ
MOON_5								meseʧina								
MOON_6									kɕˈɛw̃ʐɨʦ							
MOUNTAIN_1		pɫɐninˈa						planina				planìːna				planǐna
MOUNTAIN_2						kâlns	kɐ̂ɫnɐs									
MOUNTAIN_3	ʁarˈa		ɡu̯ɔ̌ra	ɦˈora					ɡˈuɾa	ɡɐrˈa		ɡóːra	ɦɔrˈɑ	ɡɔrˈa	ɡɔrˈa	
MOUNTAIN_4															vr̩x	
MOUNTAIN_5					brejɡ											
MOUTH_1	rot									rot			rɔt			
MOUTH_2			ɡǔːba~ɦˈuba													
MOUTH_3		ustˈa	ʔûːsta	ˈuːsta			bʊrnˈɐ	usta	ˈusta		ˈuːsta	ùːsta		ǔːsta	ǔːsta	ǔːsta
MOUTH_4						mutːɛ										
MOUTH_5					zˈowbi											
NAME_1						vǎːrts	vɐ̌rdɐs									
NAME_2				jmˈɛːno							mˈɛnɔ					
NAME_3	imʲˈæ	ˈimɛ	ʔimɛ		ˈimæ			ime	ˈimʲjɛ	ˈimʲə		imɛ̀ː	imjˈɑ	ˈimɛ~jˈimɛ	ˈimɛ	îme
NEAR_1	blʲˈisʲkʲi	blˈizɐk		blˈiːskiː	blˈizu~blˈiːzu			bʎizu	blʲˈiskʲi	blʲˈiskʲɪɪ̯	bɫˈiːski	blìːʒni	bɫɪzʲkˈɪi̯	blǐːzu	blǐːzu	blîzak
NEAR_2							ɐrʲtʲˈɪ									
NEAR_3						tuvu										
NECK_1	ʂˈɨjæ							ʃija	ʂˈɨja	ʂˈɛjə			ʃˈɪjɐ			
NECK_2				kr̩k		kakls	kɐ̌kɫɐs		kaɾk		kr̩k					
NECK_3		vrat	vrat									u̯ràːt		vrâːt	vrâːt	ʋrâːt
NECK_4					ɡowt											
NEW_1						jâwns	nɐ̌wjɛs									
NEW_2	nˈovɨ	nɔf	nu̯ôv	nˈoviː	nowv			nof	nˈɔvɨ	nˈovɨɪ̯	nˈɔʋiː	nɔ́u̯	nɔʋˈɪi̯	nɔ̌ːvi	nu̯ǒf	nôʋ
NIGHT_1						nakts	nɐktʲˈɪs									
NIGHT_2	noʧ	nɔʃt	nu̯ôc	noʦ	nowʧ			noc	nɔʦ	noʨ	nɔʦ	nɔ̀ːʧ	nʲiʧ	nôːc	nu̯ôc	nôːʨ
NOSE_1	nos	nɔs	nu̯ôs	nos	nu̯os~nows		nôːsʲɪs	nos	nɔs	nos	nɔs	nɔ̀ːs	nʲis	nôːs	nu̯ôs	nôːs
NOSE_2						dæɡǔns										
NOT_1									ɲɛ		ɲɪ̯ɛ					
NOT_2	nʲe	nɛ	nɛ	nɛ	næ	nɛ	nʲɛ	ne		nʲɪ		nɛ	nɛ	nɛ	nɛ	nê
OLD_1	starˈɨ	star		stˈariː					stˈaɾɨ	stˈarɨɪ̯	stˈariː	stár	stɐrˈɪi̯			stâr
ONE_1						vjêns	vʲjênɐs									
ONE_2	aʣʲˈin									ɐdʲˈin						
ONE_3		ɛdˈin	jˈɛdaːn~jˈɛdan	jˈɛdɛn	jˈædæn			eden	jˈɛdɛn		jˈɛdɛn	éːdɛn	ɔdˈɪn	jɛdˈɛn	jɛdǎːn	jědan
PATH OR ROAD_1		pɤt						pat		putʲ						pûːt
PATH OR ROAD_2	darˈoʁa								dɾˈɔɡa	dɐrˈoɡə			dɔrˈɔɦɐ			
PATH OR ROAD_3										trɐpˈa						
PATH OR ROAD_4			ʦjěsta	ʦˈɛsta							ʦˈɛsta	ʦɛ̀ːsta		ʧˈɛsta	ʧˈɛsta	ʦêsta
PATH OR ROAD_5				stˈɛska	stjˈezɒ							stɛzá	stˈɛʒkɐ			stǎza
PATH OR ROAD_6	sʲʦʲˈeʂka								ɕʨˈɛʂka							
PATH OR ROAD_7						ʦěʎʃ										
PATH OR ROAD_8							kʲæ̌lʲɛs									
PATH OR ROAD_9											xˈɔdɲiːk					
PERSON_1	ʧʌɫavʲˈek	ʧovˈɛk	ʧlˈɔviːk	ʧlˈovjɛk	ʧlˈu̯ovæk			ʧojek	ʈ͡ʂwˈɔvʲjɛk	ʨɪɫɐvʲˈek	ʧɫˈɔʋɛk	ʧlóːʋɛk		ʧɔvˈɛk~ʃlɔvˈɛk	ʧɔvˈɛk	ʧǒʋjek
PERSON_2						ʦǐlvǣːks										
PERSON_3							ʒmoːɡˈʊs									
PERSON_4													lʲʊdˈɪnɐ			
RAIN_1						ljêtus	lʲjɛtˈʊs									
RAIN_2			ɡu̯ɔ̌dina		ɡˈu̯odinɒ											
RAIN_3	doʂʧ	dɤʃt		dɛːʃc				doʃ	dɛʂʈ͡ʂ	doʂtʲ	daːʃc	dɛ́ʃ	dɔʃʧ	dɛʃ	dǎːʃ	
RAIN_4																kîʃa
RED_1						sârkǎns	rɐwdôːnɐs									
RED_2										krˈasnɨɪ̯					kr̩vǎːvi	
