	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1				mind										bənsə		muntə							
ALL_2								puɡː	bɯdɤs	bɯd					pʊ̯ɔh		pukɐ						
ALL_3	veɕe																						
ALL_4																				vɑɲmɯz			
ALL_5										stɑv		soːχ											
ALL_6							əjsɑ̆ɣɯt																
ALL_7				øsːɛʃ																			
ALL_8		kɤik	kɑikːi		kɑi	kɑikːi												kɑːjhkɛ			kɑik	kɤik	kˑɤikʲˑ
ALL_9													ʧə̠lɑ										
ALL_10																			mɑlʔ				
ASH_1	kulov							kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_2		tuhk	tuxkɑ			tʊxkɑ					tuːˀɡɨd			tuːdʲoəʔ							tʊxk	tuhk	tˑuhkˑ
ASH_3																			tunzʲibʲɑ				
ASH_4					poro		pær													peɲ			
ASH_5				hɒmu									lomə̠ʒ			ɕiːmə							
ASH_6							kɑjəm		pɤjim	pɤjim													
ASH_7												χuːʎəm											
BACK_1		selk	selkæ		selɡ̊æ	sɛlkæ		sielʲːk			sæːlɡɑ				se̯ælɛki		sɛalʲɟ͡ʝːɘ				sɛlʲɡ	selʧ	sˑælk
BACK_2												sis											
BACK_3							ʧø̆ɳʧ																
BACK_4													tup							tɯbɯr			
BACK_5	koporʲ~kutʲmerʲe																						
BACK_6									mɯʃk	mɯʃ													
BACK_7																moqə			mɑxɑ				
BACK_8														məku									
BACK_9																		rʉʧːɛ					
BARK_1								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_2									kɑʨ					kɑsu		qɑːsə							kˑosˑkʲˑ
BARK_3	kerʲ	puːkoːr~korp	kɑːrnɑ	keːrɛɡ	koːri	kʊɔri	kær	keːrː		kɯrɕ	kuːorʲ	keːr	kyr				kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ
BARK_4								peːsʲː															
BARK_5	sud											jiwsuːl								sul			
BARK_6																			sʲɑbt				
BARK_7													ʃym										
BELLY_1	peke															perkə							
BELLY_2										ruʃku			myʃkə̠r										
BELLY_3												soːriɣ~sim											
BELLY_4																			tʲiw				
BELLY_5														ʧɑjbə	ʧɔ̯ɑvji		ʧɔuʝːɘ	ʧoæjːiɛ					
BELLY_6								ʧuejːv															
BELLY_7		vɑtːs	ʋɑʦɑ~mɑɦɑ	ɟomor	vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs~mɑko	
BELLY_8		kɤht					kŏɳ~ont		kɯnɤm											kɤt	kɔxt		kˑɤtː
BELLY_9				hɒʃ																			
BELLY_10							poɣlɯ																
BIG_1									ɯʤɯt	ɯʤɯd										bɑʥːɯm			
BIG_2		suːr	suːri		suːr	suːri		ʃuːrː			suːr				stʊ̯ɔris		ʃurːɐ	stuʌrɛ			sʊrʲ	suːr	sˑuːrʲ
BIG_3													kuɣu										
BIG_4																uə̠rqə							
BIG_5							eɳə					jɑniɣ		ɑniʔə									
BIG_6	pokʃ																		ŋɑrkɑ				
BIG_7				nɒɟ																			
BIG_8			iso																				
BIG_9							lŏɣɑt																
BIRD_1		lint	lintu		lind̥u	lintʊ					lind										lind	lintu	
BIRD_2										kiʦɑ													
BIRD_3																							ʦirkˑ
BIRD_4										lebɑʨ													
BIRD_5																		lɛtːiɛ					
BIRD_6																suːrəm~tilʧətisuːrəm				tɯloburdo			
BIRD_7														təibəː									
BIRD_8							wɑjəɣ		kɑj				kɑjə̠k										
BIRD_9				mɒdaːr				lɒːnʲːt							lɔdti		lɔdʲːɘ						
BIRD_10	nɑrmuɲ											towəluːj											
BIRD_11																			tʲirtʲɑsɑrmʲik				
BITE_1								kaːʦʲːke							kaːskih		kaʦʲc͡çːɛd						
BITE_2									kurʨːɑvnɯ	kurtʲʨɯnɯ										kurtʨɯnɯ			
BITE_3			purːɑ		purːɑ	pʊrːɑ	pŏr					puri	purɑm								pʊrdɑ	purɤmɑ	pˑurɤmɑ
BITE_4														sɑkələsɑ		sɑːʧə							
BITE_5	rumʃtɑms~suskoms	hɑmːustɑtɑ									jɑmstə											ɑmːɤsːɤmɑ	
BLACK_1		must	mustɑ		mustɑ	mʊstɑ					mustɑː			tusɑjkɑʔɑ							mʊst	mus	musˑtˑ
BLACK_2	rɑuʒo																						
BLACK_3							pəɣtə																
BLACK_4																			pərʲidʲeːɲɑ				
BLACK_5												seːməl				sæːqə							
BLACK_6													ʃeme										
BLACK_7								ʧɒːhpe							ʧaːhpːes			ʧeːhpɛs					
BLACK_8									ɕɤd	ɕɤd							ʧɒpːɐd			ɕɤd			
BLOOD_1														kɑm		kɤm							
BLOOD_2												keːlp											
BLOOD_3	verʲ	veri	ʋeri	veːr	veri	vɛri		veːrː	vir	vir	vɛr		βyr		vɑrːɑ		vərːɐ			vir	vɛri	veri	veri
BLOOD_4							wər					wiɣər						βɨrːɛ					
BLOOD_5																			weːjɑ				
BONE_1		luː	luː		luː	luː	lŏχ		lɯ	lɯ	luː	luw	lu	lɑtəː		lɯː			lɨ	lɯ	lʊ	luː	luː
BONE_2								taːxʲːt							taːkti		taxʲtʲːɘ						
BONE_3		kont		ʧont																			
BONE_4	lovɑʒɑ~pɑkɑrʲ								koskɑ									moɒruʌ					
BREAST_1		rint	rintɑ		rind̥ɑ	rintɑ		ranʲːt~ninːʧ			riːndɑ			ɕinɕə								rint	rint
BREAST_2	meʃtʲe~potʲe																			ɡɑdʲ			
BREAST_3									moros	morɤs													
BREAST_4				mɛl			møɣəl					mɑːɣl											
BREAST_5													oŋ										
BREAST_6																kɯːlə							
BREAST_7													ʧə̠ze										
BURN_1				eːɡ								teːɣ											
BURN_2									soʨːɯnɯ	lomɑvnɯ~sotʲʨɯnɯ										ʤuɑnɯ			
BURN_3																ɑm							
BURN_4	pɑloms	pɤletɑ	pɑlɑː		pɑlˑɑː	pɑlʊɑ		puːlʲːe			pɑlːə				pʊ̯ɔlːih		pualʲdʲːɛd	pʉɛlɛdh	pərɑdɑsʲ		pɑlːɑdɑ	pɤlɤmɑ	pˑɑlɑmɑ
BURN_5													jylem										
BURN_6							li																
CLOUD_1	kovol								kɯmɤr	kɯmɤr													
CLOUD_2					tuːtˑsɑ							tul				tiːtːə						tuːʧ	
CLOUD_3																			tʲir				
CLOUD_4	peʎ	pilv	pilʋi		pilvi	pilvi	pələŋ	peːvːl			piːlɑ		pə̠l		pɑlɑvɑ		pəlvːɐ	palβɛ		piʎem	pilʲv	pilvi	pˑilvʲ
CLOUD_5				fɛlɦøː																			
CLOUD_6														ʧiəðu									
COLD_1				hidɛɡ																			
COLD_2													jyʃtø										
COLD_3									kɤʥɯt	kɤʥɯd						tɑɕːu				keʑɯt		kɑhu	
COLD_4	keʎme	kylm	kylmæ		kylmæ~kuːmɑ	kylmæ		kelmas			kiːlmɑ				kɑlmːɑs		kəːlmɐs	kalmɛ			vilʊ	ʧyl	kˑylm
COLD_5												ɑɕərmɑ											
COLD_6							jøɣli												tʲeːʦʲdɑ				
COLD_7							ətʲəɣ																
COLD_8														ʧəɕiɕi									
COME_1				jøn			jø̆					jiw											
COME_2									loknɯ	vonɯ~loknɯ										vuɯnɯ~lɯktɯnɯ			
COME_3	sɑms																						
COME_4							jŏχət																
COME_5															pɔ̯ɑhtih		puɛtʲːɛd	poætɛdh					
COME_6								puedʲːe															
COME_7		tulːɑ	tulːɑ		tulːɑ	tʊlːɑ					tuːldɑ		tolɑm	tujɕɑ							tʊldɑ	tulɤmɑ	tˑulɤmɑ
COME_8																			toːsʲ				
COME_9																tyː							
COUNT_1				saːmol																			
COUNT_2																toːr							
COUNT_3	lovoms	luketɑ							lɯdʲːɯnɯ	lɯdʲːɯnɯ	luˀɡːə		luðɑm							lɯʥːɯnɯ	lʊɡɛdɑ	lukɤmɑ	lukɤmɑ
COUNT_4														tuəbtusɑ									
COUNT_5			lɑskeɑ		lɑskiɑ	lɑskiɛ	lŏŋət	loːɡːe				lowiɲti			lɔhkɑh		lɒsʲc͡çːeːd						
COUNT_6													ʧotlem										
COUNT_7																		ryœknɛhtidh					
DIE_1								jɒːmʲːe						dʲɑŋɡumsɑ					xɑsʲ				
DIE_2															jaːpmih			jæːmɛdh					
DIE_3																	ʝaːmʲːɛd						
DIE_4	kuloms		kuolːɑ		koːlːɑ	kʊɔlːɑ	kɑ̆lɑ		kuvnɯ	kuvnɯ	kuːolə	χoːli	kolem	kuədʲɑ						kulɯnɯ	kɔldɑ	koːlɤmɑ	kˑuːlmɑ
DIE_5		surːɑ					sur															surɤmɑ	
DIE_6																quː							
DIE_7				mɛkhɒl																			
DIRTY_1								saːkʲːs									saxsːɒi						
DIRTY_2				sɛɲːɛʃ																			
DIRTY_3											ræpːi												
DIRTY_4	rudɑzov				reuɡ̊ɑz																rɛdʊkɑz		
DIRTY_5		must			mustɑ																		musˑtˑ
DIRTY_6							kulɯŋ													kɯrɕ			
DIRTY_7														ɲeɡɯku									
DIRTY_8			likɑinen			likɑni																	
DIRTY_9				piskoʃ								pɑːŋkən											
DIRTY_10										ɕɤd						ʧɑm				ɕɤd			
DIRTY_11									ɲɑtʲɤɕ	ɲɑtʲ												roːjɤtːu	
DIRTY_12	kɑrɡoʨ			kosoʃ									lɑβə̠rɑn										
DIRTY_13															tʊ̯ɔlvːɑs								
DIRTY_14							pəɣtə																
DIRTY_15																			wərʦɑwæj				
DOG_1							æmp					ɑːmp											
DOG_2	piɲe							pienːe	pon	pon	piɲ		pij		pe̯ænɑ		piɐnːɒi	pɨɛɲɛ		punɯ			pˑini
DOG_3	kiskɑ	koer	kojrɑ	kucɒ	koirɑ	kɔirɑ										kɤnɑŋ					kɔir	koir	
DOG_4														bɑŋ									
DOG_5																			wæɲeːkoː				
DRINK_1							li					ɑji											
DRINK_2														bɯtɯdʲi									
DRINK_3	ɕimems												jyɑm										
DRINK_4																ytə							
DRINK_5		juːɑ	juo̯dɑ		joːvːɑ	juːvːɑ		juɡːe	junɯ	junɯ	juːodə				jʊhkɑh		ʝuːkːɐd	juβkɛdh		juɯnɯ	jɔdɑ	juːmɑ	juːmɑ
DRINK_6							jæɲtʲ																
DRY_1		kuiv	kuiʋɑ		kuivɑ	kʊivɑ					kuːjɑ		kukʃo								kʊiv	kuiv	kˑuiv
DRY_2	koɕke							kɒːʃʲkesʲ	kɤs	kos				koɕyə	kɔjkːis		kɔːʃc͡çɛs	kɛjhkiɛ		kɤs			
DRY_3							sɑrəm~sosəm					toːsɑm				ʧɤkə			xɑsuj				
DRY_4				saːrɒz																			
EAR_1																qoː			xɑ				
EAR_2		kɤrv	korʋɑ		korvɑ	kɔrvɑ					kuːorɑ			kou							kɔrv	kɤrv	kˑɤrv
EAR_3	piʎe							pieʎː	peʎ	peʎ		pɑʎ			pe̯æʎːi		pɛʎːɘ			peʎ			
EAR_4				fyl			pəl						pə̠lə̠ʃ					piɛljiɛ					
EARTH_1															e̯ænɑ		ʝɐnːɒm						
EARTH_2	modɑ	mɑː	mɑː		mɑː	mʊɑ	məɣ		mu	mu	mɔː	mɑː	mlɑnde	mou					jɑ	mu	mɑ	mɑː	mɑː
EARTH_3																		joɒrta					
EARTH_4																ʧuə̠ʧːə							
EARTH_5								lavʲːn															
EARTH_6				føld																			
EAT_1									ɕojnɯ	ɕojnɯ										ɕiɯnɯ			
EAT_2								poːrːe							pɔrːɑh		poːrːɐd						
EAT_3	jɑrsɑms												koʧkɑm			ɑm							
