	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ALL_1				fuli		oʃi						eutʃi					wui				huɡi									fulifuli
ALL_2					pini																									
ALL_3							apau										pau													
ALL_4														tiatohu					tahi											
ALL_5	katoa	ʔatoʔa	paaʔaaːʔatoʔa	kaatoa					aakoa	kouroa	katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa~pauroa		katoa	kaatoa	ʔaatoa	katoa	atoʔa	katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_6								ɡodoo																						
ASH_1				muɡaalafu		maɡarafu											malamala													
ASH_2						namuʰlaŋa																								
ASH_3	repu		reʔu	lafu	refu		lehu	lehu	lehu	ŋaraʔu~ʔeʔu	puŋarehu	arefu	efu	ʔehu	rehu	rehu	lewulewu	rehu		reʔu	ɡehu	lefulefu	lehu	rehu	refu	efuefu	rehu	pefu	lehu	lefu
ASH_4		ɢehuauahi																												
ASH_5																			ʔeoʔeo											
BACK_1	muri																muli	muri												
BACK_2		tua	tautua	tuʔa	simatua	bua	kua	dua	aŋa	tua	tuaraa	pua	tuʔa	tua	kantua		tua	tua	tuʔaivi	mokotua	tuʔa	tua	tua	tua	tua	tuʔa	papatua	tua	tua	tuʔa
BACK_3																sope														
BE DEAD OR DIE_1	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_2																				poʔe				pohe			pohe			
BE DEAD OR DIE_3																		hiti												
BE DEAD OR DIE_4														keʔo																
BELLY_1	manava			tinaʔe~manava~kona		manava~ʃinae		kona	maŋava	manava~kona		sinae	manava		manava	manava~kona	manava	manavanui	manava	manava~kona	manaba	manava	manava		manava~kona		tia~manava~kona	tinae	manava	manava~kona
BELLY_2						alo																							ŋapula	ʔalo
BELLY_3		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu		koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_4					nakau						puku																			
BELLY_5																										kete				
BIG_1							nui			nui	nui			nui		nue		nui	nui			nui	niu				nui			
BIG_2	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_3																	toŋi													
BIG_4						sore												koorereka												
BIG_5																						tele							tʰuabe	
BIG_6										ruʔaruʔa																fuʔu				
BIG_7						efa															ɡauʔeha									
BIG_8								tamana				motua		maaka	hamataku					maʔatamaʔata~katakata~ʔakamatuu										
BIG_9																	wowolo													
BIRD_1	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manulele	manu	manu	manu	manu	manu~maimua	manu	manurere	manu	manulele		manu	manu	manu	manu	manulele	manumanu	manulele
BIRD_2																							kivi							
BITE_1				ʔuu			nahu		uu		ŋau			nahu					ɡau		uʔu	u	nunu		ŋau	uʔu				uʔu
BITE_2															takiluu															
BITE_3	kati		paʔati		utia	maŋuʃia		kati	eki	eti		ketʃia	eti			kati	kati	kakati		eti		utia~ʔati			uuti~kati		kati		ŋalia~usia~esia	
BITE_4			ʔooʔiniʔini																					hohoni						
BLACK_1		ʔeɢeʔeɢe	ʔereʔere				ʔeleʔele			kerekere								kerekere	kerekere	kere				ʔereʔere			kere			
BLACK_2	uri			ʔuli	uri	uri		uli	ʔuli	uri			uli			uri	uli	uriuri		uri	ʔuɡi	uliuli	uli		uri	ʔuliʔuli	uri	uli	uli	ʔuli
BLACK_3											maŋu	paku																		
BLACK_4														hivahiva	riparara					ʔiva							hiva			
BLOOD_1	toto	toto	toto	toto	toto	toto	koko	dodo	koko	toto	toto	atoto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto		toto	toto	toto	toto	toto	toto	toto
BLOOD_2																							haeko							
BLOOD_3																												kelakela		
BONE_1	ivi~ui	iviivi	ivi	ivi	sui	iui	iwi	iwi	ivi	ivi	iwi	teiβi	ivi~hui	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ibi	ivi	ivi	ivi	ivi	hui	ivi	ivi	ivi	hui
BREAST_1		ʔouma	ʔoouma		mumu												uma	umauma									koouma			
BREAST_2	uu			uu		u	uu	uu	uu	kuperu	uu	susu	huhu	u	uu	uu	wuu	uu	ʔuu	uu	uu	susu	uu		uu	huhu		uu		huhu
BREAST_3															hatahata														hatahata	
BREAST_4																	aloalo	alo												
BREAST_5			tiitiiːti																					tiitiiːti						
BREAST_6														kiʔinene																
BURN_1			ʔaʔaʔama				ʔaa			kaʔa				hakauʔa				kaa											khaa	
BURN_2				susunu																		susunu								
BURN_3	tutu~tuŋia~tapu	tutuʔi			tuŋia	tuŋia	kuni	dudu~tuŋi	kuŋi	tutu~taʔu	tahu	tuŋia	tuŋi~tafu	tutu	ttuni	tahu	tutu	tutu	tutu	tutuŋi~taʔu	tutu~tuuŋia	tafu	tutu~tuunia	tutuʔi	tutu~tafu	tutu	tuŋi~tahu	tuɡia~tafu	ula	tutu
BURN_4																						mu								
CLOUD_1									puulehu										kohu				lehuna							
CLOUD_2					ᵐboroa	boa																								
CLOUD_3	ao			ʔao			ao			ao				ao		oo		ao		tiao	ʔao	ao			ao	ʔao	ao		meluao	ʔao
CLOUD_4		ata	ata								kapua				kaniva		kaapuao	kapua~kaikaiŋa						ata				kaumana		
CLOUD_5								kororaŋi				taeteraŋi	laɡi						raɡi	tumuraŋi										
CLOUD_6																											titi			
COLD_1			toʔetoʔe	momoko														toketoke	takeo	anutoketoke				toʔetoʔe		momoko	toketoke			
COLD_2							anu			anu				anu		anu	ano			anu							anu			
COLD_3	makariri			makalili	makariri	makaliɡi		makariri	maalili	makariri	makariri	makariri	makalili	kamariri~makarere	makariri	makariri	makalili	makalili			makaɡiɡi	maʔalili	makalili		makariri		makariri	makalili	maliki	makalili
COLD_4		haumaaɢuaːɢu																				maluuluuːlu						maaluaːluluaːluːlu		
COME_1		haeɢemai	ʔaeremai~ʔanomai		numai	ʰmai	mai	hani	haamai		haeremai	fenmai		heʔemai	oomai		lolomai	naumai~taumai~hanomai~romai~haeremai				oomai	halemai	haeremai		oomai	mai	mai		
COME_2																				taataaːtaʔi										
COME_3	au			ʔau						aʔu			aua				jau		tuʔu		aʔu	sau			au	haʔu		hau	au	aʔu
COME_4																		aro												
COME_5														tihe																
COUNT_1	rau	taiʔo	taiʔo	lau	taua	tau		dau	pau		tatau	tao	totou	tau	ppau	tau	tatau~wakalau	tatauaŋa~taale	tataku	tatau~taareaːre	tau	faitau	pau	taiʔo	tau~rau	laua		lau~tau	phaua	lau
COUNT_2										touʔara																				
COUNT_3							helu																							
DIRTY_1					uri	uriuri																				ʔuli				
DIRTY_2								tokoria																						
DIRTY_3	parapara			palapala		paku			sava	paneu	paru	paku	palapala	hava~paʔapaʔa		sava	palanui~pakuoŋea	parapara	hava	ʔavaʔava	paɡapaɡa		sava~pela				hava	pala	pelapela~paku	palapala
DIRTY_4															kerekere							ʔeleʔelea			kere			kelekelea		
DIRTY_5		ɢepo	repo				lepo						pilo				lepo	lepo		repo				repo						liko
DIRTY_6																			one											
DOG_1																			paiheɡa			maile								
DOG_2								pana							manukaitama		puakaoa													
DOG_3	korii	ʔuɢi	ʔuuriuːri	kulii	kuri	kuli				kurii	kurii	kori	kulii	kuʔi		kurii	kulii	kurii	kuri	kurii	kuɡi	ʔulii	kulii	ʔurii	kuri	kulii	kurio	kulii	kulii	kulii
DOG_4							ʔiilio																							
DOG_5									poi																					
DOG_6														nuhe																
DRINK_1	inu	inu	unu	inu	βinu	inu	inu	inu	uŋu	inu	inu	unu	inu	inu	inu	inu	inu	inu	unu	inu		inu	unu	inu	inu	inu	inu	inu		inu
DRINK_2																					mia								inumia	
DRY_1	pakupaku								paupaʔu				pakaka	pakaka	pakupaku		wakapakapaka		pakapaka		maamala	paʔupaʔu~paʔaʔa						tauaki		
DRY_2		maɢo	maroo	maloo~masa	maro	masa~matu	maloʔo	maŋo		maro	maroke	matu	maha			masa		maroo		maroo	maɡoo	maŋo	masa	maroo	maroo~masa		maroo		matʰuː~maŋoa	malo~maha
DRY_3														moʔo			omoi									moomoa				
EAR_1	tariŋa	taɢiʔa	tariʔa	taliɡa	tariŋa	tariŋa		daliŋa	kaliŋa	tariŋa	tariŋa	teriŋa	teliŋa		kautarina	tariŋa	taliŋa	tariŋa	tariɡa	tariŋa	taɡiŋa	taliŋa	talina	tariʔa	tariŋa	teliŋa	tariŋa	taliɡa	taliŋa	taliɡa
EAR_2							pepeiao							pua																
EARTH (SOIL)_1																	palapala					lalolaŋi								
EARTH (SOIL)_2											oneone								one										tuaone	
EARTH (SOIL)_3							honua																							
EARTH (SOIL)_4		ɢepo	repo				lepo			repo	repo			ʔepo		repo			repo	repo				repo			repo			
EARTH (SOIL)_5	kerekere			kele	kere	kere		ɡele	ʔele		kere	kere	kele		kerekere		kelekele				keɡe		kele		kere	kelekele		kele	pela	kele
EAT_1	kai	ʔamu	ʔai	omaki~kai	kaikai	keina	ʔai	ɡai	ʔai	kai	kai	kai	kai	ʔai	kai	kai	tamitami~kaikai	kaikai	kai	kaiŋa	kai	ʔai	kai	ʔamu	kai	kai	kai	kai	kai	ʔomaki~kai
EAT_2					foro																									
EGG_1								ŋoko				atolu							toua								toouo			
EGG_2					fuamoa					maamarimoa	huamanu			mamaʔi			wuamoa		maamari			fuaamoa	tamamoa			foʔimanu				
