Family,Method,BCubedF1
Arabic,lexstat,0.968
Arabic,levenshtein,0.931
Arabic,phonetic,0.907
Arabic,pmi,0.955
Arabic,surprisal,0.951
Arabic,hybrid,0.956
Balto-Slavic,lexstat,0.921
Balto-Slavic,levenshtein,0.918
Balto-Slavic,phonetic,0.898
Balto-Slavic,pmi,0.918
Balto-Slavic,surprisal,0.937
Balto-Slavic,hybrid,0.944
Bantu,lexstat,0.777
Bantu,levenshtein,0.744
Bantu,phonetic,0.691
Bantu,pmi,0.733
Bantu,surprisal,0.781
Bantu,hybrid,0.792
Dravidian,lexstat,0.768
Dravidian,levenshtein,0.808
Dravidian,phonetic,0.767
Dravidian,pmi,0.729
Dravidian,surprisal,0.774
Dravidian,hybrid,0.799
Hellenic,lexstat,0.877
Hellenic,levenshtein,0.902
Hellenic,phonetic,0.897
Hellenic,pmi,0.89
Hellenic,surprisal,0.911
Hellenic,hybrid,0.918
Pomoan,lexstat,0.87
Pomoan,levenshtein,0.887
Pomoan,phonetic,0.817
Pomoan,pmi,0.791
Pomoan,surprisal,0.881
Pomoan,hybrid,0.886
Yana,lexstat,0.988
Yana,levenshtein,0.985
Yana,phonetic,0.986
Yana,pmi,0.983
Yana,surprisal,0.985
Yana,hybrid,0.985
Yuman,lexstat,0.843
Yuman,levenshtein,0.856
Yuman,phonetic,0.814
Yuman,pmi,0.863
Yuman,surprisal,0.893
Yuman,hybrid,0.897
Italic,lexstat,0.874
Italic,levenshtein,0.859
Italic,phonetic,0.886
Italic,pmi,0.927
Italic,surprisal,0.909
Italic,hybrid,0.927
Japonic,lexstat,0.938
Japonic,levenshtein,0.916
Japonic,phonetic,0.905
Japonic,pmi,0.929
Japonic,surprisal,0.925
Japonic,hybrid,0.931
Polynesian,lexstat,0.89
Polynesian,levenshtein,0.851
Polynesian,phonetic,0.791
Polynesian,pmi,0.878
Polynesian,surprisal,0.892
Polynesian,hybrid,0.891
Quechuan,lexstat,0.954
Quechuan,levenshtein,0.915
Quechuan,phonetic,0.942
Quechuan,pmi,0.942
Quechuan,surprisal,0.933
Quechuan,hybrid,0.936
Sinitic,lexstat,0.81
Sinitic,levenshtein,0.786
Sinitic,phonetic,0.846
Sinitic,pmi,0.862
Sinitic,surprisal,0.906
Sinitic,hybrid,0.907
Turkic,lexstat,0.903
Turkic,levenshtein,0.905
Turkic,phonetic,0.889
Turkic,pmi,0.947
Turkic,surprisal,0.942
Turkic,hybrid,0.949
Uralic,lexstat,0.814
Uralic,levenshtein,0.792
Uralic,phonetic,0.763
Uralic,pmi,0.781
Uralic,surprisal,0.817
Uralic,hybrid,0.838
Uto-Aztecan,lexstat,0.718
Uto-Aztecan,levenshtein,0.714
Uto-Aztecan,phonetic,0.678
Uto-Aztecan,pmi,0.666
Uto-Aztecan,surprisal,0.72
Uto-Aztecan,hybrid,0.734
Vietic,lexstat,0.855
Vietic,levenshtein,0.88
Vietic,phonetic,0.809
Vietic,pmi,0.849
Vietic,surprisal,0.867
Vietic,hybrid,0.868
