Language1,Phone1,Language2,Phone2,PMI
Apurí-Madean-Viñac,ʧ,Eastern-Apurímac,ʎ,0.9455503405760479
Apurí-Madean-Viñac,ʧ,Eastern-Apurímac,q,-0.22856950060020703
Apurí-Madean-Viñac,ʧ,Eastern-Apurímac,s,0.5800905670815827
Apurí-Madean-Viñac,ʧ,Eastern-Apurímac,ʧ,2.9484153825588337
Apurí-Madean-Viñac,r,Eastern-Apurímac,r,3.0620860066621245
Apurí-Madean-Viñac,s,Eastern-Apurímac,s,2.8361556444407356
Apurí-Madean-Viñac,s,Eastern-Apurímac,t,0.2665077661976445
Apurí-Madean-Viñac,s,Eastern-Apurímac,k,-0.23804824455475074
Apurí-Madean-Viñac,e,Eastern-Apurímac,i,1.6874876853054253
Apurí-Madean-Viñac,e,Eastern-Apurímac,o,2.035794379573641
Apurí-Madean-Viñac,e,Eastern-Apurímac,e,4.338379472567687
Apurí-Madean-Viñac,i,Eastern-Apurímac,a,-1.2077740578849312
Apurí-Madean-Viñac,i,Eastern-Apurímac,i̯,0.6495000184537502
Apurí-Madean-Viñac,i,Eastern-Apurímac,e,1.6303292714654767
Apurí-Madean-Viñac,i,Eastern-Apurímac,i,2.2752743502075443
Apurí-Madean-Viñac,w,Eastern-Apurímac,w,3.498628817815866
Apurí-Madean-Viñac,w,Eastern-Apurímac,l,2.122805756563271
Apurí-Madean-Viñac,w,Eastern-Apurímac,r,-0.028956446696190987
Apurí-Madean-Viñac,w,Eastern-Apurímac,u,-0.8628761811372183
Apurí-Madean-Viñac,q,Eastern-Apurímac,k,0.6782424873194044
Apurí-Madean-Viñac,q,Eastern-Apurímac,q,2.615282241661065
Apurí-Madean-Viñac,q,Eastern-Apurímac,w,-0.13895734191051975
Apurí-Madean-Viñac,q,Eastern-Apurímac,p,-0.7895449080516691
Apurí-Madean-Viñac,q,Eastern-Apurímac,m,-0.29310802173777795
Apurí-Madean-Viñac,ʎ,Eastern-Apurímac,l,3.422088740693532
Apurí-Madean-Viñac,ʎ,Eastern-Apurímac,ʎ,3.5846076701913065
Apurí-Madean-Viñac,ʎ,Eastern-Apurímac,q,0.33104628733521574
Apurí-Madean-Viñac,ʎ,Eastern-Apurímac,r,0.5771793568741244
Apurí-Madean-Viñac,ʃ,Eastern-Apurímac,s,2.594993587623848
Apurí-Madean-Viñac,ʃ,Eastern-Apurímac,ʧ,1.9069615077306727
Apurí-Madean-Viñac,a,Eastern-Apurímac,a,1.4867624240505561
Apurí-Madean-Viñac,a,Eastern-Apurímac,u,-2.0826328531644167
Apurí-Madean-Viñac,u,Eastern-Apurímac,a,-2.803788949986891
Apurí-Madean-Viñac,u,Eastern-Apurímac,o,0.7274615599234623
Apurí-Madean-Viñac,u,Eastern-Apurímac,i,-1.230283046778854
Apurí-Madean-Viñac,u,Eastern-Apurímac,u,2.0984884489125646
Apurí-Madean-Viñac,u,Eastern-Apurímac,u̯,0.4397794874716814
Apurí-Madean-Viñac,n,Eastern-Apurímac,n,2.848084215306009
Apurí-Madean-Viñac,n,Eastern-Apurímac,ɲ,1.9949723850533856
Apurí-Madean-Viñac,ŋ,Eastern-Apurímac,n,2.9314658242450604
Apurí-Madean-Viñac,ɲ,Eastern-Apurímac,ɲ,4.520701029361642
Apurí-Madean-Viñac,m,Eastern-Apurímac,l,2.0783539939924376
Apurí-Madean-Viñac,m,Eastern-Apurímac,n,0.8945838969840207
Apurí-Madean-Viñac,m,Eastern-Apurímac,t,0.22205600362681105
Apurí-Madean-Viñac,m,Eastern-Apurímac,m,3.2459591541474984
