ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Curva,Apolobamba,apol1241,Apolo,,South America,-14.4,-68.79,Quechuan,150,152
Apuri,Apurí-Madean-Viñac,apur1253,Apurí,,South America,-12.89,-75.81,Quechuan,140,158
Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,South America,-13.85,-74.32,Quechuan,150,161
Azuay,Azuay,azua1234,Azuay Highland Quichua,,South America,-2.48,-78.97,Quechuan,148,156
Cacra-Hongos,Cacra-Hongos,cacr1238,Cacra-Hongos,,South America,-12.81,-75.78,Quechuan,136,150
Chetilla,Cajamarca,caja1238,Cajamarca Quechua,qvc,South America,-7.09,-78.32,Quechuan,149,149
Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,South America,-6.27,-77.66,Quechuan,142,147
Troje,Chimborazo,nort3351,North Chimborazo Highland Quichua,,South America,-1.37,-78.85,Quechuan,150,154
Huangascar,Chocos-Huangáscar,azan1238,Azángaro-Huangáscar-Chocos,,South America,-12.9,-75.83,Quechuan,139,155
Maragua,Chuquisaca,sout2991,South Bolivian Quechua,quh,South America,-18.96,-65.78,Quechuan,150,153
Pocona,Cochabamba,coch1274,Cochabamba,,South America,-17.67,-65.42,Quechuan,150,154
Putumayo,Colombian Inga,inga1252,Colombian Inga,inb,South America,1.17,-76.96,Quechuan,140,152
Yanac,Corongo,coro1247,Corongo Ancash Quechua,qwa,South America,-8.58,-77.99,Quechuan,150,152
Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,South America,-14.09,-71.77,Quechuan,150,155
Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,South America,-13.89,-73.14,Quechuan,145,207
Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,South America,-9.57,-75.59,Quechuan,149,153
Atalla,Huancavelica,huan1249,Huancavelica,,South America,-12.76,-74.87,Quechuan,150,153
HuarazHuailas,Huaraz-Huailas,huai1241,Huailas,,South America,-9.52,-77.52,Quechuan,136,136
Huanca,Huaylla-Huanca,huay1241,Huaylla Wanca Quechua,qvw,South America,-11.77,-75.49,Quechuan,148,162
Imbabura,Imbabura,imba1240,Imbabura Highland Quichua,qvi,South America,-0.23,-78.26,Quechuan,149,149
Jauja,Jauja-Huanca,jauj1238,Jauja Wanca Quechua,qxw,South America,-11.67,-75.28,Quechuan,138,147
Inkawasi,Lambayeque,lamb1276,Lambayeque Quechua,quf,South America,-6.17,-79.47,Quechuan,149,153
Laraos,Laraos,yauy1235,Huangascar-Topara-Yauyos Quechua,qux,South America,-13.11,-75.77,Quechuan,150,151
Lincha-Tana,Lincha-Tana,tana1291,Tana-Lincha,,South America,-12.8,-75.66,Quechuan,136,151
SanPedro,Liscay-San Pedro,sanp1258,San Pedro de Huacarpana,,South America,-13.09,-75.74,Quechuan,137,152
