	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ASH_1									buːɖida								buːɖida			
ASH_2		piːdi			buːdi	buːdi												puːdi		buːdi
ASH_3												ʧaːmbal				saːmbal				
ASH_4			his	niːɾ																
ASH_5										ʧind		ʧaːɾam		niɖ	nĩd				ʧuːnja~ʧoːnja	
ASH_6							buɡɡi													
ASH_7								poːdu atukə												
ASH_8	kolabuːdi																			
BARK_1									beɾaɖu								beɾaɖu			
BARK_2										oːɖak										
BARK_3				toːl																toːlu
BARK_4		meɾtoːlə										maɾattoli								
BARK_5			bund																	
BARK_6								kolluʧo												
BARK_7					naːɾu															
BARK_8						ʧekke														
BARK_9																			ketta	
BARK_10					toɡaʈi				danʈi											
BARK_11	paʈʈe					aʈʈe						paʈʈa				paʈʈe	paʈʈa			
BARK_12																		puʈkoɾi		
BARK_13							ɖanɖi maɖɖa													
BELLY_1													puɖaː							
BELLY_2																	kaɖupu			
BELLY_3											banɖi					tonti			banʤi	
BELLY_4														puduɡ						baːɾə
BELLY_5			peɖʰ	piːɾ								ʋajaɾə				vayiru		piɾ		baiɾu
BELLY_6									ɖokka	kuːl										
BELLY_7	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe									poʈʈa	toppai	poʈʈa			
BELLY_8							ʈeʈʈe													
BELLY_9								naɖpeːʈɡu												
BIG_1	doɖɖadə				doɖɖadu															
BIG_2																		ittuːɖə		
BIG_3											beːɾ			muɾe						
BIG_4								toɖut							beɾto					
BIG_5						baljadə						ʋaludə								baleji
BIG_6										koha			beːɖo							
BIG_7																			malla	
BIG_8		dappu	ballun																	
BIG_9				pedda					beɾɾa							peɾija~peɾəsə	pedda			
BIRD_1																paɾaʋai		paɾaʋai		
BIRD_2		pikki			hakki~pakʂi	pakʂi						pakʂi					pakʂi		pakki	pakʧi
BIRD_3								pakkiɡaɭ												
BIRD_4				piʈʈə			piʈʈa										pitta			
BIRD_5									piʈʈeːku											
BIRD_6													puʤudu							
BIRD_7														titə						
BIRD_8										oɖa		kili								
BIRD_9			ʧok																	
BIRD_10											minu									
BITE_1													koːhi							
BITE_2																			tinaːɾa	
BITE_3			kaat kanninɡ																	
BITE_4												kadikkuɡa								
BITE_5									koɾaka						koɾk		koɾuku			
BITE_6	kaʧʧə	kaɖi~kajɾi		kask	kaɖi~kaʧʧu	kaɖi		kaɖə	kaʧʧaː	kʰaʧʧna	kaʧine					kaɖi				kaɖi
BITE_7							atekaʂin													
BITE_8																		paɾʧiʈʧi		
BLACK_1										mokʰaɾo			maɖhaɾo							
BLACK_2									nalla								nalupu~nalla			
BLACK_3						kaɾtadə														kaɾtaji
BLACK_4				kaɾə	kaɾu				kaːʈe		kadia									
BLACK_5	kappə				kappu			kaɾuppə				kaɾuppə				kaɾəppə		kappə	kappu	
BLACK_6		kaɾtənu ipədə																		
BLACK_7							ɖaːɾiate													
BLACK_8			maːon																	
BLOOD_1					ɾakta							ɾektam				ɾattam	ɾaktamu			
BLOOD_2	ɾattə																			
BLOOD_3	nettuɾu	nəttəɾə		nettuɾ			nettuɾ		nettuɾ		nettiɾ			nettiɾ			nettuɾu		nettaɾə	
BLOOD_4			ditaɾ					neːtuɾu							netiɾ					
BLOOD_5						ʧoːɾə						ʧoːɾa								ʧoːɾe
BLOOD_6										kʰeːns								poːkʰə		
BLOOD_7													ɾasadu							
BONE_1										kʰoʧol			oːʧuldiː							
BONE_2												asti								
BONE_3		jaləʋə			jelubu			jeluʋə								elumbə				
BONE_4	ilə											ellə						elf	ellə	
BONE_5			aɖɖə																	
BONE_6					muːɭe	muːɭe			buːlaː~buːlk						bũla					muːɭe
BONE_7				bokka			bokka										bokka			
BONE_8																	jemuka			
BREAST_1									eddam						edɾam					
BREAST_2					ede															
BREAST_3	maːɾə					mele		meːl				maːru~mula				maːɾbə~maːɾə				mele
BREAST_4							saːtti													
BREAST_5														palɡil						
BREAST_6				dudo													ɡunde			
BREAST_7		kujndiɡi																		
BREAST_8			xad																	
BREAST_9													daibuku							
BREAST_10											sipadaki									
BREAST_11																		niʤikuɖi		
BREAST_12					stʰana							stanam					stʰanamu			
BREAST_13										jeʋakʰ									tiɡala	
BURN_1										olna										
BURN_2																eɾi				
BURN_3				niɾus																
BURN_4	kiʧiːkdə																			
BURN_5												katikkuɡa								
BURN_6			xaːxaɾ tinninɡ																	
BURN_7																			pottaʋaɾa	
BURN_8																		tiːkku kaːttiti		
BURN_9		bjaːɭ~ben																		
BURN_10									maɳɖu								maɳɖu			
BURN_11					suɖu	ʧuːɖə														ʧuːɖə
BURN_12		kattu~kettu						kaːto					meːda				kaːlu			
BURN_13							ɡonɖka													
CLAW_1												nakʰam				naɡam				
CLAW_2																				ummi
CLAW_3								kaijoːɾu												
CLAW_4														kaʂʋanɖe						
CLAW_5		kiːjəɡɡəɾə																		
CLAW_6						ʋoji									ɡẽɾi					
CLAW_7			hoɾ ad																	
CLAW_8	uɡilə			ɡoɾk	uɡaɾu		ɡoːɾ		ɡoːɾk								ɡoːɾu	juːɾ	uɡuɾu	
CLAW_9											ɡaɾka									
CLAW_10										oɾokʰ			oɾuɡdu							
CLAW_11			zeel																	
CLOUD_1										badaːli			badliː							
CLOUD_2							aːbaɾ													
CLOUD_3											dunɖaɾa									
CLOUD_4	manʤu			mabbu					mabbu								mabbu			
CLOUD_5											haːɡu									
CLOUD_6															malɡuɾ					
CLOUD_7			ʤammaɾ																	
CLOUD_8		moːɖə			moːɖa	moːɖa											moːɖamu		moːɖa	moːɖa
CLOUD_9					mẽɡha			meːɡam				mekʰam				meːɡam	meːɡʰamu	meːɡam		
COLD_1										kiːɾna			kiʋa							
COLD_2	koɾuʋə							koɾʋə										koɾti		
COLD_3																kuɭiɾʧi				
COLD_4		səjlijə																		
COLD_5						talinʤadə														
COLD_6				sallaɡ					sallaː								ʧalla		ʧappa	
COLD_7			jakʰ~jax			koːʈa														
COLD_8							pani								paɲil					
COLD_9					taɳɳiɡe								panijaː							taɳiʤe
COLD_10												taɳuppə								
COME_1	pappa																ʋaʧʧu			
COME_2										baɾna		ʋaɾuɡa	baɾəaː						baɾaɾa	
COME_3									ʋaːdaɖam											
COME_4			banninɡ																	
COME_5		baːɾ~ban~bu		ʋa	baɾu~baː	baː	ʋa		ʋa					ʋa	veɾ	ʋaː	ɾa			baː
COME_6																		paːɾti		
