	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1		wo																																		bɔ́	
ARM_2				mukono		mkono										mɔ̌nɔ			mhóno	mhóno		kóno	omukono				nkono	mkono							umkʰono		
ARM_3										lukuaku								okwako															ókwo̍kwó				
ARM_4	ukùboko				múwoko		boko	kẅɔ́kɔ̏	ɣuɔkɔ		koko	lobɔ́kɔ	lizoho		kuboko		uko							ukuboko	ruoko	mbòko			kuboko	vókó	wókó	bɔ́χɔ́					
ARM_5														diːkàsa																							
ARM_6																																		ʧanda			
ARM_7																					inɡalo																ínɡàló
ARM_8			enam																																		
ASH_1								mou	mohû																												
ASH_2				vvu	máfu																																
ASH_3						eijwi											ifu		vú	vú			eiju				ibu										
ASH_4																													itwe								
ASH_5		asup	asup																																	sùvé	
ASH_6																												sizi					éti̍kó				
ASH_7	imìto													butò	bútu											butǒ											
ASH_8												mputulú																									
ASH_9																		omutoko																			
ASH_10							lota						mulola								lotʰa			umuɲota	dòtà									mulora	umlotʰa		umlota
ASH_11																														nkuma	kʰuma						
ASH_12																ittuúra						pʰulusa															
ASH_13																																mõlõrã					
ASH_14										ditókua																											
ASH_15											bombi																										
BARK_1						ekiʃuʃu									ʧízúbú								ekiʃuʃu			kifùsù											
BARK_2										kiʃiʃi														iɡiʃiʃwa													
BARK_3																																	óʧípétà				
BARK_4																nikúla		ejula									iɡula										
BARK_5											kibula			kibàle																					iǁolo		íliǁôlo
BARK_6		ebapele	ebap																																		
BARK_7					ibada												ikanda																				
BARK_8																													cikwa								
BARK_9																						kʰunɡwa															
BARK_10													likwati																	rihantí	hatí	kwàtí		ɡwatí			
BARK_11																					kʰonkotʰa				kòkó											kókó	
BARK_12								ekɔndɛ	ikɔni																												
BARK_13	bós											póso							ɡózi	ɡozi																	
BELLY_1													mba						mímba	mmba		mímba										ḿpá					
BELLY_2					nda				nda														enda	inda					ida								
BELLY_3																	ndeu																				
BELLY_4						eibundaenda																															
BELLY_5								eβu						fu	dífu						isisu					efù									isisu		ìsísù
BELLY_6																														kʰwírí							
BELLY_7	ì̀fumo	abum	abum							divumu	kivumu	libumu																									
BELLY_8																																	ímò				
BELLY_9							tumbu																		dùmbù		ŋ̤umbi	tumbo			rúmbú			tʰumbu			
BELLY_10																ntʰúkwa		epunda																			
BELLY_11																																				ɛ̀ì	
BIG_1																												kubwa						hulwane			
BIG_2																			libwávu																		
BIG_3																				kúu	kʰulu	kulu			ɡuru					kúlú		ɡóló			kʰulu		kʰúlù
BIG_4							kulukulu																														
BIG_5						hanɡo																	hanɡo														
BIG_6																													pati							làí	
BIG_7					βaha									kàtà												mukàtà											
BIG_8	kalàmbà																																				
BIG_9																wunnuwela																					
BIG_10																															hombé						
