	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1		wo																																		bɔ́	
ARM_2										lukuaku								okwako															ókwo̍kwó				
ARM_3				mukono		mkono										mɔ̌nɔ			mhóno	mhóno		kóno	omukono				nkono	mkono							umkʰono		
ARM_4	ukùboko				múwoko		boko	kẅɔ́kɔ̏	ɣuɔkɔ		koko	lobɔ́kɔ	lizoho		kuboko		uko							ukuboko	ruoko	mbòko			kuboko	vókó	wókó	bɔ́χɔ́					
ARM_5														diːkàsa																				ʧanda			
ARM_6																					inɡalo																ínɡàló
ARM_7			enam																																		
ASH_1				vvu	máfu																																
ASH_2						eijwi											ifu		vú	vú			eiju				ibu										
ASH_3																													itwe								
ASH_4		asup	asup																																	sùvé	
ASH_5																												sizi					éti̍kó				
ASH_6								mou	mohû																												
ASH_7																		omutoko																			
ASH_8	imìto													butò	bútu											butǒ											
ASH_9												mputulú																									
ASH_10							lota						mulola								lotʰa			umuɲota	dòtà									mulora	umlotʰa		umlota
ASH_11																														nkuma	kʰuma						
ASH_12																ittuúra						pʰulusa															
ASH_13																																mõlõrã					
ASH_14										ditókua																											
ASH_15											bombi																										
BARK_1						ekiʃuʃu									ʧízúbú								ekiʃuʃu			kifùsù											
BARK_2										kiʃiʃi														iɡiʃiʃwa									óʧípétà				
BARK_3		ebapele																																			
BARK_4											kibula			kibàle		nikúla		ejula									iɡula								iǁolo		íliǁôlo
BARK_5			ebap		ibada												ikanda																				
BARK_6																													cikwa								
BARK_7																						kʰunɡwa															
BARK_8													likwati																	rihantí	hatí	kwàtí		ɡwatí			
BARK_9	bós											póso							ɡózi	ɡozi																	
BARK_10								ekɔndɛ	ikɔni																												
BARK_11																					kʰonkotʰa				kòkó											kókó	
BELLY_1								eβu						fu	dífu						isisu					efù									isisu		ìsísù
BELLY_2																														kʰwírí							
BELLY_3	ì̀fumo	abum	abum							divumu	kivumu	libumu																									
BELLY_4																																	ímò				
BELLY_5							tumbu																		dùmbù		ŋ̤umbi	tumbo			rúmbú			tʰumbu			
BELLY_6																ntʰúkwa		epunda																			
BELLY_7													mba						mímba	mmba		mímba										ḿpá					
BELLY_8					nda				nda														enda	inda					ida								
BELLY_9																	ndeu																				
BELLY_10																																				ɛ̀ì	
BELLY_11						eibundaenda																															
BIG_1																			libwávu									kubwa						hulwane			
