	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1		kɤik	kɑikːi		kɑi	kɑikːi															kɑik	kɤik	kˑɤikʲˑ
ALL_2								puɡː				soːχ					pukɐ						
ALL_3															pʊ̯ɔh								
ALL_4																		kɑːjhkɛ					
ALL_5									bɯdɤs	bɯd													
ALL_6				øsːɛʃ																			
ALL_7													ʧə̠lɑ										
ALL_8	veɕe													bənsə									
ALL_9										stɑv													
ALL_10				mind												muntə			mɑlʔ				
ALL_11																				vɑɲmɯz			
ALL_12							əjsɑ̆ɣɯt																
ASH_1		tuhk	tuxkɑ			tʊxkɑ															tʊxk	tuhk	tˑuhkˑ
ASH_2											tuːˀɡɨd												
ASH_3								kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_4																ɕiːmə							
ASH_5							kɑjəm					χuːʎəm											
ASH_6	kulov																						
ASH_7				hɒmu																			
ASH_8									pɤjim	pɤjim													
ASH_9					poro		pær													peɲ			
ASH_10													lomə̠ʒ	tuːdʲoəʔ									
ASH_11																			tunzʲibʲɑ				
BARK_1	sud																						
BARK_2																			sʲɑbt				
BARK_3								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_4								peːsʲː					ʃym							sul			
BARK_5	kerʲ			keːrɛɡ	koːri	kʊɔri	kær	keːrː	kɑʨ	kɯrɕ	kuːorʲ	keːr	kyr	kɑsu		qɑːsə	kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ~kˑosˑkʲˑ
BARK_6		korp	kɑːrnɑ																				
BARK_7		puːkoːr																					
BARK_8												jiwsuːl											
BELLY_1									kɯnɤm			sim											
BELLY_2															ʧɔ̯ɑvji			ʧoæjːiɛ					
BELLY_3								ʧuejːv						ʧɑjbə					tʲiw				
BELLY_4							poɣlɯ																
BELLY_5										ruʃku													
BELLY_6			mɑɦɑ	hɒʃ																			
BELLY_7		vɑtːs	ʋɑʦɑ		vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs	
BELLY_8																perkə	ʧɔuʝːɘ						
BELLY_9												soːriɣ											
BELLY_10													myʃkə̠r									mɑko	
BELLY_11	peke																						
BELLY_12		kɤht					kŏɳ													kɤt	kɔxt		kˑɤtː
BELLY_13							ont																
BELLY_14				ɟomor																			
BIG_1															stʊ̯ɔris			stuʌrɛ					
BIG_2		suːr	suːri		suːr	suːri					suːr										sʊrʲ	suːr	sˑuːrʲ
BIG_3								ʃuːrː									ʃurːɐ						
BIG_4			iso				lŏɣɑt																
BIG_5													kuɣu										
BIG_6							eɳə					jɑniɣ											
BIG_7				nɒɟ					ɯʤɯt	ɯʤɯd				ɑniʔə									
BIG_8	pokʃ																		ŋɑrkɑ				
BIG_9																uə̠rqə							
BIG_10																				bɑʥːɯm			
BIRD_1																tilʧətisuːrəm							
BIRD_2																			tʲirtʲɑsɑrmʲik				
BIRD_3									kɑj	kiʦɑ			kɑjə̠k										
BIRD_4																							ʦirkˑ
BIRD_5														təibəː									
BIRD_6							wɑjəɣ									suːrəm							
BIRD_7										lebɑʨ													
BIRD_8																				tɯloburdo			
BIRD_9		lint	lintu		lind̥u	lintʊ		lɒːnʲːt			lind				lɔdti		lɔdʲːɘ	lɛtːiɛ			lind	lintu	
BIRD_10				mɒdaːr																			
BIRD_11	nɑrmuɲ																						
BIRD_12												towəluːj											
BITE_1		hɑmːustɑtɑ									jɑmstə												
BITE_2																						ɑmːɤsːɤmɑ	
BITE_3									kurʨːɑvnɯ	kurtʲʨɯnɯ										kurtʨɯnɯ			
BITE_4								kaːʦʲːke							kaːskih		kaʦʲc͡çːɛd						
BITE_5	suskoms																						
BITE_6														sɑkələsɑ									
BITE_7			purːɑ		purːɑ	pʊrːɑ	pŏr					puri	purɑm								pʊrdɑ	purɤmɑ	pˑurɤmɑ
BITE_8	rumʃtɑms																						
BITE_9																sɑːʧə							
BLACK_1		must	mustɑ		mustɑ	mʊstɑ					mustɑː										mʊst	mus	musˑtˑ
BLACK_2							pəɣtə	ʧɒːhpe					ʃeme		ʧaːhpːes	sæːqə	ʧɒpːɐd	ʧeːhpɛs					
BLACK_3									ɕɤd	ɕɤd										ɕɤd			
BLACK_4	rɑuʒo																						
BLACK_5												seːməl											
BLACK_6																			pərʲidʲeːɲɑ				
BLACK_7														tusɑjkɑʔɑ									
BLOOD_1														kɑm		kɤm							
BLOOD_2	verʲ	veri	ʋeri	veːr	veri	vɛri	wər	veːrː	vir	vir	vɛr	wiɣər	βyr		vɑrːɑ		vərːɐ	βɨrːɛ		vir	vɛri	veri	veri
BLOOD_3																			weːjɑ				
BLOOD_4												keːlp											
BONE_1	pɑkɑrʲ								koskɑ														
BONE_2								taːxʲːt							taːkti		taxʲtʲːɘ						
BONE_3		kont		ʧont																			
