	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ALL_1							apau			kouroa							pau	pauroa												
ALL_2	katoa	ʔatoʔa	paaʔaaːʔatoʔa	kaatoa				ɡodoo	aakoa		katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa		katoa	kaatoa	ʔaatoa	katoa	atoʔa	katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_3														tiatohu																
ALL_4																			tahi											
ALL_5				fuli													wui				huɡi									
ALL_6																														fulifuli
ALL_7						oʃi						eutʃi																		
ALL_8					pini																									
ASH_1						namuʰlaŋa																								
ASH_2																	malamala													
ASH_3	repu	ɢehuauahi	reʔu	lafu~muɡaalafu	refu	maɡarafu	lehu	lehu	lehu	ŋaraʔu~ʔeʔu	puŋarehu	arefu	efu	ʔehu	rehu	rehu	lewulewu	rehu		reʔu	ɡehu	lefulefu	lehu	rehu	refu	efuefu	rehu	pefu	lehu	lefu
ASH_4																			ʔeoʔeo											
BACK_1	muri																muli	muri												
BACK_2									aŋa						kantua															
BACK_3		tua	tautua	tuʔa	simatua	bua	kua	dua		tua	tuaraa	pua	tuʔa	tua			tua	tua	tuʔaivi		tuʔa	tua	tua	tua	tua	tuʔa	papatua	tua	tua	tuʔa
BACK_4																				mokotua										
BACK_5																sope														
BE DEAD OR DIE_1																				poʔe				pohe			pohe			
BE DEAD OR DIE_2																		hiti												
BE DEAD OR DIE_3	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_4														keʔo																
BELLY_1	manava			manava	nakau	manava			maŋava	manava			manava		manava	manava	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELLY_2				kona				kona		kona						kona				kona					kona		kona			kona
BELLY_3				tinaʔe		ʃinae						sinae															tia	tinae		
BELLY_4																										kete				
BELLY_5		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu		koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_6											puku																			
BELLY_7						alo																								ʔalo
BELLY_8																													ŋapula	
BIG_1															hamataku					ʔakamatuu										
BIG_2								tamana						maaka						katakata										
BIG_3																				maʔatamaʔata										
BIG_4												motua																		
BIG_5	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_6							nui			nui	nui			nui		nue		nui	nui			nui	niu				nui			
BIG_7																	toŋi													
BIG_8						sore																tele							tʰuabe	
BIG_9																		koorereka												
BIG_10						efa				ruʔaruʔa											ɡauʔeha									
BIG_11																										fuʔu				
BIG_12																	wowolo													
BIRD_1	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manulele	manu	manu	manu	manu	manu~maimua	manu	manurere	manu	manulele		manu	manu	manu	manu	manulele	manumanu	manulele
BIRD_2																							kivi							
BITE_1							nahu				ŋau			nahu					ɡau						ŋau				ŋalia	
BITE_2				ʔuu					uu												uʔu	u	nunu			uʔu				uʔu
BITE_3			ʔooʔiniʔini																											
BITE_4																								hohoni						
BITE_5	kati		paʔati		utia			kati	eki	eti		ketʃia	eti			kati	kati	kakati		eti		utia~ʔati			uuti~kati		kati		usia~esia	
BITE_6						maŋuʃia																								
BITE_7															takiluu															
BLACK_1		ʔeɢeʔeɢe	ʔereʔere				ʔeleʔele			kerekere								kerekere	kerekere	kere				ʔereʔere			kere			
BLACK_2														hivahiva						ʔiva							hiva			
BLACK_3											maŋu	paku																		
BLACK_4	uri			ʔuli	uri	uri		uli	ʔuli	uri			uli			uri	uli	uriuri		uri	ʔuɡi	uliuli	uli		uri	ʔuliʔuli	uri	uli	uli	ʔuli
BLACK_5															riparara															
BLOOD_1	toto	toto	toto	toto	toto	toto	koko	dodo	koko	toto	toto	atoto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto		toto	toto	toto	toto	toto	toto	toto
BLOOD_2																							haeko							
BLOOD_3																												kelakela		
BONE_1	ui				sui								hui													hui				hui
BONE_2	ivi	iviivi	ivi	ivi		iui	iwi	iwi	ivi	ivi	iwi	teiβi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ibi	ivi	ivi	ivi	ivi		ivi	ivi	ivi	
BREAST_1		ʔouma	ʔoouma														uma										koouma			
BREAST_2	uu			uu	mumu	u	uu	uu	uu		uu	susu	huhu	u	uu	uu	wuu	uu~umauma	ʔuu	uu	uu	susu	uu		uu	huhu		uu		huhu
BREAST_3										kuperu																				
BREAST_4			tiitiiːti																					tiitiiːti						
BREAST_5														kiʔinene																
BREAST_6															hatahata														hatahata	
BREAST_7																	aloalo	alo												
BURN_1							ʔaa			kaʔa								kaa											khaa	
BURN_2			ʔaʔaʔama																											
BURN_3	tapu									taʔu	tahu		tafu			tahu				taʔu		tafu			tafu		tahu	tafu		
BURN_4				susunu																		susunu								
BURN_5	tutu~tuŋia	tutuʔi			tuŋia	tuŋia	kuni	dudu~tuŋi	kuŋi	tutu		tuŋia	tuŋi	tutu	ttuni		tutu	tutu	tutu	tutuŋi	tutu~tuuŋia		tutu~tuunia	tutuʔi	tutu	tutu	tuŋi	tuɡia		tutu
BURN_6														hakauʔa															ula	
BURN_7																						mu								
CLOUD_1									puulehu														lehuna							
CLOUD_2												taeteraŋi	laɡi						raɡi	tumuraŋi										
CLOUD_3								kororaŋi																						
CLOUD_4		ata	ata																					ata						
CLOUD_5																											titi			
CLOUD_6	ao			ʔao	ᵐboroa	boa	ao			ao				ao		oo		ao		tiao	ʔao	ao			ao	ʔao	ao			ʔao
CLOUD_7																													meluao	
CLOUD_8															kaniva			kaikaiŋa												
CLOUD_9											kapua						kaapuao	kapua										kaumana		
CLOUD_10																			kohu											
COLD_1							anu			anu				anu		anu	ano			anu							anu			
COLD_2				momoko																						momoko				
COLD_3			toʔetoʔe															toketoke	takeo	anutoketoke				toʔetoʔe			toketoke			
COLD_4	makariri			makalili	makariri	makaliɡi		makariri	maalili	makariri	makariri	makariri	makalili	kamariri~makarere	makariri	makariri	makalili	makalili			makaɡiɡi	maʔalili	makalili		makariri		makariri	makalili	maliki	makalili
COLD_5		haumaaɢuaːɢu																				maluuluuːlu								
COLD_6																												maaluaːluluaːluːlu		
COME_1	au			ʔau						aʔu			aua				jau				aʔu	sau			au	haʔu		hau	au	aʔu
COME_2																		aro												
COME_3																			tuʔu											
COME_4		haeɢemai	ʔaeremai~ʔanomai		numai	ʰmai	mai	hani	haamai		haeremai	fenmai		heʔemai	oomai		lolomai	naumai~taumai~hanomai~romai~haeremai				oomai	halemai	haeremai		oomai	mai	mai		
