	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1																																	pɑʔɑmɑnuni~pɑʔɑmɑnuktis	
ALL_2						pətɑ̠ʔɑmɑ																												
ALL_3																			ojoːntɯ~ojoːntɯsɯ															
ALL_4																														owɑ̠̄ʔix				
ALL_5										sosojɑm~sosoj				ʧoʔon																				
ALL_6													monojo																				mɑnuni	
ALL_7																							puju									piniju		
ALL_8				iːxkiʧ												nasimi																		
ALL_9												nai̯̯tɯ~junai̯̯tɯ			ʦikti		noːʔju																	ʦikti
ALL_10	u̠mun		mɑnːo	moʧ~moʧi	ojɯ~ojo		hei̯̯ʦe	awona~haona	noʧi		joma	nai̯̯						βɯʃi	wɯmː	βɯʃ	muʧi	noʧo		ojoːn	vɯʃ	mano~manu	sə	noʧi	wɯs~wɯs		weʦɑ̠t~wesɑ̠t			
ALL_11																			sɯmɯsɯ															
ALL_12		omɑrwɑme																																
ARM_1															koomi																			
ARM_2																																		konkabam
ARM_3		seka			pɨra						seka		pɨravɨ			pɨtːa	pɨtːa	juca	pɨta	huca				pɨta		pɨta							pɨtapi	
ARM_4			aŋapɨ					nocat																	nob				nowi					
ARM_5	mal			maːi̯̯t͡ɬ				mamat		maʔa		mama		mat							maji~mah		maː				mama	mø		man				
ARM_6																											møtzaca					maʦon~madzan		
ARM_7									ahkol												mahkul													
ARM_8																															mavoːi̯̯r			
ARM_9							mwahkaʔa																											
ASH_1					etuhsipːɨh																													
ASH_2														teeliŋiʃ																				
ASH_3																												t͡ɬakoneʃt͡ɬiː						
ASH_4																																tonɡul		
ASH_5										qøcvi																								
ASH_6																	kutːusːipɨ						kukuht											
ASH_7			kucapːɨ						kʷonːeʃ				kucapɨ						kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ				koʃiʃ			kucapːɨ	
ASH_8	nisxiʃ					wɨʂkiʃ																												
ASH_9																esija																		
ASH_10																		matːe		matʰai̯̯					matai̯̯				matai̯̯					
ASH_11		napiso						napsa			nahpiso				naposa												napot							naposa
ASH_12				neʃt͡ɬi			nasi					nari					kusːi				neʧ~nesʧta~neʃti	noʃt									nasit			
BARK_1			asiaʔa										asiavi													asiaː								
BARK_2										ʦiipɨ													qoʦ										siʔaːpi	
BARK_3																		hilidaɡa		ɨlidaɡ									ɨldaɡ					
BARK_4																														axoːxoʦ				
BARK_5																																opit~opun		
BARK_6																															ulapet			
BARK_7																					juwajo~ijewaju							jewajut͡ɬ						
BARK_8				eʔwaːt͡ɬ				beɡu̯at	eːwat						beewa												bewat							bea
BARK_9					poʔa												puʔa		poʔa					poʔan										
BARK_10	taʧal~taʃʔa					ʧalal								taaʧi																				
BARK_11		kuhe									kahe																							
BARK_12		eɡoli																							kom									
BARK_13							kucapeʔe									woʔaɡːapɨ																		
BELLY_1				iʔtet͡ɬ																	ihti							hte						
BELLY_2								siɡu̯at																			siɡu̯a							
BELLY_3													sapɨi̯̯vɨ																				sakoi̯pi	
BELLY_4			sapːɨ		sapːɨh	ʂaʔi		panza																sapːɨh		sapːɨ								
BELLY_5																																ʃapuʃt		
BELLY_6							ʃai̯̯e																											
BELLY_7																	siː																	
BELLY_8		ropa									tohpa			teeʔla	topːa								toːʔ											toʔona
BELLY_9	teʔily																																	
BELLY_10									poʃ							ɡohi	kohi																	
BELLY_11							huka					huka						voca		voːk					bok				woːk					
BELLY_12								boa		pono									punu											xoːnen~xoːnon				
BELLY_13												ijamuja																						
BELLY_14																															njolir			
BIG_1					pia											papa	papa		pia					pia		pia							apatːɨ	
BIG_2												epɨpa~epɨnena																						
BIG_3						ai̯̯ʔaniʃ																												
BIG_4																							atiɨ̯̯ʔaʦ											
BIG_5										wɨːjoqa	weruma																							
