	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ASH_1									ʔinoqoʧ											
ASH_2														ʔantˈimak						
ASH_3																χˈojonoχˌo				
ASH_4	no				no							nohˈo					hiːno			
ASH_5				xmʔuɬ			ʔəmpiɬ			hamʔuːʎ										ʔmhˈúˑl~ʔmhˈûˑl
ASH_6								ámtaːp												
ASH_7											malˈaʔ				máhawa					
ASH_8			mˈaʦʼχipa																	
ASH_9						ɬˈabi														
ASH_10													tʼapʔlaːwiʔauna							
BARK_1								máːn						inˈaːiɬ						
BARK_2	kʰwaː				xaːwˈal				qahwaː		kʰˈawaː	ʃewˈa				χwal	kʰˈawːa			
BARK_3																				θpˈîla
BARK_4			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_5				ʂxujˈal																
BARK_6							xaːsəjaɬ													
BARK_7										ʧaθkʷil										
BARK_8						lˈiʃmikʼek														
BARK_9													patʔjauna							
BELLY_1			hˈutʲunew																	
BELLY_2						laɡˈuʔu														
BELLY_3												kʰaʃˈeʔ								
BELLY_4															ʔíʧnit					
BELLY_5				ʔiʧˈu			ət̪uː			iːto								t̪u		
BELLY_6					kʼo						koi					qo				
BELLY_7	mkʰa								ʔuhqʰa								ʔˈukʰːa			
BELLY_8													willa	jaχ					willa	mnˈûˑna
BELLY_9								βiʃβaːn												
BIG_1				pt̪aj														t̪aj		βtˈe
BIG_2			ʧˈewːu									matˈo								
BIG_3	baːtʰˈe	paʦal			baːtʰˈin		ʔiːkuː		bahtʰe	vaʎtajm~vatajm			paʦal				bˈahtʰe		paʦal	
BIG_4											tʰˈijin									
BIG_5								kêːʧ						kˈaːkox						
BIG_6						ʔaɡwˈeɡaʔ														
BIG_7																bitˈenikʼ				
BIG_8															kʼimpíʔ					
BIRD_1			tˈiʔira										ʦutʔawi							
BIRD_2	t̪a			ʃa			ʔaːʂaː							ʃiːk				aʔʃˈa~aːʃˈa		ʔʧsˈa
BIRD_3					ʦʼiːjˈa				ʦʼiht̪a			ʦʼitʼ			ʧʼíːʧʼaːx	ʦʼit̪ˈa	ʦʼˈiht̪a			
BIRD_4						ɬˈaɡa														
BIRD_5								aʧβiːβ												
BIRD_6										ʔiʧajer~ʔiʧijer										
BIRD_7											ʧʼijit̪kaː									
BITE_1						diɡˈaʔma														
BITE_2														kkˈatχɬa						
BITE_3	kaːnˈe				qaːnˈeː				qane			kanˈe				qne	kˈaːni			
BITE_4							ʧuːkuw			ʧakʲoːk								ʧuːkˈaw		ʧkʲˈo
BITE_5		ʦa		ʂaː									ʦa						ʦa	
BITE_6								paɾ												
BITE_7			utpa																	
BITE_8															táʔuxáwiːk					
BLACK_1						ʔˈumi								kˈoːpoɬ						
