	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
ALL_1															sva~sa	sâʋ
ALL_2	uvʲˈesʲ		vas		vjes	viss	vʲˈɪsɐs			vʲesʲ		ʋə́s	ʋɛsʲ	vɛs		
ALL_3				fʃˈɛxɛn					fʂˈɨstɛk		fʃˈɛtɔk					
ALL_4		fsˈiʧkʲi						sidef								
ASH_1										zɐɫˈa			zɔɫˈɑ			
ASH_2	pˈopʲeɫ	pˈɛpɛɫ	pjěpɛl	pˈopɛl	pˈæpæl			pepel	pˈɔpʲjuw	pʲˈepʲɪɫ	pˈɔpɔɫ	pɛpɛ̀ːu̯	pˈɔpʲiɫ	pɔ̌ːpɛl	pˈɔpɛl	pêpeo
ASH_3						pæ̌lni	pʲɛlʲɛnɐ̌j									
BACK_1	sʲpʲˈina									spʲɪnˈa			spˈɪnɐ			
BACK_2				zˈaːda												lěːʥa
BACK_3				ɦr̝bɛt					ɡʐbʲjɛt		xˈr̩baːt	xrbɛ́t				xř̩bat
BACK_4		ɡrɤp							plˈɛʦɨ							
BARK_1						miza										
BARK_2												lùːbjɛ				
BARK_3	karˈa	korˈa	ku̯ɔ̌ra	kˈuːra	kˈu̯orɒ			kora	kˈɔɾa	kɐrˈa	kˈʊ̯ɔra	skɔ̀ːra	kɔrˈɑ	kɔ̌ːra	kˈɔra	kôra
BARK_4							ʒʲjɛvʲěː									
BELLY_1		tɐrbˈux	tˈr̩buːɦ		tˈɛrbuh							trɛ̀ːbux		tɛrbˈux	tr̩bˈux	tř̩bux
BELLY_2				br̝ˈɪxo	drowb				bʐux		brˈuxɔ					
BELLY_3							pʲǐɫvɐs									
BELLY_4	ʐɨvˈot									ʐɨvˈot			ʒɪʋʲˈit			
BELLY_5								mef								
BELLY_6						væ̂ːdæ̌rs										
BIG_1		ˈɛdɐr							dˈuʐɨ							
BIG_2		ɡolʲˈam						ɡoʎem								
BIG_3						ljɛls	dʲˈɪdʲɛlʲɪs									
BIG_4	vʲælʲˈikʲi		vˈɛliːk~vjělik	vˈɛlkiː	vˈæli~vˈælːi~vˈælik				vʲjˈɛlkʲi		ʋˈɛʎkiː	ʋéːlik	ʋɛɫˈɪkɪi̯	věːli	vêːli	ʋêlik
