	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ARM_1															koomi																			
ARM_2																																		konkabam
ARM_3					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_4		seka									seka							juca		huca														
ARM_5																									nob				nowi					
ARM_6			aŋapɨ					nocat																										
ARM_7																											møtzaca					madzan		
ARM_8	mal							mamat		maʔa		mama		mat							maji~mah		maː				mama	mø		man		maʦon		
ARM_9				maːi̯tl																														
ARM_10									ahkol												mahkul													
ARM_11																															mavoːi̯r			
ARM_12							mwahkaʔa																											
ASH_1		napiso						napsa			nahpiso				naposa												napot							naposa
ASH_2				neʃtli			nasi					nari									nesʧta~neʃti	noʃt									nasit			
ASH_3																		matːe		matʰai̯					matai̯				matai̯					
ASH_4																esija																		
ASH_5																	kutːusːipɨ						kukuht											
ASH_6									kʷonːeʃ								kusːi				neʧ					kuʦːæ				koʃiʃ				
ASH_7			kucapːɨ										kucapɨ						kuʦːapːɨh														kucapːɨ	
ASH_8																								kuːsiːpːɨh										
ASH_9										qøcvi																								
ASH_10	nisxiʃ					wɨʂkiʃ																												
ASH_11														teeliŋiʃ																				
ASH_12																																tonɡul		
ASH_13					etuhsipːɨh																													
ASH_14																												tlakoneʃtliː						
BARK_1			asiaʔa										asiavi													asiaː								
BARK_2										ʦiipɨ																							siʔaːpi	
BARK_3																		hilidaɡa		ɨlidaɡ									ɨldaɡ					
BARK_4																														axoːxoʦ				
BARK_5																																opit~opun		
BARK_6																															ulapet			
BARK_7																					juwajo~ijewaju							jewajutl						
BARK_8				eʔwaːtl					eːwat																									
BARK_9	taʧal~taʃʔa					ʧalal								taaʧi																				
BARK_10					poʔa												puʔa		poʔa					poʔan										
BARK_11								beɡuat							beewa												bewat							bea
BARK_12		kuhe									kahe																							
BARK_13							kucapeʔe									woʔaɡːapɨ																		
BARK_14		eɡoli																					qoʦ		kom									
BELLY_1				iʔtetl																	ihti							hte						
BELLY_2													sapɨi̯vɨ																				sakoipi	
BELLY_3			sapːɨ		sapːɨh	ʂaʔi		panza																sapːɨh		sapːɨ								
BELLY_4																	siː																	
BELLY_5							ʃai̯e																											
BELLY_6																																ʃapuʃt		
BELLY_7								siɡuat																			siɡua							
BELLY_8									poʃ							ɡohi	kohi																	
BELLY_9							huka					huka						voca		voːk					bok				woːk					
BELLY_10								boa		pono									punu											xoːnen~xoːnon				
BELLY_11		ropa									tohpa				topːa								toːʔ											toʔona
BELLY_12														teeʔla																				
BELLY_13	teʔily																																	
BELLY_14												ijamuja																						
BELLY_15																															njolir			
BIG_1					pia											papa	papa		pia					pia		pia								
BIG_2																																	apatːɨ	
BIG_3												epɨpa~epɨnena																						
BIG_4						ai̯ʔaniʃ																												
BIG_5																							atiɨ̯ʔaʦ											
BIG_6										wɨːjoqa	weruma																							
BIG_7		waʔlu													bweʔuru																			bweʔu~buːʔu
BIG_8	amnaʔa						veʔe													ɡɨʔɨd									ɡɨʔɨ					
BIG_9															bweere							wjom						bi̯ejiː						
BIG_10				weːi̯~weʔ					weːji									ɡu~aɡu			wei̯				ɡəʔ		ɡue				wee			
BIG_11								huei̯																										
BIG_12			hokːo										woko																					
BIG_13																														jooiʧ		eɡeːwan		
BIG_14														jot																				
BIRD_1	wikikmal					mukikmal								iheŋmal																				
BIRD_2												wi																						
BIRD_3																											ʧi							
BIRD_4				toːtoːtl					toːtoːciːn												totoʧ	tutut						tututl						
BIRD_5												wiki			wiːkit								wicit									ʧikiːt		wiikit
BIRD_6			wiciʔici										wizikizi													wicɨ							wicici	
BIRD_7								viqui̯tz																										
BIRD_8		ʧuluɡi									ʦuʔruki																							
BIRD_9																				uʔuviɡ					uiʔ				uʔuw̥iɡ					
BIRD_10																	hucipa							hui̯ʦːu										
BIRD_11							pinaʔa									ʦiːpːaʔ																		
BIRD_12					kuʦːuː					ʦiro								uːɡːui̯~uruɡui̯												ʧiʔuː				
BIRD_13																															kolo			
BIRD_14																			kasakantin															
BITE_1																kɨhjɨ																kɨi̯ʔɨt		
BITE_2																		ʦujanta							kɨjaʔ									
BITE_3								queen										ʦuui̯~ʦujui̯																
BITE_4								nequen																										
BITE_5		iʔki																														ɨːɡɨ		
BITE_6	keʔ		kɨʔi			qɨʔɨ	ʧeʔe			kɨːki		ke~kei	kiʔi	koʔi	keʔeje		kɨʔi~kɨi̯			kɨʔɨ			kɨːʔ			kɨʔi			kɨʔi		ke		kɨʔi	keʔe
BITE_7				kecuma~kehcuma					keːhcoma																			kecoma						
BITE_8					kɨccia														kɨcciʔa					kɨcciʔa										
BITE_9											kiʔcu																							
BITE_10																											qui̯quja							
BITE_11																					tankʷa													
BLACK_1		ʧokame									ohconame																							
BLACK_2							ʃuʔumwa																											
BLACK_3															ʧukuli																tokur			ʧukui̯~ʧukuli
BLACK_4						tula										tumːu	tu	tuco~tucu		stuk					ʧuk	tuy			sʧuk			tuːɡu~uːduːɡu		
BLACK_5				tliltik					tiːltik																			tliltiːk						
BLACK_6	tulnek		tupːaka																															
BLACK_7								sovei̯																			sovai̯							
BLACK_8												juwi~pujuwi																						
BLACK_9														juvatai̯							puʃawak									jupiːxaʔ~jopiːxaʔ				
BLACK_10																							tɨnaːraʔn											
BLACK_11					tuhupihtɨ														tuːppihtɨ					tuːppihtɨn										
BLACK_12													tuhukʷidɨ																					
BLACK_13																																	tuukːwatɨ	
BLACK_14										qøymviwsaʔ																								
BLOOD_1															ohbo																			ohbo
BLOOD_2							ʃuureʔe																											
BLOOD_3												zurija																						
BLOOD_4			paɨ̯pːi		pɨːppin								pɨːpi			paː	pɨːpːi		pau̯ppin					pɨːppin		paɨ̯								
BLOOD_5																														xai̯n				
BLOOD_6																				ɨːʔɨr					ɨɨr				ɨːʔɨɖ					
BLOOD_7																		vure															paapːɨ	
BLOOD_8				estli					esti												ehti	est	ɨːʈ͡ʂʈ͡ʂ					jestliː						
BLOOD_9						ɨw				ɨŋwa																								
BLOOD_10	eu̯ily	la						erat			ela			ou̯la				iːrai̯									herat				arat~ava	ɨkʷa		
BONE_1																											ramohudura~ramoɡui̯tzura							
BONE_2																												miːmiːtetl						
BONE_3				omitl					oːmit			ume									umit													
BONE_4			ohopi										ohovɨ			oho	oho									oho							oopɨ	
BONE_5								hoɡua																			oɡua							
BONE_6		oʔʧi								øːqa	oʔa				otːa			oo		oːʔo		ot	oːʦ		aoː				oːʔo		ola~o	on		ota
BONE_7																															hotarak			
BONE_8					ʦuhni														ʦuhmi					ʦuhni										
BONE_9	teʔily					tiʔil																												
BONE_10							kari																											
BONE_11																														ʔeːʔin				
BONE_12														kulaawut																				
BREAST_1		kaso																																
BREAST_2																									tor									
BREAST_3				ʧiʧiwalli					ʧiʧiwaːl												ʧiʧihwal							ʧiʧiːwal						
BREAST_4	pily					pi		viːt						pit									piʔ							pin		piːl		
BREAST_5			pihi		pici					piihɨ	piʔwa	ʦicu	pihivɨ		pipːim	piciʔ	piciʔi~pica	vipːi	pici	vipi				pici	βipiː	piːci			wipi				piipɨ	pipːim
BREAST_6																															wimur			
BREAST_7							ʦiʔime																											
BURN (SOMETHING)_1		i																																
BURN (SOMETHING)_2										ɨwi																								
BURN (SOMETHING)_3															beete																			beete
BURN (SOMETHING)_4					weha														wai̯ja					wai̯hja										
BURN (SOMETHING)_5																		mui̯		mɨhɨ					mɨi̯m				mɨhi					
BURN (SOMETHING)_6	kina					kiʔni																										ʦama~anʒama		
BURN (SOMETHING)_7																pita												ʃutla						
BURN (SOMETHING)_8																														vireːk				
BURN (SOMETHING)_9	naʔ		naʔi										neʔe	naʔ			nai̯~naʔi									naʔai̯n							naʔai̯	
BURN (SOMETHING)_10							taː					ta~tai̯															tʰa							
BURN (SOMETHING)_11		raha		tlatla				tahan			tahai̯										tati~tatia	tati						btlatɪa			taha~tasa			
BURN (SOMETHING)_12														ʧujai									huʔai̯											
BURN (SOMETHING)_13			kucikːi																							kuʦːɨa								
BURN (SOMETHING)_14									toːneːwi																									
CLAW_1																							waʈ͡ʂ											
CLAW_2																																	wəkːuci	
CLAW_3					sito											situ	sasito		masitu					sitoːn		ʃɨcu								
CLAW_4				isteːtl					sti												istit							ste						
CLAW_5	salul	sutu				ʂulʔa	sɨtʲe	sutut		soki	suhtu	zate~zɨte		ʂulat				jutud		hutː~huht					jut		xutu~sutu		huːʧ	ʧur		ʃulunt		sutu
CLAW_6																														esʧut				
CLAW_7			tasicoʔo																															
CLAW_8													taʃtoʔobi																					
CLAW_9															sutukoʧoʔo																			
CLAW_10																															alapor			
CLOUD_1	wewniʃ																						woːŋt											
CLOUD_2																toø																		
CLOUD_3			pakɨnapɨ										kɨnavi						pakɨnapːɨh					pakɨnapːɨh		pakɨnapɨ								
CLOUD_4																				tɨvaːɡ					tɨbaːʔ				ʧɨwaɡi					
CLOUD_5														tuviiʃ																				
CLOUD_6																														akʷaːkin				
CLOUD_7																																paːʃuːmist		
CLOUD_8				miʃtli				mosit	miʃti												mistil							meʃtl			mosit			
CLOUD_9							ai̯tɨri					hai̯witɨri																						
CLOUD_10										oomawɨ																							uwatːipːɨ	
CLOUD_11															naːmu																			naamu~naamuːk
CLOUD_12		nori																																
CLOUD_13						temin					tomoari																							
CLOUD_14																	kumi	jicome																
CLOUD_15					tomːoakatːɨ																													
CLOUD_16																											ryruɡæi							
COLD_1		rula									tula																							
COLD_2	jui̯ma					jui̯																												
COLD_3												haɨ̯tɨze																						
COLD_4													situʔwidɨ																					
COLD_5														pituptuʃ																				
COLD_6				ictik																								ictiːk						
COLD_7								uteen															ɨcɨ				utːe							
COLD_8					ɨi̯cɨʔi											ɨcɨʔɨ	ɨcɨʦːɨ		ɨi̯cɨi̯					ɨi̯cɨʔi								ɨʃɨi̯p		
COLD_9																		jupidi		shɨːp					xɨp				shɨːpid					
COLD_10			sɨjaʔi~sɨtːuʔi						seseːk						sebːe						sesek									ʂuvoʔ	seve		sijaʔi	sebe~seebe
COLD_11																										ʃɨppɨta								
COLD_12																																ʃɨːbt		
COLD_13										sɨːsɨŋwa																								
COLD_14							kɨmwahraraʔa																											
COME_1														haqwaaʧi																				
COME_2																																		kaate
COME_3								hueren																							hase			
COME_4	nek					nɨqɨ																									heko			
COME_5			pipːicɨ										pidɨ																				pici	
COME_6		nolina									ena	nua															vena							
