	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ALL_1	jaːwˈal																			
ALL_2			kʰˈumitʼʲin																	
ALL_3										paj										pˈaja
ALL_4									tʼiː					koːχ						
ALL_5															ʔwiːwaːwahúʔ~ʔwiːwawáw					
ALL_6							nʲaːmat̪									ʔˈuχqat̪				
ALL_7				saːm	kuːmˈu													ʧamʎ̥~ɲaʧˈamʎ̥		
ALL_8						bulˈafʼkaʔ		koːβúɾa												
ALL_9																	naːpˈijo			
ALL_10		panauma											panauma						panauma	
ALL_11												dilˈej								
ASH_1									ʔinoqoʧ											
ASH_2														ʔantˈimak						
ASH_3																χˈojonoχˌo				
ASH_4	no				no							nohˈo					hiːno			
ASH_5				xmʔuɬ			ʔəmpiɬ			hamʔuːʎ										ʔmhˈúˑl~ʔmhˈûˑl
ASH_6								ámtaːp												
ASH_7											malˈaʔ				máhawa					
ASH_8			mˈaʦʼχipa																	
ASH_9						ɬˈabi														
ASH_10													tʼapʔlaːwiʔauna							
BARK_1								máːn						inˈaːiɬ						
BARK_2	kʰwaː				xaːwˈal				qahwaː		kʰˈawaː	ʃewˈa				χwal	kʰˈawːa			
BARK_3																				θpˈîla
BARK_4			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_5				ʂxujˈal																
BARK_6							xaːsəjaɬ													
BARK_7										ʧaθkʷil										
BARK_8						lˈiʃmikʼek														
BARK_9													patʔjauna							
BELLY_1			hˈutʲunew			laɡˈuʔu														
BELLY_2												kʰaʃˈeʔ								
BELLY_3															ʔíʧnit					
BELLY_4				ʔiʧˈu			ət̪uː			iːto								t̪u		
BELLY_5					kʼo						koi					qo				
BELLY_6	mkʰa								ʔuhqʰa								ʔˈukʰːa			
BELLY_7													willa	jaχ					willa	mnˈûˑna
BELLY_8								βiʃβaːn												
BIG_1				pt̪aj														t̪aj		βtˈe
BIG_2	baːtʰˈe	paʦal	ʧˈewːu		baːtʰˈin		ʔiːkuː		bahtʰe	vaʎtajm~vatajm		matˈo	paʦal				bˈahtʰe		paʦal	
BIG_3											tʰˈijin									
BIG_4								kêːʧ						kˈaːkox						
BIG_5						ʔaɡwˈeɡaʔ														
BIG_6																bitˈenikʼ				
BIG_7															kʼimpíʔ					
BIRD_1			tˈiʔira										ʦutʔawi							
BIRD_2	t̪a			ʃa	ʦʼiːjˈa	ɬˈaɡa	ʔaːʂaː		ʦʼiht̪a			ʦʼitʼ		ʃiːk	ʧʼíːʧʼaːx	ʦʼit̪ˈa	ʦʼˈiht̪a	aʔʃˈa~aːʃˈa		ʔʧsˈa
BIRD_3								aʧβiːβ												
BIRD_4										ʔiʧajer~ʔiʧijer										
BIRD_5											ʧʼijit̪kaː									
BITE_1						diɡˈaʔma														
BITE_2														kkˈatχɬa						
BITE_3	kaːnˈe				qaːnˈeː				qane			kanˈe				qne	kˈaːni			
BITE_4							ʧuːkuw			ʧakʲoːk								ʧuːkˈaw		ʧkʲˈo
BITE_5		ʦa		ʂaː									ʦa						ʦa	
BITE_6								paɾ												
BITE_7			utpa																	
BITE_8															táʔuxáwiːk					
BLACK_1						ʔˈumi								kˈoːpoɬ						
BLACK_2												kʰaʦʼˈe					ʃakʼːa			ʔɲˈáː
BLACK_3	kʼli			ɲiːʎ̥			nʲiɬʲ		kʼili	ɲaːʔiːʎ								ɲiʎ̥		
BLACK_4		tapʰalsa									ʧʼihkˈil		tapʰalsa						tahpʰalsa	
BLACK_5			ʧʰˈeleʔi																	
BLACK_6					muːʃˈaqʼ															
BLACK_7																luqʼˈolqʼo				
BLACK_8								ikxáɾamkuniʃ												
BLACK_9															ʔeːpxútáraxiʔ					
BLOOD_1		watʔtuwi											watʔtuwi							
BLOOD_2	baːlˈaj				baːlˈaj				balaj			balˈaj				blaj	bˈaːlaj			
BLOOD_3								áːx							ʔáxta					
BLOOD_4			sˈiʦqʼi	ɲxʷat		laʍˈaʦʼ	ʔəxʷat			ɲahʷat	ʧes			ʔˈaːit				xʷat		ʔhʷˈata
BONE_1			ʦʰʲˈatʰχun																	
BONE_2																jaqʼo				
BONE_3		ʔixtalʔ											ʔixtalʔ						ʔaxtatʔ	
BONE_4										ɲasak										
BONE_5	jaː				j̥a				ʔihjaː		hˈija	jaː					ʔˈiːha			
BONE_6				ɲjaːk			aq								ʔaːkʼ			ak		ʧjˈaˑka
BONE_7														ˈitak						
BONE_8								ípih												
BONE_9						lˈeɡaɬ														
BREAST_1			huʔsˈiʔ																	
BREAST_2																				ɲmˈaja
BREAST_3				xʧkaɾ~ʧxkaɾ														t̪əxkˈar		
BREAST_4					jeːʔˈel						jˈeʔeː~t̪ʰˈeʔeː	jeʔˈeː				wʔel				
BREAST_5													ʦuxpinna							
BREAST_6							iːʧix	iθβaːj							ʔíʧwat					
BREAST_7										iːwa										
BREAST_8														ˈiːsaχiːʃk						
BREAST_9						ɬonʃˈahmaʔ														
BURN (SOMETHING)_1				ʎ̥maɾ			aːɹaːw											aʎ̥mˈar		
BURN (SOMETHING)_2														kaʔˈitax						
BURN (SOMETHING)_3		haʔwiː											haʔwiː						haʔwiː	
BURN (SOMETHING)_4					ʃaːtʼˈoː					tapoːmm										
BURN (SOMETHING)_5								áːhka												tˈu
BURN (SOMETHING)_6									muhkʰujʔ											
BURN (SOMETHING)_7						dibiʔˈeʔma														
CIRCULAR (ROUND IN TWO DIMENSIONS)_1				ɾjaɾ			jaɹəjaɹ											jərjˈar		
CIRCULAR (ROUND IN TWO DIMENSIONS)_2														kpˈɛːtix						
CLAW OR NAIL_1													sukʼuʔliptalla						sukʼuʔnimtanna	
CLAW OR NAIL_2							salʲəxʷuːw											ʃaʎ̥nəpˈuːl		
CLAW OR NAIL_3																				slhβˈoˑ
CLAW OR NAIL_4										iːsaʎkuʎoho										
CLAW OR NAIL_5						ɬaʔnˈaɬuk														
CLAW OR NAIL_6								axpih												
CLAW OR NAIL_7	ʔeːʧʼ				rikʰ				heːʧʼ		hˈeːʧʼa	heʧʼ					heːʧʼ			
CLAW OR NAIL_8														inˈoːsx						
CLAW OR NAIL_9				ɬkaxʷˈaw~ʎ̥kaxʷˈaw												ʔaʃˈab				
CLAW OR NAIL_10															ʔéːraxa					
CLAW OR NAIL_11			pˈolaχot																	
CLOUD_1				kʷiː			ʔəkʷiːj			ʔiːkʷe		pʰut̪ʼ						kʷiː		ʔkʷˈi
CLOUD_2	kʰbaː				xaːbˈo				qʰabaː							xubˈu	kʰˈabʔa			
CLOUD_3														ʔˈoːkaɬa	ʔíːpaːkúʔ					
CLOUD_4											kʰˈaʔbot̪on									
CLOUD_5			hawˈetaʔm																	
CLOUD_6						lummˈawaj														
CLOUD_7								pikxáɾampa												
COLD_1														kaːpɬ						
COLD_2																		ʃuːkˈat		
COLD_3						ʔaʃˈida									ʔisːíkʼ					
COLD_4	kʼiw							áθiːk												
COLD_5			ˈeso																	
COLD_6											ʃˈoʔt̪ʼon	mˈadoː					moʔdotʼ			mˈúni
COLD_7				xsuːɾ			xəʧuːɹ			haʧuːrk										
COLD_8					qaːʦʰˈil											qsˈilit̪				
COLD_9									ʔihjuːm											
COME_1			ˈuwakʰ	jiː			wəjiw			iðiːk	kˈoːn							jiw		jˈûwi
COME_2		ha											ha						ha	
COME_3	waːd								waːd			waːdˈe					hwˈaːd			
COME_4		ni						naː					ni						ni	
COME_5														mˈoka		χolo				
COME_6					qˈoːjuhu															
COME_7						diɡwˈajwo														
COME_8															kʼúːhujikːa					
DIE_1										ipujk										pˈi
DIE_2								iβ												
DIE_3						dimˈaʔma														
DIE_4															kwírikik					
DIE_5	kʼla	tilau	qʼˈe									kʼˈalaː	tilau			qʼalˈal				
DIE_6				mʂpa	muːdˈal		məlaj											məspˈa		
DIE_7									hʧʰojiːʧʼ											
DIE_8																	ʔahʧʰˈoʧi			
DIE_9											muʔkʼˈaːwan									
DIE_10														ʔakχkmiːʔ						
DOG_1	hˈaju				hˈaju				haju			hajˈu				hˈaju	hˈajːu			
DOG_2						ɡalʦˈiki		ʧiʃiːh												
DOG_3		suːsu											suːsu						suːsu	
DOG_4			sˈiʧʼela																	kθˈar
DOG_5				xat			ʔəxat							ʔaχʃ				xat		
DOG_6										hatʧoq										
DOG_7															ʔáːpsu					
DOG_8											boʔlˈaukaː									
DRINK_1				ʂi	qʼˈoː		wəsiː			iθiːm			siː					si	ʦiː	θˈiˑ
DRINK_2			luʔi					iʃ						kˈisi						
DRINK_3															kwíʦːik	biʦʼˈak				
DRINK_4	kʼoʧ								ʔqʼo		kʼˈot̪on	kʼoʧˈi					hˈoʔkʼoj			
DRINK_5						diʃnˈaʔma														
DRY_1				ʂʔaɾ			saːj											sʔaːj		
DRY_2		kʰulsi											kʰulsi						kʰulsi	
DRY_3														kʷkˈoːtix						
DRY_4										iroːvk										rˈuβi
DRY_5	ʧʼaːlˈol				kʼaːlˈol							tʼabˈoʔ			kʼiʦːúr	qʼobo				
DRY_6									ʦʼuwaʧ								mˈukʰːatʼ			
DRY_7						ʔihˈuɬ														
DRY_8			ˈaʧxunmi																	
DRY_9								iβáxɾah												
DRY_10											muʔkʼilin									
EAR_1		malku											malʔku						manʔku	
EAR_2			hˈisama											ˈisɬa						
EAR_3															ʔísaːkʼ					
EAR_4				ʃmaːl			xəmaɬ			ismaʎk								ʃəmˈaʎ̥		smˈalka
EAR_5	ʃma				ʃiːmˈaː				ʃima		ʃˈima	ʃimˈa				xmˈanʦa	ʃiːmˈomo			
EAR_6						lˈaʃʔmas														
EAR_7								tíːβ												
EARTH (SOIL)_1		piːwi											piːwi		tʼárak				piːwi	
EARTH (SOIL)_2																χqo				
EARTH (SOIL)_3	maː		ˈamːa						ʔamaː		ˈamaː	maː					ʔˈamːa			
EARTH (SOIL)_4				mat	kaːj	ɬˈamaʦʼ	ʔəmat̪			ʔamat								mat		mˈât
EARTH (SOIL)_5														ʔant						
EARTH (SOIL)_6								iθíβθaːneːn												
EAT_1					kuːhˈuː												ʧˈuhːu			
EAT_2														kˈiʔit						
EAT_3										ʔiʧamam~ʔiʧamaːm										
EAT_4						didˈeʔma														
EAT_5															kwíʧkuk					
EAT_6	kaːwˈa															qwal				
EAT_7							wəsaːw											saːw		
EAT_8		ma		ma									ma						ma	mˈáˑ
EAT_9			hˈamːa						maʔa		mˈaʔaːn	maʔˈa								
EAT_10								aβ												
EGG_1			ˈanuqʰa															ʃəjˈaʧ		
EGG_2						ɬabˈiʔe														
EGG_3	ʧʼoː				kʼˈo				hiʧʼoː		ʧʼˈo	ʧʼoː				qʼo	hˈiʧʼːo			
EGG_4																				sqˈáwa
EGG_5							ʔuɹ													
EGG_6								úɾuh												
EGG_7				xmˌaʂuʔˈap																
EGG_8										iθʔaw										
EGG_9														iːpχ						
EGG_10															sumpítʼirir					
EYE_1			hˈusot~hˈusu			lˈaʔu														
EYE_2	ʔuj				ʔuj				huʔuj			ʔuj				ʔuj				
EYE_3				ʔijˈu			əjiːw			iːðo				ˈito				jiːw		jˈuˑ
EYE_4		ʦʰuna											ʦʰuna						ʦʰuna	
EYE_5											ui				ʔúj					
EYE_6								júːp												
EYE_7																	huʔːˈukʰbe			
FAR_1														toːχ						twˈaji~twˈaˑji
FAR_2					lˈila															
FAR_3								jiːβ												
FAR_4				kuɾ			ʔəkuɹ											kur		
FAR_5		pʰau										ʧadil	pʰau							
FAR_6															ʔukːáx					
FAR_7										ʔamiːʧk										
FAR_8						ʔaɡulˈiʔ														
FAT (FROM ANIMALS)_1				ʃaj																sˈaja
FAT (FROM ANIMALS)_2										ʔamusaj										
FAT (FROM ANIMALS)_3									ʔihpʰuj								ʔihpʰuj			
FAT (FROM ANIMALS)_4	pʰuj	xaujau	pʰˈiʔa		pʰuj						fˈijin	pʰuj	xaujau			fuj			xaujau	
FAT (FROM ANIMALS)_5															ʔíːnaʔ					
FAT (FROM ANIMALS)_6														iʔˈaχ						
FAT (FROM ANIMALS)_7								aθkúɾit												
FAT (FROM ANIMALS)_8						ʔalmantˈeka														
FEATHER_1				ʃawˈal		laʃˈaɬ				siviːʎ					ʔápːaʔ					wˈala
FEATHER_2											tʰˈa	tʰe		ˈina						
FEATHER_3	ʔi		hˈuto~hˈutːu~hˈutu		jiːʔˈi				hiʔi				puːni			ʔi	hiʔːi		puːni	
FEATHER_4								iːθka												
FIRE_1		ʔauna											ʔauna						ʔauna	
FIRE_2	ho		ˈapu		xo				ʔoho		ˈoho	ho				χo	ʔˈohːo			
FIRE_3							ʔaːw	áːh												
FIRE_4				ʔaʔˈaː						ʔaʔaw										ʔʔˈó
FIRE_5						ɬˈuŋa								ʔamˈak	ʔimːá					
FISH_1	ʃa				ʃa				ʔahʃa			ʃa				xa	ʔˈahʃa			
FISH_2		kalaː									ʃˈakaː		kalaː						kalaːxi	
FISH_3						ɬˈadu				ʔaʧiː										ʔʧˈiˑ
FISH_4				siʔˈiʎ̥																
FISH_5														ʃiχkˈam						
