	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1																nasimi																piniju		
ALL_2		omɑrwɑme				pətɑ̠ʔɑmɑ				sosojɑm		nai̯tɯ~junai̯tɯ			ʦikti				ojoːntɯ~ojoːntɯsɯ~sɯmɯsɯ											owɑ̠̄ʔix			pɑʔɑmɑnuni~pɑʔɑmɑnuktis~mɑnuni	ʦikti
ALL_3							hei̯ʦe	haona					monojo																					
ALL_4	u̠mun		mɑnːo	moʧ~moʧi~iːxkiʧ	ojɯ~ojo			awona	noʧi	sosoj	joma	nai̯		ʧoʔon			noːʔju	βɯʃi	wɯmː	βɯʃ	muʧi	noʧo	puju	ojoːn	vɯʃ	mano~manu	sə	noʧi	wɯs~wɯs		weʦɑ̠t~wesɑ̠t			
ARM_1		seka									seka							juca		huca														
ARM_2					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_3								nocat																										
ARM_4																																		konkabam
ARM_5															koomi																			
ARM_6							mwahkaʔa	mamat	ahkol	maʔa		mama									mahkul						møtzaca~mama				mavoːi̯r	maʦon~madzan		
ARM_7	mal													mat									maː					mø		man				
ARM_8				maːi̯tl																	maji~mah				nob				nowi					
ARM_9			aŋapɨ																															
ASH_1					etuhsipːɨh									teeliŋiʃ																				
ASH_2			kucapːɨ										kucapɨ				kutːusːipɨ		kuʦːapːɨh				kukuht	kuːsiːpːɨh									kucapːɨ	
ASH_3																esija				matʰai̯					matai̯				matai̯	koʃiʃ				
ASH_4				neʃtli			nasi					nari					kusːi	matːe			neʧ~nesʧta~neʃti					kuʦːæ					nasit			
ASH_5	nisxiʃ	napiso				wɨʂkiʃ		napsa	kʷonːeʃ	qøcvi	nahpiso				naposa							noʃt					napot					tonɡul		naposa
