	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
ARM OR HAND_1	tʰiː	ɕi¹	si	siː¹	səi	siː	sei	sɪ³	tʰaj¹	saj¹	tăj¹	siː	siː¹	tai̯³³
ASH_1	ʈɤː	tapɛh¹	tăpɛh		buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vun¹	buːɲ³	plɒː¹	ʈɔː³³
BACK_1		nul⁴	nuol	nuːl⁴										
BACK_2	roŋˀ				lɔŋ	kʰlɨŋ	lʌŋ	takɒŋ³	lɨŋ¹	ləŋ¹	lɨŋ¹	kɔːŋ¹		lɨŋ³³
BARK_1						kdoːk			pɔː⁵	pɔː⁵	pɔ⁵¹		pɒː⁵	vɔː²¹⁴
BARK_2	aɗaˀsʰelːʔ	kupɔk³	kăduhkəʌj					kʰalɒk³⁴				kʰabɔh¹		
BELLY OR STOMACH_1		kuɗɤ̆l¹	kdəl	kudəl¹								kʰaʔal		
BELLY OR STOMACH_2	puŋ				poŋ	kluŋ	poŋ	ɬɔ̰c³⁴	kloːŋ⁴	ploːŋ⁴⁵	puŋ⁴		duːl³	ɓuŋ͡m²¹²
BIG_1					neː	neː	niː					ʔih		
BIG_2		mɤ̤̆m²	mə̯am					kḛ³⁴³			nə̆j⁴			ləːŋ⁴⁵
BIG_3	katɛ̆h													
BIRD_1	iʨiːm	ʔacim¹	ĭcim	ciːm¹	ciːm	ciːm	ciːm	ʔɔ̰³⁴³	ciːm¹	ciːm¹	sɨm¹	ciːm¹	ciːm¹	cim³³
BITE_1					kaːt	kaːt	kaːt							
BITE_2	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴				kĭɳ³⁴³	kaɲ³	kaɲ³	kăn³	tuh³	kam⁴	kăŋ⁴⁵
BLACK_1								ɳɯ̆m³⁴	jəm¹	jəm¹		ɲum²		
BLACK_2	tʰiːu̯	tɛn¹	tɛntɛn	tɛn							tɛn¹			ɗɛːŋ³³
