	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ASH_1					máfu			mou	mohû																												
ASH_2						eijwi																	eiju														
ASH_3				vvu													ifu		vú	vú							ibu										
ASH_4											bombi																	sizi									
ASH_5		asup	asup																										itwe								
ASH_6										ditókua		mputulú																									
ASH_7																		omutoko																			
ASH_8	imìto													butò	bútu											butǒ											
ASH_9																																	éti̍kó				
ASH_10																														nkuma	kʰuma					sùvé	
ASH_11							lota						mulola								lotʰa	pʰulusa		umuɲota	dòtà							mõlõrã		mulora	umlotʰa		umlota
ASH_12																ittuúra																					
BARK_1									ikɔni																kòkó										iǁolo	kókó	íliǁôlo
BARK_2								ekɔndɛ									ikanda				kʰonkotʰa	kʰunɡwa							cikwa								
BARK_3																nikúla		ejula									iɡula										
BARK_4		ebapele	ebap		ibada																																
BARK_5						ekiʃuʃu				kiʃiʃi	kibula			kibàle	ʧízúbú								ekiʃuʃu	iɡiʃiʃwa		kifùsù							óʧípétà				
BARK_6	bós											póso							ɡózi	ɡozi																	
BARK_7													likwati																	rihantí	hatí	kwàtí		ɡwatí			
BELLY_1					nda				nda				mba				ndeu						enda	inda					ida			ḿpá					
BELLY_2						eibundaenda																															
BELLY_3																			mímba	mmba		mímba															
BELLY_4							tumbu									ntʰúkwa		epunda							dùmbù		ŋ̤umbi	tumbo			rúmbú			tʰumbu			
BELLY_5	ì̀fumo	abum	abum							divumu	kivumu	libumu																									
BELLY_6																																	ímò				
BELLY_7								eβu						fu												efù											
BELLY_8															dífu						isisu									kʰwírí					isisu		ìsísù
BELLY_9																																				ɛ̀ì	
BIG_1													tuna																								
BIG_2																										mukàtà											
BIG_3																				kúu	kʰulu	kulu			ɡuru					kúlú					kʰulu		kʰúlù
BIG_4					βaha	hanɡo								kàtà									hanɡo						pati								
BIG_5							kulukulu									wunnuwela																					
BIG_6																			libwávu									kubwa						hulwane			
BIG_7	kalàmbà																														hombé						
BIG_8		anen	nən																																		
BIG_9				nene				nɛ́nɛ̏	nɛ́nɛ	nene	nene	monene			nené		nini	omunene						nini								ɡóló	ne̍nè				
BIG_10																											ale										
BIG_11																																				làí	
BIRD_1																						mbálame								ɲaɲana							
BIRD_2										njila								okaʤila															ónji̍lá				
BIRD_3					ndêje							ndeke					ndeje								ʃìrì			ndeɡe							intaka		
BIRD_4		ônon	onwan																																		
BIRD_5	ìʧoːni			enɲoɲi		ekiɲoɲi	ɲuni	esone	ɲɔni		nuni		ɲuɲuni	koni	ɲúúɲí				ɲúɲi	nùni	injoni		eɲoɲi	iɲoni		kôni	noni				ʧiɲaɲani	nɔ̀ɲánɪ́		ʧinoni		ɲɔ̀dí	íɲònì
BIRD_6																													imujuni								
BIRD_7																mwaánùni																					
BITE_1		lóp	lop																																		
BITE_2												swá																									
BITE_3											ta																										
BITE_4																			remamáɲo	kazamáɲo																	
BITE_5	suma			luma	luma	ruma	luma	ómȁ~óma	róma				luma	sùma	sumá	lúma					luma		ruma	ruma	rúma	sùma	luma	uma	luma	lúma	luma	lʊ́má		luma	luma		lúmà
BITE_6										lumata								lumata				womola											lu̍mánà				
BITE_7																	imara																				
BITE_8																																				bònz	
BLOOD_1														ʃi																		dí					
BLOOD_2		metʧi	məki										mali		máʃí											masè					kʰata						
BLOOD_3				musaaji														ombinzi			iɡazi	ɡazi								nɡátí					iɡazi		íɡàzí
BLOOD_4																			dámu	damu								damu									
BLOOD_5					sakámi			nðakamɛ	θàkàmɛ̀														eʃaɡama														
BLOOD_6																nikʰami																					
BLOOD_7																									ròmbè								ósóndè				
BLOOD_8						obwamba																															
BLOOD_9										maɲinɡa	menɡa																mininɡa										
BLOOD_10												makilá																									
BLOOD_11																																				àndá	
BLOOD_12	ùmulopa						lopa																						bulowa					maloɸa			
BLOOD_13																	usao																				
BLOOD_14																								amaraso													
BONE_1													lisapo								itʰambo									rʱámbó	rámbú	rápɔ́		lirapʰo	itʰambo		îtʰâmbò
BONE_2		eves	eves					eβende	ihéndé		visi																										
BONE_3												mokua							múbwa																		
BONE_4	ifùpa			ɡɡumba	ífupa	eiɡufa	fupa			fuba				mukùpa	múfubá	nikʰúva	ifuwa	esipa		ʃíba		p͡fúpa	eiɡufa	iɡufa	fúfá	mufùfwa	iɡuha	mfupa	ícífuwa				éke̍pá				
BONE_5																																				kúà	
BREAST_1								nɔndɔ	ɲɔ̀ndɔ̀																				nkolo								
BREAST_2					itóombo																																
BREAST_3																		eɡundji																			
BREAST_4							ʒamu				beno														zámú									d̪ámú			
BREAST_5	ibe̍ːlè			bbeele		omabele				diele		libéle	lizwele	bele	díbeelé	ipéle	mawele		béle	béle	ibele	jére	eibeere	ibere		ebèːle	mbele			vélé	vélé	bɛ́lɛ́	éve̍lé		ibele	bɛlɛ́	ibele
BREAST_6		abé	abɛɲ																																		
BREAST_7																												ziwa									
BURN (SOMETHING)_1												etumba	tumbuka																								
BURN (SOMETHING)_2															kóóʃákúóʃá																						
BURN (SOMETHING)_3	pja	dik	ʣiʔi	ɡɡja			ʦʰwa	βeːβja	heːhia		joka			teːma		vja		pja	vùʣa			psa		hiʃa	ʦʋá	fjà			pja	p͡furʱa		ʂwã		huʂa			
BURN (SOMETHING)_4					aka	aka											aka			βa	ʧa		aka				baka	waka					támà		ʧa		ʃa
BURN (SOMETHING)_5										uika																											
BURN (SOMETHING)_6																																				sél	
CLOUD_1				kile			ɡole																		ɡòré									ɡole			
CLOUD_2		nkut	ŋ̍kut					eðwɛɔ																													
CLOUD_3	ìkumbi													diːkumbi															ikkumbi								
CLOUD_4					mavunde											nihútte	irumbe										ilunde						éléndè				
CLOUD_5										dituta		lipáta			dívúbá																						
CLOUD_6											tuti																			papa	refu					kùtú	
CLOUD_7						ekiʧwi												oʃikoɡo	vìŋɡu	biŋɡu	ilifu		ekiʧu	iɡicu		elevu		winɡu									
CLOUD_8									ìtù				lilu																			rù			ifu		ífù
CLOUD_9																						tambo															
COME_1																									buda				boola								
COME_2	isa			jja		ija				iza	uisa			ija	vwá								ija				iza						íjà				
COME_3		zu	zu				ʒa					jà				wa		ja	ʒá	ʤa	za	ʣa		za				ʄa		ta	ta	t͡ɬà		da	za	jè	zà
COME_4					úza			oka	óka																												
COME_5													taha													fìkà											
COME_6																	oriʃo																				
DIE_1								̈a	â																												
DIE_2	fwa	wu	wu	fwa	fwa	fa	fa			fa	fwa	fa	ʃwa	fwà	fwa	kʰwa	fwa	sa	fa	fa	fa	fa	fa	p͡fa	fá	fwǎ	ʧa	fa	fwa	fá	fá	swá	fà	fa	fa	wá	fá
DOG_1									kuro													ɡaru															
DOG_2																					inja														inja		ínjà
DOG_3	imbwà	mvu	mvu	embwa	ḿbwa	embwa	bɡa			mbua	mbwa	mbwá	nja	mbwà	mbwá			ombwa	mbwá	mbwá			embwa	imbwa	imbwá	ḿbwà	mva	mbwa	mubwa			ɲ̀ʧá	ómbwà	mmbwa			
DOG_4																mwalápwa														mbjáná	mbzáná					mbóándé	
DOG_5								ŋɡiteːsolo																													
DOG_6																	ikite																				
DRINK_1												mela		tòma												tòma									sela		pʰuza
DRINK_2	nwa	nju	ɲu	ɲra	ŋwa	ɲwa		ɲẅa	ɲuâ	nua	nwa		nwa		nwa		nwa	nwa	nwa	nwa		mwa	ɲwa	ɲwa	mwá		ŋwa	ɲwa	ɲwa	nwá	nwá	nwá	njwà	nwa		nú	
DRINK_3																					natʰa																
DRINK_4																wúrja																					
EAR_1																			kío	ʃiʃíjo								sikio									
EAR_2										kiiadi						niɲáru																					
EAR_3													zebe								inɮebe									nd͡levé	nd͡levé	ʦɛ̀bɛ́		ndeβe	ind͡ɮebe		índ͡ɮʱèbé
EAR_4	ukùtwi			kutu	íkutu	okutwi		koto	ɣoto		kutu			kutwì			kuri	okuʦi				kʰutu	okutu	uɡutwi			ɡutu		kutwi								
EAR_5		alo	alɔ									litoi			díʧí										itwí	etwì							étwɪ				
EAR_6																																				lóè	
EARTH (SOIL)_1									téːri		ntoto						uteri																				
EARTH (SOIL)_2														lobà								dotʰe															
EARTH (SOIL)_3					iloóŋɡo														doŋɡó	doŋɡó							bulonɡo	udonɡo									
EARTH (SOIL)_4				ttaka		eitaka										ittʰája							eitaka														
EARTH (SOIL)_5								moðaŋɡa													umɬabatʰi									misává	misává				umɬaba		úḿɬâbà
EARTH (SOIL)_6															búlóbá																						
EARTH (SOIL)_7		si	si				vu																		iv̤u									mavu			
EARTH (SOIL)_8										iʃi														isi													
EARTH (SOIL)_9												nansé	fafasi					pevi								paʃi							pósì			vàsé	
EARTH (SOIL)_10	ùmusilì																																				
EAT_1	lja	di	ʣi		lja	lʲa	ja	ja̋	reâ		dia	lía	ʧa	djà	dja	lja	la	lja	la	la	ɮa	dia	rʲa	rʲa	djá	djǎ		la	lja	djá	ɡá	ʤá	ljà	la	tja	dì	ɮʱá
EAT_2										zuela																											
EGG_1								etumbe	itúmbé																									ɡumba			
EGG_2					iɡáaŋka																iǃanda									tanʣá	tanʣá		ésa̍là		iǃanda		íǃàndá
EGG_3							ɡai										ijai		ʒwaí	ʤwaí					zàí			jai									
EGG_4										ba																											
EGG_5						eihuli																	eihuri														
EGG_6																nijóʧe																					
EGG_7		atji	aki	ɡɡi														eji						iɡi		ejì	iɡi		iji							kɛ́í	
EGG_8													lii	dì																							
EGG_9											diakì	likɛi			díjí							ʣira															
EGG_10	ilìni																																				
EGG_11																																ɪ́					
EYE_1	ilìnso	dis	ʣis	luso	líiso	eliiʃo	eʃo	iːðɔ	ríːθɔ		disu	líso	liito	dîːso	dîsú	usu	iriso	eho	ʣíʦo	ʣíʦo	iliɬo	díso	eriiʃo	ijiʃo	zísó	eìso	liso	ʄiʧo	lisi	tíɬó	tíɬó	ít͡ɬʰɔ́	ísò	lito		ísɔ̀	îsó
EYE_2																																			iliɬoameɬo		
EYE_3										meɲa																											
FEATHER_1																	mafuli																				
FEATHER_2																															limbáví						
FEATHER_3							siba														upʰapʰe								ipepe			fàfá			upʰapʰe		upape
FEATHER_4			endəŋ					eβwea																													
FEATHER_5																			púzi	uβuzi						lusǒ											
FEATHER_6					maweha											ǹtɛ́nka						ntʰenɡa			mun̤ènɡá									mutʰenɡa			
FEATHER_7						ebjoja			ruɔjá									olwenja					ebjoja	ubwoja			boja	uɲoja					éɲa̍				
FEATHER_8				kjooja																																	
FEATHER_9											nsala	lonsálá		sala	lúsala																					sálá	
FEATHER_10										kisiba			lifufa																	risívá							
FEATHER_11		asaé																																			
FEATHER_12	ìlisako																																				
FINGERNAIL_1						mpambo																kʰádabo															
FINGERNAIL_2	iljàla			lwala			ɲala		roára	kiala			linala	djàːlà		ɛkátʰa							ekjara	urwara	nzara	lwâla	njala		lwala	ŋwálá		nálá		lwala			
FINGERNAIL_3											luzala	linzaka			lúzadí			olunjala															ólúudjálà				
FINGERNAIL_4								waa																													
FINGERNAIL_5																	uʃaa																				
FINGERNAIL_6					ŋkombazala																																
FINGERNAIL_7		jaé	ʣɛɲ																	fuu																	
FINGERNAIL_8																			kófu																	tùkù	
FINGERNAIL_9																					uzipʰo														uzipʰo		uzipo
FINGERNAIL_10																												ukuʧa									
FIRE_1															kápja											kâlo											
FIRE_2		nduan	nduan																														óndálu̍				
FIRE_3										tubia																											
FIRE_4											tija																										
