	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1																nasimi																piniju		
ALL_2	u̠mun		mɑnːo	moʧ~moʧi~iːxkiʧ	ojɯ~ojo			awona	noʧi	sosoj	joma	nai̯̯tɯ~junai̯̯tɯ~nai̯̯		ʧoʔon	ʦikti		noːʔju	βɯʃi	wɯmː	βɯʃ	muʧi	noʧo	puju	ojoːn	vɯʃ	mano~manu	sə	noʧi	wɯs~wɯs	owɑ̠̄ʔix	weʦɑ̠t~wesɑ̠t			ʦikti
ALL_3							hei̯̯ʦe	haona					monojo																					
ALL_4		omɑrwɑme				pətɑ̠ʔɑmɑ				sosojɑm									ojoːntɯ~ojoːntɯsɯ~sɯmɯsɯ														pɑʔɑmɑnuni~pɑʔɑmɑnuktis~mɑnuni	
ARM_1		seka									seka							juca		huca														
ARM_2					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_3								nocat																										
ARM_4																																		konkabam
ARM_5															koomi																			
ARM_6								mamat	ahkol	maʔa		mama									mahkul						møtzaca~mama				mavoːi̯̯r	maʦon~madzan		
ARM_7							mwahkaʔa																											
ARM_8	mal			maːi̯̯t͡ɬ										mat							maji		maː					mø		man				
ARM_9																					mah				nob				nowi					
ARM_10			aŋapɨ																															
ASH_1					etuhsipːɨh									teeliŋiʃ																				
ASH_2																																tonɡul		
ASH_3																												t͡ɬakoneʃt͡ɬiː						
ASH_4			kucapːɨ										kucapɨ						kuʦːapːɨh					kuːsiːpːɨh									kucapːɨ	
ASH_5																	kutːusːipɨ						kukuht											
ASH_6																esija		matːe		matʰai̯̯					matai̯̯				matai̯̯	koʃiʃ				
ASH_7				neʃt͡ɬi			nasi					nari					kusːi				neʧ~nesʧta~neʃti	noʃt				kuʦːæ								
ASH_8	nisxiʃ	napiso				wɨʂkiʃ		napsa	kʷonːeʃ	qøcvi	nahpiso				naposa												napot				nasit			naposa
BARK_1																							qoʦ		kom									
BARK_2		eɡoli																																
BARK_3		kuhe									kahe																							
BARK_4					poʔa												puʔa		poʔa					poʔan										
BARK_5								beɡu̯at	eːwat						beewa												bewat							
BARK_6																																		bea
BARK_7																																opit~opun		
BARK_8			asiaʔa	eʔwaːt͡ɬ									asiavi							ɨlidaɡ						asiaː			ɨldaɡ	axoːxoʦ				
BARK_9	taʧal~taʃʔa					ʧalal																												
BARK_10														taaʧi																				
BARK_11							kucapeʔe									woʔaɡːapɨ															ulapet			
BARK_12										ʦiipɨ											juwajo~ijewaju							jewajut͡ɬ					siʔaːpi	
BARK_13																		hilidaɡa																
BELLY_1				iʔtet͡ɬ																	ihti							hte						
BELLY_2								siɡu̯at					sapɨi̯̯vɨ														siɡu̯a						sakoi̯pi	
BELLY_3							ʃai̯̯e										siː																	
BELLY_4			sapːɨ		sapːɨh	ʂaʔi																		sapːɨh		sapːɨ						ʃapuʃt		
BELLY_5										pono									punu															
BELLY_6								panza						teeʔla																				
BELLY_7												ijamuja																						
BELLY_8	teʔily																													xoːnen~xoːnon				toʔona
BELLY_9																															njolir			
BELLY_10								boa	poʃ							ɡohi	kohi																	
BELLY_11							huka					huka						voca		voːk					bok				woːk					
BELLY_12		ropa									tohpa				topːa								toːʔ											
BIG_1																papa	papa																	
BIG_2					pia														pia					pia		pia								
BIG_3																		ɡu~aɡu									ɡue							
BIG_4										wɨːjoqa	weruma	epɨpa~epɨnena																				eɡeːwan		
BIG_5				weːi̯̯~weʔ				huei̯̯	weːji					jot							wei̯̯	wjom			ɡəʔ			bi̯ejiː		jooi̯ʧ	wee			
BIG_6			hokːo				veʔe						woko							ɡɨʔɨd									ɡɨʔɨ					buːʔu
BIG_7		waʔlu													bweʔuru~bweere																			bweʔu
BIG_8						ai̯̯ʔaniʃ																	atiɨ̯̯ʔaʦ											
BIG_9																																	apatːɨ	
BIG_10	amnaʔa																																	
BIRD_1		ʧuluɡi	wiciʔici								ʦuʔruki		wizikizi																				wicici	
BIRD_2				toːtoːt͡ɬ					toːtoːciːn											uʔuviɡ	totoʧ	tutut						tutut͡ɬ	uʔuw̥iɡ					
BIRD_3												wi															ʧi							
