	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ASH_1	no				no							nohˈo					hiːno			
ASH_2			mˈaʦʼχipa								malˈaʔ				máhawa					
ASH_3									ʔinoqoʧ					ʔantˈimak						
ASH_4																χˈojonoχˌo				
ASH_5				xmʔuɬ			ʔəmpiɬ	ámtaːp		hamʔuːʎ										ʔmhˈúˑl~ʔmhˈûˑl
ASH_6						ɬˈabi														
ASH_7													tʼapʔlaːwiʔauna							
BARK_1				ʂxujˈal		lˈiʃmikʼek														
BARK_2			hˈipχaʧʼi~hˈipːχaʧi				xaːsəjaɬ			ʧaθkʷil				inˈaːiɬ						θpˈîla
BARK_3								máːn				ʃewˈa								
BARK_4	kʰwaː				xaːwˈal				qahwaː		kʰˈawaː					χwal	kʰˈawːa			
BARK_5													patʔjauna							
BELLY_1						laɡˈuʔu														
BELLY_2								βiʃβaːn												
BELLY_3			hˈutʲunew												ʔíʧnit					
BELLY_4													willa						willa	mnˈûˑna
BELLY_5												kʰaʃˈeʔ		jaχ						
BELLY_6	mkʰa								ʔuhqʰa								ʔˈukʰːa			
BELLY_7				ʔiʧˈu			ət̪uː			iːto										
BELLY_8					kʼo											qo		t̪u		
BELLY_9											koi									
BIG_1						ʔaɡwˈeɡaʔ									kʼimpíʔ					
BIG_2	baːtʰˈe		ʧˈewːu	pt̪aj	baːtʰˈin		ʔiːkuː	kêːʧ	bahtʰe			matˈo					bˈahtʰe			βtˈe
BIG_3		paʦal											paʦal						paʦal	
BIG_4										vaʎtajm~vatajm	tʰˈijin			kˈaːkox		bitˈenikʼ				
BIG_5																		t̪aj		
BIRD_1	t̪a			ʃa			ʔaːʂaː											aʔʃˈa~aːʃˈa		ʔʧsˈa
BIRD_2								aʧβiːβ		ʔiʧajer~ʔiʧijer										
BIRD_3													ʦutʔawi							
BIRD_4			tˈiʔira								ʧʼijit̪kaː									
BIRD_5					ʦʼiːjˈa	ɬˈaɡa			ʦʼiht̪a			ʦʼitʼ		ʃiːk	ʧʼíːʧʼaːx	ʦʼit̪ˈa	ʦʼˈiht̪a			
BITE_1						diɡˈaʔma														
BITE_2														kkˈatχɬa						
BITE_3		ʦa		ʂaː									ʦa						ʦa	
BITE_4	kaːnˈe				qaːnˈeː		ʧuːkuw		qane	ʧakʲoːk		kanˈe				qne	kˈaːni	ʧuːkˈaw		ʧkʲˈo
BITE_5								paɾ												
BITE_6			utpa																	
BITE_7															táʔuxáwiːk					
BLACK_1								ikxáɾamkuniʃ							ʔeːpxútáraxiʔ					
BLACK_2		tapʰalsa									ʧʼihkˈil		tapʰalsa						tahpʰalsa	
BLACK_3																luqʼˈolqʼo				
