Gloss	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_				iːxkiʧ															wɯmː~sɯmɯsɯ															
ALL_121_all-1					ojɯ~ojo												noːʔju		ojoːntɯ~ojoːntɯsɯ					ojoːn										
ALL_121_all-10																																piniju		
ALL_121_all-11				moʧ~moʧi					noʧi												muʧi	noʧo						noʧi						
ALL_121_all-12																											sə							
ALL_121_all-13															ʦikti																			ʦikti
ALL_121_all-14								awona~haona																										
ALL_121_all-15												nai̯̯tɯ~junai̯̯tɯ~nai̯̯																						
ALL_121_all-16							hei̯̯ʦe																											
ALL_121_all-17											joma																							
ALL_121_all-18		omɑrwɑme																																
ALL_121_all-19																		βɯʃi		βɯʃ					vɯʃ				wɯs		weʦɑ̠t~wesɑ̠t			
ALL_121_all-2										sosojɑm~sosoj																								
ALL_121_all-3			mɑnːo										monojo													mano~manu							pɑʔɑmɑnuni~pɑʔɑmɑnuktis~mɑnuni	
ALL_121_all-4																nasimi																		
ALL_121_all-5						pətɑ̠ʔɑmɑ																												
ALL_121_all-6	u̠mun																																	
ALL_121_all-7														ʧoʔon																				
ALL_121_all-8																							puju											
ALL_121_all-9																														owɑ̠̄ʔix				
ARM_																					maji~mah						mama							
ARM_54_arm-1					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_54_arm-2	mal			maːi̯̯t͡ɬ			mwahkaʔa	mamat~nocat		maʔa		mama		mat							mahkul		maː				møtzaca	mø		man	mavoːi̯̯r	maʦon~madzan		
ARM_54_arm-3		seka									seka							juca		huca														
ARM_54_arm-4															koomi																			konkabam
ARM_54_arm-6																									nob				nowi					
ARM_54_arm-7									ahkol																									
ARM_54_arm-8			aŋapɨ																															
ASH_97_ash-1			kucapːɨ		etuhsipːɨh								kucapɨ				kutːusːipɨ~kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ							kucapːɨ	
ASH_97_ash-10		napiso						napsa			nahpiso				naposa												napot							naposa
ASH_97_ash-12												nari																						
ASH_97_ash-3														teeliŋiʃ																		tonɡul		
ASH_97_ash-4	nisxiʃ			neʃt͡ɬi			nasi		kʷonːeʃ												neʧ~nesʧta~neʃti	noʃt						t͡ɬakoneʃt͡ɬiː			nasit			
ASH_97_ash-5										qøcvi																				koʃiʃ				
ASH_97_ash-6																		matːe		matʰai̯̯					matai̯̯				matai̯̯					
ASH_97_ash-7																esija																		
ASH_97_ash-8																							kukuht											
ASH_97_ash-9						wɨʂkiʃ																												
BARK_		eɡoli																																
BARK_29_bark-1					poʔa											woʔaɡːapɨ	puʔa		poʔa					poʔan										
BARK_29_bark-10										ʦiipɨ																								
BARK_29_bark-11																									kom									
BARK_29_bark-12								beɡu̯at							beewa												bewat							bea
BARK_29_bark-2			asiaʔa										asiavi													asiaː							siʔaːpi	
BARK_29_bark-3							kucapeʔe																qoʦ							axoːxoʦ				
BARK_29_bark-4	taʧal~taʃʔa													taaʧi																				
BARK_29_bark-5																		hilidaɡa		ɨlidaɡ									ɨldaɡ					
BARK_29_bark-6				eʔwaːt͡ɬ					eːwat												juwajo~ijewaju							jewajut͡ɬ			ulapet			
BARK_29_bark-7		kuhe									kahe																							
BARK_29_bark-8																																opit~opun		
BARK_29_bark-9						ʧalal																												
BELLY_								boa~panza									siː																	
BELLY_56_belly-1																ɡohi	kohi																sakoi̯pi	
BELLY_56_belly-2										pono								voca	punu	voːk					bok				woːk		njolir			
BELLY_56_belly-3			sapːɨ		sapːɨh	ʂaʔi	ʃai̯̯e					ijamuja	sapɨi̯̯vɨ											sapːɨh		sapːɨ						ʃapuʃt		
BELLY_56_belly-4		ropa									tohpa				topːa																			toʔona
BELLY_56_belly-5									poʃ																									
BELLY_56_belly-6								siɡu̯at																			siɡu̯a							
BELLY_56_belly-7				iʔtet͡ɬ																	ihti							hte						
BELLY_56_belly-8	teʔily													teeʔla									toːʔ											
BELLY_56_belly-9							huka					huka																		xoːnen~xoːnon				
BIG_5_big-1																papa	papa																	
BIG_5_big-10						ai̯̯ʔaniʃ																												
BIG_5_big-11												epɨpa~epɨnena																						
BIG_5_big-2					pia														pia					pia		pia								
BIG_5_big-3			hokːo										woko																					
BIG_5_big-4														jot																jooi̯ʧ				
BIG_5_big-5		waʔlu		weːi̯̯~weʔ			veʔe	huei̯̯	weːji	wɨːjoqa	weruma				bweʔuru~bweere			ɡu~aɡu		ɡɨʔɨd	wei̯̯	wjom			ɡəʔ		ɡue	bi̯ejiː	ɡɨʔɨ		wee			bweʔu~buːʔu
BIG_5_big-6																																	apatːɨ	
BIG_5_big-7																																eɡeːwan		
BIG_5_big-8																							atiɨ̯̯ʔaʦ											
BIG_5_big-9	amnaʔa																																	
BIRD_																																ʧikiːt		
BIRD_24_bird-1																ʦiːpːaʔ	hucipa																	
BIRD_24_bird-10														iheŋmal																				
BIRD_24_bird-11																														ʧiʔuː				
BIRD_24_bird-12										ʦiro																								
BIRD_24_bird-13																											ʧi							
BIRD_24_bird-14																															kolo			
BIRD_24_bird-15							pinaʔa																											
BIRD_24_bird-16																			kasakantin															
BIRD_24_bird-2					kuʦːuː																			hui̯̯ʦːu										
BIRD_24_bird-3			wiciʔici										wizikizi										wicit			wicɨ							wicici	
BIRD_24_bird-4	wikikmal							viqui̯̯tz				wiki~wi			wiːkit																			wiikit
