ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Cahuilla,Cahuilla,cahu1264,Cahuilla,chl,North America,33.5324,-116.691,Uto-Aztecan,119,126
Tarahumara,Central Tarahumara,cent2131,Central Tarahumara,tar,North America,27.5648,-107.154,Uto-Aztecan,121,139
Chemehuevi,Chemehuevi,chem1251,Chemehuevi,ute,North America,35.356093,-116.438436,Uto-Aztecan,119,135
ClassicalAztec,Classical Nahuatl,clas1250,Classical Nahuatl,nci,North America,19.72,-96.97,Uto-Aztecan,121,138
Comanche,Comanche,coma1245,Comanche,com,North America,34.0,-101.0,Uto-Aztecan,121,128
Cupeno,Cupeño,cupe1243,Cupeño,cup,North America,33.3148,-116.515,Uto-Aztecan,120,126
Cora,El Nayar Cora,elna1235,El Nayar Cora,crn,North America,22.4099,-104.467,Uto-Aztecan,121,134
Eudeve,Eudeve,eude1234,Eudeve,opt,North America,28.5,-110.0,Uto-Aztecan,119,149
AztecZacapoaxtla,Highland Puebla Nahuatl,high1278,Highland Puebla Nahuatl,azz,North America,20.1554,-97.5556,Uto-Aztecan,116,125
Hopi,Hopi,hopi1249,Hopi,hop,North America,35.7653,-110.535,Uto-Aztecan,121,129
Guarijio,Huarijío,huar1255,Huarijio,var,North America,27.8685,-108.437,Uto-Aztecan,121,124
Huichol,Huichol,huic1243,Huichol,hch,North America,21.954,-104.062,Uto-Aztecan,112,155
Kawaiisu,Kawaiisu,kawa1283,Kawaiisu,xaw,North America,36.0538,-118.679,Uto-Aztecan,121,145
Luiseno,Luiseño,luis1253,Luiseno-Juaneño,lui,North America,33.3184,-116.939,Uto-Aztecan,121,129
Mayo,Mayo,mayo1264,Mayo,mfy,North America,26.4522,-108.981,Uto-Aztecan,121,129
Mono,Mono,mono1275,Mono (USA),mnr,North America,37.1935,-119.347,Uto-Aztecan,121,127
NorthernPaiute,Northern Paiute,nort2954,Northern Paiute,pao,North America,40.0799,-119.536,Uto-Aztecan,121,154
NorthernTepehuan,Northern Tepehuan,nort2959,Northern Tepehuan,ntp,North America,26.4348,-107.379,Uto-Aztecan,120,151
Pannamint,Panamint,pana1305,Panamint,par,North America,36.0007,-117.901,Uto-Aztecan,121,136
PimaDeOnavas,Pima Bajo,pima1248,Pima Bajo,ood,North America,28.654,-108.326,Uto-Aztecan,121,143
Pipil,Pipil,pipi1250,Pipil,ppl,North America,13.8931,-89.443,Uto-Aztecan,117,144
AztecPochutla,Pochutec,poch1244,Pochutec,xpo,North America,15.735073,-96.468076,Uto-Aztecan,59,61
Serrano,Serrano,serr1255,Serrano,ser,North America,33.9479,-116.772,Uto-Aztecan,120,133
ShoshoniGosiute,Shoshoni,gosi1242,Gosiute,shh,North America,39.848,-114.0255,Uto-Aztecan,121,129
SoutheasternTepehuan,Southeastern Tepehuan,sout2976,Southeastern Tepehuan,stp,North America,23.1584,-103.983,Uto-Aztecan,115,116
SouthernPaiute,Southern Paiute,sout2969,Southern Paiute,ute,North America,37.0,-114.0,Uto-Aztecan,120,134
Opata,Teguima,opat1246,Teguima,opt,North America,31.15211,-110.06212,Uto-Aztecan,107,139
AztecTetelcingo,Tetelcingo Nahuatl,tete1251,Tetelcingo Nahuatl,nhg,North America,18.8854,-98.893,Uto-Aztecan,119,143
Papago,Tohono O'odham,toho1245,Tohono O'odham,ood,North America,31.7973,-111.995,Uto-Aztecan,121,133
Gabrielino,Tongva,tong1329,Tongva,ser,North America,34.1,-118.11,Uto-Aztecan,110,127
Tubar,Tubar,tuba1279,Tubar,tbu,North America,30.0,-111.0,Uto-Aztecan,111,156
Tubatulabel,Tübatulabal,tuba1278,Tübatulabal,tub,North America,35.327,-117.163,Uto-Aztecan,120,161
SouthernUte,Ute,utee1244,Ute,ute,North America,38.0,-109.0,Uto-Aztecan,120,132
Yaqui,Yaqui,yaqu1251,Yaqui,yaq,North America,29.9446,-110.681,Uto-Aztecan,121,143
