Language_ID,Feature_ID,IPA,Value
Cocopa,COLD,xsuːɾ,1
Ipai,COLD,xəʧuːɹ,1
Mohave,COLD,haʧuːrk,1
Tipai,COLD,ʃuːkˈat,2
Yavapai,COLD,mˈúni,3
Cocopa,DOG,xat,4
Ipai,DOG,ʔəxat,4
Mohave,DOG,hatʧoq,4
Tipai,DOG,xat,4
Yavapai,DOG,kθˈar,5
Cocopa,KNOW (SOMETHING),ʔuːjˈaː,6
Tipai,KNOW (SOMETHING),uːjˈaːw,6
Ipai,KNOW (SOMETHING),n̪uɹ,7
Mohave,KNOW (SOMETHING),suːpawm,8
Yavapai,KNOW (SOMETHING),spˈo,8
Cocopa,CLOUD,kʷiː,9
Ipai,CLOUD,ʔəkʷiːj,9
Mohave,CLOUD,ʔiːkʷe,9
Tipai,CLOUD,kʷiː,9
Yavapai,CLOUD,ʔkʷˈi,9
Cocopa,FOOT,ʔimˈiː,10
Ipai,FOOT,əmilʲ,10
Mohave,FOOT,iːme,10
Tipai,FOOT,miː,10
Yavapai,FOOT,mˈi,10
Cocopa,NECK,mpuk,11
Ipai,NECK,iːpuk,11
Ipai,NECK,əjəpuk,11
Tipai,NECK,iːpˈuk,11
Mohave,NECK,maʎaqe,12
Yavapai,NECK,mlqˈí,12
Cocopa,STONE,xuːɾ,13
Ipai,STONE,ʔəwilʲ,14
Mohave,STONE,ʔaviː,14
Tipai,STONE,wiː,14
Yavapai,STONE,ʔwˈíˑ,14
Cocopa,WIND,ʧxa,15
Mohave,WIND,mataha,15
Mohave,WIND,matha,15
Tipai,WIND,mat̪xˈa,15
Yavapai,WIND,mˌathˈaja,15
Yavapai,WIND,mˌathˈâːja,15
Yavapai,WIND,mˌathˈája,15
Ipai,WIND,jaːjp,16
Cocopa,KNEE,ʔimˈiːtaːkˈaːɲ,17
Ipai,KNEE,məxət̪un̪,18
Ipai,KNEE,xəmət̪un̪,18
Mohave,KNEE,iːmemipuk,19
Tipai,KNEE,miːnəpˈuk,19
Yavapai,KNEE,mipˈúk,19
Cocopa,WHITE,xmaːʎ̥,20
Ipai,WHITE,n̪əməʂap,21
Mohave,WHITE,ɲamasav,21
Tipai,WHITE,ɲəmʃˈap,21
Yavapai,WHITE,ɲmsˈaβi,21
Cocopa,EAT,ma,22
Mohave,EAT,ʔiʧamam,22
Mohave,EAT,ʔiʧamaːm,22
Yavapai,EAT,mˈáˑ,22
Ipai,EAT,wəsaːw,23
Tipai,EAT,saːw,23
Cocopa,HEAVY,ɲix,24
Ipai,HEAVY,wən̪ix,24
