Language_ID,Feature_ID,IPA,Value
Beijing,COLD,ləŋ²¹⁴,1
Changsha,COLD,lən⁴¹,1
Chengdu,COLD,nən⁵³,1
Guangzhou,COLD,laŋ²³,1
Guilin,COLD,lei²³,1
Ha'erbin,COLD,ləŋ²¹³,1
Jinan,COLD,ləŋ⁴⁵,1
Jixi,COLD,nẽ²¹³,1
Loudi,COLD,njɔ̃⁴²,1
Meixian,COLD,laŋ³³,1
Nanchang,COLD,laŋ²¹³,1
Nanjing,COLD,lən¹¹,1
Rongcheng,COLD,ləŋ²¹⁴,1
Suzhou,COLD,la²³¹,1
Taiyuan,COLD,ləŋ⁵³,1
Wenzhou,COLD,ljɛ²⁴²,1
Xi'an,COLD,ləŋ⁵³,1
Xiamen,COLD,liŋ⁵³,1
Fuzhou,COLD,kaŋ⁵³,2
Xiamen,COLD,kwã²⁴,2
Fuzhou,COLD,tɔyŋ²¹²,3
Fuzhou,COLD,ʦʰiŋ²¹²,4
Xiamen,COLD,ʦʰin²¹,4
Beijing,WIDE,kʰwan⁵⁵,5
Changsha,WIDE,kʰõ³³,5
Chengdu,WIDE,kʰwan⁴⁵,5
Fuzhou,WIDE,kʰwaŋ⁵⁵,5
Guangzhou,WIDE,fun⁵⁵,5
Guilin,WIDE,kʰwã⁴²,5
Ha'erbin,WIDE,kʰwan⁴⁴,5
Jinan,WIDE,kʰwæ̃²¹⁴,5
Jixi,WIDE,kʰwɔ⁵⁵,5
Loudi,WIDE,kʰwẽ⁴⁴,5
Meixian,WIDE,fat¹,5
Nanchang,WIDE,kʰwon⁴²,5
Nanjing,WIDE,kʰwɑ̃³¹,5
Rongcheng,WIDE,kʰwɐn⁵²,5
Suzhou,WIDE,kʰwəʔ⁴,5
Taiyuan,WIDE,kʰwæ̃²¹,5
Wenzhou,WIDE,kʰo⁴¹,5
Xi'an,WIDE,kʰwæ̃²¹,5
Xiamen,WIDE,kʰwaʔ³²,5
Fuzhou,WIDE,kʰwaʔ²⁴,6
Beijing,DOG,kou²¹⁴,7
Changsha,DOG,kəu⁴¹,7
Chengdu,DOG,kəu⁵³,7
Guangzhou,DOG,kɐu³⁵,7
Guilin,DOG,kai²³,7
Ha'erbin,DOG,kou²¹³,7
Jinan,DOG,kou⁴⁵,7
Jixi,DOG,ki²¹³,7
Loudi,DOG,tjɤ⁴²,7
Meixian,DOG,keu³¹,7
Nanchang,DOG,kjɛu²¹³,7
Nanjing,DOG,kəɯ¹¹,7
Rongcheng,DOG,kou²¹³,7
Suzhou,DOG,kʏ⁵²,7
Taiyuan,DOG,kəu⁵³,7
Wenzhou,DOG,kau²⁴²,7
Xi'an,DOG,kou⁵³,7
Xiamen,DOG,kau⁵³,7
Fuzhou,DOG,kʰɛiŋ³²,8
Fuzhou,DOG,kʰɛiŋ³²ŋjaŋ³²,9
Beijing,KNOW (SOMETHING),ʈ͡ʂɻ̩⁵⁵tɑu⁵¹,10
Changsha,KNOW (SOMETHING),ʦɹ̩³³tau⁵⁵,10
Guangzhou,KNOW (SOMETHING),ʦi³³tou²²,10
Ha'erbin,KNOW (SOMETHING),ʈ͡ʂɻ̩⁴⁴tau⁵³,10
Jinan,KNOW (SOMETHING),ʈ͡ʂɻ̩²¹⁴tɔ³¹,10
Nanjing,KNOW (SOMETHING),ʈ͡ʂɻ̩³¹tɔ⁴⁴,10
Rongcheng,KNOW (SOMETHING),ʧi⁵²tau³³⁴,10
Taiyuan,KNOW (SOMETHING),ʦɹ̩²¹tau⁴⁵,10
Xi'an,KNOW (SOMETHING),ʈ͡ʂɻ̩²¹tɑu⁰,10
Changsha,KNOW (SOMETHING),ɕjau⁴¹tə⁰,11
Chengdu,KNOW (SOMETHING),ɕjau⁵³te²¹,11
Guilin,KNOW (SOMETHING),ɕjɑu²³tja⁵⁵,11
Jixi,KNOW (SOMETHING),ɕje²¹³tje⁴⁴,11
Loudi,KNOW (SOMETHING),ɕjɤ²¹te¹³,11
Meixian,KNOW (SOMETHING),ti³³tet¹,11
Nanchang,KNOW (SOMETHING),ɕjɛu²¹³tɛt⁰,11
Suzhou,KNOW (SOMETHING),ɕjæ⁵²təʔ⁰,11
Wenzhou,KNOW (SOMETHING),ɕja²⁴²te⁰,11
Chengdu,KNOW (SOMETHING),toŋ⁵³no²¹,12
Fuzhou,KNOW (SOMETHING),pɛiʔ²⁴twoŋ⁵³,13
Fuzhou,KNOW (SOMETHING),ɛ²⁴²hjeu³²,14
Fuzhou,KNOW (SOMETHING),ɛ²⁴²paiʔ²⁴,15
Xiamen,KNOW (SOMETHING),ʦai⁵⁵jã⁵³,16
Beijing,CLOUD,yn³⁵,17
Changsha,CLOUD,yn¹³,17
Chengdu,CLOUD,yn²¹,17
Fuzhou,CLOUD,huŋ⁵³,17
Guangzhou,CLOUD,wɐn²¹,17
Guilin,CLOUD,yŋ²²,17
Jinan,CLOUD,ɥẽ⁵³,17
Jixi,CLOUD,ɥɑ̃⁴⁴,17
Loudi,CLOUD,un¹³,17
Meixian,CLOUD,jun¹¹,17
Nanchang,CLOUD,yn²⁴,17
Nanjing,CLOUD,in¹³,17
Rongcheng,CLOUD,yn⁵²,17
Suzhou,CLOUD,ɦɥən¹³,17
Taiyuan,CLOUD,yŋ²¹,17
Wenzhou,CLOUD,ɥoŋ³⁴¹,17
Xi'an,CLOUD,ɥẽ²⁴,17
