ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Aichi,Aichi,nago1242,Nagoya,,Eurasia,35.1219442,137.081740723195,Japonic,192,193
Akita,Akita,akit1240,Akita,,Eurasia,39.6898802,140.342608,Japonic,193,194
Aomori,Aomori,tsug1237,Tsugaru,,Eurasia,40.886943,140.590121,Japonic,191,192
Chiba,Chiba,chib1248,Chiba,,Eurasia,35.609985,140.118126,Japonic,190,191
Ehime,Ehime,iyob1237,Iyo-ben,,Eurasia,33.6013646,132.8185275,Japonic,194,195
Fukui,Fukui,fuku1241,Fukui,,Eurasia,35.9263502,136.6068127,Japonic,193,194
Fukuoka,Fukuoka,chik1251,Chikuho-ben,,Eurasia,33.6251241,130.6180016,Japonic,193,194
Fukushima,Fukushima,fuku1243,Fukushima,,Eurasia,37.75454,140.4592144,Japonic,192,193
Gifu,Gifu,hida1245,Hida,,Eurasia,35.7867449,137.0460777,Japonic,191,192
Gunma,Gunma,gunm1237,Gunma,,Eurasia,36.52198,139.033483,Japonic,193,194
Hachijyo,Hachijō,hach1238,Hachijō,,Eurasia,33.1069602,139.767310718251,Japonic,190,191
Hateruma,Hateruma,hate1238,Hateruma,,Eurasia,24.0587455,123.782155373325,Japonic,184,185
Hirara,Hirara,miya1260,Miyako-Jima,,Eurasia,24.926431,125.2411151,Japonic,192,192
Hiroshima,Hiroshima,hiro1237,Hiroshima,,Eurasia,34.3916058,132.4518156,Japonic,194,195
Hokkaido,Hokkaidō,hokk1243,Hokkaido,,Eurasia,43.4519831,142.8197834,Japonic,194,195
Hyogo,Hyōgo,kobe1244,Kobe (Japonic),,Eurasia,34.6677915,135.1641816,Japonic,191,192
Ibaraki,Ibaraki,ibar1242,Ibaraki,,Eurasia,36.2869536,140.4703384,Japonic,190,191
Ikema,Ikema,ikem1235,Ikema-Jima,,Eurasia,24.9252099,125.2448702,Japonic,192,192
Irafu,Irafu,irab1238,Irabu-Jima,,Eurasia,24.829624,125.1918053,Japonic,192,192
Ishigaki,Ishigaki,ishi1240,Ishigaki,,Eurasia,24.3457111,124.1575482,Japonic,186,187
Ishikawa,Ishikawa,kana1289,Kanazawa,,Eurasia,36.5780499,136.6480247,Japonic,194,195
Iwate,Iwate,kese1237,Kesen,,Eurasia,39.9724169,141.2124422,Japonic,194,195
Kagawa,Kagawa,kaga1258,Kagawa-ben,,Eurasia,34.3454438499999,134.109814153127,Japonic,190,191
Kagoshima,Kagoshima,sats1241,Satsugū,,Eurasia,31.521587,130.5474077,Japonic,194,195
Kanagawa,Kanagawa,kana1290,Kanagawa,,Eurasia,35.4715259,139.6275201,Japonic,191,192
Kumamoto,Kumamoto,kuma1281,Kumamoto-ben,,Eurasia,32.6450475,130.6341345,Japonic,188,189
Kyoto,Kyōtō,kyot1238,Kyoto,,Eurasia,35.021041,135.7556075,Japonic,193,194
Kochi,Kōchi,hata1244,Hata-ben,,Eurasia,33.5680384,133.5394221,Japonic,192,193
Mie,Mie,miee1237,Mie,,Eurasia,34.7339685,136.5154489,Japonic,191,192
Miyagi,Miyagi,send1240,Sendai,,Eurasia,38.2677554,140.8691498,Japonic,187,187
Miyazaki,Miyazaki,miya1258,Miyazaki-ben,,Eurasia,31.9076334,131.4204022,Japonic,191,192
Nagano,Nagano,naga1408,Nagano,,Eurasia,36.1143945,138.0319015,Japonic,191,191
Nagasaki,Nagasaki,naga1405,Nagasaki-ben,,Eurasia,33.1154683,129.7874339,Japonic,191,192
Nara,Nara,okuy1237,Oku-yoshino,,Eurasia,34.2963089,135.8816819,Japonic,191,192
