Language_ID,Feature_ID,IPA,Value
Ancient_Attic_Greek,DOG,kýːoːn,1
Ancient_Ionic_Greek,DOG,kýːoːn,1
Southern_Tsakonian,DOG,kˈue,1
Modern_Demotic_Greek,DOG,scˈilos,2
Pharasa_Greek,DOG,sʧilˈi,2
Western_Cappadocian_Greek,DOG,ʃcilˈi,2
Ancient_Attic_Greek,KNOW (SOMETHING),ôjda,3
Ancient_Ionic_Greek,KNOW (SOMETHING),ôjda,3
Ancient_Ionic_Greek,KNOW (SOMETHING),epístamaj,4
Modern_Demotic_Greek,KNOW (SOMETHING),ksˈero,5
Southern_Tsakonian,KNOW (SOMETHING),ksˈeru,5
Western_Cappadocian_Greek,KNOW (SOMETHING),ksˈevro,5
Pharasa_Greek,KNOW (SOMETHING),katˈexo,6
Ancient_Attic_Greek,CLOUD,népʰos,7
Ancient_Ionic_Greek,CLOUD,népʰos,7
Modern_Demotic_Greek,CLOUD,sˈinefo,7
Pharasa_Greek,CLOUD,sˈinefa,7
Southern_Tsakonian,CLOUD,sˈiɣnefo,7
Southern_Tsakonian,CLOUD,sˈinefo,7
Western_Cappadocian_Greek,CLOUD,ʃˈinefo,7
Ancient_Attic_Greek,FOOT,pod,8
Ancient_Ionic_Greek,FOOT,pod,8
Modern_Demotic_Greek,FOOT,pˈoði,8
Pharasa_Greek,FOOT,porˈaði,8
Southern_Tsakonian,FOOT,pˈua,8
Western_Cappadocian_Greek,FOOT,prej,8
Ancient_Attic_Greek,NECK,awkʰéːn,9
Ancient_Ionic_Greek,NECK,awkʰéːn,9
Modern_Demotic_Greek,NECK,lemˈos,10
Southern_Tsakonian,NECK,lemˈo,10
Pharasa_Greek,NECK,ɣurɣˈuri,11
Western_Cappadocian_Greek,NECK,ɣurɣˈur,11
Ancient_Attic_Greek,MALE PERSON,anéːr,12
Ancient_Ionic_Greek,MALE PERSON,anéːr,12
Modern_Demotic_Greek,MALE PERSON,ˈanðras,12
Modern_Demotic_Greek,MALE PERSON,ˈadras,12
Pharasa_Greek,MALE PERSON,nomˈat,13
Southern_Tsakonian,MALE PERSON,ˈaʧopo,14
Western_Cappadocian_Greek,MALE PERSON,ˈaropos,14
Ancient_Attic_Greek,STONE,lítʰos,15
Ancient_Ionic_Greek,STONE,lítʰos,15
Pharasa_Greek,STONE,θˈali,15
Western_Cappadocian_Greek,STONE,nitˈer,15
Western_Cappadocian_Greek,STONE,niçˈer,15
Western_Cappadocian_Greek,STONE,ter,15
Modern_Demotic_Greek,STONE,pˈetra,16
Southern_Tsakonian,STONE,pˈeʧe,16
Ancient_Attic_Greek,WIND,ánemos,17
Ancient_Ionic_Greek,WIND,ánemos,17
Pharasa_Greek,WIND,ˈanemos,17
Western_Cappadocian_Greek,WIND,ˈanomos,17
Modern_Demotic_Greek,WIND,aˈeras,18
Southern_Tsakonian,WIND,aˈera,18
Ancient_Attic_Greek,KNEE,ɡóny,19
Ancient_Ionic_Greek,KNEE,ɡóny,19
Modern_Demotic_Greek,KNEE,ɣˈonato,19
Pharasa_Greek,KNEE,ɣˈonoto,19
Southern_Tsakonian,KNEE,ɣˈuna,19
Western_Cappadocian_Greek,KNEE,ɣˈonato,19
Ancient_Attic_Greek,WHITE,lewkó,20
Ancient_Ionic_Greek,WHITE,lewkó,20
Southern_Tsakonian,WHITE,lekˈo,20
Modern_Demotic_Greek,WHITE,ˈaspro,21
Pharasa_Greek,WHITE,ˈaspro,21
Western_Cappadocian_Greek,WHITE,ˈaspro,21
Ancient_Attic_Greek,EAT,estʰíoː,22
Ancient_Attic_Greek,EAT,pʰaɡ,23
Modern_Demotic_Greek,EAT,ˈefaɣa,23
Pharasa_Greek,EAT,ˈefaɣa,23
Southern_Tsakonian,EAT,efaˈika,23
Western_Cappadocian_Greek,EAT,ˈefaɣa,23
Ancient_Ionic_Greek,EAT,sitéomaj,24
Modern_Demotic_Greek,EAT,trˈoo,25
Pharasa_Greek,EAT,trˈoɣo,25
Southern_Tsakonian,EAT,ʧu,25
Western_Cappadocian_Greek,EAT,trˈoɣo,25
Ancient_Attic_Greek,HEAVY,barý,26
Modern_Demotic_Greek,HEAVY,varˈi,26
Southern_Tsakonian,HEAVY,var̝ˈu,26
Western_Cappadocian_Greek,HEAVY,varˈi,26
Ancient_Ionic_Greek,HEAVY,embriːtʰéː,27
Ancient_Attic_Greek,TAIL,kérkos,28
Ancient_Ionic_Greek,TAIL,uːréː,29
Modern_Demotic_Greek,TAIL,urˈa,29
Pharasa_Greek,TAIL,vrˈaði,29
Southern_Tsakonian,TAIL,nurˈa,29
Southern_Tsakonian,TAIL,urˈa,29
Western_Cappadocian_Greek,TAIL,turˈaði,29
Ancient_Attic_Greek,TOOTH,odónt,30
Ancient_Ionic_Greek,TOOTH,odónt,30
Modern_Demotic_Greek,TOOTH,ðˈodi,30
Pharasa_Greek,TOOTH,ðandˈari,30
Southern_Tsakonian,TOOTH,ˈonda,30
Western_Cappadocian_Greek,TOOTH,zˈonʧi,30
Ancient_Attic_Greek,WATER,hýdoːr,31
Ancient_Ionic_Greek,WATER,ýdoːr,31
Southern_Tsakonian,WATER,ˈio,31
Modern_Demotic_Greek,WATER,nerˈo,32
Pharasa_Greek,WATER,nerˈo,32
Western_Cappadocian_Greek,WATER,lerˈo,32
Ancient_Attic_Greek,ROAD,hodós,33
Ancient_Ionic_Greek,ROAD,odós,33
Modern_Demotic_Greek,ROAD,ðrˈomos,34
Pharasa_Greek,ROAD,strˈata,35
