	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1							hei̯̯ʦe	haona																										
ALL_2																			ojoːntɯsɯ											owɑ̠̄ʔix				
ALL_3												junai̯̯tɯ							ojoːntɯ										wɯs~wɯs					
ALL_4					ojɯ~ojo																													
ALL_5	u̠mun	omɑrwɑme						awona			joma								wɯmː					ojoːn										
ALL_6																							puju									piniju		
ALL_7																																	pɑʔɑmɑnuni~pɑʔɑmɑnuktis	
ALL_8						pətɑ̠ʔɑmɑ																												
ALL_9			mɑnːo										monojo													mano~manu							mɑnuni	
ALL_10				moʧ~moʧi					noʧi			nai̯̯tɯ					noːʔju				muʧi	noʧo						noʧi						
ALL_11												nai̯̯																						
ALL_12																nasimi			sɯmɯsɯ															
ALL_13										sosojɑm~sosoj								βɯʃi		βɯʃ					vɯʃ									
ALL_14																											sə							
ALL_15															ʦikti																weʦɑ̠t~wesɑ̠t			ʦikti
ALL_16				iːxkiʧ																														
ALL_17														ʧoʔon																				
ARM_1					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_2		seka									seka																							
ARM_3																				huca														
ARM_4																																		konkabam
ARM_5			aŋapɨ							maʔa				mat											nob									
ARM_6	mal							mamat				mama									maji		maː				mama	mø	nowi	man				
ARM_7																					mah													
ARM_8																															mavoːi̯̯r			
ARM_9																											møtzaca					madzan		
ARM_10				maːi̯̯t͡ɬ																												maʦon		
ARM_11															koomi			juca																
ARM_12									ahkol												mahkul													
ARM_13							mwahkaʔa	nocat																										
ASH_1												nari																						
ASH_2														teeliŋiʃ																				
ASH_3																																tonɡul		
ASH_4																esija																		
ASH_5							nasi											matːe		matʰai̯̯	neʧ				matai̯̯				matai̯̯					
ASH_6		napiso						napsa			nahpiso				naposa												napot							naposa
ASH_7	nisxiʃ			neʃt͡ɬi																	nesʧta~neʃti	noʃt									nasit			
ASH_8									kʷonːeʃ																			t͡ɬakoneʃt͡ɬiː						
ASH_9			kucapːɨ		etuhsipːɨh					qøcvi			kucapɨ				kutːusːipɨ~kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ				koʃiʃ			kucapːɨ	
ASH_10																							kukuht											
ASH_11						wɨʂkiʃ																												
BARK_1																					juwajo~ijewaju							jewajut͡ɬ						
BARK_2		kuhe									kahe																							
BARK_3																									kom							opun		
BARK_4															beewa											asiaː								bea
BARK_5		eɡoli				ʧalal																												
BARK_6					poʔa												puʔa		poʔa					poʔan										
BARK_7	taʧal~taʃʔa		asiaʔa							ʦiipɨ			asiavi	taaʧi																			siʔaːpi	
BARK_8								beɡu̯at																						axoːxoʦ				
BARK_9							kucapeʔe																											
BARK_10																							qoʦ											
BARK_11				eʔwaːt͡ɬ																							bewat					opit		
BARK_12									eːwat																									
BARK_13																		hilidaɡa		ɨlidaɡ									ɨldaɡ		ulapet			
BARK_14																woʔaɡːapɨ																		
BELLY_1							huka					huka									ihti							hte						
BELLY_2																ɡohi	kohi																	
BELLY_3											tohpa																							
BELLY_4		ropa																											woːk					
BELLY_5							ʃai̯̯e										siː																	
BELLY_6												ijamuja																						
BELLY_7																															njolir			
BELLY_8	teʔily													teeʔla	topːa								toːʔ											toʔona
