	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1		oːʈəja								majin										
ALL_2							maːk		mottam								mottamu		maːta	
ALL_3				bottiɡ																
ALL_4													ɡiːʈeniː							
ALL_5													ɡoːʈahiː							
ALL_6									antaː								anta~anni			
ALL_7																				nanɡaːɭə
ALL_8	ella				ella	ella		ellaːm				ella				ellaːm				
ALL_9																		oʋʋoɖimo		
ALL_10			kull																	
ALL_11											haɾa									
ASH_1														niɖ	nĩd					
ASH_2				niːɾ																
ASH_3												ʧaːɾam							ʧuːnja~ʧoːnja	
ASH_4												ʧaːmbal				saːmbal				
ASH_5	kolabuːdi	piːdi			buːdi	buːdi	buɡɡi	poːdu atukə	buːɖida								buːɖida	puːdi		buːdi
ASH_6										ʧind										
ASH_7			his																	
BARK_1		meɾtoːlə		toːl	naːɾu							maɾattoli								toːlu
BARK_2						aʈʈe				oːɖak										
BARK_3								kolluʧo	beɾaɖu								beɾaɖu			
BARK_4					toɡaʈi	ʧekke														
BARK_5	paʈʈe											paʈʈa				paʈʈe	paʈʈa	puʈkoɾi	ketta	
BARK_6			bund				ɖanɖi maɖɖa		danʈi											
BELLY_1				piːɾ						kuːl						vayiru		piɾ		baiɾu~baːɾə
BELLY_2												ʋajaɾə								
BELLY_3	oʈʈe				hoʈʈe~hoʈʈa															
BELLY_4		poʈʈi	peɖʰ			poʈʈe	ʈeʈʈe				banɖi		puɖaː	puduɡ	poʈʈa	tonti	poʈʈa		banʤi	
BELLY_5									ɖokka							toppai	kaɖupu			
BELLY_6								naɖpeːʈɡu												
BIG_1			ballun						beɾɾa		beːɾ			muɾe		peɾija			malla	baleji
BIG_2	doɖɖadə			pedda	doɖɖadu	baljadə		toɖut					beːɖo		beɾto	peɾəsə	pedda			
BIG_3		dappu																		
BIG_4																		ittuːɖə		
BIG_5												ʋaludə								
BIG_6										koha										
BIRD_1		pikki		piʈʈə	pakʂi	pakʂi	piʈʈa	pakkiɡaɭ	piʈʈeːku			pakʂi	puʤudu				pakʂi~pitta		pakki	pakʧi
BIRD_2			ʧok											titə						
BIRD_3												kili				paɾaʋai		paɾaʋai		
BIRD_4											minu									
BIRD_5					hakki															
BIRD_6										oɖa										
BITE_1			kaat kanninɡ																	
BITE_2												kadikkuɡa								
BITE_3									koɾaka						koɾk		koɾuku			
BITE_4		kaɖi~kajɾi			kaɖi	kaɖi	atekaʂin	kaɖə			kaʧine					kaɖi				kaɖi
BITE_5	kaʧʧə			kask	kaʧʧu				kaʧʧaː	kʰaʧʧna								paɾʧiʈʧi		
BITE_6																			tinaːɾa	
BITE_7													koːhi							
BLACK_1	kappə	kaɾtənu ipədə		kaɾə	kappu~kaɾu	kaɾtadə		kaɾuppə	kaːʈe		kadia	kaɾuppə				kaɾəppə		kappə	kappu	kaɾtaji
BLACK_2									nalla								nalupu~nalla			
BLACK_3							ɖaːɾiate													
