	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
BLACK_4										mokʰaɾo			maɖhaɾo							
BLACK_5			maːon																	
BLOOD_1						ʧoːɾə						ʧoːɾa								ʧoːɾe
BLOOD_2	ɾattə				ɾakta							ɾektam	ɾasadu			ɾattam	ɾaktamu			
BLOOD_3	nettuɾu	nəttəɾə	ditaɾ	nettuɾ			nettuɾ	neːtuɾu	nettuɾ		nettiɾ			nettiɾ	netiɾ		nettuɾu		nettaɾə	
BLOOD_4										kʰeːns										
BLOOD_5																		poːkʰə		
BONE_1					jelubu											elumbə		elf		
BONE_2	ilə	jaləʋə						jeluʋə				ellə							ellə	
BONE_3																	jemuka			
BONE_4				bokka			bokka		buːlk								bokka			
BONE_5					muːɭe	muːɭe			buːlaː						bũla					muːɭe
BONE_6			aɖɖə							kʰoʧol		asti								
BONE_7													oːʧuldiː							
BREAST_1														palɡil					tiɡala	
BREAST_2			xad																	
BREAST_3		kujndiɡi															ɡunde			
BREAST_4																		niʤikuɖi		
BREAST_5					ede										edɾam					
BREAST_6					stʰana		saːtti					stanam					stʰanamu			
BREAST_7				dudo					eddam											
BREAST_8											sipadaki		daibuku							
BREAST_9	maːɾə					mele		meːl				maːru~mula				maːɾbə~maːɾə				mele
BREAST_10										jeʋakʰ										
BURN_1										olna						eɾi				
BURN_2		bjaːɭ															kaːlu			
BURN_3		ben																		
BURN_4									maɳɖu				meːda				maɳɖu			
BURN_5				niɾus																
BURN_6					suɖu	ʧuːɖə														ʧuːɖə
BURN_7	kiʧiːkdə											katikkuɡa								
BURN_8		kattu~kettu						kaːto											pottaʋaɾa	
BURN_9							ɡonɖka													
BURN_10			xaːxaɾ tinninɡ																	
BURN_11																		tiːkku kaːttiti		
CLAW_1						ʋoji														
CLAW_2																		juːɾ		
CLAW_3				ɡoɾk					ɡoːɾk		ɡaɾka									
CLAW_4	uɡilə				uɡaɾu		ɡoːɾ	kaijoːɾu							ɡẽɾi		ɡoːɾu		uɡuɾu	
CLAW_5		kiːjəɡɡəɾə																		
CLAW_6			zeel																	
CLAW_7										oɾokʰ			oɾuɡdu							
CLAW_8			hoɾ ad																	
CLAW_9												nakʰam				naɡam				
CLAW_10																				ummi
CLAW_11														kaʂʋanɖe						
CLOUD_1							aːbaɾ													
CLOUD_2											haːɡu									
CLOUD_3	manʤu														malɡuɾ					
CLOUD_4				mabbu					mabbu								mabbu			
CLOUD_5		moːɖə			mẽɡha~moːɖa	moːɖa		meːɡam				mekʰam				meːɡam	meːɡʰamu~moːɖamu	meːɡam	moːɖa	moːɖa
CLOUD_6										badaːli			badliː							
CLOUD_7			ʤammaɾ								dunɖaɾa									
COLD_1			jakʰ~jax																	
COLD_2							pani						panijaː		paɲil					
COLD_3		səjlijə		sallaɡ					sallaː								ʧalla			
COLD_4	koɾuʋə							koɾʋə		kiːɾna										
COLD_5													kiʋa							
COLD_6						koːʈa										kuɭiɾʧi		koɾti		
COLD_7					taɳɳiɡe	talinʤadə						taɳuppə							ʧappa	taɳiʤe
COME_1				ʋa			ʋa		ʋa					ʋa		ʋaː	ɾa			
COME_2									ʋaːdaɖam								ʋaʧʧu			
COME_3												ʋaɾuɡa								
COME_4		baːɾ~ban~bu			baɾu~baː	baː				baɾna			baɾəaː		veɾ			paːɾti	baɾaɾa	baː
COME_5			banninɡ																	
COME_6	pappa																			
DIE_1		maɾdoːɡ										maɾikkuɡa								
DIE_2																sattə po	ʧaʧʧipoːʋu			
DIE_3							tiɡteːn													
DIE_4													keəaːnaːkeəidaːh					keɖuoisi		
DIE_5										kʰena										
DIE_6	saːʋadə								ɖollatam											
DIE_7					saːji	ʧːɭa		taːʋə							cay	ʧaː			sajjaɾa	ʧaːɭa
DIE_8				haː																
DIE_9			kahinɡ																	
DOG_1			kuʧak										kuʧʧo				kukka			
DOG_2												paʈʈi			netta					
DOG_3	ne	naːjə		nej	naːji	naːji		naːji	nej			naːja		ne		naːji		noi	naːji	naːji
DOG_4							aːte													
DOG_5										alla										
DRINK_1				un					unnu	onna				un	un					
DRINK_2							aniɾusaːt													
DRINK_3													hoːnaː							
DRINK_4								unatukə									taːɡu	uʈʈudi		
DRINK_5		kujɾi																	paɾijaɾa	
DRINK_6	kuɖapə	kuɖi			kuɖi~kudijoːdu	kuɖipa						kuʈi				kuɖi				kuɖipə
DRINK_7												kudikkuɡa								
DRINK_8			kuninɡ																	
DRY_1					battida				poɖi								poɖi			
DRY_2		ajnɡənu ipədə						kanʈiko								kaindadə~kaːnʤə				
DRY_3										kʰajka										
DRY_4												vaɾaɳʈa				ulaɾnta				
DRY_5			baːɾun				aːtiɾ													
DRY_6				ʋaʈʈa																
DRY_7													aːikaː							
DRY_8	oɳikiladə				oɳaɡidu	oɳanɡina						uɳanɡija					eɳɖu	oɳikisi	nunɡuduna	unaku
DRY_9									aɾtaːd											
EAR_1			xaf							kʰebda		kaːtu		kekal	kekol	kaːdə			kebi	
EAR_2													daɾtiː							
EAR_3	kiʋi	kiʋija		keʋu	kiʋi	kemi	keʋ	keʋə	keʋ		kiɾiju	ʧeʋi					ʧeʋi	kili		kemi
EAR_4									keʋk											
EARTH (SOIL)_1		buːmi					bʰuːmi	bʰuloːɡam			bʰumi		bʰumi							
EARTH (SOIL)_2			ɖaɡaːɾ							kʰekʰel				tukud	tũk			koɖə		
EARTH (SOIL)_3									maʈʈi								maʈʈi			
EARTH (SOIL)_4				mannə	maɳɳu	mannə						mannə				mannə	mannu		mannə	
EARTH (SOIL)_5											iɾaː									
EAT_1													ʤaːɡoːlpah							
EAT_2													lapah							
EAT_3				ʤeʋi																
EAT_4																			uɳaːɾa	
EAT_5							aːntisatun													
EAT_6										mokʰna										
EAT_7	timbə	tinn			tinnu	tinə		tin atej	tinnu		tinu	tinnuɡa		tin	tin		tinu			tinnoː
EAT_8			kuninɡ																	
EAT_9																		toɾtin		
EAT_10																saːpədə				
EGG_1	moʈʈe				moʈʈe~tatti	muʈʈe						muʈʈa				muʈʈe	ɡuɖɖu	muʈʈe	ketti	muʈʈe
EGG_2		mujɾɡi						mooʈə												
EGG_3				miːnʤ																
EGG_4													ɾaɾapaːndu							
EGG_5									ɡaɾbam					kaɾbə						
EGG_6			baede							biː										
EGG_7											tala									
EGG_8							sanku													
EGG_9			xuahae																	
EYE_1												neːtɾam	aːndu							
EYE_2	kaɳɳə	kaɳɳu	xan		kaɳɳə	kaɳɳə	kan	kaɳɳə	koɳɖ	kʰann	kanu	kaɳɳə		kaɳul	kan	kaɳɳə	kannu	kaɳ	kaɳɳu	kaɳɳə
EYE_3				kəɖə																
FAT (FROM ANIMALS)_1										neʈa			neʤʤa	meːn						
FAT (FROM ANIMALS)_2									kodoʋoːs								koʋʋu			
FAT (FROM ANIMALS)_3									laːʋ								laːʋu			
FAT (FROM ANIMALS)_4		tanniʋi~teɾija																		
FAT (FROM ANIMALS)_5	koɭəppə		ʧaɾpiː		kobbu	ʧeɾabi		koɭupu				koɻuppə			koɽukuɖ	koɻuppə		koɻəppə	ʧeɾabi	ʧiɾabi
FAT (FROM ANIMALS)_6				koɾonʤ																
FEATHER_1		tiʋija	paɾɾe	buɾa	ɡaɾi		bull					tuːʋalə								
FEATHER_2					tupaʈa	topaʈa														toːpəʈaː
FEATHER_3										penʧo			pakiː							
FEATHER_4	ɾakke							ɾeːkə								ɾekke		iɾakke		
FEATHER_5																	iːka			
FEATHER_6									ɡeɾk											
FEATHER_7																			huʋi	
FIRE_1												teː				teː			tuʋu	tiː
FIRE_2			xaːxaɾ														aɡɡi			
FIRE_3												aɡni								
FIRE_4	kiʧʧə	tissə~tiʧʧa				titta	kiss		kis	ʧiʧʧ			ʧiʧadu		kic			tiːttə		
FIRE_5				taɖmi																
FIRE_6					benki						dankeɾe						maɳʈa			
FIRE_7								nippu								neɾuppu	nippu			
FIRE_8									neɡɡaɖ											
FISH_1	miːnə	miːnu		miːn	miːnə~maʦya	miːnə		miːnə				miːn	miːndu	miːn		miːnə		miːn	miːnə	miːnə
FISH_2			maʧʧiː									malsjam								
FISH_3							ɡuɖɖi		kiːke											
FISH_4																	ʧeːpa			
FISH_5															key					
FISH_6										inʤo										
FLY (MOVE THROUGH AIR)_1			baːl kanninɡ																	
FLY (MOVE THROUGH AIR)_2																				mannə
FLY (MOVE THROUGH AIR)_3		paːɾ~peːɾ		paɾi		paːɾa		paːɾʋu	tulla	uɖijaɾna			uɖaːɾi			paɾə	eɡuɾu		ɾaːpaɾa	
FLY (MOVE THROUGH AIR)_4	paɾappə											paɾakkuɡa						poːɾʧ		
FLY (MOVE THROUGH AIR)_5							tulsaːd													
FLY (MOVE THROUGH AIR)_6					haːɾu															
FOOT_1					aɖi				aɖuɡu			aʈi				aɖi	aɖuɡu			
FOOT_2			nat																	
FOOT_3													ɾaɖadu							
FOOT_4	anɡaːlə	kaːlə		kaːl		anɡaːl										kaalə		koːl	kaːlə	kaːlə
FOOT_5							ʤeʈʈa	tapaɖ												
FOOT_6					paːda					kʰeɖ	paːdami	paːdam		paːdam		paːdam	paːdamu			
FULL_1														puneʈ						
FULL_2																			dinʤidunɖu	
FULL_3	tʰumbe				tumbidu	dumba														dumba
FULL_4				niɳɖ			ninɖu		ninɖaː	nindka			nindpaː			nirainta	ninɖu			
FULL_5												niɾaɲa				muɭu				
FULL_6			puɾ								ɡuɾa									
FULL_7		fullə																		
FULL_8																		soːkkaije		
GIVE_1								tej			taa			ʧi	cĩ	taː				
GIVE_2										ʧihna										
GIVE_3									iːdatam								iʧʧu			
GIVE_4																		itʧadta		
GIVE_5			tinninɡ																	
GIVE_6							siːtaːn													
GIVE_7	koɖu	koɖ			koɖu	koɖi										kuɖə			koɾo	koɖu
GIVE_8												koɖukkuɡa								
GIVE_9													ʧibaːh							
GIVE_10									iːm											
GIVE_11																	iʋʋaɖam			
GIVE_12				hi																
GOOD_1				assal						daːʋ										
GOOD_2																			eɖɖedana	
GOOD_3			ʤuaːn								nejun									
GOOD_4									manʧid								manʧi			
GOOD_5		nall				nalla						nalla				nalla				nallə
GOOD_6	oɭɭajadə				oɭɭijadu			oludə					ɾaɖu					ulti		
GOOD_7							sobhatan													
GOOD_8													heːɖu							
GREEN_1	paʧʧe	passlaːnɡi~paʧʧəlaːnɡi		paʧʧad		paʧʧe		paʧʧə	paʧʧa		aːkupaʧʧa	paʧʧa				paʧʧə	paʧʧa	paʧʧai	paʧʧe	paʧʧe
GREEN_2											kasuli									
GREEN_3			ɡuanakki																	
GREEN_4															pay					
GREEN_5					hasiɾu															
GREEN_6										haɾijaːɾ										
GREEN_7											nilia		ɾanalo							
GREEN_8							niɡuɾ													
GREEN_9				hiː																
HAIR (HEAD)_1								manɖə miːɾə				muɖi				muɖi~maiɾə				
HAIR (HEAD)_2	oɾame											ɾõmam								
HAIR (HEAD)_3											bana									
HAIR (HEAD)_4				kel					kelk											
HAIR (HEAD)_5		taːkəɾə				telami	tiːɾu						taːli							tilami
HAIR (HEAD)_6									ʤuʈʈul	ʧuʈʈi				ʧendi			ʤuʈʈu			
HAIR (HEAD)_7					kũdalu~kuːdalu														kuːʤal	
HAIR (HEAD)_8			puʒʒe																	
HAIR (HEAD)_9														talʧenʈi						
HAIR (HEAD)_10																	veɳʈɾukalu			
HAIR (HEAD)_11																		miːɾs		
HAND_1	kaj	kiːja		kaj	kaj	kaj	keju	kaij	kaj		keju	kaj		kiː	key	kaj	ʧejji	koi	kai	kaj
HAND_2			ɖuː																	
HAND_3										kʰekkʰa										
HAND_4													ʈeʈu							
HEAD_1	manɖe	maɳɖi				maɳɖe		manɖə										maʈʈə	manɖa	
HEAD_2			kaːʈum							kuk			kukudu							
HEAD_3				talla	tale		tal		talakaːj		tɾajun	tala		taːl	tel	talə	tala			tile
HEAD_4												ʂiɾasə								
HEAD LOUSE_1	ili																			
HEAD LOUSE_2																		iɾs		
HEAD LOUSE_3				poɾki					poɾiki											
HEAD LOUSE_4	kili							paiji												
HEAD LOUSE_5		pjaːnu	boːdʰ			peːnə	paːnu			peːn		peːn			pẽni	peːnə	peːnu		peːn	peːnə
HEAD LOUSE_6					heːnu															
HEAR_1		kəːɭ			keːɭu	keːɭə		keːlə								keːɭə		keːl		keːɭu
HEAR_2	keːpə			kenʤ					keːʤa										keɳaɾa	
HEAR_3												kelkuɡa								
HEAR_4							ʋinti										ʋinu			
HEAR_5										menna			meːna		ven					
HEAR_6													meːnpo							
HEAR_7			bininɡ																	
HEART_1					hɾudaya	hɾudaja						hɾudajam				idajam	hɾudajamu			
HEART_2													huɡliː							
HEART_3		jaddi	ust											ʤibe						
HEART_4							paːnam													
HEART_5										buka										
HEART_6								nenʤu										manasə		nenʤi
HEART_7				ɡuɳɖe			ɡunɖe		ɡuɳɖekaːja								ɡuɳɖa			
HORN (ANATOMY)_1			maɾɡʰ							maɾaɡ			maɾɡadu							
HORN (ANATOMY)_2				koɾ														kuːɾ		
HORN (ANATOMY)_3	kombə	kombbə			kombu	kombə	kommu		komm			kompə				kombə	kommu		kombu	kombə
HORN (ANATOMY)_4									koːkku					kaɾ ɡuʧul						
I_1				nanna	naːnu	naːnə	neːnu		nanna		naːnu~mu	ɲaːn				naːn	neːnu			naːn
I_2		naːʋə																		
I_3	na							aːn		aeːn				aːn	aːn			oːn	jaːnu	
I_4													heːnu							
I_5			iː																	
KILL_1				haʋka					aʋakaː											
KILL_2					kollu	kollə						kolluɡa				kollə			keɾijaɾa	kollə
KILL_3								taːʋiɾ												
KILL_4										eɖabna							ʧampu			
KILL_5		kenɡaːɭ																		
KILL_6	koppə			kʰatamki									baʤpo							
KILL_7			kasfinɡ																	
KILL_8																		keɖukisti		
KILL_9							alanɡʈaːn													
KNEE_1	muʈʈi				maɳɖi	maɳɖi	muɖsu				mendaja	muʈʈə				muʈʈi~muːʈə		muʈʈi		
KNEE_2		mannɡaːlə			muɳakaːlo			moːɡaːl	moːkaːl	muka		muɻaŋkaːl	muːka	ʋanɡul		muɻaŋkaːl	moːkaːlu			muːlekaːlə
KNEE_3																			meɳakaːləɡanʈu	
KNEE_4			ɡoːɖ																	
KNEE_5				tonɡɾa																
KNEE_6									boʈmiɳɖaː											
KNOW_1																teɾijum			teɾijaɾa	
KNOW_2			ʧaːinɡ											sun	pun					
KNOW_3	aɾaʋə				aɾi	aɾi						aɾajuɡa				ari	eraːɡu			aɾiʋo
KNOW_4								asuːbej										aɾspini		
KNOW_5										akʰna										
KNOW_6				jeɾpaʈ			uɾtanɖaːt													
KNOW_7					telidiko				teluseː							teɾinʤuko	telusuko~telusukonu			
KNOW_8		ɡott uɳɖi											baɖeminpo							
KNOW_9		ɡottaːɡ																		
KNOW_10													sikaːɾpo							
KNOW_11													haːhpo							
LEAF_1	elə	jali			jele			eːlu				ila				ele			iɾa	ele
LEAF_2				aːki			aːk		aːkiː	atkʰa							aːku			
LEAF_3															ev			eɾs		
LEAF_4			pann			elakaɳɖa								ʈunɖe						
LEAF_5											patɾa									
LEAF_6													haːtʰa							
LIE (REST)_1			dɾoɡʰ taɖinɡ																	
LIE (REST)_2												kiɖakkuɡa								
LIE (REST)_3				miɳɖsi																
LIE (REST)_4							labaːɖ muɖsati													
LIE (REST)_5									unʤa						maɖ					
LIE (REST)_6					malaɡu															
LIE (REST)_7										fasijaːɾ						keɖə				
LIE (REST)_8		baːʈɳu iːɾ																	buɾoːnaɾa	
LIE (REST)_9		baːɖ				budda							koːɖpo			paɖə	paɖukonu	poaʈʧiː~pokkum		biːndo
LIE (REST)_10				dolsi																
LIE (REST)_11	haɖaʋə																			
LIE (REST)_12										paiha										
LIVER_1								iːɾu				ĩɾal				iːɾaɭ				
LIVER_2					hĩɾi															
LIVER_3		tədlə											ʧedɾo							
LIVER_4							kaleja		kaːʤam			kaɾaɭə					kaːlejamu	kuɖaːl		
LIVER_5			ʤaɡaɾ																	
LIVER_6				taɾki	medaʤiːɾika					umbalkʰo										
LIVER_7						tombe														tombe
LIVER_8														taɖinɡ	taɾuŋɡ					
LONG_1				laːm								niːlamuɭɭa				niːɭam~niːɭamaːna				
LONG_2								niːtam				niːnɖa				nĩɳʈa		neɾti		niːʈa
LONG_3			muɾɡun																	
LONG_4							poɖaːm		poɖaʋuʈaːdu								poɖaʋu			
LONG_5	utta	uddu			udda	uddə													uda	
LONG_6										diɡaːh										
LONG_7													diɡaɖo							
MAN_1						aːnaaɭə						aːɳə				aːɳə~aːɳ		aːlom		
MAN_2			naɾeenə							meːt										
MAN_3				mankal			maniʂaːn						muɖsaː			aːmbɭe				
MAN_4									maɡaʋaːɳɖ								maɡaʋaːɖu			
MAN_5					puɾuʂa							puɾuʂan					puɾuʂuɖu			
MAN_6											ɖola									
MAN_7									peːkaːl		kakasi									
MAN_8	kanɖumuɡa	ɡəɳɖaɭə			ɡanɖasu			ɡanmaɡu												
MAN_9											kodomi									
MAN_10																				panija
MAN_11																			aːnʤʋu	
MANY_1													diːkehi~ɡaːɖehi							
MANY_2	appaɾa						peɾe		ʧaːla			pala~ottiɾi				palə	ʧaːla		baːɾi	
MANY_3		kajɾijə														neɾija	naːnaː			
MANY_4						dumba		iːʤoːɖ												tumba
MANY_5			baːz							baɡɡe										
MANY_6									beʧʧoːko											
MANY_7				ʤaːsta																
MANY_8																		uppuːm		
MANY_9				ʋellen																
MANY_10					halaʋu															
MEAT_1		əɾsi				eɾaʧi						iɾaʧi				iraicci				iɾaʧi
MEAT_2									anɡiː											
MEAT_3			suː																	
MEAT_4										ahɖaː										
MEAT_5	paːɖə~paːɡə				baːɖu			podu										piːt		
MEAT_6								keteɾi								kaɾi				
MEAT_7					maːmsa							maːmsam					maːmsamu		maːsa	
MEAT_8													maːkɖu							
MEAT_9							muɾija													
MEAT_10				haʋʋi																
MOON_1							nela	nelavə~unaːʋə	nella					nelinɡ	neliɲ	nila		nila		nilaʧi
MOON_2		pəɾi																		
MOON_3	tinɡuʋa			ʤanɡo	candɾa~ʧendɾa	ʧendɾa			sanɖamaːma	ʧando		ʧendɾan				cantiɾan	ʧendɾuɖu		ʧendɾe	
MOON_4											lenʤu									
MOON_5			ʈuːbe																	
MOON_6													bilpdu							
MOUNTAIN_1	male											mala				malai			daːɾi	
MOUNTAIN_2			maʃ																	
MOUNTAIN_3										paɾta		paɾʋatam					paɾʋatamu			
MOUNTAIN_4								ʋeːʈume												
MOUNTAIN_5		bəʈʈə		meʈʈa	beʈʈa				meʈʈa				beːɖo pahaːɖi					tiʈʈə		
MOUNTAIN_6														kappe						
MOUNTAIN_7						kundə			ɡubal								konɖa			kundə
MOUNTAIN_8							danɖimeːʈ													
MOUTH_1				toɖɖi			muːti				ɡuʈi									
MOUTH_2								ʋaːji				ʋaːja				ʋaːji~ʋaː				
MOUTH_3	pe	baːjə	baː		baːji	baːji				baji					vaːy			poːi	baːji	baːji
MOUTH_4													toɾo	ʧaːlu			noːɾu			
MOUTH_5									pavuːɾ											
NAME_1										naːme			naːmi							
NAME_2	esaɾə	pjaːɾə	pin	poɾol		peda	peːɾ	peːɾ	pedeɾ		doɾu	peɾə			pidiɾ	peːɾə	peːɾu	peːɾ	pudaɾə	peːɾu
NAME_3					hesaɾu															
NECK_1						boːɭe												maɾ		boːɭe
NECK_2							mak		meɖakaːja								meɖa			
NECK_3			lex																	
NECK_4	katə	kpːmaːɭi						kaɖateːl		kʰesiɾ									kekkilə	
NECK_5													asaɾdu~ɖoːnɖo	kanɖ						
NECK_6												kaɻutə				kaɭuttə				
NECK_7				ɡuɖunɡa	kuthiɡe															
NEW_1	ostə				hosadu															
NEW_2							kota		kottad								kotta			
NEW_3						pudija		pudijadə				pudija				pudusə~pudu		puduːn	posatta	pudijai
NEW_4		pəjjmən		puna						puːna	puni		puːna		pun					
NEW_5			puːskun																	
NEW_6														nia						
NIGHT_1						bajiʈə														
NIGHT_2																		ekkaːɖə		
NIGHT_3		ədlə																		andi
NIGHT_4					ɾaːtɾi							ɾaːtɾi	ɾaːti			ɾaːtɾi	ɾaːtɾi		ɾaːtɾe	
NIGHT_5																iɾaːʋə~ɾaːʋə				
NIGHT_6	iɾə										laːn									
NIGHT_7										maːha			maːaː							
NIGHT_8			nam					eːlumaɾam												
NIGHT_9				naɾkaɖ					mulipe											
NIGHT_10							siɾbedin													
NOSE_1				mosoɾ					mossoːɾ				musoː							
NOSE_2	muːkə	muːkkə			muːɡə	muːkkə	muːkk	muːkə			munɡeli	muːkə		munɡan		muːkə	mukku		muːɡu	muːkkə
NOSE_3															muvãɖ					
NOSE_4																		mittuːp		
NOSE_5										muːji										
NOSE_6			baːmus																	
NOT_1	kulle		aːxa																	
NOT_2							kaːdu										kaːdu	aːɖudi		
NOT_3																	leːdu		aːtu	
NOT_4										mala			malaː							
NOT_5		ila~ala		helle	alla	ille		illa	ille			illa				ille				ille
NOT_6			ne																	
NOT_7													hambija							
ONE_1	ondə	ʋandə		ondi	ondu	ondə				oːnd	ɾanɖi	onnə	oːnd			onnə			onʤi	onʤu
ONE_2			asit					oːdit						okuʈi			okaʈi	uttə		
ONE_3							okkoːt								ok					
ONE_4									oɾɾoːʈ											
PERSON_1					manusa	manasa	maniʂaːn		mansuːɳɖ			manuʂan				manitan~manuʂan	maniʂi		manuʂeː	manuʧe
PERSON_2	kanɖə		bandaɡ															kinnuːɖə		
PERSON_3		aːɭə~aːɭu								aːl										
PERSON_4													malah							
PERSON_5				lokuɾ																
RAIN (PRECIPITATION)_1										ʧeːp			ʤaɖaː							
RAIN (PRECIPITATION)_2							ʋaːna		ʋaːna								ʋaːna			
RAIN (PRECIPITATION)_3															vaːni					
RAIN (PRECIPITATION)_4																	ʋaɾʂam			
RAIN (PRECIPITATION)_5	me	maɭi			maɭe	maɭe		mai				maɻa				maɻai				maɭe
RAIN (PRECIPITATION)_6			peɾ	piɾ							bela								baɾsa	
RAIN (PRECIPITATION)_7																		meɖutti		
RED_1								netiɾ			netuɾi									
RED_2				eɾɾaɡ~jeɾɾaɡ			jeɾuɖi		eɾɾa								eɾupu			
RED_3													eːso							
RED_4						ʧoːpə						ʧumappə				seʋappə~seɡappə				ʧoːpə
RED_5	keppə				kempu						ɡaɖɡa							keppə	kempu	
RED_6																cem				
RED_7			xiːsun							kheso										
RED_8															key					
RED_9		tissəɡaɳɖaːnɡi																		
ROAD_1									aɾɾi			ʋaɻi				vaɻi		aːlaɾ		
ROAD_2				haɾɾi																
ROAD_3					ɾaste	ɾaste								ɾasta						ɾaste
ROAD_4					maːɾɡa												maːɾɡamu			
ROAD_5	taːɾi						daaɾ~taːʋu	taːɾi		ɖahaɾe							daːɾi			
ROAD_6		baʈʈi				baːte							paːodu		paːv		baːʈa		paɾvata	
ROAD_7			saɖak																	
ROOT_1										paːda			bandaː							
ROOT_2	peːɾə	bjaːɾə			beːɾu	beːɾə								kuɾe	vaːɾ				beːɾu	beːɾə
ROOT_3							ʋeːɾkam		ʋeːɾ		ʋeɾ	ʋeːɾə				ʋeːɾə	ʋeːɾu	ʋeɾ		
ROOT_4			ɾoːte																	
ROOT_5				hiːɾ																
ROUND_1			ɡoːl peɾi				bubbaɾi													
ROUND_2					baʈʈa							vaʈʈa								
ROUND_3				ɡuɳɖɾal	duɳɖane				ɡuɳɖɾaːn								ɡuɳɖɾani			
ROUND_4										ɡuʈiɳɖa			ɡuɖme~ɡuɖijo							
ROUND_5		bəjnsakɾanɡuːdə																		
ROUND_6								ʋaʈam								ʋaʈʈam				
ROUND_7						uɾuʈa						uɾunɖa				uɾunɖai		uʈʈi	uɾuʈə	uɾuʈu
SAND_1		maɳalə			maɾaɭu	maɳa						maɳal		maːn	man	maɳal		manal		maɳə
SAND_2											bali		baːli						pojja	
SAND_3				uske	usubu		usuka		isike								isuka			
SAND_4			ɾeːk																	
SAND_5										ʧalkuɾu										
SAND_6	pakke																			
SAY_1				in		annə									en					
SAY_2																		aːʋaɖə		
SAY_3					heɭu															
SAY_4													hauɖpo							
SAY_5																	ʧeppu			
SAY_6			paːninɡ									paɾajuɡa								
SAY_7		pəːɭ						paidu												
SAY_8									kella							ʧollə~sollə			paɳaɾa	paɾe
SAY_9										bakʰna										
SAY_10	eɡəʋə																			
SEE_1			unninɡ																	
SEE_2										jeːɾna										
SEE_3		najɾ																		
SEE_4																			tuʋaːɾa	
SEE_5				huɖa																
SEE_6									uːɖa											
SEE_7	noːɖə	noːɖ			noːɖu	noːʈə		noːʈə										nuːʈ		noːku
SEE_8														ʧu			ʧuːɖu			
SEE_9							taːna					kaːɳuka				kaːɳ				
SEE_10																paːɾə				
SEE_11													ʈunɖpo							
SEED_1							ʋittanam	ʋitu								ʋedə	ʋittanam			
