	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn (Cổ Liêm)	Thavưng	Thổ (Cuối Chăm)	Vietnamese
BITE_1					kaːt	kaːt	kaːt							
BITE_2	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴				kĭɳ³⁴³	kaɲ³	kaɲ³	kăn³		kam⁴	kăŋ⁴⁵
BITE_3												tuh³		
BLACK_1									jəm¹	jəm¹				
BLACK_2								ɳɯ̆m³⁴				ɲum²		
BLACK_3		tɛn¹		tɛn							tɛn¹			ɗɛːŋ³³
BLACK_4	tʰiːu̯													
BLACK_5			tɛntɛn											
BLOOD_1									maw³	maw³	maw³			mau̯⁴⁵
BLOOD_2	atʰɛa̯mˀ		asam	asaːm³		saːm	saːm							
BLOOD_3		ʔaɕam³										tamuː¹		
BLUE OR GREEN_1								salɛːw³²⁴				salɛːw¹		
BLUE OR GREEN_2	ɕɛi̯ɲ	ɕeŋ¹	sĭŋ	seŋ							sɛɲ¹			san³³
BODY LOUSE_1		ɓlĭŋ³	briɲ	briɲ³	pʰlʌɲ	pʰliŋ	pʰlɛɲ		kʰiɲ³				pʰriɲ³	
BODY LOUSE_2										fəɲ⁴⁵				
BODY LOUSE_3											reɲ⁴			
BODY LOUSE_4														ɹəŋ²¹²
BODY LOUSE_5	n̩rei̯ɲˀ													
BODY LOUSE_6												hahiŋ³		
BODY LOUSE_7								ma³hriɳ³⁴³						
BONE_1	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹		sɨəŋ¹	sɨːŋ³³
BONE_2												tkoːk²		
BREAST_1	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³	now	nuː	now							
BREAST_2									puː³	puː³	ʔu³		ʔuː³	
BREAST_3								panṵ³⁴³				panuː		vu⁴⁵
BURNING_1					plaot	ploːk	plaot							
BURNING_2								kĭɳ³			pɔŋ²			
BURNING_3	ʨaːlˀ											cal¹		cai̯⁴⁵
CLAW OR NAIL_1											mɔŋ³			mɔŋ͡m⁴⁵
CLAW OR NAIL_2	n̩tɒŋ													
CLAW OR NAIL_3					sam		sam						sam¹	
CLAW OR NAIL_4		kutoŋ¹	kə̆ntoŋ	katoːŋ¹		ksam		kasăm³⁴³				ksam¹		
CLOUD_1	ʑɯːl					kmil								
CLOUD_2								mek³				meːk		
CLOUD_3		mɤ̆l¹	mə̆l	məl¹	mun		mʌl		maə¹	məl¹	mə̆n¹		mʌl¹	məi̯³³
DIE_1		kɯcit³	kacit					kacɛt³⁴						
DIE_2	ʨiːt			ciːt⁵²	ceːt	ceːt	ceːt		ceːt⁵²	ceːt⁵²		cəːt¹	ceːt⁵²	cəːt⁴⁵
DOG_1			acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³		cɔː¹	cɒː³	cɔː⁴⁵
DOG_2	aʨɒʔ													
DOG_3		ʔacɔ³												
DOG_4											xwjen⁵			
DRINK_1									ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³			ʔuːŋ⁴⁵
DRINK_2		ɲo⁴	ɲu	ɲuː⁴	ɲoː⁴⁵	ɲoː⁴⁵	ɲuː⁴⁵	ɳõ³⁴³				ɲuː²	ɲoː⁴	
DRINK_3	ɲəu̯ʔ													
DRY_1	kʰoː		kʰo	kʰo	kʰaw						xo¹		kʰɔː¹	xoː³³
DRY_2		ɽɔh¹												
DRY_3								ɬɔh³						
EAR_1						patsaːj	batsaːj							
EAR_2	tʰaːi̯	ɕai̯¹	saj	saːj¹	saːj			saj³	tʰaːj¹	saːj¹	taj¹	saːj¹	saːj¹	taːi̯³³
EARTH (SOIL)_1		ɓɤn³	bən	bɤnʔ										
EARTH (SOIL)_2	atăk							atăk⁴						ɗək⁴⁵
EARTH (SOIL)_3					tɔt	tit	tʌt		tʌt⁵²	tʌt⁵²	tə̆t⁵²		tʌt⁵²	
EARTH (SOIL)_4												ʔataːk³		
EAT_1	ʔăn	ʔăn¹	ʔăn	ʔan	ʔan	ʔan	ʔan	ʔan³				ʔan¹		ʔăŋ³³
EAT_2											ăn¹			
EGG_1					klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³				
EGG_2		talul³	təlul	tuluːl³				talṵl³⁴³				tulun³		
EGG_3											ʈəŋ³			ʈɨŋ⁴⁵
EGG_4													lɨən¹	
EGG_5	uluːlˀ													
EYE_1	mʌat	mat⁴	mə̯ʌt	mə̆at⁵³	mat	mat	mat	măt³⁴	mat²	mat²	măt⁵²	mat¹	mat⁵³	măk⁴⁵
FALL_1			tlɔ									tʰaloːj⁴		
FALL_2								ɬuj³⁴³						
FALL_3											po⁵			
FALL_4		ɽa̤h²		ruh²										
FALL_5	ru						ʰlaəc							
FALL_6					ɣaəc									
FALL_7														ɹəːi̯³³
FAR_1	ŋaːi̯				ŋaːj	ŋaːj	ŋaːj						ŋaːj³	
FAR_2											sa¹			saː³³
FAR_3		ɕiŋai̯³	cə̆ŋaj	təŋaːj³				saŋa̤j³⁴³				sŋaːj²		
FAT (ORGANIC SUBSTANCE)_1									məː⁵¹	məː⁴⁵	mə⁵		məː⁵¹	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_2												atuː¹		
FAT (ORGANIC SUBSTANCE)_3	tluŋ	klŭŋ¹	kluŋ	tluŋ²										
FAT (ORGANIC SUBSTANCE)_4						puːj								
FEATHER OR FUR OR HAIR_1									loːŋ¹	loːŋ¹	loːŋ²ʔ		lɔːŋ¹	lɔŋ͡m³³
FEATHER OR FUR OR HAIR_2	utʰŭk		usuk	suk⁵²										
FEATHER OR FUR OR HAIR_3		ʔuɕŭk³						ʔaso̰k³⁴						
FIRE OR FIREWOOD_1					kuːc	kuːt	kuːc					kuʤʰ²		
FIRE OR FIREWOOD_2	ku	kul̥³	kur	kuːlʰ¹					kuːj⁵	kuːj⁵	kun⁵		kuːl⁵¹	
FIRE OR FIREWOOD_3								kuih³						
FIRE OR FIREWOOD_4														lɨə²¹⁴
FISH_1			ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	ka³	kaː¹	kaː³	kaː⁴⁵
FISH_2	akɛa̯ʔ													
FISH_3		ʔaka³												
FLESH OR MEAT_1									ɲuk⁵²	ɲuk⁵²				
FLESH OR MEAT_2	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴			tit⁵³		siːt⁵³	tʰɨt²¹²
FLESH OR MEAT_3												mɛːŋ²		
FLY (MOVE THROUGH AIR)_1	păl	pɤ̆l¹	pəl	pəl¹	pɔn	pil	pʌl	pɤ̆l⁴	paə¹	pal¹			pʌl¹	ɓai̯³³
FLY (MOVE THROUGH AIR)_2												hul¹		
FOOT_1	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³	cən¹	cən¹		ciːŋ¹	kaŋ⁵	cəŋ³³
FOOT_2											cɔ²			
FULL_1								pĭc³⁴						
FULL_2													pleː³	
FULL_3	paɲ	ɓlăm¹	blăm	blam	blam	blam	blam							
FULL_4											lăm¹			
FULL_5														ɗəi̯²¹
GIVE_1	ʨɒː		cʌə	cɤ	caə		caə							
GIVE_2		cɤ¹						cɤ³			cɔ¹			cɔː³³
GOOD_1		hăi¹	haj											
GOOD_2								di³				diː		
GOOD_3				tʰot							toːt⁵²			tok⁴⁵
GOOD_4	ʔie̯m													
HAIR (HEAD)_1	utʰŭk		usuk	suk⁵²	sok	suk	sok		tʰak⁵²	sak⁵²	tăk⁵²	sɔk¹		tɔk͡p⁴⁵
HAIR (HEAD)_2		ʔuɕŭk³												
HAIR (HEAD)_3								kɤ̰j³⁴³						
HEAD_1		kulo̤k⁴	kŭluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²	ʔɔːk¹	kloːk⁵³	
HEAD_2	ulŏk													
HEAD_3														ɗəu̯²¹
HEAD LOUSE_1		ci³	ci	ciː³	cəi	ciː	cei	cḭ⁴³	ciː³	ciː³	si³	kəː²	ciː³	cəi̯⁴⁵
HEAD LOUSE_2	ʨiʔ													
HEAR OR LISTEN_1					ŋɛː	ŋɛː	ŋɛː				ŋɛ¹			ŋɛː³³
HEAR OR LISTEN_2								ŋet³⁴tohearʔ						
HEAR OR LISTEN_3									maŋ¹	maŋ¹				
HEAR OR LISTEN_4		taŋet³	cămaŋ	cəmaŋ³										
HEAR OR LISTEN_5	ta³³ma̤ŋ³²tolistenʔ													
HEAR OR LISTEN_6												hapaŋ²		
HEART_1		toŋ¹	toŋ	toːŋ¹	sɛːm	seːm		tɒ̆ŋ³²⁴			tim¹		tiːm¹	tim³³
HEART_2												ɲiːm¹		
HEART_3	laŋo													
HEAVY_1		năŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	năŋ⁴		naŋ³	naŋ²¹²
HORN (ANATOMY)_1	takaːi̯											tkɔːj¹		
HORN (ANATOMY)_2			krɨŋ		kʰlɔŋ	kʰrɨŋ	kʰlʌŋ							
HORN (ANATOMY)_3		ʂɯ̆ŋ²		ʈəŋ²					kʰɨŋ²	kʰəŋ²			kʰrɨŋ²	sɨŋ²¹
HORN (ANATOMY)_4											ʃɨŋ²djaj¹			
I_1			ho	ho										
I_2					saw		saw							
I_3		ʔaho¹												
I_4											tɔ¹			taːu̯³³
I_5								ʔeŋ				kan³		
I_6	kɯʔ													
KILL_1											jɨet⁵²		jjɛt⁵²	jiːk⁴⁵
KILL_2	kaʨit		kacit	kəciːt⁵²		pceːt								
KILL_3		cit³												
KILL_4					ʄjɛth									
KILL_5												pɔh¹		
KNEE_1		kulo̤k⁴takul³	kŭluoktŭkul					kalŭk³⁴kul³⁴				ʔɔːkʔakuːl		
KNEE_2	lukulˀ			təkuːl³	kunkuːn		kulkuːl							
KNEE_3											ʈok⁵²kon³			
KNEE_4														ɗəu̯²¹ɡoːi̯⁴⁵
KNOW (SOMETHING)_1	hiː	hi¹	hi	hi										
KNOW (SOMETHING)_2												huʔ		
KNOW (SOMETHING)_3								ɬo³⁴³						
KNOW (SOMETHING)_4														ɓiːk⁴⁵
LEAF_1		ʔula³						salwa̰³⁴³				slaː⁴		
LEAF_2			ŭla	laː³	laː	laː	laː		laː³	laː³	la³		laː³	laː⁴⁵
LEAF_3	ulɛa̯ʔ													
LIE (REST)_1		ɲap⁴	nʌp											
LIE (REST)_2							lam	năm³²⁴			năm²	nam¹		năm²¹
LIE (REST)_3	pi													
LIE (REST)_4				təŋah¹										
LIVER_1	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²		lɔːm¹	lɔːm²	
LIVER_2											kan¹			ɡaːŋ³³
LONG_1			ʔjal	ʤal										
LONG_2		ʑa̤l²							zaːj²	zaːj²				
LONG_3								zon³						
LONG_4											jaj²			jaːi̯²¹
LONG_5	lɤːŋ				jaon	joːn	jɔːn					joːn	jɔːn¹	
MOON_1				matʈaŋ							măt⁵³ʈăŋ¹			
MOON_2		pala̤n²	pŭləan		plɔːŋ	plɔːŋ	plɔoŋ		klaŋ¹	plaŋ¹		paloːŋ¹	plɔŋ²	ʈăŋ³³
MOON_3								tʰala³²⁴						
MOON_4	n̩ra													
MOUNTAIN_1			cɨt											
MOUNTAIN_2				bluʔ										
MOUNTAIN_3					pʰlow	pʰluː	pʰlow						pʰraw³	
MOUNTAIN_4	ɗu								toːə²	toːl²				
MOUNTAIN_5		kon²						pʰŏn³⁴³				ʔaloːŋ⁴		
MOUNTAIN_6														nui̯⁴⁵
MOUNTAIN_7											lɛn²ta³			
MOUTH_1	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³										
MOUTH_2								mɜ̆ɳ³⁴	moːm²	moːm²	mom²		mɔːm¹	miːŋ²¹²
MOUTH_3												snuːj⁴		
NECK_1								katăŋ³				nəːt³		
NECK_2	ukin													
NECK_3		nɔŋ⁴												
NECK_4			tə̆ke	təkiː⁴										
NECK_5					kaw	koː	kaw		kɛːə¹	kɛːl¹	ko⁵			koː²¹⁴
NEW_1		ɓɤi̯³	bəj	bɤi̯	baːj	bəːj	baəj		məːj³	məːj³	məj³		bəːj³	məːi̯⁴⁵
NEW_2								tamə³²⁴						
NEW_3	mɛa̯h													
NIGHT_1	lɯmˀ	lɯ̆m⁴	lɨm	lum										
NIGHT_2					tɛːm	teːm	taem				tem¹	ʔamah³	teːm¹	ɗeːm³³
NOSE_1		mul³		muːlʰ¹					muːj⁵¹	muːj⁴⁵	mun⁵		muːl⁵¹	mui̯²¹⁴
NOSE_2	mu		mwʌh											
NOSE_3					muːc	muːt	muːc	mṵʤʰ³				muʤʰ¹		
OLD (USED)_1		kɯɽa¹			koː	koː	koː	tʰala³²⁴				tʰaw¹		ku²¹⁴
OLD (USED)_2				kamɐk⁵³										
OLD (USED)_3			tɨjtɨj											
OLD (USED)_4	ulɔː													
ONE_1	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	mot⁵³	muːt¹	moːt⁵³	mok²¹²
PATH OR ROAD_1	urɛa̯ʔ													
PATH OR ROAD_2														jɨə̯ŋ²¹
PATH OR ROAD_3					kʰlaː	klaː	kʰlaː		tʰaː³	kʰaː³		kʰalaː²		
PATH OR ROAD_4		ta̤ŋ²	tɨaŋ	tɯa̤ŋ										
PATH OR ROAD_5											taŋ²ti¹ʔ			
PERSON_1		ŋai̯²	ŋaj								ŋaj²			ŋɨːi̯²¹
PERSON_2				kɔːn¹	kun	kun	kɔn	kʰŏn³				kon		
PERSON_3	ʨʌmrău													
RAIN (PRECIPITATION)_1		kuma̤²	kŭmʌa	kuməa²		kʰmaː								
RAIN (PRECIPITATION)_2	mia				maː		maː		mɨa¹	mɨa¹	mɨa¹	maloːj²	mɐː²	mɨə³³
RAIN (PRECIPITATION)_3								sɯŋ⁴						
RED_1	ikaːlˀ				kaon		kɔːl							
RED_2		tɔ⁴	tɔ	tɔː⁵¹				tɔh³	tɔː⁵	tɔː⁵	tɔ⁵	tɔh¹		ɗɔː²¹⁴
ROOT_1									rac²	tʰac²				
ROOT_2											rɛt⁵³			
ROOT_3														ɹeː²¹⁴
ROOT_4	ri		ljɛ											
ROOT_5		lɛl̥³		ljɛlʰ¹				lɛl³⁴					lɛːl⁵¹	
ROOT_6												hɛh		
ROPE_1		ca̤k⁴	cak	cəak⁵³					caːk⁵³	caːk⁵³	cak⁵³		cɐːk⁵³	caːk²¹²
ROPE_2								ʔatŏŋ³²⁴				ʔatal¹		
ROPE_3	ariɲ													
ROUND_1	tlɔːn	klɔn²	klɔn	tlɔːn²				kalŏm³²⁴	klɔːn²	klɔːn²			klɔːn²	
ROUND_2											ʈɔn²			ʈɔːŋ²¹
SALT_1	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³	vɔːj³	bɔːj³	vɔj³	bɔːj¹	bɒːj³	
SALT_2														muːi̯⁴⁵
SAND_1									kaːc⁵²	kaːc⁵²	kăc⁵²			kaːk⁴⁵
SAND_2	takaːi̯c		tə̆kac	təkaːc⁵²										
SAND_3		kaɽa̤ŋ²						kʰalɤŋ³						
SAND_4					kʰlɛː	pʰlɛː	kʰlɛː							
SAND_5												tʰɛh²		
SEE_1											tə̆j³			tʰəi̯⁴⁵
SEE_2				ʒua̤m	daːm		daːm							
SEE_3	ʨɯŋ	cɯ̆ŋ¹	cɨŋ					cɤ̆ŋ³⁴						
SEE_4												nah⁴		
SIT_1	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoj²		ŋoːj²	ŋoːi̯²¹
SIT_2												cuŋ²		
SIT_3								sadoh³						
SKIN_1	arwoi̯c													
SKIN_2														jaː³³
SKIN_3									taː¹	taː¹	ta¹			
SKIN_4		kuɽot⁴	kărɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴				kʰaloːt²		
SLEEP_1	pi				tɔŋ	tɨŋ	tʌŋ							
SLEEP_2		ɲap⁴	nʌp	nəa̤p										
SLEEP_3								năm³²⁴			ŋu⁵	nam⁴		ŋu²¹⁴
SMALL_1											ɲɔ⁵			ɲɔː²¹⁴
SMALL_2			dɛdɛ		diːt		diːt	dɪt³⁴				ʔiːt		
SMALL_3				dʔuoʔ										
SMALL_4		ɗɛ⁰ɗɛ³												
SMALL_5	kʌtkʌ̆t													
SMOKE (EXHAUST)_1			kaɔj		kʰɔːj	kʰɔːj	kʰɔːj		kʰɔːj³	kʰɔːj³	xɔj³		kʰɒːj³	xɔːi̯⁴⁵
SMOKE (EXHAUST)_2		kuhɔi̯³		kəhɔːj³				kahəj³⁴³				kahɔːj¹		
SMOKE (EXHAUST)_3	ahɒːi̯													
STAR_1		kumĭŋ¹	kŭmiɲ	kumiŋ		kbeː								
STAR_2									kʰaːw¹	kʰaːw¹	ʃaw¹		kʰraːw¹	saːu̯³³
STAR_3					baɛ		bae							
STAR_4	tlɔː							kalɔ³²⁴						
STAR_5												ʔakɔːl³		
STONE_1			lata	taː³	taː	taː	taː				ta³		taː³	ɗaː⁴⁵
STONE_2	atɛa̯ʔ													
STONE_3									kʰuː⁴	fuː⁴				
STONE_4												kih³		
STONE_5								kɔnkɤl³						
STONE_6		ta⁰ta³												
SWIM_1		ʔaʑa¹												
SWIM_2											tăm³			
SWIM_3				pɤi̯	pəːj		pəːj							ɓəːi̯³³
SWIM_4	ŋuolˀ													
SWIM_5								lɔj³⁴						
SWIM_6			aja											
TAIL_1	tuoi̯	tɔ̤i̯²	tuoj	twej²	tɔːj	tɔːj	toːj		twoj¹	twoj¹	tuj¹	toːj¹	tɔːj²	ɗuəi̯³³
THICK_1		katɤ̆i̯²	kutɨej			ktaj		kapu³				kbuː		
THICK_2	uɓău				taj		taj		taj²	taj²	tăj²			
THICK_3														jai̯²¹
THIS_1			ni	ni	nəi	niː	nei				năj¹			nai̯²¹
THIS_2													naː³	
THIS_3		ʔini¹						tani³				ʔaliː¹		
THIS_4	kɯ̆i̯													
THOU_1	mɯi̯		mi	mi	məi	miː	mei						miː²	mai̯²¹
THOU_2		ʔami¹										tʰəw¹		
THOU_3											jə̆w¹			
THOU_4								căk						
TONGUE_1					laːc	laːt	laːc					laʤʰ¹		
TONGUE_2		la̤ɽ⁴		ləalʰ²				lal³	laːj⁵¹	laːj⁴⁵			lɐːl⁵¹	lɨːi̯²¹⁴
TONGUE_3			ləarl											
TONGUE_4	lieh													
TOOTH_1		kaɕăŋ¹	kasăŋ	kəsaŋ¹				kasăŋ³				ksaŋ¹		
TOOTH_2	atʰăŋ									saŋ¹	tăŋ¹			
TOOTH_3														ɹăŋ³³
TREE_1		kɤ̤i̯²	kəʌj	kəj¹		kaw			kaə¹					kəi̯³³
TREE_2					kɔn		kʌl	kil³		kəl¹	kən¹		kʌl²	
TREE_3												tʰaŋ²		
TREE_4	ʨirʌŋ													
TWO_1	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴	haːə¹	haːl¹	han¹	haːl¹	haːl¹	haːi̯³³
WALK_1	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	ti¹	tiː¹	tiː²	ɗi³³
WALK_2								ʔɤc³⁴						
WARM_1				kəʔam				taʔɯ̆m³⁴³				ptiŋ¹		
WARM_2			tɨl			tʰəːl	tʰəːl							
WARM_3	tiɲ	tĭŋ¹							ʔəm³	ʔəm³			ʔʌm³	ʔəm⁴⁵
WARM_4											ə̆m¹ə̆m³			
WATER_1	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴	raːk⁵²	daːk⁵²	djak⁵²	daːk¹	daːk⁵²	nɨːk⁴⁵
WHAT_1	amɯ̆h							mʌ						
WHAT_2		camɤ³	cămə	kɛ	ciː		ciː							
WHAT_3											si¹			
WHAT_4												ʔahəː³		
WHAT_5														ji²¹
WHITE_1											ʈăŋ³			ʈăŋ⁴⁵
WHITE_2	tlaːk	takal¹	tə̆kal	cakal	plɔːk	plɔːk	plɔk							
WHITE_3								lɒk³⁴	lɔːk⁵³	lɔːk⁵³		lɔːk³		
WHITE_4													pɐːk⁵³	
WHO_1											aj¹			
WHO_2												noː¹		
WHO_3		ʔaʔai̯¹	ʔaj	ʔaj	ʔaɛ	ʔeː	ʔae		ʔaːj¹	ʔaːj¹			ʔeː¹	ʔaːi̯³³
WHO_4								ʔavɛ³						
WHO_5	iɗɯm													
WIDE_1			ʒuoŋ		ɣoːŋ				ʐoːŋ⁴	tʰoːŋ⁴⁵				
WIDE_2	roŋˀ						ʰloːŋ						roːŋ⁴	ɹɔŋ͡m²¹²
WIND_1					jɔː		jɔː							jɔː⁴⁵
WIND_2									sɔː³	sɔː³	sɔ³		sɒː³	
WIND_3			kăjɔ	kəjɔː³		kăjɔː						kjuː¹		
WIND_4		kuʑɔ³												
WIND_5	kaʑɒʔ													
WIND_6								ka³zɔ³⁴³						
