	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
ALL_1		kuːmˈu	tʼiː		dilˈej		
ALL_2							naːpˈijo
ALL_3	jaːwˈal						
ALL_4						ʔˈuχqat̪	
ASH_1	no	no			nohˈo		hiːno
ASH_2				malˈaʔ			
ASH_3			ʔinoqoʧ				
ASH_4						χˈojonoχˌo	
BARK_1	kʰwaː	xaːwˈal	qahwaː	kʰˈawaː	ʃewˈa	χwal	kʰˈawːa
BELLY_1		kʼo		koi	kʰaʃˈeʔ	qo	
BELLY_2			ʔuhqʰa				ʔˈukʰːa
BELLY_3	mkʰa						
BIG_1	baːtʰˈe	baːtʰˈin	bahtʰe		matˈo		bˈahtʰe
BIG_2						bitˈenikʼ	
BIG_3				tʰˈijin			
BIRD_1			ʦʼiht̪a		ʦʼitʼ	ʦʼit̪ˈa	ʦʼˈiht̪a
BIRD_2	t̪a	ʦʼiːjˈa					
BIRD_3				ʧʼijit̪kaː			
BITE_1	kaːnˈe	qaːnˈeː	qane		kanˈe	qne	kˈaːni
BLACK_1		muːʃˈaqʼ					ʃakʼːa
BLACK_2				ʧʼihkˈil			
BLACK_3	kʼli		kʼili		kʰaʦʼˈe		
BLACK_4						luqʼˈolqʼo	
BLOOD_1	baːlˈaj	baːlˈaj	balaj		balˈaj	blaj	bˈaːlaj
BLOOD_2				ʧes			
BONE_1			ʔihjaː				ʔˈiːha
BONE_2	jaː	j̥a		hˈija	jaː	jaqʼo	
BREAST_1		jeːʔˈel		jˈeʔeː	jeʔˈeː	wʔel	
BREAST_2				t̪ʰˈeʔeː			
BURN (SOMETHING)_1		ʃaːtʼˈoː					
BURN (SOMETHING)_2			muhkʰujʔ				
CLAW OR NAIL_1			heːʧʼ	hˈeːʧʼa	heʧʼ		heːʧʼ
CLAW OR NAIL_2	ʔeːʧʼ					ʔaʃˈab	
CLAW OR NAIL_3		rikʰ					
CLOUD_1	kʰbaː	xaːbˈo	qʰabaː		pʰut̪ʼ	xubˈu	kʰˈabʔa
CLOUD_2				kʰˈaʔbot̪on			
COLD_1	kʼiw		ʔihjuːm				
COLD_2		qaːʦʰˈil				qsˈilit̪	
COLD_3					mˈadoː		moʔdotʼ
COLD_4				ʃˈoʔt̪ʼon			
COME_1	waːd		waːd		waːdˈe		hwˈaːd
COME_2				kˈoːn		χolo	
COME_3		qˈoːjuhu					
DIE_1	kʼla				kʼˈalaː	qʼalˈal	
DIE_2		muːdˈal					
DIE_3				muʔkʼˈaːwan			
DIE_4							ʔahʧʰˈoʧi
DIE_5			hʧʰojiːʧʼ				
DOG_1	hˈaju	hˈaju	haju		hajˈu	hˈaju	hˈajːu
DOG_2				boʔlˈaukaː			
DRINK_1			ʔqʼo				hˈoʔkʼoj
DRINK_2	kʼoʧ	qʼˈoː		kʼˈot̪on	kʼoʧˈi		
DRINK_3						biʦʼˈak	
DRY_1	ʧʼaːlˈol	kʼaːlˈol					
DRY_2			ʦʼuwaʧ				
DRY_3					tʼabˈoʔ	qʼobo	
DRY_4							mˈukʰːatʼ
DRY_5				muʔkʼilin			
EAR_1	ʃma	ʃiːmˈaː	ʃima	ʃˈima	ʃimˈa		ʃiːmˈomo
EAR_2						xmˈanʦa	
EARTH (SOIL)_1	maː	kaːj	ʔamaː	ˈamaː	maː		ʔˈamːa
EARTH (SOIL)_2						χqo	
EAT_1			maʔa	mˈaʔaːn	maʔˈa		
EAT_2	kaːwˈa					qwal	
EAT_3		kuːhˈuː					ʧˈuhːu
EGG_1	ʧʼoː	kʼˈo	hiʧʼoː	ʧʼˈo	ʧʼoː	qʼo	hˈiʧʼːo
EYE_1	ʔuj	ʔuj	huʔuj		ʔuj	ʔuj	
EYE_2				ui			
EYE_3							huʔːˈukʰbe
FAR_1		lˈila					
FAR_2					ʧadil		
FAT (FROM ANIMALS)_1			ʔihpʰuj				ʔihpʰuj
FAT (FROM ANIMALS)_2	pʰuj	pʰuj		fˈijin	pʰuj	fuj	
FEATHER_1	ʔi	jiːʔˈi	hiʔi	tʰˈa	tʰe	ʔi	hiʔːi
FIRE_1	ho	xo	ʔoho	ˈoho	ho	χo	ʔˈohːo
FISH_1			ʔahʃa				ʔˈahʃa
FISH_2	ʃa	ʃa		ʃˈakaː	ʃa	xa	
FLY (MOVE THROUGH AIR)_1				hˈeːwit̪in			haʧːa
FLY (MOVE THROUGH AIR)_2	pʰde	pʰuːdˈiːl	ʧa		pʰidˈe	ʦal	
FOOT_1	kʰma	xaːmˈaː	qʰama	kʰˈama	kʰamˈa	χman	kʰˈaːma
FULL_1		pʼˈit̪ʼ					
FULL_2					haʧʼa		
FULL_3	ʃtʼutʼ		ʧutʼaːq				
FULL_4						χˈat̪emat̪	
FULL_5							ʔˈahjakʼ
GIVE_1	daːkˈa	diːqˈaː	dihqa		dikˈa	ʔaqa	dˈihka
GIVE_2				hˈoːn			
GOOD_1	kʼdi	qʼoːdˈij	qʼoʔdi	kʼˈudi	kʼidˈi		kʼˈoʔdi
GOOD_2						ʦʼimˈa	
GREEN_1	ʦʼaːkʰˈil		ʦʼaqʰaːla		ʦʼakʰˈatʼ		ʦʼˈahkʰil
GREEN_2						ʦʼijaʦʼija	
GREEN_3				ʧamˈoron			
GREEN_4		ʦʼaːbˈaʦʼaːbˌakʰ					
HAIR_1	ʔeː				ʔe	ʔej	
HAIR_2			heʔe	hˈele			hˈeʔːe
HAIR_3		muːsˈu					
HAND_1	t̪ʰna				t̪ʰanˈa	at̪ˈan	t̪ʰˈaːna
HAND_2			ʧohʃo	t̪ˈohʃo			
HAND_3		biːj̥ˈa					
HEAD_1	ʃnaː	kʰaːjˈa		t̪ˈinaː	ʃˈinaː	xijˈa	ʃinːa
HEAD_2			hoʔt̪ʼo				
HEAR_1	ʃoːʧ	ʃoːkʰ	ʃoːʧ	ʃˈimit̪	ʃoːʧi	xkʼo	ʃoːʧi
HEART_1			ʦʼuhkul			ʦʼukut̪	ʦʼˈuhkun
HEART_2	kʰam	saːmˈaːj			kʰam		
HEART_3				kʰamʃeme			
HEAVY_1		xaːlˈikʰ					
HEAVY_2						ʔtʼˈeʔkit̪	
HORN (ANATOMY)_1	ʔa	ʔa	haʔa	ʔa	ʔa	ʔa	hˈaʔːa
I_1	ʔaː~t̪oː		ʔa~t̪o	ʔaː~ʔˈaht̪o	ʔaː~t̪oː	ʔa	ʔˈaːʔa~ʔat̪ːo
I_2		wi				wit̪	
I_3		haː					
KILL_1		ʃaːkʼ	pʰakʼuːm		ʧaban		
KILL_2	haːkʼˈuːm						
KILL_3				kʼˈamanan			
KILL_4						mudˈoqa	
KILL_5							mihjˈana
KNEE_1		qʼuːt̪ˈul				qʼadˈa	
KNEE_2			moqʰoː				
KNEE_3	snoː						sinːˈot̪ːa
KNEE_4					jaːsˈis		
KNEE_5				ʃˈiʔkʼˈono			
KNOW (SOMETHING)_1			ʔduːʧiʧʼ				hiʔduʧːˈed
KNOW (SOMETHING)_2	jaqʼ						
KNOW (SOMETHING)_3					ʃaː		
KNOW (SOMETHING)_4						fdˈiqa	
KNOW (SOMETHING)_5		meːʔˈel					
LEAF_1				t̪ˈuʔt̪ʼa		kˈiqt̪a	
LEAF_2	stʼal	siːtʼˈal	ʃihpʰa		ʃapʰˈa		ʃiːma
LIE (REST)_1	mti	mer	miti	mˈeːre	mitˈi	mat	miːti
LIVER_1	ʃaːlˈaː	kʰaːl̥ˈal	ʧahlaː	ʧʰˈalaː	ʃˈalaː	ʃlal~ʃlala	ʧˈalha
LONG_1	kol			kˈolon	kol		
LONG_2			ʔahqol				ʔˈahkon
LONG_3		baːkˈil				biʦˈil	
LOUSE_1			ʔahʧi				ʔˈahʧi
LOUSE_2	ʧi	kiː		t̪ˈikaː	ʧi	ʦin	
MAN_1	bˈaja	kaːkʰ		bˈiki	baː	ʦˈawi	
MAN_2							ʔˈaʧːaj
MAN_3			hiʔbaja				
MANY_1	t̪ʰˈedu		batʰeː	bˈahtʰe	batʰˈe	bitˈeqa	bˈahtʰe
MEAT_1	pʼʃe	biːʃˈe	bihʃe	bˈehʃe	biʃˈe	bxe	behʃe
MOON_1			qʼalaːʃa			ʔeweda	ʔalːˈaːʃa
MOON_2		duːwˈelˌaː			da		
MOON_3	lˈaːʃa						
MOON_4				dˈuwedakaː			
MOUNTAIN_1	daːnˈo	daːnˈo	dono		danˈo	kno	dˈoːno
MOUNTAIN_2				wˈiʃaː			
MOUTH_1		xˈaʦʼiːda				χˈast̪o	
MOUTH_2			ʔaha				ʔˈahːa
MOUTH_3	ha			hˈamo	ha		
NAME_1	ʃi	ʃi		ahʃˈin	ʃi	xi	
NAME_2							ʔahʃiːjaw
NAME_3			ʃihʧimaːʧʼ				
NECK_1	mja	qʼoj	mihja		kʰu	qʼoj	mˈihja
NECK_2				hˈuʔkʼa			
NEW_1	ʃwej	ʃiːwˈej	ʃiwej	ʃˈewej	ʃiwˈej	qe	ʃˈeːwej
NIGHT_1	ʔaːwˈe	duːwˈe	duwe	dˈuwe	diwˈe	ʔewˈe	dˈuːwe
NOSE_1	la		ʔila	lˈimo	la	la	
NOSE_2		lˈaboːbo					
NOSE_3							hiːlˈamʔda
NOT_1	ʧʰow	kʰuj	t̪ʰin	ʧʰˈoːt̪on	kʼo	da	t̪ʰot̪ʰ
ONE_1	tʼaːtʼˈo	kʼˈali		ʧʼˈaːki	ʧʼaː	dan	ʧʼˈaːʔa
ONE_2			hku				
PERSON_1			ʔaʧaːʧ				ʔahʧˈahʧej
PERSON_2	ʧaːʧʼ	kaːwkʰ		t̪ˈaːt̪kaː	ʧaʔ		
PERSON_3						ʔˈumt̪iwi	
RAIN (PRECIPITATION)_1	ʧʰe	kʰiːkˈeː					
RAIN (PRECIPITATION)_2			ʔihʧʰe				ʧˈehʧʰe
RAIN (PRECIPITATION)_3					biʃˈemaː	sʦʼen	
RAIN (PRECIPITATION)_4				ʃˈiʔt̪ʼoːn			
RED_1	tʼas		kʼiːs		t̪ʼaʦʼ	t̪ʼˈant̪ʼan	
RED_2							hˈatʼːa
RED_3				ʧʼabˈaran			
RED_4		qʼedˈaqʼedˌakʰ					
ROAD_1			hiʔda				hˈiʔda
ROAD_2	da	dˈadaj		da	da	dˈawa	
ROOT_1	saːmˈa	ʦʰiʦʰ				sumˈa	sˈuːlen
ROOT_2					jem		
ROOT_3			ʔihqʰot				
ROUND_1			poloːlo		ʧʼadˈol		
ROUND_2	ʃbokʼ						
ROUND_3						bˈunbun	
ROUND_4							lˈupːu
ROUND_5				mukˈaːkan			
SALT_1		kʰeːʔˈeː	taʔqʼo	ʧʰˈeʔeː	ʃeʔˈeː		taʔkʼo
SAND_1	mʦatʼ		mitaʧ		miʧˈatʼ	mat̪ˈak	
SAND_2		tʰaːʔˈaː					mˈiːtaj
SAND_3				hˈino			
SAY_1	mi	n̥iː		wˈeːn		muwˈat̪a	
SAY_2			nihʧe				
SAY_3							ʧˈahnu
SAY_4					heʔ		
SEE_1		kaːr	ʧad	t̪aːn	ʧadi		ʧˈaːd
SEE_2	pʰwi						
SEE_3						mqo	
SEED_1	sˈemija		semíːja		soː	semˈeja	simˈiːja
SEED_2		qˈaːsoj					
