	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ALL_1						bulˈafʼkaʔ										ʔˈuχqat̪				
ALL_2			kʰˈumitʼʲin																	
ALL_3							nʲaːmat̪													
ALL_4		panauma											panauma						panauma	
ALL_5				saːm	kuːmˈu													ʧamʎ̥~ɲaʧˈamʎ̥		
ALL_6								koːβúɾa						koːχ						
ALL_7									tʼiː	paj		dilˈej			ʔwiːwawáw					pˈaja
ALL_8																	naːpˈijo			
ALL_9	jaːwˈal																			
ALL_10															ʔwiːwaːwahúʔ					
ASH_1				xmʔuɬ			ʔəmpiɬ		ʔinoqoʧ											
ASH_2																χˈojonoχˌo				
ASH_3														ʔantˈimak						
ASH_4																				ʔmhˈúˑl~ʔmhˈûˑl
ASH_5						ɬˈabi		ámtaːp												
ASH_6										hamʔuːʎ							hiːno			
ASH_7	no				no							nohˈo			máhawa					
ASH_8											malˈaʔ									
ASH_9			mˈaʦʼχipa																	
ASH_10													tʼapʔlaːwiʔauna							
BARK_1			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_2								máːn						inˈaːiɬ						
BARK_3	kʰwaː				xaːwˈal				qahwaː		kʰˈawaː	ʃewˈa				χwal	kʰˈawːa			
BARK_4							xaːsəjaɬ													
BARK_5				ʂxujˈal																θpˈîla
BARK_6										ʧaθkʷil										
BARK_7													patʔjauna							
BARK_8						lˈiʃmikʼek														
BELLY_1												kʰaʃˈeʔ			ʔíʧnit					
BELLY_2													willa	jaχ					willa	
BELLY_3				ʔiʧˈu					ʔuhqʰa								ʔˈukʰːa			
BELLY_4	mkʰa				kʼo		ət̪uː			iːto	koi					qo		t̪u		
BELLY_5						laɡˈuʔu														
BELLY_6																				mnˈûˑna
BELLY_7								βiʃβaːn												
BELLY_8			hˈutʲunew																	
BIG_1						ʔaɡwˈeɡaʔ								kˈaːkox						
BIG_2															kʼimpíʔ					
BIG_3			ʧˈewːu								tʰˈijin							t̪aj		
BIG_4	baːtʰˈe	paʦal		pt̪aj	baːtʰˈin		ʔiːkuː	kêːʧ	bahtʰe	vaʎtajm~vatajm		matˈo	paʦal				bˈahtʰe		paʦal	βtˈe
BIG_5																bitˈenikʼ				
BIRD_1			tˈiʔira																	
BIRD_2													ʦutʔawi							
BIRD_3							ʔaːʂaː			ʔiʧajer~ʔiʧijer								aʔʃˈa		ʔʧsˈa
