	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ALL_1						bulˈafʼkaʔ										ʔˈuχqat̪				
ALL_2			kʰˈumitʼʲin				nʲaːmat̪													
ALL_3		panauma			kuːmˈu								panauma						panauma	
ALL_4				saːm														ʧamʎ̥~ɲaʧˈamʎ̥		
ALL_5								koːβúɾa						koːχ						
ALL_6									tʼiː						ʔwiːwaːwahúʔ~ʔwiːwawáw					
ALL_7										paj		dilˈej					naːpˈijo			pˈaja
ALL_8	jaːwˈal																			
ASH_1				xmʔuɬ			ʔəmpiɬ		ʔinoqoʧ							χˈojonoχˌo				
ASH_2														ʔantˈimak						
ASH_3			mˈaʦʼχipa								malˈaʔ									
ASH_4						ɬˈabi		ámtaːp												
ASH_5													tʼapʔlaːwiʔauna							
ASH_6																				ʔmhˈúˑl~ʔmhˈûˑl
ASH_7	no				no							nohˈo			máhawa					
ASH_8										hamʔuːʎ							hiːno			
BARK_1				ʂxujˈal						ʧaθkʷil										θpˈîla
BARK_2	kʰwaː				xaːwˈal		xaːsəjaɬ		qahwaː		kʰˈawaː	ʃewˈa				χwal	kʰˈawːa			
BARK_3													patʔjauna							
BARK_4			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_5								máːn						inˈaːiɬ						
BARK_6						lˈiʃmikʼek														
BELLY_1													willa	jaχ					willa	
BELLY_2					kʼo						koi					qo				
BELLY_3							ət̪uː			iːto								t̪u		
BELLY_4			hˈutʲunew																	
BELLY_5	mkʰa																			
BELLY_6						laɡˈuʔu														
BELLY_7																				mnˈûˑna
BELLY_8									ʔuhqʰa								ʔˈukʰːa			
BELLY_9				ʔiʧˈu								kʰaʃˈeʔ			ʔíʧnit					
BELLY_10								βiʃβaːn												
BIG_1			ʧˈewːu								tʰˈijin							t̪aj		
BIG_2	baːtʰˈe	paʦal		pt̪aj	baːtʰˈin				bahtʰe	vaʎtajm~vatajm		matˈo	paʦal			bitˈenikʼ	bˈahtʰe		paʦal	βtˈe
BIG_3						ʔaɡwˈeɡaʔ	ʔiːkuː							kˈaːkox	kʼimpíʔ					
BIG_4								kêːʧ												
BIRD_1					ʦʼiːjˈa						ʧʼijit̪kaː									
BIRD_2	t̪a			ʃa														aːʃˈa		
BIRD_3						ɬˈaɡa		aʧβiːβ	ʦʼiht̪a			ʦʼitʼ		ʃiːk	ʧʼíːʧʼaːx	ʦʼit̪ˈa	ʦʼˈiht̪a			
BIRD_4			tˈiʔira										ʦutʔawi							
BIRD_5							ʔaːʂaː			ʔiʧajer~ʔiʧijer								aʔʃˈa		ʔʧsˈa
BITE_1	kaːnˈe				qaːnˈeː				qane			kanˈe				qne	kˈaːni			
BITE_2		ʦa		ʂaː				paɾ					ʦa						ʦa	
BITE_3			utpa												táʔuxáwiːk					
BITE_4						diɡˈaʔma	ʧuːkuw			ʧakʲoːk								ʧuːkˈaw		ʧkʲˈo
BITE_5														kkˈatχɬa						
BLACK_1				ɲiːʎ̥			nʲiɬʲ			ɲaːʔiːʎ								ɲiʎ̥		
BLACK_2			ʧʰˈeleʔi																	
BLACK_3					muːʃˈaqʼ												ʃakʼːa			
BLACK_4								ikxáɾamkuniʃ												
BLACK_5						ʔˈumi														ʔɲˈáː
BLACK_6	kʼli								kʼili							luqʼˈolqʼo				
BLACK_7		tapʰalsa										kʰaʦʼˈe	tapʰalsa	kˈoːpoɬ					tahpʰalsa	
BLACK_8															ʔeːpxútáraxiʔ					
BLACK_9											ʧʼihkˈil									
BLOOD_1											ʧes			ʔˈaːit				xʷat		
BLOOD_2							ʔəxʷat								ʔáxta					ʔhʷˈata
BLOOD_3				ɲxʷat		laʍˈaʦʼ				ɲahʷat										
BLOOD_4			sˈiʦqʼi																	
BLOOD_5	baːlˈaj				baːlˈaj				balaj			balˈaj				blaj	bˈaːlaj			
BLOOD_6		watʔtuwi											watʔtuwi							
BLOOD_7								áːx												
BONE_1							aq									jaqʼo		ak		
BONE_2				ɲjaːk						ɲasak										
BONE_3														ˈitak	ʔaːkʼ					ʧjˈaˑka
BONE_4						lˈeɡaɬ														
BONE_5		ʔixtalʔ											ʔixtalʔ						ʔaxtatʔ	
BONE_6			ʦʰʲˈatʰχun																	
BONE_7								ípih	ʔihjaː								ʔˈiːha			
BONE_8	jaː				j̥a							jaː								
BONE_9											hˈija									
BREAST_1					jeːʔˈel						jˈeʔeː	jeʔˈeː				wʔel				
BREAST_2								iθβaːj												
BREAST_3																				ɲmˈaja
BREAST_4										iːwa										
BREAST_5				ʧxkaɾ									ʦuxpinna					t̪əxkˈar		
BREAST_6							iːʧix				t̪ʰˈeʔeː									
BREAST_7				xʧkaɾ																
BREAST_8															ʔíʧwat					
BREAST_9						ɬonʃˈahmaʔ														
BREAST_10														ˈiːsaχiːʃk						
BREAST_11			huʔsˈiʔ																	
BURN (SOMETHING)_1				ʎ̥maɾ														aʎ̥mˈar		
BURN (SOMETHING)_2							aːɹaːw													
BURN (SOMETHING)_3						dibiʔˈeʔma				tapoːmm										
BURN (SOMETHING)_4														kaʔˈitax						
BURN (SOMETHING)_5					ʃaːtʼˈoː															
BURN (SOMETHING)_6																				tˈu
BURN (SOMETHING)_7		haʔwiː						áːhka					haʔwiː						haʔwiː	
BURN (SOMETHING)_8									muhkʰujʔ											
CIRCULAR (ROUND IN TWO DIMENSIONS)_1				ɾjaɾ			jaɹəjaɹ											jərjˈar		
CIRCULAR (ROUND IN TWO DIMENSIONS)_2														kpˈɛːtix						
CLAW OR NAIL_1									heːʧʼ		hˈeːʧʼa	heʧʼ					heːʧʼ			
CLAW OR NAIL_2						ɬaʔnˈaɬuk								inˈoːsx						
CLAW OR NAIL_3				ɬkaxʷˈaw~ʎ̥kaxʷˈaw																
CLAW OR NAIL_4					rikʰ															
CLAW OR NAIL_5													sukʼuʔliptalla						sukʼuʔnimtanna	
CLAW OR NAIL_6										iːsaʎkuʎoho										slhβˈoˑ
CLAW OR NAIL_7							salʲəxʷuːw											ʃaʎ̥nəpˈuːl		
CLAW OR NAIL_8	ʔeːʧʼ		pˈolaχot												ʔéːraxa	ʔaʃˈab				
CLAW OR NAIL_9								axpih												
CLOUD_1				kʷiː														kʷiː		
CLOUD_2												pʰut̪ʼ								
CLOUD_3						lummˈawaj														
CLOUD_4											kʰˈaʔbot̪on						kʰˈabʔa			
CLOUD_5	kʰbaː				xaːbˈo		ʔəkʷiːj		qʰabaː	ʔiːkʷe				ʔˈoːkaɬa		xubˈu				ʔkʷˈi
CLOUD_6															ʔíːpaːkúʔ					
CLOUD_7								pikxáɾampa												
CLOUD_8			hawˈetaʔm																	
COLD_1	kʼiw								ʔihjuːm											
COLD_2				xsuːɾ			xəʧuːɹ													
