	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ALL_1						bulˈafʼkaʔ										ʔˈuχqat̪				
ALL_2			kʰˈumitʼʲin																	
ALL_3							nʲaːmat̪													
ALL_4		panauma			kuːmˈu								panauma						panauma	
ALL_5				saːm														ʧamʎ̥~ɲaʧˈamʎ̥		
ALL_6								koːβúɾa						koːχ						
ALL_7									tʼiː						ʔwiːwaːwahúʔ~ʔwiːwawáw					
ALL_8										paj		dilˈej					naːpˈijo			pˈaja
ALL_9	jaːwˈal																			
ASH_1				xmʔuɬ			ʔəmpiɬ		ʔinoqoʧ							χˈojonoχˌo				
ASH_2														ʔantˈimak						
ASH_3			mˈaʦʼχipa																	
ASH_4											malˈaʔ									
ASH_5						ɬˈabi		ámtaːp												
ASH_6													tʼapʔlaːwiʔauna							
ASH_7																				ʔmhˈúˑl~ʔmhˈûˑl
ASH_8	no				no							nohˈo			máhawa					
ASH_9										hamʔuːʎ							hiːno			
BARK_1				ʂxujˈal																θpˈîla
BARK_2										ʧaθkʷil										
BARK_3	kʰwaː				xaːwˈal				qahwaː		kʰˈawaː	ʃewˈa				χwal	kʰˈawːa			
BARK_4							xaːsəjaɬ													
BARK_5													patʔjauna							
BARK_6			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_7								máːn												
BARK_8														inˈaːiɬ						
BARK_9						lˈiʃmikʼek														
BELLY_1													willa						willa	
BELLY_2														jaχ						
BELLY_3					kʼo						koi					qo				
BELLY_4							ət̪uː			iːto								t̪u		
BELLY_5			hˈutʲunew																	
BELLY_6	mkʰa																			
BELLY_7						laɡˈuʔu														
BELLY_8																				mnˈûˑna
BELLY_9									ʔuhqʰa								ʔˈukʰːa			
BELLY_10				ʔiʧˈu								kʰaʃˈeʔ			ʔíʧnit					
BELLY_11								βiʃβaːn												
BIG_1			ʧˈewːu								tʰˈijin							t̪aj		
BIG_2	baːtʰˈe	paʦal		pt̪aj	baːtʰˈin				bahtʰe	vaʎtajm~vatajm		matˈo	paʦal				bˈahtʰe		paʦal	βtˈe
BIG_3																bitˈenikʼ				
BIG_4						ʔaɡwˈeɡaʔ								kˈaːkox						
BIG_5							ʔiːkuː													
BIG_6															kʼimpíʔ					
BIG_7								kêːʧ												
BIRD_1					ʦʼiːjˈa															
BIRD_2											ʧʼijit̪kaː									
BIRD_3	t̪a			ʃa														aːʃˈa		
BIRD_4								aʧβiːβ							ʧʼíːʧʼaːx					
