	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
ALL_1		fsˈiʧkʲi							fʂˈɨstɛk		fʃˈɛtɔk					
ALL_2				fʃˈɛxɛn												
ALL_3	uvʲˈesʲ		vas		vjes	viss	vʲˈɪsɐs			vʲesʲ		ʋə́s	ʋɛsʲ	vɛs		
ALL_4								sidef							sva~sa	sâʋ
ASH_1	pˈopʲeɫ	pˈɛpɛɫ	pjěpɛl	pˈopɛl	pˈæpæl			pepel	pˈɔpʲjuw	pʲˈepʲɪɫ	pˈɔpɔɫ	pɛpɛ̀ːu̯	pˈɔpʲiɫ	pɔ̌ːpɛl	pˈɔpɛl	pêpeo
ASH_2										zɐɫˈa			zɔɫˈɑ			
ASH_3						pæ̌lni	pʲɛlʲɛnɐ̌j									
BACK_1				ɦr̝bɛt							xˈr̩baːt	xrbɛ́t				xř̩bat
BACK_2									ɡʐbʲjɛt							
BACK_3	sʲpʲˈina									spʲɪnˈa			spˈɪnɐ			
BACK_4				zˈaːda												lěːʥa
BACK_5		ɡrɤp							plˈɛʦɨ							
BARK_1	karˈa	korˈa	ku̯ɔ̌ra	kˈuːra	kˈu̯orɒ			kora	kˈɔɾa	kɐrˈa	kˈʊ̯ɔra	skɔ̀ːra	kɔrˈɑ	kɔ̌ːra	kˈɔra	kôra
BARK_2						miza										
BARK_3							ʒʲjɛvʲěː									
BARK_4												lùːbjɛ				
BELLY_1		tɐrbˈux	tˈr̩buːɦ		tˈɛrbuh		pʲǐɫvɐs					trɛ̀ːbux		tɛrbˈux	tr̩bˈux	tř̩bux
BELLY_2	ʐɨvˈot									ʐɨvˈot			ʒɪʋʲˈit			
BELLY_3								mef								
BELLY_4				br̝ˈɪxo	drowb				bʐux		brˈuxɔ					
BELLY_5						væ̂ːdæ̌rs										
BIG_1		ɡolʲˈam						ɡoʎem								
BIG_2	vʲælʲˈikʲi		vˈɛliːk~vjělik	vˈɛlkiː	vˈæli~vˈælːi~vˈælik				vʲjˈɛlkʲi	bɐlʲʂˈoɪ̯				věːli	vêːli	
BIG_3											ʋˈɛʎkiː	ʋéːlik	ʋɛɫˈɪkɪi̯			ʋêlik
BIG_4						ljɛls										
BIG_5		ˈɛdɐr							dˈuʐɨ							
BIG_6							dʲˈɪdʲɛlʲɪs									
BIRD_1			tˈiʦa		tˈiʦːa			piʎe							tic	
BIRD_2	ptax~ptˈuʂka	ptˈiʦɐ	ptˈiʦa	ptaːk		putns			ptak	ptʲˈiʦə	ftaːk	ptíʧ~ptìːʦa	ptɑx	ftˈiʦa		ptîʦa
BIRD_3							pɐ̌wkʃʲtʲɪs									
BITE_1		xˈapʲɐ~uxˈapʲɐ														
BITE_2	kusˈaʦʲ		ɡrîːst	kˈou̯sat	ɡris	kuɔ̯̂st	kɑ̂ːsʲtʲɪ	kəsa	kˈɔw̃saʨ	kʊsˈatʲ	kˈuːsac	ɡrìːsti	kʊsˈɑtɪ	ɡrǐːst	ɡris	ɡrîsti
BLACK_1	ʧˈornɨ	ʧˈɛrɛn	ʧjêran~ʧjêraːn	ʧˈɛrniː	ʧɛrn			ʦr̩n	ʈ͡ʂˈaɾnɨ	ʨˈɵrnɨɪ̯	ʧˈɪ̯ɛrni	ʧə̀rn	ʧˈɔrnɪi̯	ʧěːrni~ʧˈɛrni	ʧr̩̂n	ʦr̩̂ːn
BLACK_2						mǣlns										
BLACK_3							juə̂dɐs									
BLOOD_1	krow	krɤf	kr̩v	krɛf	kɛrv		krɐ̌wjɐs	kr̩f	kɾɛf	krofʲ	kr̩ʋ	krìː	krɔu̯	krîːj	kr̩̂f	kr̩̂ːʋ
BLOOD_2						asǐns										
BONE_1	kosʲʦʲ	kɔst	ku̯ôst	kost	kows	kāwls	kɐ̂wɫɐs	koska	kɔɕʨ	kosʲtʲ	kɔsc	kɔ̀ːst	kʲˈistkɐ	kôːst	ku̯ôs	kôːst
BREAST_1				ɦruc									ɦrˈudɪ			
BREAST_2			pˈr̩sa~pˈr̩si		pˈɛrsi				pʲjɛɾɕ		pˈr̩sɪ̯a	pə́rsi		pˈɛrsɛ	pˈr̩sa	pr̩̂sa
BREAST_3	ʁrˈuʣʲi	ɡrɤt				krǔːts~krǔːtis	kruːtʲˈɪnʲeː	ɡrada		ɡrutʲ						ɡrûːdi
BURN_1					ʒɡɒt	dɛʣinâːt	dʲæ̌ɡʲɪntʲɪ									
BURN_2										zʐɛʨ		sɛʒɡàːti				
BURN_3				ɦˈor̝ɛt							ɦˈɔrɪ̯ɛc		ɦɔɾʲˈitɪ			
BURN_4	ʁarˈɛʦʲ~palʲˈiʦʲ	ɡorʲˈɤ		pˈaːlɪt				ɡori	pˈalʲiʨ ɕɛ	ɡɐrʲˈetʲ	pˈaːɫic	ɡɔrɛ̀ːti	pɐɫˈɪtɪ	ɡɔrˈɛt	paːlˈit	ɡǒrjeti
CLOUD_1						māːkuɔ̯̂nis										
CLOUD_2							dʲɛbʲɛsʲˈɪs									
CLOUD_3									xmˈuɾa				xmˈɑrɐ			
CLOUD_4	vˈobɫaka	ˈɔbɫɐk	u̯ɔ̌blak~ʔˈɔblak	mrak~ˈoblak	ˈu̯oblɒk			oblak	ˈɔbwɔk	ˈobɫəkə	ˈɔbɫak~mrak	ɔblàːk		ɔ̌ːblak	ˈɔblak	ôblaːk
COLD_1			mˈr̩zal									mə̀rzɛu̯				
COLD_2		studˈɛn		stˈudɛniː				studen			stˈuɟɛniː					
COLD_3	xaɫˈodnɨ				zdæn				xwˈɔdnɨ	xɐɫˈodnɨɪ̯		xlàːdɛn	xɔɫˈɔdnɪi̯	xlǎːdni	xlâːdan	xlǎːdan
COLD_4							ʃɐ̂ɫtɐs									
COLD_5						āwksts										
COME_1		ˈidɐ~dˈɔjdɐ	du̯ôjt		dowt~du̯ojt~dˈowti		ɐtʲêjtʲɪ	idi~doj								dǒːʨi
COME_2	prɨjsʲʦʲˈi			pr̝̊ˈɪjiːt						prʲɪjtʲˈi	priːsc	prìːti	prɪjtˈɪ	prǐːt	prǐːt	
COME_3									pʂɨjɕʨ							
COME_4						atnāːkt										
COUNT_1		brˈɔjɐ														brǒjiti
COUNT_2				pˈoʧiːtat							pˈɔʧiːtac					
COUNT_3	lʲiʧˈɨʦʲ								lʲˈiʈ͡ʂɨʨ	ɕːɪtˈatʲ		ʃtɛ̀ːti	lʲiʧˈɪtɪ			
DIE_1		umrˈɤ	ˈumriːt	ˈumr̝iːt	mrejt	mīrt	mʲǐrʲtʲɪ	umri	ˈumʐɛʨ	ʊmʲɪrʲˈetʲ	ˈumrɪ̯ɛc	umrɛ̀ːti		umrěːt	umrjěːt	ǔmrjeːti
DIE_2	pamʲˈerʦʲi					nuɔ̯̌mīrt	nʊmʲǐrʲtʲɪ						pɔmˈɛrtɪ	pɔmrěːt		
DIE_3											zˈɔmrɪ̯ɛc					
DIRTY_1				ʃpˈɪnaviː							ʃpˈinaʋiː					
DIRTY_2		mrˈɤsɛn										umàːzan				
DIRTY_3	brˈudnɨ								bɾˈudnɨ	ɡrʲˈaznɨɪ̯			brʊdnˈɪi̯			
DIRTY_4																pr̩̂ʎaʋ
DOG_1	sabˈaka				ʦˈuʦːæk~ʦˈuːʦæk					sɐbˈakə			sɔbˈɑkɐ			
DOG_2		kˈuʧɛ	pas	pɛs		sǔns		kuʧe	pʲjɛs		pɛs	pɛ́s		pɛs	brɛk	pâs
DOG_3							ʃuə̌									
DRINK_1		pˈijɐ						pije								
DRINK_2	pʲiʦʲ		pit	piːt	pit~piːt	ʣêrt	ɡʲæ̂rʲtʲɪ		pʲiʨ	pʲitʲ	pic	pìːti	pˈɪtɪ	pit	pit	pîti
DRY_1	suxʲˈi	sux	sûːɦ	sˈuxiː	suːh	sǎwss	sɐ̌wsɐs	suf	sˈuxɨ	sʊxˈoɪ̯	sˈuxiː	sùːx	sʊxˈɪi̯	sûːx	sûːx	sûːx
EAR_1						ǎwss	ɐwsʲˈɪs									
EAR_2	vˈuxa	uxˈɔ	ǔːɦɔ	ˈuxo				uvo	ˈuxɔ	ˈuxə	ˈuxɔ	uxɔ̀ː	wˈuxɔ	ûːxɔ	ûːxɔ	ûxo
EAR_3					vuʃˈejso											
EARTH_1	zʲæmlʲˈæ	zɛmʲˈa	zˈɛmʎa~zˈɛmja	zˈɛmɲɛ	zˈæmʎɒ~zˈæmjɒ	zɛmɛ	ʒʲæ̌mʲeː	zemʲa	ʑˈɛmʲja	zʲɪmlʲˈa	zɛm	zéːmla	zɛmlʲˈɑ	zɛmjˈa	zɛmʎˈa	zěmʎa
EAT_1	jˈesʲʦʲi	jam	jîːst	jiːst	jejs	êːst		jaj	jɛɕʨ	jesʲtʲ	jɛsc	jɛ̀ːsti	jˈistɪ	jɛst	jɛs	jêsti
