	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
EAT_2							vɐ̂ɫɡʲiːtʲɪ									
EGG_1	jˈæjka	jɐjʦˈɛ	jâːjʦɛ		jˈɒjʦæ	uɔ̯la		jajʦe	jˈajkɔ	jɪjʦˈo	ʋˈajʦɛ	jàːjʦɛ	jɐjʦˈɛ	jâːjɛ	jâːje	jǎːje
EGG_2				vˈɛjʦɛ												
EGG_3							kʲɛwʃʲˈɪnʲɪs									
EYE_1	vˈoka	okˈɔ	u̯ɔ̌kɔ	ˈoko	ˈu̯okːɔ	aʦs	ɐkʲˈɪs	oko	ˈɔkɔ		ˈɔkɔ	ɔkɔ̀ː	ˈɔkɔ	ɔ̌ːkɔ	ˈɔkɔ	ôko
EYE_2										ɡɫas						
FALL_1	pˈadaʦʲ	pˈadɐm		pˈadat					pˈadaʨ	pˈadətʲ	pˈadac	pàːdati	pˈɑdɐtɪ			pâdati
FAR_1	dalʲˈɵka	dɐlˈɛʧɛ	dǎːlɛkɔ	dˈalɛko	dˈaːlkɔ	tâːlu	toːlʲɪ	daʎeko	dalˈɛkɔ	dəlʲɪkˈo	ɟˈaɫɛkɔ	dàːlɛʧ	dɐɫˈɛkɔ	děːlɡɔ	dˈuɡɔ	dalěko
FAR_2														lǎːrɡɔ		
FEATHER_1	pʲærˈo	pɛrˈɔ	pˈɛrɔ	pˈɛro	pˈærɔ			perduf	pʲjˈuɾɔ	pʲɪrˈo	pˈɛrɔ	pɛrɔ̀ː	pɛrˈɔ	pɛrˈɔ	pɛrˈɔ~perijˈɔ	pěro
FEATHER_2						spālva										
FEATHER_3							pɫûŋksnɐ									
FINGERNAIL_1	nˈoʁaʦʲ	nˈɔkɐt	nu̯ɔ̌ɦat	nˈɛɦɛt	nˈu̯ovæt	naks	nɐ̌ɡɐs	nokt		nˈoɡətʲ	ɲɛxt	nɔ̀ːxt	nʲˈiɦɔtʲ	nɔ̌ːxɛt~nɔ̌ːfɛt	nˈɔxat	nôkat
FINGERNAIL_2									paznˈɔkʲjɛʨ							
FIRE_1				ˈoɦɛɲ							ˈɔɦɛɲ		wɔɦˈɔnʲ			
FIRE_2	aʁˈonʲ	ˈɔɡɐn			ˈu̯oɡæɲ	uɡǔns	ʊɡnʲˈɪs	oɡan	ˈɔɡʲjɛɲ	ɐɡˈonʲ		óːɡɛn		ɔɡˈɛɲ	uɡǎːɲ	
FIRE_3			ʔˈɔɡaːɲ													
FIRE_4																ʋâtra
FISH_1	rˈɨba	rˈibɐ	rˈiba	rˈɪba	rˈibɒ			riba	ɾˈɨba	rˈɨbə	rˈiba	rìːba	rˈɪbɐ	rˈiba	rˈiba	rîba
FISH_2						zǐws	ʒʊvʲˈɪs									
FIVE_1	pʲæʦʲ	pɛt		pjɛt					pʲjɛɲʨ	pʲætʲ	pæc	pɛ̀ːt	pjɑtʲ			pêːt
FLOWER_1											kʋɛt	ʦʋéːt	kʋʲˈitkɐ			ʦʋjeː̂t
FLOWER_2	kʲvʲˈetka	ʦvˈɛtɛ		kvjɛt					kfʲjat	ʦvʲɪtˈok						
FLY_1	lʲætˈaʦʲ	lɛtʲˈɤ	lˈɛtit	lˈɛːtat	lˈætit	liduɔ̯̂t	lʲěːktʲɪ	ʎeta	lˈataʨ~lˈɛʨɛʨ	lʲɪtˈatʲ	ɫˈɛcɪ̯ɛc	lɛ̀ːtati	lʲitˈɑtɪ	lɛtˈɛt	lɛtˈɛt	lětjeti~ljeː̌tati
FLY_2								ʎetnuva								
FLY_3							sʲkrʲˈɪsʲtʲɪ									
FOOT_1									stˈɔpa	stʊpnʲˈa						stǒpalo
FOOT_2	naʁˈa		nu̯ɔ̌ɡa	nˈoɦa	nˈu̯oɡɒ			noɡa			nˈɔɦa	nóːɡa	nɔɦˈɑ	nɔɡˈa	nɔɡˈa	nǒɡa
FOOT_3		krak				kāːja	kôːjɛ									
FOUR_1	ʧatˈɨrɨ	ʧˈɛtiri		ʧtˈɪr̝ɪ					ʈ͡ʂtˈɛɾɨ	ʨɪtˈɨrʲe	ʃtˈiri	ʃtìːri	ʧɔtˈɪrɪ			ʧětiri
FULL_1	pˈownɨ	pˈɤlɛn	pûːn	pˈl̩niː	pun	pīlns	pîɫnɐs	poln	pˈɛwnɨ	pˈoɫnɨɪ̯	pˈɫ̩niː	pɔ̀ːu̯n	pˈɔʋnɪi̯	pˈɛlni	pǔːn	pûn
GIVE_1	daʦʲ	dam	dat	daːt	dɒt~daːt	duɔ̯̂t~duɔ̯t	duə̂tʲɪ	daj	daʨ	datʲ	dac	dàːti	dˈɑtɪ	dat	dat	dâti
GOOD_1	dˈobrɨ	dobˈɤr	du̯ɔ̌bar	dˈobriː	dˈu̯obær			dober	dˈɔbɾɨ		dˈɔbriː	dɔ̀ːbɛr	dˈɔbrɪi̯	dɔ̌ːbɛr	dˈɔbar	dôbar
GOOD_2						laps										
GOOD_3							ɡʲæ̌rɐs									
GOOD_4										xɐrˈoʂɨɪ̯						
GRASS_1	travˈa	trɛvˈa		trˈaːva					tɾˈava	trɐvˈa	trˈaːʋa	tràːʋa	trɐʋˈɑ			trǎːʋa
GREEN_1	zʲælʲˈɵnɨ	zɛlˈɛn	zˈɛljɛn	zˈɛlɛniː	zˈælæn	zǎʎʃ	ʒɐ̌lʲɛs	zeʎen	ʑɛlˈɔnɨ	zʲɪlʲˈɵnɨɪ̯	zˈɛɫɛniː	zɛlɛ́n	zɛɫˈɛnɪi̯	zɛlěːni	zˈɛlɛn	zělen
HAIR_1											ʋɫas		wɔɫˈɔsʲsʲɐ			
HAIR_2	vʌɫasˈɨ	kosˈa	vlâːs	vlˈasɪ	lˈaːsi			kosa	vwˈɔsɨ	vˈoɫəsɨ		làːs		vlâːs	vlâːs	kǒsa
HAIR_3						mats										
HAIR_4							pɫɐ̂wkɐs									
HAND_1	rukˈa	rɐkˈa	rˈuka	rˈuka	rˈowka	ruɔ̯̌ka	rɐŋkˈɐ	raka	ɾˈɛŋka	rʊkˈa	rˈuka	róːka	rʊkˈɑ	rukˈa	ru̯okˈa	rǔːka
HEAD_1				ɦlˈava							ɦɫˈaʋa		ɦɔɫɔʋˈɑ			
HEAD_2	ʁʌɫavˈa	ɡɫɐvˈa	ɡlâːva		ɡlˈaːvɒ~ɡlˈɒvɒ	ɡâlva	ɡɐɫvˈɐ	ɡlava	ɡwˈɔva	ɡəɫɐvˈa		ɡlàːʋa		ɡlavˈa	ɡlaːvˈa	ɡlǎːʋa
HEAR_1						ʣǐrdêːt	ɡʲɪrʲdʲêːtʲɪ									
HEAR_2	ʧuʦʲ	ʧˈuvɐm	ʧut		ʧut~ʧˈutːi			ʧuje					ʧˈutɪ	ʧut	ʧut	ʧûti
HEAR_3				slˈɪʃɛt				sluʃa	swˈɨʂɛʨ	sɫˈɨʂətʲ		slìːʃati				
HEAR_4											pˈɔʧuc					
HEART_1	sˈɛrʦa	sɐrʦˈɛ	sˈr̩ʦɛ	sˈr̩ʦɛ	sˈɛrʦæ	sîrts	ʃʲɪrʲdʲˈɪs	sr̩ʦe	sˈɛɾʦɛ	sʲˈerʦə	sˈr̩ʦɛ	srʦɛ̀ː	sˈɛrʦɛ	sˈɛrʦɛ	sˈr̩ʦɛ	sr̩̂ʦe
HEAVY_1						smaks										
HEAVY_2							sʊŋkˈʊs									
HEAVY_3	ʦʲˈæʂkʲi	tˈɛʒɐk	tjêʒak	cˈɛʃkiː	tˈæʒæk			teʒok	ʨˈɛw̃ʂkʲi		cˈaʃkiː	téːʒɛk		těːʃki	tˈɛʒak	těːʒak
HEAVY_4										tʲɪʐˈoɫɨɪ̯						
HEAVY_5													ʋɐʒkˈɪi̯			
HOLD_1		dɐrʒˈɤ		dˈr̩ʒɛt						dʲɪrʐˈatʲ	dˈr̩ʒac	drʒàːti				dř̩ʒati
HOLD_2	trɨmˈaʦʲ								tʂˈɨmaʨ				trɪmˈɑtɪ			
HORN_1	roʁ̥	rɔk	ru̯ôɡ	rox	ru̯oɡ	raks	rɐ̌ɡɐs	rok	ɾuk	rok	rɔx	rɔ̀ːk		rôːx	ru̯ôx	rôːɡ
HORN_2													ɾʲiɦ			
I_1			mjênɛ		mˈænæ	mani	mɐnʲɛ	mene						mɛnˈɛ	manˈɛ	
I_2	jæ	as	jâː	jaː	jaː	ɛs	ɐʃ	jas	ja	ja	ja	jás	jɑ	ja	jǎː	jâː
KILL_1	zabʲˈiʦʲ		ʔˈubit	zˈabiːt					zˈabʲiʨ		zˈabic					
KILL_2		ubˈijɐ			ˈubit			ubije		ʊbʲˈitʲ		ubìːti	ʊbˈɪtɪ	ubˈit	ubˈit	ǔbiti
KILL_3						nuɔ̯̌ɡalinâːt										
KILL_4							nʊʒʊdʲîːtʲɪ									
KNEE_1	kalʲˈena	kolʲˈano	kɔljěnɔ	kˈolɛno	kɔlˈænɔ	ʦɛlis	kʲæ̌lʲɪs	koʎeno	kɔlˈanɔ	kɐlʲˈenə	kˈɔɫɛnɔ	kɔlɛ̀ːnɔ	kɔlʲˈinɔ	kɔlěːnɔ	kɔlˈɛnɔ	kǒʎeno
KNOW_1	znaʦʲ	znˈajɐ	znat		znɒt	zinâːt	ʒʲɪnôːtʲɪ	znaj		znatʲ		znàːti	znˈɑtɪ	znat	znat	znâti
KNOW_2				vjˈɛɟɛt					vʲjˈɛʥɛʨ							
KNOW_3											ʋˈɛɟɪ̯ɛc	ʋɛ̀ːdɛti				
LAUGH_1	smʲæjˈæʦʦa	smˈɛjɐ sɛ		smaːt sɛ					ɕmʲjaʨ ɕɛ	smʲɪjˈatʦə	smɪ̯acsa	smɛjàːtisɛ	smʲijˈɑtɪsʲɐ			smǐjatise
LEAF_1	lʲist	list	lîːst	lɪst	lˈiːʃʧæ	lapːa	ɫɐ̌pɐs	ʎis	lʲiɕʨ	lʲist	ɫist	lìːst	ɫɪst		lîːs	lîːst
LEAF_2														pɛrˈɔ		
LEG_1	naʁˈa			nˈoɦa					nˈɔɡa	nɐɡˈa	nˈɔɦa	nóːɡa	nɔɦˈɑ			nǒɡa
LEG_2		krak														
LIE_1						ɡulêːt	ɡʊlʲêːtʲɪ									
LIE_2	lʲæʐˈaʦʲ	lɛʒˈɤ	lˈɛʒat	lˈɛʒɛt	lˈæʒɒt			ʎeʒi	lˈɛʐɛʨ	lʲɪʐˈatʲ	ɫˈɛʒac	lɛʒàːti	ɫɛʒˈɑtɪ	lɛʒˈat	lɛʒˈat	lěʒati
LIVER_1		ʧˈɛrɛn drɔp							vɔntɾˈɔba							
LIVER_2								ʦr̩n ʤiɡer								
LIVER_3	pʲˈeʧanʲ									pʲˈeʨɪnʲ	pˈɛʧɛɲ		peʧʲˈinkɐ			
LIVER_4							kʲæ̌pʲɛnʲiːs									
LIVER_5			jâːtra	jˈaːtra	jejtra							jɛ̀ːtra		jěːtra	jjětra	jêtra
LIVER_6						aknas										
LONG_1			dˈuʒiʧak													dûɡaʧak
LONG_2				dlˈou̯ɦiː							dˈɫ̩ɦiː		dˈɔʋɦɪi̯			
LONG_3	dˈowɣʲi	dˈɤɫɐk			dˈowɡi			dolk~dok	dwˈuɡʲi	dˈoɫɡʲɪɪ̯		dɔ̀ːu̯k		děːlɡi	dǔːx	dûɡ
LONG_4						ɡǎrʃ	îɫɡɐs									
LOUSE_1						uts	ʊtʲeːlʲěː				ʋɔʃ	ùːʃ	wˈɔʃɐ			ûːʃ
LOUSE_2	voʂ	vˈɤʃkɐ	vûːʃ	vɛʃ	vuːʃ			voʃka	vɛʂ	voʂ					ʃɛnˈaʦ	
LOUSE_3														svɛnˈɛʦ		
MAN_1						vīːrs~vīːrjɛtis	vʲîːrɐs									
MAN_2			ɦlâːp								xɫap					
MAN_3													ʧɔɫɔʋʲˈik			
MAN_4	muʂʧˈɨna	mɤʃ	mûːʒ	muʃ	mowʃ~mɔʃkiː			maʃ		mʊɕːˈinə	muʃ	mɔ̀ːʃ~móːʃki		mûːʃ~mǔːʃki~mˈuʃki	muʃkîː	
MAN_5																muʃkǎːraʦ
MAN_6									mɛw̃ʐʈ͡ʂˈɨzna							
MANY_1								mnoɡu~noɡu						blâːɡɔ		
MANY_2			ʧˈuda		ʧˈudɒ	dāwʣ	dɐ̌wk								ʧˈuda~pˈunɔ	
MEAT_1	mʲˈæsa	mɛsˈɔ	mjêsɔ	mˈaso	mˈejsɔ		mʲeːsˈɐ	meso	mʲjˈɛw̃sɔ	mʲˈasə	mˈæsɔ	mɛsɔ̀ː	mjˈɑsɔ	mêːsɔ	mjêsɔ	mêːso
MEAT_2						ɡaʎa										
MOON_1		ɫunˈa								ɫʊnˈa		lùːna				
MOON_2						mɛːnɛss	mʲeːnˈʊlʲɪs									
MOON_3	mʲˈesʲæʦ		misɛʦ	mɲˈɛsiːʦ				meseʧina			mˈɛsɪ̯aʦ	mɛ̀ːsɛʦ	mʲˈisʲɐʦʲ	měːsɛʦ	mˈɛsɛʦ	mjêseːʦ
MOON_4									kɕˈɛw̃ʐɨʦ							
MOUNTAIN_1						kâlns	kɐ̂ɫnɐs									
MOUNTAIN_2		pɫɐninˈa						planina				planìːna				planǐna
MOUNTAIN_3					brejɡ										vr̩x	
MOUNTAIN_4	ʁarˈa		ɡu̯ɔ̌ra	ɦˈora					ɡˈuɾa	ɡɐrˈa		ɡóːra	ɦɔrˈɑ	ɡɔrˈa	ɡɔrˈa	
MOUTH_1		ustˈa	ʔûːsta	ˈuːsta				usta	ˈusta		ˈuːsta	ùːsta		ǔːsta	ǔːsta	ǔːsta
MOUTH_2	rot					mutːɛ				rot			rɔt			
MOUTH_3			ɡǔːba~ɦˈuba		zˈowbi											
MOUTH_4							bʊrnˈɐ									
NAME_1						vǎːrts	vɐ̌rdɐs									
NAME_2	imʲˈæ	ˈimɛ	ʔimɛ	jmˈɛːno	ˈimæ			ime	ˈimʲjɛ	ˈimʲə	mˈɛnɔ	imɛ̀ː	imjˈɑ	ˈimɛ~jˈimɛ	ˈimɛ	îme
NEAR_1	blʲˈisʲkʲi	blˈizɐk		blˈiːskiː	blˈizu~blˈiːzu			bʎizu	blʲˈiskʲi	blʲˈiskʲɪɪ̯	bɫˈiːski	blìːʒni	bɫɪzʲkˈɪi̯	blǐːzu	blǐːzu	blîzak
NEAR_2						tuvu	ɐrʲtʲˈɪ									
NECK_1	ʂˈɨjæ							ʃija	ʂˈɨja	ʂˈɛjə			ʃˈɪjɐ			
NECK_2		vrat	vrat									u̯ràːt		vrâːt	vrâːt	ʋrâːt
NECK_3				kr̩k	ɡowt	kakls	kɐ̌kɫɐs		kaɾk		kr̩k					
NEW_1	nˈovɨ	nɔf	nu̯ôv	nˈoviː	nowv		nɐ̌wjɛs	nof	nˈɔvɨ	nˈovɨɪ̯	nˈɔʋiː	nɔ́u̯	nɔʋˈɪi̯	nɔ̌ːvi	nu̯ǒf	nôʋ
NEW_2						jâwns										
NIGHT_1						nakts	nɐktʲˈɪs									
NIGHT_2	noʧ	nɔʃt	nu̯ôc	noʦ	nowʧ			noc	nɔʦ	noʨ	nɔʦ	nɔ̀ːʧ	nʲiʧ	nôːc	nu̯ôc	nôːʨ
NOSE_1	nos	nɔs	nu̯ôs	nos	nu̯os~nows		nôːsʲɪs	nos	nɔs	nos	nɔs	nɔ̀ːs	nʲis	nôːs	nu̯ôs	nôːs
NOSE_2						dæɡǔns										
NOT_1	nʲe	nɛ	nɛ	nɛ	næ	nɛ	nʲɛ	ne	ɲɛ	nʲɪ	ɲɪ̯ɛ	nɛ	nɛ	nɛ	nɛ	nê
OLD_1	starˈɨ	star		stˈariː					stˈaɾɨ	stˈarɨɪ̯	stˈariː	stár	stɐrˈɪi̯			stâr
ONE_1						vjêns	vʲjênɐs									
ONE_2	aʣʲˈin	ɛdˈin	jˈɛdaːn~jˈɛdan	jˈɛdɛn	jˈædæn			eden	jˈɛdɛn	ɐdʲˈin	jˈɛdɛn	éːdɛn	ɔdˈɪn	jɛdˈɛn	jɛdǎːn	jědan
PATH OR ROAD_1		pɤt	ʦjěsta	ʦˈɛsta				pat		putʲ	ʦˈɛsta	ʦɛ̀ːsta		ʧˈɛsta	ʧˈɛsta	pûːt~ʦêsta
PATH OR ROAD_2						ʦěʎʃ	kʲæ̌lʲɛs									
PATH OR ROAD_3	darˈoʁa								dɾˈɔɡa	trɐpˈa~dɐrˈoɡə			dɔrˈɔɦɐ			
PATH OR ROAD_4	sʲʦʲˈeʂka			stˈɛska	stjˈezɒ				ɕʨˈɛʂka			stɛzá	stˈɛʒkɐ			stǎza
PATH OR ROAD_5											xˈɔdɲiːk					
PERSON_1	ʧʌɫavʲˈek	ʧovˈɛk	ʧlˈɔviːk	ʧlˈovjɛk	ʧlˈu̯ovæk	ʦǐlvǣːks		ʧojek	ʈ͡ʂwˈɔvʲjɛk	ʨɪɫɐvʲˈek	ʧɫˈɔʋɛk	ʧlóːʋɛk		ʧɔvˈɛk~ʃlɔvˈɛk	ʧɔvˈɛk	ʧǒʋjek
PERSON_2							ʒmoːɡˈʊs									
PERSON_3													lʲʊdˈɪnɐ			
RAIN_1			ɡu̯ɔ̌dina		ɡˈu̯odinɒ											
RAIN_2						ljêtus	lʲjɛtˈʊs									
RAIN_3	doʂʧ	dɤʃt		dɛːʃc				doʃ	dɛʂʈ͡ʂ	doʂtʲ	daːʃc	dɛ́ʃ	dɔʃʧ	dɛʃ	dǎːʃ	kîʃa
RED_1							rɐwdôːnɐs					rdɛ́ʧ				
RED_2	ʧɨrvˈonɨ	ʧɛrvˈɛn	ʧˈr̩ʎjɛn~ʧˈr̩ʎɛn	ʧˈɛrvɛniː	ʧˈɛrjæn			ʦr̩ven	ʈ͡ʂɛɾvˈɔnɨ		ʧˈɛrʋɛniː		ʧɛrwˈɔnɪi̯	ʧɛvjěːni		ʦř̩ʋen
RED_3						sârkǎns										
RED_4										krˈasnɨɪ̯						
RED_5															kr̩vǎːvi	
ROOT_1						saknɛ	ʃɐknʲˈɪs									
ROOT_2	kˈoranʲ	kˈɔrɛn	ku̯ɔ̌rɛn	kˈor̝ɛn	kˈu̯orænɒ			koren	kˈɔʐɛɲ	kˈorʲɪnʲ	kˈɔrɛɲ	kɔrɛnìːna	kˈɔɾʲinʲ	kɔ̌ːrɛn	kˈɔrɛn	kôrjeːn
ROUND_1														tɔ̌ːndi	tu̯ǒnt	
ROUND_2				kˈulatiː		apǎʎʃ					ɡˈuʎatiː					
ROUND_3				ˈokrou̯ɦliː							ˈɔkruːɦɫi		krˈuɦɫɪi̯			
ROUND_4	krˈuʁɫɨ	krˈɤɡɐɫ			krˈowpi				ɔkɾˈɔŋɡwɨ	krˈuɡɫɨɪ̯		ɔkrɔ̀ːɡɛu̯			ɔkrǔːɡal	ǒkruːɡao
ROUND_5								tɛrkalest								
