	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ALL_1														tiatohu					tahi											
ALL_2	katoa	ʔatoʔa		kaatoa				ɡodoo			katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa		katoa	kaatoa	ʔaatoa	katoa		katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_3				fuli	pini	oʃi	apau			kouroa							pau	pauroa												
ALL_4												eutʃi												atoʔa						
ALL_5									aakoa								wui													
ALL_6																					huɡi									
ALL_7																														fulifuli
ALL_8			paaʔaaːʔatoʔa																											
ASH_1						namuʰlaŋa											malamala													
ASH_2										ŋaraʔu																				
ASH_3				muɡaalafu		maɡarafu																lefulefu								
ASH_4										ʔeʔu									ʔeoʔeo							efuefu		pefu		
ASH_5	repu		reʔu	lafu	refu		lehu	lehu	lehu			arefu	efu	ʔehu	rehu	rehu		rehu		reʔu	ɡehu		lehu	rehu	refu		rehu		lehu	lefu
ASH_6		ɢehuauahi																												
ASH_7																	lewulewu													
ASH_8											puŋarehu																			
BACK_1					simatua										kantua												papatua			
BACK_2	muri																muli	muri												
BACK_3		tua	tautua	tuʔa		bua	kua	dua		tua	tuaraa	pua	tuʔa	tua		sope	tua	tua	tuʔaivi		tuʔa	tua	tua	tua	tua	tuʔa		tua	tua	tuʔa
BACK_4																				mokotua										
BACK_5									aŋa																					
BE DEAD OR DIE_1	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	poʔe~mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_2																		hiti												
BE DEAD OR DIE_3																								pohe			pohe			
BE DEAD OR DIE_4														keʔo																
BELLY_1		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu						koopuoːpu		koopuoːpu		koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_2	manava			manava		manava			maŋava	manava			manava		manava	manava	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELLY_3					nakau						puku																			
BELLY_4																													ŋapula	
BELLY_5				kona		ʃinae		kona		kona		sinae		ʔopu		kona			kopu	kona					kona	kete	kona	tinae		kona
BELLY_6				tinaʔe																										
BELLY_7																											tia			ʔalo
BELLY_8						alo																								
BIG_1																				katakata										
BIG_2																				ʔakamatuu										
BIG_3																				maʔatamaʔata										
BIG_4						sore											toŋi					tele				fuʔu			tʰuabe	
BIG_5							nui			nui	nui	motua		nui		nue		nui	nui			nui	niu				nui			
BIG_6														maaka																
BIG_7	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_8						efa																								
BIG_9																	wowolo													
BIG_10																					ɡauʔeha									
