	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1													lizoho																								
ARM_2																																		ʧanda			
ARM_3					múwoko												uko														wókó						
ARM_4																																				bɔ́	
ARM_5	ukùboko						boko	kẅɔ́kɔ̏	ɣuɔkɔ	lukuaku	koko	lobɔ́kɔ			kuboko			okwako						ukuboko	ruoko				kuboko	vókó		bɔ́χɔ́	ókwo̍kwó				
ARM_6																										mbòko											
ARM_7														diːkàsa																							
ARM_8																mɔ̌nɔ			mhóno	mhóno																	
ARM_9				mukono		mkono															inɡalo	kóno	omukono				nkono	mkono							umkʰono		ínɡàló
ARM_10			enam																																		
ARM_11		wo																																			
ASH_1						eijwi																	eiju														
ASH_2																														nkuma	kʰuma						
ASH_3													mulola																			mõlõrã		mulora			
ASH_4					máfu			mou	mohû																												
ASH_5																ittuúra	ifu		vú	vú							ibu		itwe								
ASH_6		asup	asup	vvu																								sizi								sùvé	
ASH_7														butò	bútu							pʰulusa			dòtà	butǒ											
ASH_8	imìto						lota														lotʰa			umuɲota											umlotʰa		umlota
ASH_9												mputulú																									
ASH_10										ditókua								omutoko															éti̍kó				
ASH_11											bombi																										
BARK_1																														rihantí	hatí						
BARK_2									ikɔni							nikúla											iɡula								iǁolo		íliǁôlo
BARK_3															ʧízúbú																		óʧípétà				
BARK_4													likwati																			kwàtí		ɡwatí			
BARK_5	bós	ebapele	ebap		ibada							póso							ɡózi	ɡozi																	
BARK_6											kibula			kibàle											kòkó				cikwa							kókó	
BARK_7						ekiʃuʃu				kiʃiʃi													ekiʃuʃu	iɡiʃiʃwa		kifùsù											
BARK_8								ekɔndɛ									ikanda				kʰonkotʰa	kʰunɡwa															
BARK_9																		ejula																			
BELLY_1																ntʰúkwa																					
BELLY_2																														kʰwírí							
BELLY_3					nda	eibundaenda			nda								ndeu	epunda					enda	inda													
BELLY_4													mba						mímba	mmba		mímba					ŋ̤umbi					ḿpá					
BELLY_5							tumbu																		dùmbù			tumbo			rúmbú			tʰumbu			
BELLY_6										divumu	kivumu				dífu																						
BELLY_7																																	ímò			ɛ̀ì	
BELLY_8	ì̀fumo	abum	abum					eβu				libumu		fu												efù											
BELLY_9																					isisu														isisu		ìsísù
BELLY_10																													ida								
BIG_1						hanɡo																	hanɡo								hombé						
BIG_2																																		hulwane			
BIG_3														kàtà												mukàtà			pati								
BIG_4	kalàmbà						kulukulu													kúu	kʰulu	kulu			ɡuru			kubwa		kúlú		ɡóló			kʰulu		kʰúlù
BIG_5		anen	nən	nene				nɛ́nɛ̏	nɛ́nɛ	nene	nene	monene	tuna		nené	wunnuwela	nini	omunene						nini									ne̍nè				
BIG_6																											ale									làí	
BIG_7																			libwávu																		
BIG_8					βaha																																
BIRD_1												ndeke																ndeɡe							intaka		
BIRD_2					ndêje												ndeje					mbálame															
BIRD_3																		okaʤila							ʃìrì												
BIRD_4	ìʧoːni					ekiɲoɲi		esone						koni												kôni					ʧiɲaɲani			ʧinoni			
BIRD_5		ônon	onwan	enɲoɲi			ɲuni		ɲɔni	njila	nuni		ɲuɲuni		ɲúúɲí	mwaánùni			ɲúɲi	nùni	injoni		eɲoɲi	iɲoni			noni		imujuni	ɲaɲana		nɔ̀ɲánɪ́	ónji̍lá			ɲɔ̀dí	íɲònì
BITE_1											ta	swá																									
BITE_2		lóp	lop																																		
BITE_3	suma			luma	luma	ruma	luma	ómȁ~óma	róma	lumata			luma	sùma	sumá	lúma	imara	lumata	remamáɲo		luma	womola	ruma	ruma	rúma	sùma	luma	uma	luma	lúma	luma	lʊ́má	lu̍mánà	luma	luma		lúmà
BITE_4																				kazamáɲo																	
BITE_5																																				bònz	
BLOOD_1				musaaji																																àndá	
BLOOD_2		metʧi																												nɡátí							
BLOOD_3							lopa																		ròmbè												
BLOOD_4	ùmulopa		məki									makilá	mali		máʃí									amaraso		masè								maloɸa			
BLOOD_5										maɲinɡa	menɡa																mininɡa										
BLOOD_6						obwamba												ombinzi															ósóndè				
BLOOD_7																					iɡazi	ɡazi									kʰata				iɡazi		íɡàzí
BLOOD_8																													bulowa								
BLOOD_9					sakámi			nðakamɛ	θàkàmɛ̀							nikʰami							eʃaɡama														
BLOOD_10														ʃi			usao		dámu	damu								damu				dí					
BONE_1																	ifuwa												ícífuwa								
BONE_2																											iɡuha									kúà	
BONE_3												mokua		mukùpa	múfubá	nikʰúva			múbwa							mufùfwa		mfupa									
BONE_4	ifùpa	eves	eves		ífupa	eiɡufa	fupa	eβende		fuba	visi							esipa		ʃíba		p͡fúpa	eiɡufa	iɡufa	fúfá								éke̍pá				
BONE_5													lisapo								itʰambo									rʱámbó	rámbú	rápɔ́		lirapʰo	itʰambo		îtʰâmbò
BONE_6				ɡɡumba																																	
BONE_7									ihéndé																												
BREAST_1					itóombo			nɔndɔ	ɲɔ̀ndɔ̀									eɡundji																			
BREAST_2																	mawele					jére															
BREAST_3							ʒamu																		zámú									d̪ámú			
BREAST_4																												ziwa									
BREAST_5		abé	abɛɲ																																		
BREAST_6	ibe̍ːlè			bbeele		omabele				diele	beno	libéle	lizwele	bele	díbeelé	ipéle			béle	béle	ibele		eibeere	ibere		ebèːle	mbele		nkolo	vélé	vélé	bɛ́lɛ́	éve̍lé		ibele	bɛlɛ́	ibele
BURN (SOMETHING)_1									heːhia															hiʃa										huʂa			
BURN (SOMETHING)_2					aka	aka				uika	joka						aka						aka					waka									
BURN (SOMETHING)_3																					ʧa														ʧa	sél	ʃa
