	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1		oːʈəja								majin										
ALL_2	ella				ella	ella		ellaːm	antaː			ella				ellaːm	anta~anni			
ALL_3											haɾa									
ALL_4			kull																	
ALL_5													ɡoːʈahiː							
ALL_6													ɡiːʈeniː							
ALL_7							maːk		mottam								mottamu		maːta	
ALL_8				bottiɡ																
ALL_9																				nanɡaːɭə
ALL_10																		oʋʋoɖimo		
ASH_1	kolabuːdi																			
ASH_2								poːdu atukə												
ASH_3												ʧaːmbal				saːmbal				
ASH_4												ʧaːɾam							ʧuːnja~ʧoːnja	
ASH_5				niːɾ										niɖ	nĩd					
ASH_6		piːdi			buːdi	buːdi	buɡɡi		buːɖida	ʧind							buːɖida	puːdi		buːdi
ASH_7			his																	
BARK_1		meɾtoːlə										maɾattoli								
BARK_2				toːl	naːɾu															toːlu
BARK_3								kolluʧo	beɾaɖu								beɾaɖu			
BARK_4						aʈʈe				oːɖak										
BARK_5	paʈʈe		bund		toɡaʈi	ʧekke			danʈi			paʈʈa				paʈʈe	paʈʈa	puʈkoɾi	ketta	
BARK_6							ɖanɖi maɖɖa													
BELLY_1	oʈʈe				hoʈʈe~hoʈʈa															
BELLY_2				piːɾ						kuːl						vayiru		piɾ		baiɾu~baːɾə
BELLY_3		poʈʈi	peɖʰ			poʈʈe	ʈeʈʈe		ɖokka		banɖi		puɖaː	puduɡ	poʈʈa	tonti~toppai	poʈʈa		banʤi	
BELLY_4																	kaɖupu			
BELLY_5												ʋajaɾə								
BELLY_6								naɖpeːʈɡu												
BIG_1			ballun						beɾɾa		beːɾ			muɾe		peɾija			malla	baleji
BIG_2	doɖɖadə			pedda	doɖɖadu	baljadə		toɖut					beːɖo		beɾto	peɾəsə	pedda			
BIG_3		dappu																		
BIG_4																		ittuːɖə		
BIG_5												ʋaludə								
BIG_6										koha										
BIRD_1																paɾaʋai		paɾaʋai		
BIRD_2										oɖa										
BIRD_3											minu									
BIRD_4								pakkiɡaɭ	piʈʈeːku											
BIRD_5		pikki		piʈʈə	pakʂi	pakʂi	piʈʈa					pakʂi	puʤudu				pakʂi~pitta		pakki	pakʧi
BIRD_6			ʧok									kili		titə						
BIRD_7					hakki															
BITE_1		kajɾi																	tinaːɾa	
BITE_2	kaʧʧə	kaɖi		kask	kaɖi~kaʧʧu	kaɖi		kaɖə	koɾaka~kaʧʧaː	kʰaʧʧna	kaʧine				koɾk	kaɖi	koɾuku			kaɖi
BITE_3													koːhi							
BITE_4							atekaʂin													
BITE_5																		paɾʧiʈʧi		
BITE_6												kadikkuɡa								
BITE_7			kaat kanninɡ																	
BLACK_1	kappə			kaɾə	kappu~kaɾu	kaɾtadə		kaɾuppə	kaːʈe		kadia	kaɾuppə				kaɾəppə		kappə	kappu	kaɾtaji
BLACK_2										mokʰaɾo			maɖhaɾo							
BLACK_3									nalla								nalupu~nalla			
BLACK_4			maːon																	
BLACK_5							ɖaːɾiate													
BLACK_6		kaɾtənu ipədə																		
BLOOD_1						ʧoːɾə						ʧoːɾa						poːkʰə		ʧoːɾe
BLOOD_2	ɾattə				ɾakta							ɾektam	ɾasadu			ɾattam	ɾaktamu			
BLOOD_3	nettuɾu	nəttəɾə	ditaɾ	nettuɾ			nettuɾ	neːtuɾu	nettuɾ		nettiɾ			nettiɾ	netiɾ		nettuɾu		nettaɾə	
BLOOD_4										kʰeːns										
BONE_1			aɖɖə							kʰoʧol		asti	oːʧuldiː							
BONE_2					muːɭe	muːɭe			buːlaː						bũla					muːɭe
BONE_3				bokka			bokka		buːlk								bokka			
BONE_4	ilə	jaləʋə			jelubu			jeluʋə				ellə				elumbə		elf	ellə	
BONE_5																	jemuka			
BREAST_1											sipadaki									
BREAST_2													daibuku							
BREAST_3		kujndiɡi																		
BREAST_4																		niʤikuɖi		
BREAST_5					stʰana							stanam					stʰanamu			
BREAST_6					ede				eddam						edɾam					
BREAST_7	maːɾə					mele		meːl				maːru~mula				maːɾbə~maːɾə				mele
BREAST_8														palɡil					tiɡala	
BREAST_9			xad	dudo			saːtti										ɡunde			
BREAST_10										jeʋakʰ										
BURN_1	kiʧiːkdə											katikkuɡa								
BURN_2										olna						eɾi				
BURN_3				niɾus																
BURN_4		bjaːɭ~ben															kaːlu			
BURN_5									maɳɖu				meːda				maɳɖu			
BURN_6		kattu~kettu			suɖu	ʧuːɖə		kaːto												ʧuːɖə
BURN_7							ɡonɖka													
BURN_8																			pottaʋaɾa	
BURN_9			xaːxaɾ tinninɡ																	
BURN_10																		tiːkku kaːttiti		
CLAW_1												nakʰam				naɡam				
CLAW_2						ʋoji												juːɾ		
CLAW_3	uɡilə		zeel	ɡoɾk	uɡaɾu		ɡoːɾ	kaijoːɾu	ɡoːɾk		ɡaɾka				ɡẽɾi		ɡoːɾu		uɡuɾu	
CLAW_4										oɾokʰ			oɾuɡdu							
CLAW_5																				ummi
CLAW_6			hoɾ ad																	
CLAW_7		kiːjəɡɡəɾə																		
CLAW_8														kaʂʋanɖe						
CLOUD_1										badaːli			badliː							
CLOUD_2			ʤammaɾ								dunɖaɾa									
CLOUD_3	manʤu	moːɖə		mabbu	mẽɡha~moːɖa	moːɖa		meːɡam	mabbu			mekʰam			malɡuɾ	meːɡam	meːɡʰamu~mabbu~moːɖamu	meːɡam	moːɖa	moːɖa
CLOUD_4							aːbaɾ													
CLOUD_5											haːɡu									
COLD_1			jakʰ~jax																	
COLD_2						koːʈa				kiːɾna						kuɭiɾʧi		koɾti		
COLD_3							pani						panijaː		paɲil					
COLD_4	koɾuʋə							koɾʋə					kiʋa							
COLD_5		səjlijə		sallaɡ					sallaː								ʧalla			
COLD_6					taɳɳiɡe							taɳuppə							ʧappa	taɳiʤe
COLD_7						talinʤadə														
COME_1									ʋaːdaɖam								ʋaʧʧu			
COME_2		baːɾ~ban~bu			baɾu~baː	baː				baɾna			baɾəaː		veɾ			paːɾti	baɾaɾa	baː
COME_3				ʋa			ʋa		ʋa			ʋaɾuɡa		ʋa		ʋaː	ɾa			
COME_4	pappa																			
COME_5			banninɡ																	
DIE_1													keəaːnaːkeəidaːh							
DIE_2																		keɖuoisi		
DIE_3		maɾdoːɡ										maɾikkuɡa								
DIE_4																sattə po	ʧaʧʧipoːʋu			
DIE_5	saːʋadə																		sajjaɾa	
DIE_6					saːji	ʧːɭa		taːʋə		kʰena					cay	ʧaː				ʧaːɭa
DIE_7				haː																
DIE_8							tiɡteːn													
DIE_9									ɖollatam											
DIE_10			kahinɡ																	
DOG_1			kuʧak									paʈʈi	kuʧʧo		netta		kukka			
DOG_2	ne	naːjə		nej	naːji	naːji		naːji	nej			naːja		ne		naːji		noi	naːji	naːji
DOG_3							aːte			alla										
DRINK_1				un					unnu	onna			hoːnaː	un	un					
DRINK_2							aniɾusaːt													
DRINK_3		kujɾi																	paɾijaɾa	
DRINK_4	kuɖapə	kuɖi			kuɖi~kudijoːdu	kuɖipa						kuʈi				kuɖi				kuɖipə
DRINK_5								unatukə									taːɡu	uʈʈudi		
DRINK_6			kuninɡ																	
DRINK_7												kudikkuɡa								
DRY_1												vaɾaɳʈa				ulaɾnta				
DRY_2								kanʈiko								kaindadə~kaːnʤə				
DRY_3									poɖi	kʰajka							poɖi			
DRY_4			baːɾun																	
DRY_5					battida															
DRY_6						oɳanɡina						uɳanɡija								
DRY_7																			nunɡuduna	
DRY_8	oɳikiladə				oɳaɡidu												eɳɖu	oɳikisi		unaku
DRY_9				ʋaʈʈa			aːtiɾ						aːikaː							
DRY_10									aɾtaːd											
DRY_11		ajnɡənu ipədə																		
EAR_1	kiʋi	kiʋija	xaf	keʋu	kiʋi	kemi	keʋ	keʋə	keʋ~keʋk	kʰebda	kiɾiju	ʧeʋi~kaːtu		kekal	kekol	kaːdə	ʧeʋi	kili	kebi	kemi
EAR_2													daɾtiː							
EARTH (SOIL)_1			ɖaɡaːɾ							kʰekʰel				tukud	tũk			koɖə		
EARTH (SOIL)_2		buːmi					bʰuːmi	bʰuloːɡam			bʰumi		bʰumi							
EARTH (SOIL)_3				mannə	maɳɳu	mannə			maʈʈi			mannə				mannə	mannu~maʈʈi		mannə	
EARTH (SOIL)_4											iɾaː									
EAT_1													ʤaːɡoːlpah							
EAT_2													lapah							
EAT_3				ʤeʋi															uɳaːɾa	
EAT_4	timbə	tinn			tinnu	tinə		tin atej	tinnu		tinu	tinnuɡa		tin	tin		tinu			tinnoː
EAT_5			kuninɡ																	
EAT_6																		toɾtin		
EAT_7																saːpədə				
EAT_8										mokʰna										
EAT_9							aːntisatun													
EGG_1	moʈʈe			miːnʤ	moʈʈe~tatti	muʈʈe						muʈʈa				muʈʈe	ɡuɖɖu	muʈʈe	ketti	muʈʈe
EGG_2		mujɾɡi																		
EGG_3			baede					mooʈə		biː	tala									
EGG_4									ɡaɾbam					kaɾbə						
EGG_5							sanku													
EGG_6													ɾaɾapaːndu							
EGG_7			xuahae																	
EYE_1												neːtɾam	aːndu							
EYE_2	kaɳɳə	kaɳɳu	xan	kəɖə	kaɳɳə	kaɳɳə	kan	kaɳɳə	koɳɖ	kʰann	kanu	kaɳɳə		kaɳul	kan	kaɳɳə	kannu	kaɳ	kaɳɳu	kaɳɳə
FAT (FROM ANIMALS)_1										neʈa			neʤʤa	meːn						
FAT (FROM ANIMALS)_2	koɭəppə		ʧaɾpiː		kobbu	ʧeɾabi		koɭupu				koɻuppə			koɽukuɖ	koɻuppə		koɻəppə	ʧeɾabi	ʧiɾabi
FAT (FROM ANIMALS)_3				koɾonʤ																
FAT (FROM ANIMALS)_4		tanniʋi~teɾija																		
FAT (FROM ANIMALS)_5									laːʋ								koʋʋu~laːʋu			
FAT (FROM ANIMALS)_6									kodoʋoːs											
FEATHER_1					tupaʈa	topaʈa														toːpəʈaː
FEATHER_2	ɾakke							ɾeːkə								ɾekke	iːka	iɾakke		
FEATHER_3										penʧo			pakiː							
FEATHER_4		tiʋija	paɾɾe	buɾa	ɡaɾi		bull					tuːʋalə								
FEATHER_5									ɡeɾk											
FEATHER_6																			huʋi	
FIRE_1								nippu								neɾuppu	nippu			
FIRE_2									neɡɡaɖ											
FIRE_3					benki						dankeɾe						maɳʈa			
FIRE_4												teː~aɡni				teː	aɡɡi		tuʋu	tiː
FIRE_5	kiʧʧə	tissə~tiʧʧa		taɖmi		titta	kiss		kis	ʧiʧʧ			ʧiʧadu		kic			tiːttə		
FIRE_6			xaːxaɾ																	
FISH_1							ɡuɖɖi		kiːke						key		ʧeːpa			
FISH_2	miːnə	miːnu		miːn	miːnə~maʦya	miːnə		miːnə				miːn	miːndu	miːn		miːnə		miːn	miːnə	miːnə
FISH_3			maʧʧiː																	
FISH_4												malsjam								
FISH_5										inʤo										
FLY (MOVE THROUGH AIR)_1		paːɾ~peːɾ		paɾi		paːɾa		paːɾʋu	tulla				uɖaːɾi			paɾə	eɡuɾu		ɾaːpaɾa	
FLY (MOVE THROUGH AIR)_2										uɖijaɾna										
FLY (MOVE THROUGH AIR)_3					haːɾu															
FLY (MOVE THROUGH AIR)_4																				mannə
FLY (MOVE THROUGH AIR)_5	paɾappə																	poːɾʧ		
FLY (MOVE THROUGH AIR)_6												paɾakkuɡa								
FLY (MOVE THROUGH AIR)_7							tulsaːd													
FLY (MOVE THROUGH AIR)_8			baːl kanninɡ																	
FOOT_1					aɖi				aɖuɡu			aʈi	ɾaɖadu			aɖi	aɖuɡu			
FOOT_2	anɡaːlə	kaːlə		kaːl		anɡaːl										kaalə		koːl	kaːlə	kaːlə
FOOT_3							ʤeʈʈa	tapaɖ												
FOOT_4			nat		paːda					kʰeɖ	paːdami	paːdam		paːdam		paːdam	paːdamu			
FULL_1		fullə	puɾ								ɡuɾa					muɭu				
FULL_2														puneʈ						
FULL_3	tʰumbe				tumbidu	dumba														dumba
FULL_4				niɳɖ			ninɖu		ninɖaː	nindka		niɾaɲa	nindpaː			nirainta	ninɖu			
FULL_5																		soːkkaije		
FULL_6																			dinʤidunɖu	
GIVE_1				hi					iːm											
GIVE_2									iːdatam								iʧʧu			
GIVE_3	koɖu	koɖ			koɖu	koɖi	siːtaːn									kuɖə			koɾo	koɖu
GIVE_4								tej		ʧihna	taa			ʧi	cĩ	taː				
GIVE_5													ʧibaːh							
GIVE_6																		itʧadta		
GIVE_7			tinninɡ																	
GIVE_8																	iʋʋaɖam			
GIVE_9												koɖukkuɡa								
GOOD_1				assal																
GOOD_2																			eɖɖedana	
GOOD_3	oɭɭajadə				oɭɭijadu			oludə					ɾaɖu					ulti		
GOOD_4													heːɖu							
GOOD_5									manʧid								manʧi			
GOOD_6		nall				nalla						nalla				nalla				nallə
GOOD_7			ʤuaːn							daːʋ	nejun									
GOOD_8							sobhatan													
GREEN_1					hasiɾu															
GREEN_2										haɾijaːɾ										
GREEN_3				hiː																
GREEN_4															pay					
GREEN_5											nilia		ɾanalo							
GREEN_6							niɡuɾ													
GREEN_7		passlaːnɡi~paʧʧəlaːnɡi																		
GREEN_8	paʧʧe			paʧʧad		paʧʧe		paʧʧə	paʧʧa		aːkupaʧʧa	paʧʧa				paʧʧə	paʧʧa	paʧʧai	paʧʧe	paʧʧe
GREEN_9											kasuli									
GREEN_10			ɡuanakki																	
HAIR (HEAD)_1								manɖə miːɾə												
HAIR (HEAD)_2																	veɳʈɾukalu			
HAIR (HEAD)_3	oɾame											ɾõmam								
HAIR (HEAD)_4												muɖi				muɖi~maiɾə		miːɾs		
HAIR (HEAD)_5		taːkəɾə		kel		telami	tiːɾu		kelk				taːli							tilami
HAIR (HEAD)_6									ʤuʈʈul	ʧuʈʈi				ʧendi			ʤuʈʈu			
HAIR (HEAD)_7			puʒʒe		kũdalu~kuːdalu						bana								kuːʤal	
HAIR (HEAD)_8														talʧenʈi						
HAND_1	kaj	kiːja	ɖuː	kaj	kaj	kaj	keju	kaij	kaj		keju	kaj		kiː	key	kaj	ʧejji	koi	kai	kaj
HAND_2										kʰekkʰa										
HAND_3													ʈeʈu							
HEAD_1	manɖe	maɳɖi				maɳɖe		manɖə										maʈʈə	manɖa	
HEAD_2			kaːʈum							kuk			kukudu							
HEAD_3				talla	tale		tal		talakaːj		tɾajun	tala		taːl	tel	talə	tala			tile
HEAD_4												ʂiɾasə								
HEAD LOUSE_1	ili																	iɾs		
HEAD LOUSE_2				poɾki					poɾiki											
HEAD LOUSE_3	kili	pjaːnu	boːdʰ			peːnə	paːnu	paiji		peːn		peːn			pẽni	peːnə	peːnu		peːn	peːnə
HEAD LOUSE_4					heːnu															
HEAR_1							ʋinti			menna			meːna~meːnpo		ven		ʋinu			
HEAR_2	keːpə	kəːɭ		kenʤ	keːɭu	keːɭə		keːlə	keːʤa							keːɭə		keːl	keɳaɾa	keːɭu
HEAR_3												kelkuɡa								
HEAR_4			bininɡ																	
HEART_1					hɾudaya	hɾudaja						hɾudajam					hɾudajamu			
HEART_2													huɡliː							
HEART_3							paːnam									idajam				
HEART_4								nenʤu										manasə		nenʤi
HEART_5				ɡuɳɖe			ɡunɖe		ɡuɳɖekaːja								ɡuɳɖa			
HEART_6		jaddi	ust																	
HEART_7										buka				ʤibe						
HORN (ANATOMY)_1				koɾ														kuːɾ		
HORN (ANATOMY)_2	kombə	kombbə			kombu	kombə	kommu		komm~koːkku			kompə				kombə	kommu		kombu	kombə
HORN (ANATOMY)_3			maɾɡʰ							maɾaɡ			maɾɡadu							
HORN (ANATOMY)_4														kaɾ ɡuʧul						
I_1	na	naːʋə	iː	nanna	naːnu	naːnə	neːnu	aːn	nanna	aeːn	naːnu~mu	ɲaːn	heːnu	aːn	aːn	naːn	neːnu	oːn	jaːnu	naːn
KILL_1					kollu	kollə						kolluɡa				kollə			keɾijaɾa	kollə
KILL_2								taːʋiɾ												
KILL_3		kenɡaːɭ																		
KILL_4	koppə												baʤpo				ʧampu			
KILL_5				kʰatamki																
KILL_6										eɖabna										
KILL_7			kasfinɡ																	
KILL_8				haʋka					aʋakaː											
KILL_9							alanɡʈaːn													
KILL_10																		keɖukisti		
KNEE_1		mannɡaːlə										muɻaŋkaːl				muɻaŋkaːl				
KNEE_2														ʋanɡul						
KNEE_3	muʈʈi				muɳakaːlo~maɳɖi	maɳɖi	muɖsu	moːɡaːl	moːkaːl	muka	mendaja	muʈʈə	muːka			muʈʈi~muːʈə	moːkaːlu	muʈʈi		muːlekaːlə
KNEE_4			ɡoːɖ																	
KNEE_5				tonɡɾa																
KNEE_6									boʈmiɳɖaː											
KNEE_7																			meɳakaːləɡanʈu	
KNOW_1													baɖeminpo							
KNOW_2													sikaːɾpo							
KNOW_3					telidiko				teluseː							teɾinʤuko	telusuko~telusukonu			
KNOW_4		ɡott uɳɖi																		
KNOW_5		ɡottaːɡ																		
KNOW_6				jeɾpaʈ																
KNOW_7							uɾtanɖaːt													
KNOW_8																teɾijum			teɾijaɾa	
KNOW_9			ʧaːinɡ											sun	pun					
KNOW_10								asuːbej										aɾspini		
KNOW_11	aɾaʋə				aɾi	aɾi						aɾajuɡa				ari	eraːɡu			aɾiʋo
KNOW_12										akʰna										
KNOW_13													haːhpo							
LEAF_1						elakaɳɖa								ʈunɖe						
LEAF_2			pann								patɾa									
LEAF_3	elə	jali		aːki	jele		aːk	eːlu	aːkiː	atkʰa		ila			ev	ele	aːku	eɾs	iɾa	ele
LEAF_4													haːtʰa							
LIE (REST)_1	haɖaʋə																			
LIE (REST)_2										fasijaːɾ										
LIE (REST)_3									unʤa						maɖ					
LIE (REST)_4					malaɡu															
LIE (REST)_5																	paɖukonu	pokkum		
LIE (REST)_6		baːɖ		dolsi		budda							koːɖpo			keɖə~paɖə		poaʈʧiː		biːndo
LIE (REST)_7		baːʈɳu iːɾ																		
LIE (REST)_8																			buɾoːnaɾa	
LIE (REST)_9										paiha										
LIE (REST)_10				miɳɖsi																
LIE (REST)_11												kiɖakkuɡa								
LIE (REST)_12							labaːɖ muɖsati													
LIE (REST)_13			dɾoɡʰ taɖinɡ																	
LIVER_1					medaʤiːɾika															
LIVER_2										umbalkʰo										
LIVER_3					hĩɾi			iːɾu				ĩɾal				iːɾaɭ				
LIVER_4														taɖinɡ	taɾuŋɡ					
LIVER_5				taɾki		tombe														tombe
LIVER_6		tədlə											ʧedɾo							
LIVER_7							kaleja					kaɾaɭə					kaːlejamu			
LIVER_8			ʤaɡaɾ						kaːʤam									kuɖaːl		
LONG_1							poɖaːm										poɖaʋu			
LONG_2									poɖaʋuʈaːdu											
