	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1				iːxkiʧ																														
ALL_2														ʧoʔon																				
ALL_3							hei̯̯ʦe	haona																										
ALL_4												junai̯̯tɯ							ojoːntɯ~ojoːntɯsɯ										wɯs~wɯs		weʦɑ̠t~wesɑ̠t			
ALL_5	u̠mun				ojɯ~ojo			awona			joma	nai̯̯							wɯmː					ojoːn										
ALL_6																														owɑ̠̄ʔix				
ALL_7																							puju									piniju		
ALL_8															ʦikti				sɯmɯsɯ															ʦikti
ALL_9				moʧ~moʧi					noʧi	sosojɑm~sosoj		nai̯̯tɯ					noːʔju	βɯʃi		βɯʃ	muʧi	noʧo			vɯʃ		sə	noʧi						
ALL_10			mɑnːo										monojo			nasimi										mano~manu							mɑnuni	
ALL_11		omɑrwɑme																																
ALL_12																																	pɑʔɑmɑnuni	
ALL_13																																	pɑʔɑmɑnuktis	
ALL_14						pətɑ̠ʔɑmɑ																												
ARM_1									ahkol												mahkul													
ARM_2							mwahkaʔa	nocat																										
ARM_3																											møtzaca					madzan		
ARM_4	mal		aŋapɨ	maːi̯̯t͡ɬ				mamat		maʔa		mama		mat							maji~mah		maː		nob		mama	mø	nowi	man		maʦon		
ARM_5																															mavoːi̯̯r			
ARM_6					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_7		seka									seka							juca		huca														
ARM_8															koomi																			
ARM_9																																		konkabam
ASH_1														teeliŋiʃ																				
ASH_2																																tonɡul		
ASH_3			kucapːɨ						kʷonːeʃ	qøcvi			kucapɨ				kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ				koʃiʃ			kucapːɨ	
ASH_4																	kutːusːipɨ																	
ASH_5																							kukuht											
ASH_6					etuhsipːɨh																													
ASH_7	nisxiʃ	napiso		neʃt͡ɬi			nasi	napsa			nahpiso	nari			naposa			matːe		matʰai̯̯	neʧ~nesʧta~neʃti	noʃt			matai̯̯		napot		matai̯̯		nasit			naposa
ASH_8																esija																		
ASH_9																												t͡ɬakoneʃt͡ɬiː						
ASH_10						wɨʂkiʃ																												
BARK_1																					juwajo~ijewaju							jewajut͡ɬ						
BARK_2							kucapeʔe																											
BARK_3																woʔaɡːapɨ																		
BARK_4																		hilidaɡa		ɨlidaɡ									ɨldaɡ		ulapet			
BARK_5				eʔwaːt͡ɬ					eːwat																		bewat					opit		
BARK_6					poʔa			beɡu̯at									puʔa		poʔa					poʔan										
BARK_7	taʧal~taʃʔa		asiaʔa							ʦiipɨ			asiavi	taaʧi																			siʔaːpi	
BARK_8																														axoːxoʦ				
BARK_9		eɡoli																					qoʦ		kom							opun		
BARK_10		kuhe									kahe				beewa											asiaː								bea
BARK_11						ʧalal																												
BELLY_1								siɡu̯at					sapɨi̯̯vɨ														siɡu̯a						sakoi̯pi	
BELLY_2																																ʃapuʃt		
BELLY_3							huka					huka									ihti							hte						
BELLY_4																ɡohi	kohi																	
BELLY_5																														xoːnen~xoːnon				
BELLY_6		ropa																											woːk					
BELLY_7	teʔily		sapːɨ		sapːɨh	ʂaʔi					tohpa			teeʔla	topːa								toːʔ	sapːɨh		sapːɨ								toʔona
BELLY_8							ʃai̯̯e	boa~panza	poʃ	pono							siː	voca	punu	voːk					bok									
BELLY_9				iʔtet͡ɬ																														
BELLY_10												ijamuja																						
BELLY_11																															njolir			
BIG_1			hokːo																															
BIG_2								huei̯̯																										
BIG_3		waʔlu		weːi̯̯~weʔ					weːji	wɨːjoqa	weruma		woko	jot							wei̯̯	wjom								jooi̯ʧ	wee			
BIG_4						ai̯̯ʔaniʃ																												
BIG_5																							atiɨ̯̯ʔaʦ											
BIG_6					pia		veʔe					epɨpa			bweʔuru~bweere	papa	papa	ɡu~aɡu	pia	ɡɨʔɨd				pia	ɡəʔ	pia	ɡue	bi̯ejiː	ɡɨʔɨ			eɡeːwan	apatːɨ	bweʔu~buːʔu
BIG_7	amnaʔa																																	
BIG_8												epɨnena																						
BIRD_1	wikikmal					mukikmal																												
BIRD_2																	hucipa																	
BIRD_3																								hui̯̯ʦːu										
BIRD_4														iheŋmal																				
BIRD_5		ʧuluɡi									ʦuʔruki																							
BIRD_6				toːtoːt͡ɬ					toːtoːciːn							ʦiːpːaʔ					totoʧ	tutut						tutut͡ɬ		ʧiʔuː		ʧikiːt		
BIRD_7					kuʦːuː					ʦiro																	ʧi				kolo			
BIRD_8							pinaʔa																											
BIRD_9																				uʔuviɡ									uʔuw̥iɡ					
BIRD_10			wiciʔici										wizikizi																					
BIRD_11																		uːɡːui̯̯~uruɡui̯̯																
BIRD_12												wiki~wi			wiːkit								wicit		ui̯ʔ	wicɨ							wicici	wiikit
BIRD_13								viqui̯̯tz																										
BIRD_14																			kasakantin															
BITE_1																		ʦujanta			tankʷa													
BITE_2																			kɨcciʔa					kɨcciʔa										
BITE_3				kecuma~kehcuma					keːhcoma																			kecoma						
