	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1							əjsɑ̆ɣɯt																
ALL_2										stɑv													
ALL_3	veɕe			øsːɛʃ								soːχ											
ALL_4													ʧə̠lɑ										
ALL_5		kɤik	kɑikːi		kɑi	kɑikːi		puɡː									pukɐ	kɑːjhkɛ			kɑik	kɤik	kˑɤikʲˑ
ALL_6				mind												muntə			mɑlʔ				
ALL_7									bɯdɤs	bɯd				bənsə									
ALL_8																				vɑɲmɯz			
ALL_9															pʊ̯ɔh								
ASH_1		tuhk	tuxkɑ			tʊxkɑ															tʊxk	tuhk	tˑuhkˑ
ASH_2														tuːdʲoəʔ					tunzʲibʲɑ				
ASH_3											tuːˀɡɨd												
ASH_4					poro		kɑjəm~pær		pɤjim	pɤjim										peɲ			
ASH_5												χuːʎəm				ɕiːmə							
ASH_6								kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_7	kulov																						
ASH_8				hɒmu																			
ASH_9													lomə̠ʒ										
BACK_1	kutʲmerʲe																						
BACK_2																		rʉʧːɛ					
BACK_3									mɯʃk	mɯʃ				məku		moqə			mɑxɑ				
BACK_4	koporʲ												tup							tɯbɯr			
BACK_5		selk	selkæ		selɡ̊æ	sɛlkæ		sielʲːk			sæːlɡɑ				se̯ælɛki		sɛalʲɟ͡ʝːɘ				sɛlʲɡ	selʧ	sˑælk
BACK_6							ʧø̆ɳʧ					sis											
BARK_1		puːkoːr						paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_2								peːsʲː	kɑʨ					kɑsu		qɑːsə							
BARK_3	kerʲ	korp	kɑːrnɑ	keːrɛɡ	koːri	kʊɔri	kær	keːrː		kɯrɕ	kuːorʲ	keːr	kyr				kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ
BARK_4																							kˑosˑkʲˑ
BARK_5													ʃym							sul			
BARK_6	sud																						
BARK_7																			sʲɑbt				
BARK_8												jiwsuːl											
BELLY_1			ʋɑʦɑ																				
BELLY_2				hɒʃ																			
BELLY_3							kŏɳ		kɯnɤm														
BELLY_4				ɟomor								sim											
BELLY_5																		ʧoæjːiɛ	tʲiw				
BELLY_6								ʧuejːv				soːriɣ		ʧɑjbə	ʧɔ̯ɑvji		ʧɔuʝːɘ						
BELLY_7	peke															perkə							
BELLY_8													myʃkə̠r									mɑko	
BELLY_9										ruʃku													
BELLY_10		vɑtːs									vɑtsɑː											vɑtːs	
BELLY_11					vɑʦɑ																vɑʦ		
BELLY_12																				kɤt			kˑɤtː
BELLY_13		kɤht																			kɔxt		
BELLY_14							poɣlɯ																
BELLY_15			mɑɦɑ																				
BELLY_16							ont																
BIG_1													kuɣu										
BIG_2																				bɑʥːɯm			
BIG_3	pokʃ																						
