	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
ASH_1	xwei⁵⁵	fei³³	xwei⁴⁵		fwi⁵³	fei⁴²	xwei⁴⁴	xwei²¹³	fa⁵⁵	xwe⁴⁴	foi³³	fɨi⁴²	xwei³¹	xwei⁵²		xwei²¹	fai⁴⁴	xwei²¹	
ASH_2				hwoi⁵⁵hwoi⁵⁵~hwoi⁵⁵											hwe̞⁴⁴				he⁵⁵
BARK_1	ʂu⁵¹pʰjə³⁵	ɕy¹¹pi¹³	su²¹³pʰi²¹	ʦʰjeu²¹²pʰwoi⁵³	sy²²pʰei²¹	ɕy²¹pi²²	ʂu⁵³pʰi²⁴	ʂu³¹pʰi⁵³	ɕy³¹pʰɹ̩⁴⁴	ʑy¹¹bi¹³	su⁵³pʰi¹¹	su²¹pʰi²⁴	su⁴⁴pʰi¹³	ʃy³³⁴pʰi³⁵	zɻ̩ʷ²³¹bi¹³	su⁴⁵pʰi²¹	zɹ̩²²bei³⁴¹	fu⁴⁴pʰi²⁴	ʦʰju²²pʰe²⁴
BELLY_1				puʔ²⁴lo³²															pak³²tɔ⁵³
BELLY_2					tʰou²³						tu³¹						døy²⁴		
BELLY_3	tu⁵¹ʦʰɹ̩⁰	təu⁵⁵ʦɹ̩⁰	tu²¹³ʦɹ̩⁵³~tu²¹³pʰi²¹			tu²³ʦe²³	tu⁵³ʦwɹ̩⁰	tu³¹ʦɹ̩⁰	tʰu²¹³ʦɹ̩⁰	tɤu⁴²ʦɹ̩⁰		tu²¹³ʦɹ̩⁰	tu⁴⁴ʦɹ̩⁰	tu³³⁴ʦɹ̩⁰	dəu²³¹bi¹³	tu⁴⁵ʦəʔ⁰		tou⁴⁴ʦɹ̩⁰	
BIG_1	tɑ⁵¹	tai¹¹	ta²¹³	twai²⁴²	tai²²	tai²¹	ta⁵³	ta³¹	tʰɵ³¹	da¹¹	tʰai⁵³	tʰai²¹	tɑ⁴⁴	ta³³⁴	dəu²³¹	ta⁴⁵	dɤu²²	tɑ⁴⁴	twa²²
BIRD_1	njɑu²¹³	ɲjau⁴¹		ʦɛu³²	nju²³	tjɑu²³	njau²¹³~ʨʰjau²¹³	ɲjɔ⁴⁵	ɲje²¹³			ɲjɛu²¹³		ʦʰɥɔ³⁵	tjæ⁵²	njau⁵³	tjɛ²⁴²ŋ̍⁰	ʨʰjɑu⁵³	ʦjau⁵³
BIRD_2													ljɔ¹¹						
BIRD_3			ʨʰɥo²¹ə⁵⁵~ʨʰo²¹ʨʰo²¹							tjɤ⁴²ʨi³⁵									
BIRD_4											tjau³³ve⁰		ʨʰjoʔ⁵ʦɹ̩⁰						
BITE_1				ka²⁴²															ka²²
BITE_2		ŋa⁴¹	ŋau⁵³		ŋau²³	ŋɑu²³			ŋɤ²¹³	ŋa³⁵		ŋau²¹³			ŋæ²³¹		ŋwɔ²⁴²	ɲjɑu⁵³	
BITE_3	jɑu²¹³						jau²¹³	jɔ⁴⁵					jɔ¹¹	jau²¹⁴		jau⁵³			
BITE_4											ŋat¹								
BLACK_1				u⁵⁵															ɔ⁵⁵
BLACK_2					hɐk³						het¹	hɛt⁵			həʔ⁴				
BLACK_3																	he⁴¹		
BLACK_4									xɤʔ³²				xeʔ⁵			xəʔ²			
BLACK_5	xei⁵⁵	xə²⁴	xe²¹			xei⁵⁵	xei⁴⁴	xei²¹⁴		xe¹³				xɛ²¹⁴				xei²¹	
BLOOD_1				haiʔ²⁴	hyt³														hwiʔ³²
BLOOD_2	ɕɥɛ²¹³	ɕje²⁴	ɕɥe²¹			ɕɥe⁵⁵	ɕɥɛ²¹³	ɕjə²¹⁴	ɕɥaʔ³²	swe¹³	çjat¹	ɕɥet⁵	ɕɥeʔ⁵	sjɛ²¹⁴	ɕɥəʔ⁴	ɕɥəʔ²	ɕy⁴¹	ɕjɛ²¹	
BONE_1	ku²¹⁴			kɔuʔ²¹	kwɐt⁵				kwɤʔ³²								ky⁴¹		
BONE_2		ku²⁴təu⁰	ku²¹tʰəu²¹	kɔuʔ²⁴kɔuʔ²⁴		ku⁵⁵tai²²	ku²¹³tʰou⁰	ku²¹⁴tʰou⁰		ku¹³djɤ¹³	kut¹tʰeu¹¹	kuʔ⁵tʰəu⁰	kuʔ⁵tʰəɯ¹³	ku²¹⁴tʰə⁰	kwəʔ⁴dʏ¹³	kwəʔ²təu⁰	ky⁴²dɤu³⁴¹	ku²¹tʰou⁰~ku²¹tou⁰	kut³²tʰau²⁴
BREAST_1				nɛiŋ⁵³								lai²¹³				nai⁵³	na²⁴		njæ⁵³jã⁵³
BREAST_2											nen⁵³ku³³								
BREAST_3		lai⁴¹ʦɹ̩⁰	lai⁴⁵lai⁵⁵				nai²¹³ʦɹ̩⁰	ma²¹³ma⁰~nɛ⁴⁵ʦɹ̩⁰	lɔ³⁵ʦɹ̩⁰					nai²¹⁴ʦɹ̩⁰	nɑ¹³nɑ¹³				
BREAST_4	ʐu²¹⁴fɑŋ³⁵	y⁴¹fan¹³			y²³fɔŋ²¹	lai²³fɑŋ²²				la³⁵bu¹³			lu¹¹fɑ̃¹³					vu⁵³fɑŋ²¹	
BREAST_5							ʦa⁴⁴												
BURN_1	ʂɑu⁵⁵	sau³³	sau⁴⁵	sjeu⁵⁵	sju⁵³	sɑu⁴²	ʂau⁴⁴	ʂɔ²¹⁴	ɕjo⁵⁵	ɕjɤ⁴⁴	sau³³	sɛu⁴²	sɔ³¹	ʂau⁵²	sæ⁴⁴	sau²¹	ɕjɛ⁴⁴	ʂɑu²¹	sjo⁵⁵
CLAW_1	ʈ͡ʂwa²¹³	ʦau⁴¹		ʦau³²	ʦau³⁵						ʦau³¹					ʦwa⁵³			
CLAW_2		ʦau⁴¹ʦɹ̩⁰	ʦwa⁵³ʦwa²¹			ʦɑu²³ʦe²³	ʈ͡ʂwa²¹³ʦɹ̩⁰	ʈ͡ʂwa⁴⁵ʦɹ̩⁰	ʦɤ²¹³ʦɹ̩⁰	ʦɤ⁴²ʦɹ̩⁰		ʦwa²¹³ʦɹ̩⁰	ʦwɑ¹¹ʦɹ̩⁰	ʈ͡ʂwa²¹⁴ʦɹ̩⁰			ʨja⁴¹ʦwɔ²⁴²	p͡fɑ⁵³ʦɹ̩⁰	
CLAW_3				kʰa⁵⁵ʦau³²											ʨjɑʔ⁴ʦæ⁵²				
CLAW_4																			ɡɔ²²njãu⁵³liŋ²⁴
CLOUD_1								ɥẽ⁵³	ɥɑ̃⁴⁴									ɥẽ²⁴	
CLOUD_2	yn³⁵	yn¹³	yn²¹		wɐn²¹	yŋ²²	yn²⁴ʦʰai⁰			un¹³	jun¹¹	yn²⁴	in¹³	yn⁵²		yŋ²¹	ɥoŋ³⁴¹		
CLOUD_3				huŋ⁵³															hun²⁴
CLOUD_4															ɦɥən¹³				
COLD_1				kaŋ⁵³~tɔyŋ²¹²~ʦʰiŋ²¹²															ʦʰin²¹
COLD_2	ləŋ²¹⁴	lən⁴¹	nən⁵³		laŋ²³	lei²³	ləŋ²¹³	ləŋ⁴⁵			laŋ³³	laŋ²¹³	lən¹¹	ləŋ²¹⁴	la²³¹	ləŋ⁵³	ljɛ²⁴²	ləŋ⁵³	liŋ⁵³
COLD_3									nẽ²¹³	njɔ̃⁴²									
COLD_4																			kwã²⁴
COME_1	lɛ³⁵	lai¹³	lai²¹	li³²	lɔi²¹	lai²²	lai²⁴	lɛ⁵³		le¹³	loi¹¹	lai⁴⁵	nɛ¹³	lai³⁵	le̞¹³	lai²¹		lɛ²⁴	lai²⁴
COME_2									na⁴⁴										
COME_3																	ʦau²⁴²lo⁰		
DIE_1	sɹ̩²¹³	sɹ̩⁴¹	sɹ̩⁵³	si³²	sei³⁵	sɹ̩²³	sɹ̩²¹³	sɹ̩⁴⁵	sɹ̩²¹³	sɹ̩⁴²	sɹ̩³¹	sɹ̩²¹³	sɹ̩¹¹	sɹ̩²¹⁴	si⁵²	sɹ̩⁵³	sɹ̩²⁴²	sɹ̩⁵³	si⁵³
DIE_2		tan¹³sɹ̩⁵⁵lan¹³																	
DIE_3		kwa³³																	
DOG_1	kou²¹⁴	kəu⁴¹	kəu⁵³	kʰɛiŋ³²	kɐu³⁵	kai²³	kou²¹³	kou⁴⁵	ki²¹³	tjɤ⁴²	keu³¹	kjɛu²¹³	kəɯ¹¹	kou²¹³	kʏ⁵²	kəu⁵³	kau²⁴²	kou⁵³	kau⁵³
DOG_2				kʰɛiŋ³²ŋjaŋ³²															
DRINK_1					jɐm³⁵														lim⁵⁵
DRINK_2												hot²			haʔ⁴				
DRINK_3																	ha⁴¹		
DRINK_4	xɤ⁵⁵	ʨʰja²⁴~xo²⁴	xo⁴⁵			xwo⁵⁵	xɤ⁴⁴	xɤ²¹⁴	xɤ⁵⁵	ʨʰjɔ¹³				xa²¹⁴				xwo²¹	
DRINK_5				ʦʰwoʔ²⁴~sjøʔ⁵							sət⁵		xoʔ⁵		ʨʰjəʔ⁴	xəʔ²			
DRY_1				ta⁵⁵													sə⁵¹		ta⁵⁵
DRY_2	kan⁵⁵	kan³³	kan⁴⁵	kaŋ⁵⁵	kɔn⁵³	kã²³	kan⁴⁴	kæ̃²¹⁴	kɔ⁵⁵	kã⁴⁴	kon³³	kon⁴²	kɑ̃³¹	kɐn³³⁴	kø⁴⁴	kæ̃²¹	ky⁴⁴	kæ̃²¹	
EAR_1				ŋɛi²⁴²															
EAR_2											ŋi³¹kuŋ³³								
EAR_3	ə²¹⁴	ə⁴¹	ə⁵³													ə⁵³		ə⁵³	
EAR_4															ɲ²³¹təu⁵²		ŋ̍²⁴to²⁴²		
EAR_5		ə⁴¹to⁰	ə⁵³to⁵⁵		i²³ʦɐi³⁵	y²³tu²³	ə²¹³two⁰	ə⁴⁵twɤ⁰	ẽ²¹³tɵ²¹³	ɤ⁴²tɤ⁰		ɵ²¹³tɔ⁰	ə¹¹to⁴⁴	ə²¹⁴tə⁰		ə⁵³twɤ⁰		ə⁵³two⁰	
EAR_6																			hi²²ja⁵³
EARTH (SOIL)_1	tʰu²¹³ti⁵¹	tʰəu⁴¹ti¹¹	tʰu⁵³ti²¹³	tʰu⁵³lɛi²⁴²	tʰou³⁵tei²²	tʰu²³ti²¹	tʰu²¹³ti⁵³	tʰu⁴⁵ti³¹	tʰu²¹³ʦʰɹ̩³¹	tʰɤu⁴²di¹¹	tʰu³¹tʰi⁵³	tʰu²¹³tʰi⁴²	tʰu¹¹ti⁴⁴	tʰu²¹³ti³³⁴	di²³¹bi¹³~tʰəu⁵²di²³¹	tʰu⁵³ti⁴⁵	tʰøy²⁴²dei²²	tʰou⁵³ti⁴⁴	tʰɔ⁵³twe²²
EARTH (SOIL)_2			ti²¹³						ʦʰɹ̩³¹	di¹¹			ti⁴⁴			ti⁴⁵		ti⁴⁴	
EAT_1				sjeʔ⁵	sek²				ʨʰjeʔ³²		sət⁵	ʨʰjaʔ⁵	ʈ͡ʂʰɻ̩ʔ⁵		ʨʰjəʔ⁴	ʦʰəʔ²			ʦjaʔ⁵
EAT_2	ʈ͡ʂʰɻ̩⁵⁵	ʨʰja²⁴	ʦʰɹ̩²¹			ʨʰi⁵⁵	ʈ͡ʂʰɻ̩⁴⁴	ʈ͡ʂʰɻ̩²¹⁴		ʨʰjɔ¹³				tai²¹⁴			ʦʰɹ̩⁴¹	ʈ͡ʂʰɻ̩²¹	
EGG_1	ʨi⁵⁵tan⁵¹	ʨi³³tan¹¹	ʨi⁴⁵tan²¹³		kɐi⁵³tan²²	ʨi⁴²tã²¹	ʨi⁴⁴tan⁵³	ʨi²¹⁴tæ̃⁴¹	ʦɹ̩⁵⁵ʦɹ̩²¹³	ʨi⁴⁴dã¹¹		ʨʰi⁴²tʰan²¹	ʨi³¹tɑ̃⁴⁴	ci⁵²tɐn²¹⁴	ʨi⁴⁴de̞²³¹	ʨi²¹tæ̃⁴⁵		ʨi²¹tæ̃⁰	
EGG_2				kje⁵⁵lɔuŋ²⁴²							ke³³lon³¹						ʦɹ̩⁴⁴laŋ²⁴		
EGG_3																			kwe⁵⁵nŋ̍²²
EYE_1				mɛiʔ⁵ʦjeu⁵⁵															bak⁵ʦju⁵⁵
EYE_2															ŋe̞²³¹u⁴⁴ʦɻ̩ʷ⁴⁴		ŋa²⁴leŋ³⁴¹ʦɹ̩⁴⁴		
EYE_3	jɛn²¹³ʨiŋ⁵⁵	ŋan⁴¹ʨin⁰	jɛn⁵³ʨin⁵⁵		ŋan²³ʦɛŋ⁵⁵	ŋã²³ʦei⁴²	jan²¹³ʨiŋ⁰	jæ̃⁴⁵ʨiŋ⁰	ŋo²¹³ʨjɑ̃⁵⁵	ŋã⁴²ʨy⁴⁴	ŋjan³¹ʦu³³	ŋan²¹³ʨjaŋ⁰	jen¹¹ʨin⁰	jɐn²¹⁴ʦiŋ⁵²		je⁵³ʨiŋ⁰			
EYE_4							jan²¹³									je⁵³			
EYE_5																		njæ̃⁵³wo⁰	
FAR_1				hwoŋ²⁴²											ɦjø²³¹				
FAR_2	ɥɛn²¹³	ɥẽ⁴¹	ɥan⁵³		yn²³	ɥã²³	ɥan²¹³	ɥæ̃⁴⁵	ɥẽ²¹³	wĩ⁴²	jan³¹	ɥon²¹³	ɥen¹¹	ɥɐn²¹⁴		ɥe⁵³	ju²⁴	ɥæ̃⁵³	wan⁵³
