	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōto	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
ALL_1							soːjo																																																			
ALL_2																																								ʃiʔkja																		
ALL_3	miɴna	miɴna	miɴna	miɴa	miɴna	miɴna		miɴna	miɴna	miɴna	meɴna	muːruɴ	mːna	miɴna	miɴna	miɴna	miɴna	mːna	mːna	muːru	ɴna	miɴna	miɴna	miɴna	miɴna	mina	miɴna	miɴnaː	mina	miɴna	miɴna	miɴna	miɴna	miɴna		ɴna	miɴna	muru	mɨna		miɴa	mina	meɴna	miɴna	muːru	mːna	mina	mina	miɴna	ɴna	miɴa	miɴna	miɴna	miɴna	miɴna	muru	miɴna	mina
ALL_4																																			ɡoʔto																							
ASH_1													karapaɨ					karapai	karapaɨ																											karapaɨ												
ASH_2	βɛː	aɡu	aɡu	hɛː	hai	hai	hai	aɡu	çɛː	hai	heː	peː		hai	aku	hai	hae			hai	hai	aɡu	hai	heː	heː	çaː	hai	hai	hai	aɡu	fe	heː	hai	hai	hə	aku	hai	heː	haçi	çaː	hai	hae	hae	heː	pai		hai	hai	hai	hai	hai	hai	aɡu	hɛː	heː		heː	hai
ASH_3																																																								çiɡuɴ		
BACK_1	senaka	henaɡa	henaɡa	senaka	seɴɡo	ʃenaɡa	ʃenaka	ʃenaɡa	senaka	senaka	hedaka	iʃinaɡa		sena	senaka	senaka	ʃenaɡa				senaka	senaɡa	senaka	senaka	senaka		senaka	senaka	senaka	ʃenaɡa	ʃenaka	senaka	ʃenaka	senaka		senaka	ʃena		se	ʃena	senaka	senaka	ʃena	senaka			senaka	ʃenaka	senaka	senaka	senaka	senaka	henaɡa	sena	senaka		ʃenaka	senaka
BACK_2																																														kusɨbuni										kuʧʔibuni		
BACK_3													kusɨ							kusu						ɡotjaː									kusɨ																							
BACK_4																																													kuʃinaka													
BACK_5																		kuːɴmi	kuːɴni																																							
BACK_6																																						naɡaːni																				
BE DEAD OR DIE_1											marubu	maːrasuɴ								maːrasuɴ																		maːsuɴ							maːrasuɴ											maisuɴ		
BE DEAD OR DIE_2																								keʃiɴ							keʃinuru																											
BE DEAD OR DIE_3	ʃinu	ʃinu	sunu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinu			sɨɴ	ʃinuru	ʃinu	ʃinu	ʃinu	sɨɴ	sɨɴ		ʃiɴ	sunu	ʃinu		ʃinu	ʃinuru	ʃinu	ʃinuru	ʃinu			ʃimu	ʃinu	ʃinu	sɨɲuɴ	ʃiɡu	ʃinuru		ʃinu	ʃiɴ	ʃinu	ʃinu	ʃinoː	ʃinu		sɨɴ	ʃinu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinuru	ʃinu		ʃinuru	ʃinu
BELLY_1	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara			hara		hara	hara				hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara		hara	hara			hara	hara	hara	hara	hara			hara	hara	hara	hara	hara	hara	hara		hara		hara	hara
BELLY_2												bata	bata		onaka			bata	bata	bada															wata			wataː	wata						bata	bata								onaka		bata		
BIG_1																				maiʃaːɴ																		maːɡiʃeɴ																		maisa		
BIG_2																																													maijaɴ													
BIG_3																																			daibaɴ																							
BIG_4	oːkiː	oʔki	oʔki	oʔkiː	oːkiː	ikɛ	oːʔka		ikɛ				upukaiː	oːkeː	oːkiː	oːkeː	ekae		ukukal		dekai	oʔki	oːkiː				oːkiː		oʔkiː	oʔkiː			oːkina	oːkiː			oːkeː		øβø			ikɛː	oːkina	ikai		upʃaːl	oːkiː	oːkiː	oːkiː		oːkiː	okiː	oʔki	oːkina	oːkiː			oːkiː
BIG_5										deʔkai															dʔkɛ							dʔkɛ				deʔkae					dʔkɛ									deʔkai								
BIG_6											boːkja							βuikai						βute		βutoka		βutoi			βuti									βutoka																	βutiː	
BIG_7								ʣuɴnɛ																																																		
BIG_8												busahaɴ																																														
BIRD_1	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	torime	turɨ	tuɨ	tori	tori	tori	tori	tui	tul	turɨ	tori	tori	tori	toi	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	turi	tori	tori	tui	tøri	toi	tori	tori	toː	tori	tul	tul	tori	tori	tori	tori	tori	tori	tori	tori	tori	hatu	tori	tori
BITE_1		kamiʤiɡu	kuʔʦuɡu		kamiʦuku	kuwaʦuku		kuiʦuku				kamisɨkuɴ		kuiʦuku	kamiʦuku							kuʔʧaɡaru		kaɴʦuʔ			kamiʦuku							kuiʦuku										kuʔʦuku							kamiʦuku							
BITE_2													βuː					βuː	βuː	kamuɴ	kamu																	kuːjuɴ	kamu											kamu								
BITE_3																																																								puiʦuɴ		
BITE_4																																														βaɴksɨ												
BLACK_1													ʔfukaɨ					ʔfukai																												ʔβuʃaːru												
BLACK_2																			ʔfukam	βuβuːsaɴ																									ʔfoːɴ													
BLACK_3								maʔkureː																							maʔkuri																											
BLACK_4	kurøː	kure	kure	kureː	kuroi	kuroi	kuroka		kurøː	kuroi	kurokja			kuroi	kuroi	kuroi	kuroe				kuroi	kure	kuroi	kure	kureː	kuroka	kuroi	kuroi	kuroi	kuroe		kureː	kuroka	kuroi		kuːre	kureː	kuruʃeɴ	kuroʃi	kuroka	kuroi	kurøe	kuroe	kuroi			kuroi	kuroi	kuroi	kuroi	kuroi	kuroi	kuroe	kurøː	kuroi	βuru	kureː	kuroi
BLACK_5																																			kʔuruʃaɴ																							
BLACK_6												βuːhahaɴ																																														
BLOOD_1	ʧi	ʧi	ʧi	ʧi	ʧi	ʧiː	ʧi	ʧi	ʧi	ʧi	ʧi	ʣɨː	akaʦɨ	ʧi	ʧi	ʧiː	ʧi	akaʦɨ	akaʦɨ	ʦɨː	ʧiː	ʦu	ʧiː	ʧiː	ʧi	ʧiː	ʧiː	ʧi	ʧiː	ʦuː	ʧi	ʧi	ʧi	ʧi	ʦɨ	ʧi	ʧi	ʧiː	ti	ʧi	ʧi	ʧiː	ʧi	ʧi	ʃiː	akaʦɨ	ʧiː	ʧiː	ʧi	ʧiː	ʧi	ʧiː	ʧiː	ʧi	ʧi	ʧi	ʧi	ʧiː
BONE_1	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	puni	puni	hone	hone	hone	hone	βuni	puni	βuni	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	βunɨ	hone	hone	βuni	høne	hone	hone	hone	hone	hone	puni	puni	hone	hone	hone	hone	hone	hone	hone	hone	hone	βuni	hone	hone
BREAST_1	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune			mune	mune	mune	mune			ɴni	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	munaŋara	mune	mune	monə	mune	mune		mune	mune	mune	mune	mine	mune	ɴːni	mni	mune	mune	mune	mune	mune	mune	mune	mune	mune		mune	mune
BREAST_2												niʦɨ	ɴmivu̥ʦɨ					ɴmiuʦɨ	ɴmivu̥ʦɨ																			niːβara																				
BREAST_3																																																								ʧimumuti		
BURN_1																											taku															taku														daɡuɴ		
BURN_2	jaku	jaɡu	jaɡu	jaku	jaku	jaku	jaku	jaɡu	jaku	jaɡu	jaku	jaɡuɴ	jaksɨ	jaku	jaku	jaku	jaɡu	jaβu	jaβu	jakuɴ	jaku	jaɡu	jaku	jaʔ	jaku	jaku		jaku	jaku	jaɡu	jaku	jaku	jaku	jaku	jakjuɴ	jaku	jaku	jakuɴ		jaku	jaku		jaku	jaku	jakuɴ	jaksɨ	jaɡu	jaku	jaku	jaku	jaku	jaku	jaɡu	jaku	jaku		jaku	jaku
BURN_3																																							moju																			
CLOUD_1	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	βumoɴ	βumu	kumo	kumo	kumo	kumo	ɴmu	βumu	kumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kʔumu	kumo	kumo	kumuː	kumo	kumo	kumo	kumo	kumo	kumo	βumu	βumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	ɴmu	kumo	kumo
COLD_1					çijai																			çijuʔ				çijai												çijka																		
COLD_2																																													piːjaɴ													
COLD_3			suɴbareru												ʃibareru							suɴbareru								subareru																												
COLD_4	sabjuː	samue		sabiː		sabui	samuka	sameː	sabjuː	samiː				sabui		sabui	samue				sabui		sabui		samiː	saɴka	samui		samui		sami	sabiː	samuka	sabui		saːme	samiː		samuʃi		samiː	samui	samiː	sabiː			samui	samui	samui	sabui	samui	sabui	saɴbu	samiː	samui		samiː	sabui
COLD_5												piʃahaɴ								piːʃaɴ																		çiːʃeɴ								piːʃaːl										çisaɴ		
COLD_6											koɡeiru																																															
COLD_7																																			çiɡuruʃaɴ																							
COLD_8													psɨʃikaɨ						psɨʃikam																																							
COLD_9																		ʔʃikai																																								
COME_1	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuɴ		kuru	kuru	kuru	kuru	βuː	βuː	ksɨːɴ	kuru	kuru	kuru	kuʔ	iku	kuru	kuru	kuru	kuru		kuru	kuru	kuru	kuru	kjuɴ	kuru	kuru		ku	kuː	kuru	kuru	kuː	kuru	kuːɴ	ksɨː	kuru	kuru	kuru	kuru	kuru	kuru	kuru		kuru	kuɴ	kuru	kuru
COME_2													ksɨsɨ																																													
COUNT_1												jumuɴ	jum			jomu		jum	jum		joɴ		jomu				jomu								jumjuɴ			jumuɴ							jumuɴ	jum		jomu				jomu						
COUNT_2																																																								dumi		
COUNT_3	kaɴjoseru	kaɴjeru		kaɴjoː		kaɴjeru	kaɴneru	kaɴjoːʃiru	kaɴjoːseru	kaɴjoːsuru	kaɴjoːsu						kaɴjoːsuru					kaɴjeru			kaɴjoːsuru							kaɴjoːʃiru				kaɴjoː					kaɴjoːsuru		kajeː	kaɴjoːʃiru						kaɴjoːsuru			kaɴjeru					
COUNT_4			kaɴʤoeru		kaʣueru									kaʣueru	kaʣoeru											kaɴʤuru		kaʣueru	kaʣoeru	kaɴʣoeru	kaʣojuru		kaʣojuru	kaʣueru			kaʣueru		kaʣoβu	kaʣojuru		kaʣoeru					kaʣoeru		kaʣureru		kaʣoeru			kaʣøːru	kaʣoeru		kaʣojuru	kaʣujomu
COUNT_5																								kaɴʣuʔ																																		
COUNT_6																				saɴmiɴsɨː																																						
DIRTY_1																				janiʔʃaːɴ																																						
DIRTY_2																																			janaksɨʃaɴ																							
DIRTY_3												jaɴʃihaɴ																																														
DIRTY_4																																													janijaɴ													
DIRTY_5																																	joʔsowaʃika							josowaʃika																		
DIRTY_6							urameʃika																																																			
DIRTY_7																ʧanai																																								dinaɴ		
DIRTY_8	kitanɛː	kitanɛ	kitanɛ	kitanɛː	kitanai	kitanai		kiʔtanɛ	kitanɛː	kitaneː	kitanakja			kitanaː	kitanai		kitane	ʔʃana	ʔʃanaɡi		kitanai	kiʔtanɛ	kitanai		kitaneː	kitanaka	kitanai		kitanai	kidanɛ	kisane	kiʔtaneː		kitanaː		kiʔtanɛ	kitaneː		kitanaʃi		kitaneː	kitanae	kitaneː	kiʔtanɛː			kitanai	kitanai	kitanai		kitanai	kitanai		kitanɛː	kitanai		kisaneː	kitanai
DIRTY_9																																																					biʃo					
DIRTY_10																								kiʔsanaka																																		
DIRTY_11													sɨkata																																													
DIRTY_12																												ɴdakiʤa																														
DIRTY_13																																																		uʣakuraʃiː								
DIRTY_14																																														sɨputalmunu												
DIRTY_15																																						hoɡoʃeɴ																				
DOG_1	inu	enu	enu	inu	inu	inu	iɴ	inu	inu	inu	inume	inu	iɴ	inu	inu	inu	enu	iɴ	iɴ	iɴ	iɴ	enu	inu	iɴ	inu	iɴ	inu	inu	inu	enu	iɴ	eno	inu	inu	iɴ	eɴɡa	inu	iɴɡwaː	inu	iɴ	inu	inu	eno	inu	iɴ	ina	inu	inu	inu	iɴ	inu	inu	enu	inu	inu	inu	iɴ	inu
DRINK_1	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	num	nomu	nomu	nomu	nomu	num	num	numuɴ	nomu	nomu	nomu	noɴ	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numjuɴ	nomu	nomu	numuɴ	nømu	nomu	nomu	nomu	noɴ	nomu	numuɴ	num	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	nomu	nomu
DRY_1	kawaku	kawaɡu	kawaɡu	kaːku	kawaku	kawaku		kʷaɡu	kawaku	kawaku	kawaku	karuɡuɴ	kaːksɨ		kawaku	kawaku			kaːraʦɨ	kaːraɡuɴ	kawaku	kawaɡu	kawaku		kawaku		kawaku	kaːku	kawaku	kawaɡu			kawaku	kawaku	korakjuɴ	kawaku	kawaku		kawaku	kawaku	kawaku	kawaku	kawaku		kaːrakuɴ	kaːrakɨ	kawaɡu	kawaku	kawaku		kawaku	kawaku		kawaku	kawaku	karaɡuɴ	kawaku	kawaku
DRY_2							çiaɡaru							çiru			çiru	sari								çiaɡaru					çiaɡaru	ʃiru												çiru									βiru					
DRY_3																								çiaɡaʔ																																		
DRY_4																																																		hoseru								
DRY_5																																						haːrakuɴ																				
EAR_1	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi		mim	mimi	mimi	mimi	mimi	miɴ	mim	miɴ	mimi	mimi	mimi	miɴ	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mimi	mimi	mimiː	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mim	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi		mimi	mimi
EAR_2																																																								miɴtaβu		
EAR_3												miʃukurumiɴ																																														
EARTH (SOIL)_1						beto						ɴta	mta					ɴta	mta	ɴta												beto			niʃa	beto		ɴʧaː								mta												
EARTH (SOIL)_2	ʦuʃi	ʧiʤi	ʦuʣu	ʦuʃi	ʦuʃi		doro	ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi				doro	ʦuʣu	ʦuʃi	ʦuʔ	ʦuʃi	ʦuʃi	ʦuʃi	tuʧi	ʦuʃi	ʦuʣu	ʦuʃi		ʦuʃi	ʦuʃi			ʦuʃi		tuti	doro	ʦuʃi	ʦuʃi	ʧiʧi	ʦuʃi	ʤiː		ʦuʃi	ʦuʃi	ʦuʃi	doro	ʦuʃi	ʦuʃi	ʧiʤi	doro	ʦuʃi		tuʧi	ʦuʃi
EARTH (SOIL)_3																																																								dinaɡa		
EAT_1																								tamoʔ																																		
EAT_2																																																taberu										
EAT_3												hoɴ								hoːɴ																																						
EAT_4	kuː	ku	ku	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kamu		βoː	kuː	kuː	kuː	kuː	βau	βau		kuː	ku	kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kamjuɴ	kuː	kuː	keːɴ	kuβu	kuː	kuː	kuː	kuː	kuː	ʔβuɴ	βuː	kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː	βuɴ	kuː	kuː
EGG_1	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo		tunaka	tamaɡo	tamaŋo	tamaŋo	tamaŋo	tunuka	tunuka	tunaɡa	tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɴɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɡo	tama		tamaɡo	tamaɡo			tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo			tamaŋo	tamaɡo	tamaɡo	tamamo	tamaɡo	tamaɴɡo	tamaŋo	tamaɡo	tamaŋo		tamaɡo	tamaŋo
EGG_2												keː																							kʔuɡa			βuɡa	ko						koːma	kuɡa										kaiŋu		
