	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1							əjsɑ̆ɣɯt																
ALL_2										stɑv													
ALL_3				mind					bɯdɤs					bənsə		muntə			mɑlʔ				
ALL_4		kɤik	kɑikːi		kɑi	kɑikːi		puɡː		bɯd							pukɐ	kɑːjhkɛ			kɑik	kɤik	kˑɤikʲˑ
ALL_5	veɕe			øsːɛʃ								soːχ	ʧə̠lɑ										
ALL_6															pʊ̯ɔh								
ALL_7																				vɑɲmɯz			
ASH_1															kʊtnɑ			kuβnɛ					
ASH_2	kulov				poro		kɑjəm~pær	kunː	pɤjim	pɤjim		χuːʎəm				ɕiːmə	kunːɐ			peɲ			
ASH_3				hɒmu																			
ASH_4													lomə̠ʒ										
ASH_5														tuːdʲoəʔ					tunzʲibʲɑ				
ASH_6		tuhk	tuxkɑ			tʊxkɑ															tʊxk	tuhk	tˑuhkˑ
ASH_7											tuːˀɡɨd												
BACK_1									mɯʃk	mɯʃ				məku		moqə			mɑxɑ				
BACK_2																		rʉʧːɛ					
BACK_3	koporʲ												tup							tɯbɯr			
BACK_4		selk	selkæ		selɡ̊æ	sɛlkæ	ʧø̆ɳʧ	sielʲːk			sæːlɡɑ	sis			se̯ælɛki		sɛalʲɟ͡ʝːɘ				sɛlʲɡ	selʧ	sˑælk
BACK_5	kutʲmerʲe																						
BARK_1		puːkoːr													paːrɑhkʊ			pɑːrhkuʌ					
BARK_2	kerʲ~sud	korp	kɑːrnɑ	keːrɛɡ	koːri	kʊɔri	kær	paːr̥ːk~keːrː~peːsʲː	kɑʨ	kɯrɕ	kuːorʲ	keːr	kyr~ʃym	kɑsu		qɑːsə	kərːɐ			kur~sul	kɔrʲ	koːri	kˑuːrʲ~kˑosˑkʲˑ
BARK_3																			sʲɑbt				
BARK_4												jiwsuːl											
BELLY_1				ɟomor					kɯnɤm			sim											
BELLY_2								ʧuejːv				soːriɣ		ʧɑjbə	ʧɔ̯ɑvji		ʧɔuʝːɘ	ʧoæjːiɛ	tʲiw				
BELLY_3	peke												myʃkə̠r			perkə						mɑko	
BELLY_4										ruʃku													
BELLY_5			ʋɑʦɑ	hɒʃ																			
BELLY_6		vɑtːs			vɑʦɑ		kŏɳ				vɑtsɑː									kɤt	vɑʦ	vɑtːs	kˑɤtː
BELLY_7		kɤht																			kɔxt		
BELLY_8							poɣlɯ																
BELLY_9			mɑɦɑ																				
BELLY_10							ont																
BIG_1															stʊ̯ɔris			stuʌrɛ					
BIG_2																uə̠rqə			ŋɑrkɑ				
BIG_3													kuɣu							bɑʥːɯm			
BIG_4	pokʃ																						
BIG_5							lŏɣɑt																
