	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōtō	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
ALL_1							soːjo																																																			
ALL_2																																								ʃiʔkja																		
ALL_3												muːruɴ								muːru																		muru							muːru											muru		
ALL_4	miɴna	miɴna	miɴna	miɴa	miɴna	miɴna		miɴna	miɴna	miɴna	meɴna		mːna	miɴna	miɴna	miɴna	miɴna	mːna	mːna		ɴna	miɴna	miɴna	miɴna	miɴna	mina	miɴna	miɴnaː	mina	miɴna	miɴna	miɴna	miɴna	miɴna		ɴna	miɴna		mɨna		miɴa	mina	meɴna	miɴna		mːna	mina	mina	miɴna	ɴna	miɴa	miɴna	miɴna	miɴna	miɴna		miɴna	mina
ALL_5																																			ɡoʔto																							
ASH_1				hɛː	hai	hai	hai			hai	heː			hai		hai	hae			hai	hai		hai	heː	heː		hai	hai	hai			heː	hai	hai	hə		hai	heː	haçi		hai	hae	hae	heː			hai	hai	hai	hai	hai	hai		hɛː	heː		heː	hai
ASH_2													karapaɨ					karapai	karapaɨ																											karapaɨ												
ASH_3		aɡu	aɡu					aɡu							aku							aɡu								aɡu						aku																	aɡu					
ASH_4	βɛː								çɛː			peː														çaː					fe									çaː					pai													
ASH_5																																																								çiɡuɴ		
BACK_1	senaka	henaɡa	henaɡa	senaka	seɴɡo	ʃenaɡa	ʃenaka	ʃenaɡa	senaka	senaka	hedaka	iʃinaɡa		sena	senaka	senaka	ʃenaɡa				senaka	senaɡa	senaka	senaka	senaka		senaka	senaka	senaka	ʃenaɡa	ʃenaka	senaka	ʃenaka	senaka		senaka	ʃena	naɡaːni	se	ʃena	senaka	senaka	ʃena	senaka			senaka	ʃenaka	senaka	senaka	senaka	senaka	henaɡa	sena	senaka		ʃenaka	senaka
BACK_2																		kuːɴmi	kuːɴni																																							
BACK_3													kusɨ							kusu						ɡotjaː									kusɨ										kuʃinaka	kusɨbuni										kuʧʔibuni		
BE DEAD OR DIE_1											marubu	maːrasuɴ								maːrasuɴ																		maːsuɴ							maːrasuɴ											maisuɴ		
BE DEAD OR DIE_2	ʃinu	ʃinu	sunu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinu			sɨɴ	ʃinuru	ʃinu	ʃinu	ʃinu	sɨɴ	sɨɴ		ʃiɴ	sunu	ʃinu	keʃiɴ	ʃinu	ʃinuru	ʃinu	ʃinuru	ʃinu		keʃinuru	ʃimu	ʃinu	ʃinu	sɨɲuɴ	ʃiɡu	ʃinuru		ʃinu	ʃiɴ	ʃinu	ʃinu	ʃinoː	ʃinu		sɨɴ	ʃinu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinuru	ʃinu		ʃinuru	ʃinu
BELLY_1	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara			hara		hara	hara				hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara		hara	hara			hara	hara	hara	hara	hara			hara	hara	hara	hara	hara	hara	hara		hara		hara	hara
BELLY_2												bata	bata					bata	bata	bada																									bata	bata										bata		
BELLY_3															onaka																				wata			wataː	wata															onaka				
BIG_1											boːkja							βuikai						βute		βutoka		βutoi			βuti									βutoka																	βutiː	
BIG_2										deʔkai															dʔkɛ							dʔkɛ			daibaɴ	deʔkae					dʔkɛ									deʔkai								
BIG_3												busahaɴ																																														
BIG_4	oːkiː	oʔki	oʔki	oʔkiː	oːkiː	ikɛ	oːʔka		ikɛ				upukaiː	oːkeː	oːkiː	oːkeː	ekae		ukukal		dekai	oʔki	oːkiː				oːkiː		oʔkiː	oʔkiː			oːkina	oːkiː			oːkeː					ikɛː	oːkina	ikai			oːkiː	oːkiː	oːkiː		oːkiː	okiː	oʔki	oːkina	oːkiː			oːkiː
BIG_5																																														upʃaːl												
BIG_6																				maiʃaːɴ																		maːɡiʃeɴ																		maisa		
BIG_7																																							øβø						maijaɴ													
BIG_8								ʣuɴnɛ																																																		
BIRD_1	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	torime	turɨ	tuɨ	tori	tori	tori	tori	tui	tul	turɨ	tori	tori	tori	toi	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	turi	tori	tori	tui	tøri	toi	tori	tori	toː	tori	tul	tul	tori	tori	tori	tori	tori	tori	tori	tori	tori	hatu	tori	tori
BITE_1													βuː					βuː	βuː																																							
BITE_2																				kamuɴ	kamu																	kuːjuɴ	kamu											kamu								
BITE_3		kamiʤiɡu	kuʔʦuɡu		kamiʦuku	kuwaʦuku		kuiʦuku				kamisɨkuɴ		kuiʦuku	kamiʦuku							kuʔʧaɡaru		kaɴʦuʔ			kamiʦuku							kuiʦuku										kuʔʦuku							kamiʦuku							
BITE_4																																																								puiʦuɴ		
BITE_5																																														βaɴksɨ												
BLACK_1													ʔfukaɨ					ʔfukai	ʔfukam	βuβuːsaɴ																									ʔfoːɴ	ʔβuʃaːru												
BLACK_2	kurøː	kure	kure	kureː	kuroi	kuroi	kuroka	maʔkureː	kurøː	kuroi	kurokja			kuroi	kuroi	kuroi	kuroe				kuroi	kure	kuroi	kure	kureː	kuroka	kuroi	kuroi	kuroi	kuroe	maʔkuri	kureː	kuroka	kuroi	kʔuruʃaɴ	kuːre	kureː	kuruʃeɴ	kuroʃi	kuroka	kuroi	kurøe	kuroe	kuroi			kuroi	kuroi	kuroi	kuroi	kuroi	kuroi	kuroe	kurøː	kuroi	βuru	kureː	kuroi
BLACK_3												βuːhahaɴ																																														
BLOOD_1	ʧi	ʧi	ʧi	ʧi	ʧi	ʧiː	ʧi	ʧi	ʧi	ʧi	ʧi	ʣɨː	akaʦɨ	ʧi	ʧi	ʧiː	ʧi	akaʦɨ	akaʦɨ	ʦɨː	ʧiː	ʦu	ʧiː	ʧiː	ʧi	ʧiː	ʧiː	ʧi	ʧiː	ʦuː	ʧi	ʧi	ʧi	ʧi	ʦɨ	ʧi	ʧi	ʧiː	ti	ʧi	ʧi	ʧiː	ʧi	ʧi	ʃiː	akaʦɨ	ʧiː	ʧiː	ʧi	ʧiː	ʧi	ʧiː	ʧiː	ʧi	ʧi	ʧi	ʧi	ʧiː
BONE_1	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone			hone	hone	hone	hone				hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone		hone	hone		høne	hone	hone	hone	hone	hone			hone	hone	hone	hone	hone	hone	hone	hone	hone		hone	hone
BONE_2												puni	puni					βuni	puni	βuni															βunɨ			βuni							puni	puni										βuni		
BREAST_1	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune			mune	mune	mune	mune			ɴni	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	munaŋara	mune	mune	monə	mune	mune		mune	mune	mune	mune	mine	mune	ɴːni	mni	mune	mune	mune	mune	mune	mune	mune	mune	mune		mune	mune
BREAST_2												niʦɨ	ɴmivu̥ʦɨ					ɴmiuʦɨ	ɴmivu̥ʦɨ																			niːβara																				
BREAST_3																																																								ʧimumuti		
BURN_1																											taku															taku														daɡuɴ		
BURN_2	jaku	jaɡu	jaɡu	jaku	jaku	jaku	jaku	jaɡu	jaku	jaɡu	jaku	jaɡuɴ	jaksɨ	jaku	jaku	jaku	jaɡu	jaβu	jaβu	jakuɴ	jaku	jaɡu	jaku	jaʔ	jaku	jaku		jaku	jaku	jaɡu	jaku	jaku	jaku	jaku	jakjuɴ	jaku	jaku	jakuɴ		jaku	jaku		jaku	jaku	jakuɴ	jaksɨ	jaɡu	jaku	jaku	jaku	jaku	jaku	jaɡu	jaku	jaku		jaku	jaku
BURN_3																																							moju																			
CLOUD_1																		ɴmu																																						ɴmu		
CLOUD_2	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	βumoɴ	βumu	kumo	kumo	kumo	kumo		βumu	kumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kʔumu	kumo	kumo	kumuː	kumo	kumo	kumo	kumo	kumo	kumo	βumu	βumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo		kumo	kumo
COLD_1													psɨʃikaɨ						psɨʃikam																																							
COLD_2																		ʔʃikai																																								
COLD_3					çijai																			çijuʔ				çijai												çijka																		
COLD_4	sabjuː	samue	suɴbareru	sabiː		sabui	samuka	sameː	sabjuː	samiː				sabui	ʃibareru	sabui	samue				sabui	suɴbareru	sabui		samiː	saɴka	samui		samui	subareru	sami	sabiː	samuka	sabui		saːme	samiː		samuʃi		samiː	samui	samiː	sabiː			samui	samui	samui	sabui	samui	sabui	saɴbu	samiː	samui		samiː	sabui
COLD_5											koɡeiru																																															
COLD_6												piʃahaɴ								piːʃaɴ															çiɡuruʃaɴ			çiːʃeɴ								piːʃaːl										çisaɴ		
COLD_7																																													piːjaɴ													
COME_1													ksɨsɨ							ksɨːɴ																										ksɨː												
COME_2	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuɴ		kuru	kuru	kuru	kuru	βuː	βuː		kuru	kuru	kuru	kuʔ	iku	kuru	kuru	kuru	kuru		kuru	kuru	kuru	kuru	kjuɴ	kuru	kuru		ku	kuː	kuru	kuru	kuː	kuru	kuːɴ		kuru	kuru	kuru	kuru	kuru	kuru	kuru		kuru	kuɴ	kuru	kuru
COUNT_1												jumuɴ	jum			jomu		jum	jum		joɴ		jomu				jomu								jumjuɴ			jumuɴ							jumuɴ	jum		jomu				jomu						
COUNT_2	kaɴjoseru	kaɴjeru	kaɴʤoeru	kaɴjoː	kaʣueru	kaɴjeru	kaɴneru	kaɴjoːʃiru	kaɴjoːseru	kaɴjoːsuru	kaɴjoːsu			kaʣueru	kaʣoeru		kaɴjoːsuru					kaɴjeru		kaɴʣuʔ	kaɴjoːsuru	kaɴʤuru		kaʣueru	kaʣoeru	kaɴʣoeru	kaʣojuru	kaɴjoːʃiru	kaʣojuru	kaʣueru		kaɴjoː	kaʣueru		kaʣoβu	kaʣojuru	kaɴjoːsuru	kaʣoeru	kajeː	kaɴjoːʃiru			kaʣoeru		kaʣureru	kaɴjoːsuru	kaʣoeru		kaɴjeru	kaʣøːru	kaʣoeru		kaʣojuru	kaʣujomu
COUNT_3																				saɴmiɴsɨː																																				dumi		
DIRTY_1																												ɴdakiʤa																						uʣakuraʃiː								
DIRTY_2																ʧanai																																								dinaɴ		
DIRTY_3	kitanɛː	kitanɛ	kitanɛ	kitanɛː	kitanai	kitanai		kiʔtanɛ	kitanɛː	kitaneː	kitanakja			kitanaː	kitanai		kitane	ʔʃana	ʔʃanaɡi		kitanai	kiʔtanɛ	kitanai	kiʔsanaka	kitaneː	kitanaka	kitanai		kitanai	kidanɛ	kisane	kiʔtaneː		kitanaː		kiʔtanɛ	kitaneː		kitanaʃi		kitaneː	kitanae	kitaneː	kiʔtanɛː		sɨputalmunu	kitanai	kitanai	kitanai		kitanai	kitanai	biʃo	kitanɛː	kitanai		kisaneː	kitanai
DIRTY_4							urameʃika						sɨkata																				joʔsowaʃika							josowaʃika																		
DIRTY_5												jaɴʃihaɴ								janiʔʃaːɴ															janaksɨʃaɴ																							
DIRTY_6																																													janijaɴ													
DIRTY_7																																						hoɡoʃeɴ																				
DOG_1																																				eɴɡa		iɴɡwaː																				
DOG_2	inu	enu	enu	inu	inu	inu	iɴ	inu	inu	inu	inume	inu	iɴ	inu	inu	inu	enu	iɴ	iɴ	iɴ	iɴ	enu	inu	iɴ	inu	iɴ	inu	inu	inu	enu	iɴ	eno	inu	inu	iɴ		inu		inu	iɴ	inu	inu	eno	inu	iɴ	ina	inu	inu	inu	iɴ	inu	inu	enu	inu	inu	inu	iɴ	inu
DRINK_1	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	num	nomu	nomu	nomu	nomu	num	num	numuɴ	nomu	nomu	nomu	noɴ	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numjuɴ	nomu	nomu	numuɴ	nømu	nomu	nomu	nomu	noɴ	nomu	numuɴ	num	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	nomu	nomu
DRY_1																																						haːrakuɴ												hoseru								
DRY_2	kawaku	kawaɡu	kawaɡu		kawaku	kawaku			kawaku	kawaku	kawaku	karuɡuɴ	kaːksɨ		kawaku	kawaku			kaːraʦɨ	kaːraɡuɴ	kawaku	kawaɡu	kawaku		kawaku		kawaku		kawaku	kawaɡu			kawaku	kawaku	korakjuɴ	kawaku	kawaku		kawaku	kawaku	kawaku	kawaku	kawaku		kaːrakuɴ	kaːrakɨ	kawaɡu	kawaku	kawaku		kawaku	kawaku		kawaku	kawaku	karaɡuɴ	kawaku	kawaku
DRY_3				kaːku			çiaɡaru	kʷaɡu						çiru			çiru	sari						çiaɡaʔ		çiaɡaru		kaːku			çiaɡaru	ʃiru												çiru									βiru					
EAR_1	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miʃukurumiɴ	mim	mimi	mimi	mimi	mimi	miɴ	mim	miɴ	mimi	mimi	mimi	miɴ	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mimi	mimi	mimiː	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mim	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miɴtaβu	mimi	mimi
EARTH (SOIL)_1												ɴta	mta					ɴta	mta	ɴta															niʃa			ɴʧaː								mta												
EARTH (SOIL)_2							doro														doro																			doro					ʤiː					doro				doro				
EARTH (SOIL)_3	ʦuʃi	ʧiʤi	ʦuʣu	ʦuʃi	ʦuʃi	beto		ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi					ʦuʣu	ʦuʃi	ʦuʔ	ʦuʃi	ʦuʃi	ʦuʃi	tuʧi	ʦuʃi	ʦuʣu	ʦuʃi	beto	ʦuʃi	ʦuʃi		beto	ʦuʃi		tuti		ʦuʃi	ʦuʃi	ʧiʧi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi		ʦuʃi	ʦuʃi	ʧiʤi		ʦuʃi		tuʧi	ʦuʃi
EARTH (SOIL)_4																																																								dinaɡa		
EAT_1												hoɴ								hoːɴ																																						
EAT_2													βoː					βau	βau																											βuː										βuɴ		
EAT_3	kuː	ku	ku	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kamu			kuː	kuː	kuː	kuː				kuː	ku	kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kamjuɴ	kuː	kuː	keːɴ		kuː	kuː	kuː	kuː	kuː			kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː		kuː	kuː
EAT_4																																							kuβu						ʔβuɴ			taberu										
EAT_5																								tamoʔ																																		
EGG_1																																			kʔuɡa			βuɡa								kuɡa												
EGG_2	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo		tunaka	tamaɡo	tamaŋo	tamaŋo	tamaŋo	tunuka	tunuka	tunaɡa	tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɴɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɡo	tama		tamaɡo	tamaɡo			tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo			tamaŋo	tamaɡo	tamaɡo	tamamo	tamaɡo	tamaɴɡo	tamaŋo	tamaɡo	tamaŋo		tamaɡo	tamaŋo
EGG_3												keː																											ko						koːma											kaiŋu		
EYE_1	me	anaɡu	anaɡu	medama	meː	meː	me	me	me	anako	manako	miɴ	miː	me	me	meː	me	miː	miː	miː	meː	anaɡu	meː	me	me	me	meː	meː	meː	anaɡu	me	me	me	me	mɨ	me	me	miː	mə	me	anako	meː	me	me	miː	miː	me	meː	me	meː	me	meː	anaɡu	me	me	mi	me	meː
