	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
ARM OR HAND_1	æl			ɑlɤ̆ʷ	el	el	iliː	el						ɛl					eliɡ	el~il						elʲ	el				elɯɣ~eliɡ	iliː
ARM OR HAND_2	ɡol	qul	qol	χul	qol			kol	qol	qol~bilek	kol~bilek~bilɛk	qol	χol	qol	qol	qoɫ	qol	qol	qol	qol	qol	qol	qol	qul	qol	koɫ	ɡol	χol	qol	qol	qol	
ASH_1	cyl	køl	kulʲ	kɘ̆ʷl	kyl		kyl	kyl	kyl	kyl	kyl	kyl	kyl	kil	kyl	cyl	kyl	kyl	kyl	kul~kyl	kyl		kyl	køl		cylʲ	kyl	χyl	kyl	kul	kul	kyl
ASH_2																									hyl							
BACK_1							his																		oːrhɑ							
BACK_2	ɑrχɑ	ɑrqɑ			ɑrqɑ	ɑrkɑ		ɑrkɑ	ɑrqɑ		ɑrkɑ~ɑrqɑ	ɑrqɑ	ɑrɣɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ~ɑrɣɑ	ɑrqɑ	ɑrɣɑ~ɑrχɑ		ɑrɣɑ		ɑrqɑ		ɑrkɑ	ɑrqɑ	oːrɣɑ	ɑrqɑ	ɔrqɑ	ɑrqɑ	
BACK_3																					køksy											køɣys
BACK_4			pɛl									bel						bel					bel									
BACK_5			ʧɑːrən	ɕurɤ̆ʷm						sɯrt								sɯrt						sɯrt		sɯrt						
BARK_1				χubɤ̆ʷ																					ʧøˤprɛː	kɑbuːu		ʧøvyreː				
BARK_2			qɑqβɑʧ										χɑχpɑs								qɑqpɑʃ											
BARK_3	ɡɑbɯɡ	qɑbɯq			qɑbuq	kɑbuk	kɑtɯrɯk	kɑbuk	qɑbɯq	qɑbuq	kɑbuk	qɑbɯq		qɑːɑs	qɑbuq	qɑbɯq	qɑbɯq	qɑɣɑʃ	qɑdɯz	koχ		qɑbɯq		qɑbɯq		kɑbuk	ɡɑbɯq		qovzɑq		qɑzdɯq	χɑtɯrɯk
BELLY_1		es					is		iʃ			ɘs	ɘstɘ			iʧ	iʃ	iʧ~iʃ				ëʧ	iʧ		iˤʃtɘ		iʧ	iʒin	iʧ		iʧiɡe~iʧike~iʧiki~iʧikɯ	is
BELLY_2	ɡɑrɯn		qɑːrən	χɯrɤ̆ʷm	qɑrɯn	kɑren~kɑrin		kɑrnɯ	qɑrɯn	qɑrɯn	kɑrɯn	qɑrɯn	χɑrɯn	qɑrɯn				qɑrɯn	qɑrɯn		qɑrnɯ			qɑrɯn		kɑrɯn	ɡɑrɯn	χɯrɯn	qerin	qɔrin	qɑrɯn	
BELLY_3		qorhɑq			qursɑq				qursɑq		kursɑχ				qursɑq	qursɑq	qursɑq			χusɑχ	qursɑq			qorsɑq					qosɑq			
BIG_1				pɯzɤ̆ʷk										bydyk~bidik					bedyk												pezik	
BIG_2	bøjyc				byjyk			byyk			bijik~byjyk															byjyc						
BIG_3							ulɑkɑn		ylken			ylken					yjken															ulɑχɑn
BIG_4			uluɣ			ulu				ullu	ullu		uluɣ		ullu				uluɣ	ullɯ	uluɣ	ulɯ~olu			uluɣ		ulɯ	uluɣ				
