	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1	ukùboko									lukuaku		lobɔ́kɔ			kuboko									ukuboko		mbòko			kuboko								
ARM_2					múwoko		boko	kẅɔ́kɔ̏	ɣuɔkɔ		koko						uko	okwako							ruoko					vókó	wókó	bɔ́χɔ́	ókwo̍kwó			bɔ́	
ARM_3														diːkàsa																							
ARM_4		wo	enam																																		
ARM_5																					inɡalo																ínɡàló
ARM_6				mukono		mkono										mɔ̌nɔ			mhóno	mhóno		kóno	omukono				nkono	mkono							umkʰono		
ARM_7													lizoho																								
ARM_8																																		ʧanda			
ASH_1						eijwi																	eiju														
ASH_2										ditókua								omutoko															éti̍kó				
ASH_3	imìto												mulola											umuɲota								mõlõrã		mulora	umlotʰa		umlota
ASH_4												mputulú																									
ASH_5																														nkuma	kʰuma						
ASH_6											bombi											pʰulusa															
ASH_7		asup	asup	vvu	máfu		lota	mou	mohû					butò	bútu		ifu		vú	vú	lotʰa				dòtà	butǒ	ibu	sizi	itwe							sùvé	
ASH_8																ittuúra																					
BARK_1																														rihantí	hatí						
BARK_2															ʧízúbú																		óʧípétà				
BARK_3		ebapele									kibula			kibàle																							
BARK_4						ekiʃuʃu				kiʃiʃi													ekiʃuʃu	iɡiʃiʃwa		kifùsù											
BARK_5								ekɔndɛ									ikanda				kʰonkotʰa	kʰunɡwa															
BARK_6	bós		ebap		ibada							póso	likwati						ɡózi	ɡozi					kòkó				cikwa			kwàtí		ɡwatí		kókó	
BARK_7									ikɔni							nikúla											iɡula								iǁolo		íliǁôlo
BARK_8																		ejula																			
BELLY_1										divumu	kivumu	libumu																									
BELLY_2					nda		tumbu		nda				mba				ndeu	epunda	mímba	mmba		mímba	enda	inda	dùmbù		ŋ̤umbi	tumbo			rúmbú	ḿpá		tʰumbu			
BELLY_3	ì̀fumo	abum	abum					eβu						fu	dífu						isisu					efù			ida				ímò		isisu	ɛ̀ì	ìsísù
BELLY_4																														kʰwírí							
BELLY_5																ntʰúkwa																					
BELLY_6						eibundaenda																															
BIG_1						hanɡo																	hanɡo								hombé						
BIG_2																																		hulwane			
BIG_3		anen	nən	nene				nɛ́nɛ̏	nɛ́nɛ	nene	nene	monene	tuna		nené		nini	omunene						nini			ale						ne̍nè			làí	
BIG_4														kàtà						kúu	kʰulu	kulu			ɡuru				pati	kúlú		ɡóló			kʰulu		kʰúlù
BIG_5	kalàmbà																											kubwa									
BIG_6							kulukulu																														
BIG_7																										mukàtà											
BIG_8																wunnuwela																					
BIG_9					βaha																																
BIG_10																			libwávu																		
BIRD_1																		okaʤila							ʃìrì												
BIRD_2						ekiɲoɲi																									ʧiɲaɲani			ʧinoni			
BIRD_3	ìʧoːni	ônon	onwan	enɲoɲi			ɲuni	esone	ɲɔni	njila	nuni		ɲuɲuni	koni	ɲúúɲí	mwaánùni			ɲúɲi	nùni	injoni		eɲoɲi	iɲoni		kôni	noni		imujuni	ɲaɲana		nɔ̀ɲánɪ́	ónji̍lá			ɲɔ̀dí	íɲònì
BIRD_4					ndêje							ndeke					ndeje											ndeɡe							intaka		
BIRD_5																						mbálame															
BITE_1	suma	lóp	lop	luma	luma	ruma	luma	ómȁ~óma	róma	lumata	ta	swá	luma	sùma	sumá	lúma	imara	lumata			luma	womola	ruma	ruma	rúma	sùma	luma	uma	luma	lúma	luma	lʊ́má	lu̍mánà	luma	luma		lúmà
BITE_2																			remamáɲo																		
BITE_3																																				bònz	
BITE_4																				kazamáɲo																	
BLOOD_1				musaaji																																	
BLOOD_2																													bulowa								
BLOOD_3					sakámi			nðakamɛ	θàkàmɛ̀							nikʰami							eʃaɡama														
BLOOD_4														ʃi			usao		dámu	damu	iɡazi	ɡazi						damu			kʰata	dí			iɡazi		íɡàzí
BLOOD_5																																	ósóndè			àndá	
BLOOD_6						obwamba												ombinzi																			
BLOOD_7										maɲinɡa	menɡa																mininɡa										
BLOOD_8							lopa																		ròmbè												
BLOOD_9	ùmulopa	metʧi	məki									makilá	mali		máʃí									amaraso		masè				nɡátí				maloɸa			
BONE_1												mokua		mukùpa	múfubá	nikʰúva			múbwa							mufùfwa		mfupa									
BONE_2								eβende	ihéndé																												
BONE_3													lisapo								itʰambo									rʱámbó	rámbú	rápɔ́		lirapʰo	itʰambo		îtʰâmbò
BONE_4	ifùpa	eves	eves		ífupa	eiɡufa	fupa			fuba	visi							esipa		ʃíba		p͡fúpa	eiɡufa	iɡufa	fúfá								éke̍pá				
BONE_5																	ifuwa										iɡuha		ícífuwa							kúà	
BONE_6				ɡɡumba																																	
BREAST_1					itóombo			nɔndɔ	ɲɔ̀ndɔ̀									eɡundji																			
BREAST_2																	mawele					jére															
BREAST_3	ibe̍ːlè	abé	abɛɲ	bbeele		omabele	ʒamu			diele	beno	libéle	lizwele	bele	díbeelé	ipéle			béle	béle	ibele		eibeere	ibere	zámú	ebèːle	mbele	ziwa	nkolo	vélé	vélé	bɛ́lɛ́	éve̍lé	d̪ámú	ibele	bɛlɛ́	ibele
BURN (SOMETHING)_1									heːhia															hiʃa										huʂa			
BURN (SOMETHING)_2					aka	aka				uika	joka						aka						aka					waka									
BURN (SOMETHING)_3	pja	dik	ʣiʔi	ɡɡja			ʦʰwa	βeːβja				etumba		teːma		vja		pja	vùʣa	βa	ʧa	psa			ʦʋá	fjà	baka		pja	p͡furʱa		ʂwã	támà		ʧa	sél	ʃa
BURN (SOMETHING)_4													tumbuka																								
BURN (SOMETHING)_5															kóóʃákúóʃá																						
CLOUD_1					mavunde																																
CLOUD_2																nihútte																					
CLOUD_3										dituta				diːkumbi	dívúbá																						
CLOUD_4												lipáta																									
CLOUD_5																		oʃikoɡo																			
CLOUD_6																			vìŋɡu	biŋɡu		tambo															
CLOUD_7	ìkumbi																irumbe										ilunde		ikkumbi				éléndè				
CLOUD_8		nkut	ŋ̍kut																									winɡu									
CLOUD_9								eðwɛɔ	ìtù				lilu								ilifu					elevu					refu	rù			ifu		ífù
CLOUD_10				kile		ekiʧwi	ɡole				tuti												ekiʧu	iɡicu	ɡòré					papa				ɡole		kùtú	
COME_1																									buda	fìkà			boola								
COME_2	isa	zu	zu	jja	úza	ija	ʒa	oka	óka	iza	uisa	jà	taha	ija	vwá	wa	oriʃo	ja	ʒá	ʤa	za	ʣa	ija	za			iza	ʄa		ta	ta	t͡ɬà	íjà	da	za	jè	zà
COUNT_1																			hasibu									hesabu									
COUNT_2																								harura													
COUNT_3																						welenɡa			ʋerenɡa												
COUNT_4	pend										tanɡa	tánɡa			badika											badika						dúédísà	tenda			tánɡ	
COUNT_5				bala	vala		bala	tala	tára								tanla				bala		bara				bala			ɬàja				βala	bala		bala
COUNT_6		lan̂	laŋ													alakela																					
COUNT_7																				waza																	
DIE_1	fwa	wu	wu	fwa	fwa	fa	fa	̈a	â	fa	fwa	fa	ʃwa	fwà	fwa	kʰwa	fwa	sa	fa	fa	fa	fa	fa	p͡fa	fá	fwǎ	ʧa	fa	fwa	fá	fá	swá	fà	fa	fa	wá	fá
DOG_1									kuro								ikite					ɡaru															
DOG_2	imbwà	mvu	mvu	embwa	ḿbwa	embwa				mbua	mbwa	mbwá	nja	mbwà	mbwá	mwalápwa		ombwa	mbwá	mbwá	inja		embwa	imbwa	imbwá	ḿbwà	mva	mbwa	mubwa	mbjáná		ɲ̀ʧá	ómbwà	mmbwa	inja		ínjà
DOG_3																																				mbóándé	
DOG_4							bɡa																														
DOG_5																															mbzáná						
DOG_6								ŋɡiteːsolo																													
DRINK_1	nwa	nju	ɲu	ɲra	ŋwa	ɲwa		ɲẅa	ɲuâ	nua	nwa	mela	nwa		nwa		nwa	nwa	nwa	nwa	natʰa	mwa	ɲwa	ɲwa	mwá		ŋwa	ɲwa	ɲwa	nwá	nwá	nwá	njwà	nwa		nú	
DRINK_2														tòma												tòma									sela		pʰuza
DRINK_3																wúrja																					
EAR_1		alo	alɔ									litoi													itwí	etwì							étwɪ			lóè	
EAR_2	ukùtwi			kutu	íkutu	okutwi		koto	ɣoto	kiiadi	kutu		zebe	kutwì	díʧí		kuri	okuʦi	kío	ʃiʃíjo		kʰutu	okutu	uɡutwi			ɡutu	sikio	kutwi			ʦɛ̀bɛ́					
EAR_3																					inɮebe									nd͡levé	nd͡levé			ndeβe	ind͡ɮebe		índ͡ɮʱèbé
EAR_4																niɲáru																					
EARTH (SOIL)_1															búlóbá												bulonɡo										
EARTH (SOIL)_2					iloóŋɡo									lobà					doŋɡó	doŋɡó								udonɡo									
EARTH (SOIL)_3											ntoto	nansé									umɬabatʰi									misává	misává			mavu	umɬaba		úḿɬâbà
EARTH (SOIL)_4								moðaŋɡa																													
EARTH (SOIL)_5	ùmusilì	si	si				vu		téːri	iʃi							uteri							isi	iv̤u												
EARTH (SOIL)_6				ttaka												ittʰája						dotʰe															
EARTH (SOIL)_7						eitaka							fafasi					pevi					eitaka			paʃi							pósì			vàsé	
EAT_1	lja	di	ʣi		lja	lʲa	ja	ja̋	reâ	zuela	dia	lía	ʧa	djà	dja	lja	la	lja	la	la	ɮa	dia	rʲa	rʲa	djá	djǎ		la	lja	djá	ɡá	ʤá	ljà	la	tja	dì	ɮʱá
EGG_1					iɡáaŋka			etumbe	itúmbé												iǃanda									tanʣá	tanʣá			ɡumba	iǃanda		íǃàndá
EGG_2						eihuli																	eihuri														
EGG_3	ilìni	atji	aki	ɡɡi			ɡai			ba	diakì	likɛi	lii	dì	díjí		ijai	eji	ʒwaí	ʤwaí		ʣira		iɡi	zàí	ejì	iɡi	jai	iji			ɪ́	ésa̍là			kɛ́í	
EGG_4																nijóʧe																					
EYE_1	ilìnso	dis	ʣis	luso	líiso	eliiʃo	eʃo	iːðɔ	ríːθɔ		disu	líso	liito	dîːso	dîsú	usu	iriso		ʣíʦo	ʣíʦo	iliɬo	díso	eriiʃo	ijiʃo	zísó	eìso	liso	ʄiʧo	lisi	tíɬó	tíɬó	ít͡ɬʰɔ́	ísò	lito	iliɬoameɬo	ísɔ̀	îsó
EYE_2																		eho																			
EYE_3										meɲa																											
FALL_1								βaloka					lauka																				loka				
FALL_2	wu	ku	ku	ɡwa	ɡwa	ɡwa	wa		ɣua		bwa	éja			pòna	wúlùwa	wa			wa	wa	ɡwa	ɡwa	ɡwa	ɡwa	fona	ɡwa			wà		wà			wà	kú	wa
FALL_3																												anɡuka									
FALL_4																			dúmba																		
FALL_5																																		ɸuɸurea			
FEATHER_1																ǹtɛ́nka						ntʰenɡa			mun̤ènɡá									mutʰenɡa			
FEATHER_2									ruɔjá									olwenja																			
FEATHER_3				kjooja		ebjoja		eβwea															ebjoja	ubwoja			boja										
FEATHER_4																												uɲoja									
FEATHER_5																																	éɲa̍				
FEATHER_6		asaé	endəŋ								nsala	lonsálá		sala	lúsala											lusǒ										sálá	
FEATHER_7																	mafuli																				
FEATHER_8							siba												púzi	uβuzi	upʰapʰe								ipepe			fàfá			upʰapʰe		upape
FEATHER_9	ìlisako												lifufa																	risívá	limbáví						
FEATHER_10										kisiba																											
FEATHER_11					maweha																																
FINGERNAIL_1					ŋkombazala																																
FINGERNAIL_2						mpambo																															
FINGERNAIL_3			ʣɛɲ													ɛkátʰa			kófu		uzipʰo	kʰádabo						ukuʧa							uzipʰo	tùkù	uzipo
FINGERNAIL_4											luzala	linzaka			lúzadí										nzara												
FINGERNAIL_5		jaé						waa									uʃaa																				
FINGERNAIL_6	iljàla			lwala			ɲala		roára	kiala			linala	djàːlà				olunjala					ekjara	urwara		lwâla	njala		lwala	ŋwálá		nálá	ólúudjálà	lwala			
FINGERNAIL_7																				fuu																	
FIRE_1										tubia	tija				kápja							óto				kâlo											
FIRE_2		nduan	nduan											mudilo						ḿdro										nʣilo	nʣilu		óndálu̍				
FIRE_3	ùmulilo			mulilo	móoto	omulilo	moto	mwaki	mwàːkì			mɔ́tɔ	mulilo			mɔ́ːrɔ	muro	omulilo	móro		umlilo		omuriro	umuriro	mwòtó		moto	moto	mulilo			lɪ̀lɔ̀		mwoto	umlilo	muíá	umlilo
FIREWOOD_1							huni													uhúni					huni												
FIREWOOD_2																														tʼiɦúɲí							
FIREWOOD_3																											ŋ̤wi									múíá	
FIREWOOD_4		njaʔa			ŋɡwaáɡu																																
FIREWOOD_5	mukoso		nʣaʔa																							ntete											
FIREWOOD_6											nkuni	kóni				ikʰúni			ŋkúni		inkuni	kʰúni						kuni				χʊ́ŋ́		kʰuni	iiŋkʼuni		
