	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1							hei̯̯ʦe	haona																										
ALL_2												junai̯̯tɯ							ojoːntɯ~ojoːntɯsɯ										wɯs~wɯs	owɑ̠̄ʔix				
ALL_3					ojɯ~ojo																													
ALL_4	u̠mun	omɑrwɑme						awona			joma								wɯmː					ojoːn										
ALL_5																							puju									piniju		
ALL_6						pətɑ̠ʔɑmɑ																											pɑʔɑmɑnuni~pɑʔɑmɑnuktis	
ALL_7			mɑnːo										monojo													mano~manu							mɑnuni	
ALL_8				moʧ~moʧi					noʧi			nai̯̯tɯ~nai̯̯					noːʔju				muʧi	noʧo						noʧi						
ALL_9																nasimi			sɯmɯsɯ															
ALL_10										sosojɑm~sosoj								βɯʃi		βɯʃ					vɯʃ		sə							
ALL_11															ʦikti																weʦɑ̠t~wesɑ̠t			ʦikti
ALL_12				iːxkiʧ																														
ALL_13														ʧoʔon																				
ARM_1					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_2		seka									seka																							
ARM_3																				huca														
ARM_4																																		konkabam
ARM_5	mal		aŋapɨ					mamat		maʔa		mama		mat							maji		maː		nob		mama	mø	nowi	man				
ARM_6																					mah										mavoːi̯̯r			
ARM_7																											møtzaca					madzan		
ARM_8				maːi̯̯t͡ɬ																												maʦon		
ARM_9															koomi			juca																
ARM_10									ahkol												mahkul													
ARM_11							mwahkaʔa	nocat																										
ASH_1												nari		teeliŋiʃ																				
ASH_2																																tonɡul		
ASH_3																esija																		
ASH_4	nisxiʃ	napiso		neʃt͡ɬi			nasi	napsa			nahpiso				naposa			matːe		matʰai̯̯	neʧ~nesʧta~neʃti	noʃt			matai̯̯		napot		matai̯̯		nasit			naposa
ASH_5									kʷonːeʃ																			t͡ɬakoneʃt͡ɬiː						
ASH_6			kucapːɨ		etuhsipːɨh					qøcvi			kucapɨ				kutːusːipɨ~kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ				koʃiʃ			kucapːɨ	
ASH_7																							kukuht											
ASH_8						wɨʂkiʃ																												
BARK_1																					juwajo~ijewaju							jewajut͡ɬ						
BARK_2		kuhe									kahe																							
BARK_3																									kom							opun		
BARK_4															beewa											asiaː								bea
BARK_5		eɡoli				ʧalal																												
BARK_6	taʧal~taʃʔa		asiaʔa		poʔa					ʦiipɨ			asiavi	taaʧi			puʔa		poʔa					poʔan									siʔaːpi	
BARK_7							kucapeʔe	beɡu̯at																						axoːxoʦ				
BARK_8																							qoʦ											
BARK_9				eʔwaːt͡ɬ					eːwat																		bewat					opit		
BARK_10																		hilidaɡa		ɨlidaɡ									ɨldaɡ		ulapet			
BARK_11																woʔaɡːapɨ																		
BELLY_1							huka					huka									ihti							hte						
BELLY_2											tohpa					ɡohi	kohi																	
BELLY_3		ropa																											woːk					
BELLY_4							ʃai̯̯e										siː																	
BELLY_5												ijamuja																						
BELLY_6																															njolir			
BELLY_7	teʔily													teeʔla	topːa								toːʔ											toʔona
BELLY_8			sapːɨ		sapːɨh	ʂaʔi		siɡu̯at					sapɨi̯̯vɨ											sapːɨh		sapːɨ	siɡu̯a					ʃapuʃt	sakoi̯pi	
BELLY_9								panza	poʃ									voca		voːk					bok									
