	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ASH_1				niːɾ										niɖ	nĩd					
ASH_2												ʧaːɾam							ʧuːnja~ʧoːnja	
ASH_3												ʧaːmbal				saːmbal				
ASH_4	kolabuːdi	piːdi			buːdi	buːdi	buɡɡi	poːdu atukə	buːɖida								buːɖida	puːdi		buːdi
ASH_5										ʧind										
ASH_6			his																	
BARK_1		meɾtoːlə		toːl	naːɾu							maɾattoli								toːlu
BARK_2						aʈʈe				oːɖak										
BARK_3								kolluʧo	beɾaɖu								beɾaɖu			
BARK_4	paʈʈe		bund		toɡaʈi	ʧekke	ɖanɖi maɖɖa		danʈi			paʈʈa				paʈʈe	paʈʈa	puʈkoɾi	ketta	
BELLY_1				piːɾ						kuːl						vayiru		piɾ		baiɾu~baːɾə
BELLY_2												ʋajaɾə								
BELLY_3	oʈʈe				hoʈʈe~hoʈʈa															
BELLY_4		poʈʈi	peɖʰ			poʈʈe	ʈeʈʈe		ɖokka		banɖi		puɖaː	puduɡ	poʈʈa	tonti~toppai	poʈʈa~kaɖupu		banʤi	
BELLY_5								naɖpeːʈɡu												
BIG_1			ballun						beɾɾa		beːɾ			muɾe		peɾija			malla	baleji
BIG_2	doɖɖadə			pedda	doɖɖadu	baljadə		toɖut					beːɖo		beɾto	peɾəsə	pedda			
BIG_3		dappu																		
BIG_4																		ittuːɖə		
BIG_5												ʋaludə								
BIG_6										koha										
BIRD_1		pikki		piʈʈə	pakʂi	pakʂi	piʈʈa	pakkiɡaɭ	piʈʈeːku			pakʂi	puʤudu				pakʂi~pitta		pakki	pakʧi
BIRD_2			ʧok											titə						
BIRD_3												kili				paɾaʋai		paɾaʋai		
BIRD_4											minu									
BIRD_5					hakki															
BIRD_6										oɖa										
BITE_1			kaat kanninɡ									kadikkuɡa								
BITE_2	kaʧʧə	kaɖi~kajɾi		kask	kaɖi~kaʧʧu	kaɖi	atekaʂin	kaɖə	koɾaka~kaʧʧaː	kʰaʧʧna	kaʧine				koɾk	kaɖi	koɾuku	paɾʧiʈʧi		kaɖi
BITE_3																			tinaːɾa	
BITE_4													koːhi							
BLACK_1	kappə	kaɾtənu ipədə		kaɾə	kappu~kaɾu	kaɾtadə		kaɾuppə	kaːʈe		kadia	kaɾuppə				kaɾəppə		kappə	kappu	kaɾtaji
BLACK_2							ɖaːɾiate		nalla								nalupu~nalla			
BLACK_3										mokʰaɾo			maɖhaɾo							
BLACK_4			maːon																	
BLOOD_1						ʧoːɾə						ʧoːɾa								ʧoːɾe
BLOOD_2	ɾattə~nettuɾu	nəttəɾə	ditaɾ	nettuɾ	ɾakta		nettuɾ	neːtuɾu	nettuɾ		nettiɾ	ɾektam	ɾasadu	nettiɾ	netiɾ	ɾattam	ɾaktamu~nettuɾu		nettaɾə	
BLOOD_3										kʰeːns										
BLOOD_4																		poːkʰə		
BONE_1	ilə	jaləʋə			jelubu			jeluʋə				ellə				elumbə		elf	ellə	
BONE_2																	jemuka			
BONE_3				bokka			bokka		buːlk								bokka			
BONE_4					muːɭe	muːɭe			buːlaː						bũla					muːɭe
BONE_5			aɖɖə							kʰoʧol		asti	oːʧuldiː							
BREAST_1			xad											palɡil					tiɡala	
BREAST_2		kujndiɡi															ɡunde			
BREAST_3																		niʤikuɖi		
BREAST_4					ede										edɾam					
BREAST_5				dudo	stʰana		saːtti		eddam		sipadaki	stanam	daibuku				stʰanamu			
BREAST_6	maːɾə					mele		meːl				maːru~mula				maːɾbə~maːɾə				mele
BREAST_7										jeʋakʰ										
BURN_1										olna						eɾi				
BURN_2		bjaːɭ~ben															kaːlu			
BURN_3									maɳɖu				meːda				maɳɖu			
BURN_4				niɾus																
BURN_5					suɖu	ʧuːɖə														ʧuːɖə
BURN_6	kiʧiːkdə											katikkuɡa								
BURN_7		kattu~kettu					ɡonɖka	kaːto											pottaʋaɾa	
BURN_8			xaːxaɾ tinninɡ																	
BURN_9																		tiːkku kaːttiti		
CLAW_1						ʋoji														
CLAW_2																		juːɾ		
CLAW_3	uɡilə			ɡoɾk	uɡaɾu		ɡoːɾ	kaijoːɾu	ɡoːɾk		ɡaɾka				ɡẽɾi		ɡoːɾu		uɡuɾu	
CLAW_4		kiːjəɡɡəɾə																		
CLAW_5			zeel																	
CLAW_6										oɾokʰ			oɾuɡdu							
CLAW_7			hoɾ ad																	
CLAW_8												nakʰam				naɡam				
CLAW_9																				ummi
CLAW_10														kaʂʋanɖe						
CLOUD_1							aːbaɾ													
CLOUD_2											haːɡu									
CLOUD_3	manʤu	moːɖə		mabbu	mẽɡha~moːɖa	moːɖa		meːɡam	mabbu			mekʰam			malɡuɾ	meːɡam	meːɡʰamu~mabbu~moːɖamu	meːɡam	moːɖa	moːɖa
CLOUD_4										badaːli			badliː							
CLOUD_5			ʤammaɾ								dunɖaɾa									
COLD_1			jakʰ~jax																	
COLD_2							pani						panijaː		paɲil					
COLD_3		səjlijə		sallaɡ					sallaː								ʧalla			
COLD_4	koɾuʋə							koɾʋə		kiːɾna			kiʋa							
COLD_5						koːʈa										kuɭiɾʧi		koɾti		
COLD_6					taɳɳiɡe	talinʤadə						taɳuppə							ʧappa	taɳiʤe
COME_1				ʋa			ʋa		ʋa					ʋa		ʋaː	ɾa			
COME_2									ʋaːdaɖam			ʋaɾuɡa					ʋaʧʧu			
COME_3		baːɾ~ban~bu			baɾu~baː	baː				baɾna			baɾəaː		veɾ			paːɾti	baɾaɾa	baː
COME_4			banninɡ																	
COME_5	pappa																			
DIE_1		maɾdoːɡ										maɾikkuɡa								
DIE_2																sattə po	ʧaʧʧipoːʋu			
DIE_3							tiɡteːn													
DIE_4													keəaːnaːkeəidaːh					keɖuoisi		
DIE_5										kʰena										
DIE_6	saːʋadə								ɖollatam											
DIE_7					saːji	ʧːɭa		taːʋə							cay	ʧaː			sajjaɾa	ʧaːɭa
DIE_8				haː																
DIE_9			kahinɡ																	
DOG_1			kuʧak										kuʧʧo				kukka			
DOG_2												paʈʈi			netta					
DOG_3	ne	naːjə		nej	naːji	naːji		naːji	nej			naːja		ne		naːji		noi	naːji	naːji
DOG_4							aːte			alla										
DRINK_1				un			aniɾusaːt		unnu	onna				un	un					
DRINK_2													hoːnaː							
DRINK_3								unatukə									taːɡu	uʈʈudi		
DRINK_4		kujɾi																	paɾijaɾa	
DRINK_5	kuɖapə	kuɖi			kuɖi~kudijoːdu	kuɖipa						kuʈi~kudikkuɡa				kuɖi				kuɖipə
DRINK_6			kuninɡ																	
DRY_1					battida				poɖi								poɖi			
DRY_2		ajnɡənu ipədə						kanʈiko								kaindadə~kaːnʤə				
DRY_3										kʰajka										
DRY_4			baːɾun				aːtiɾ					vaɾaɳʈa				ulaɾnta				
DRY_5				ʋaʈʈa									aːikaː							
