	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1													lizoho																								
ARM_2																																		ʧanda			
ARM_3																						ko˦no														bɔ˦	
ARM_4												lobɔ˦kɔ														mbo˨ko				vo˦ko˦		bɔ˦χɔ˦					
ARM_5														diːka˨sa																							
ARM_6								kẅɔ˦kɔ˩																							wo˦ko˦		o˦kwo̍kwo˦				
ARM_7	uku˨boko						boko		ɣuɔkɔ	lukuaku	koko				kuboko		uko	okwako						ukuboko	ruoko				kuboko								
ARM_8																mɔ˩˥nɔ			mho˦no	mho˦no																	
ARM_9					mu˦woko																																
ARM_10				mukono		mkono																	omukono				nkono	mkono							umkʰono		
ARM_11			enam																		inɡalo																
ARM_12																																					i˦nɡa˨lo˦
ARM_13		wo																																			
ASH_1						eijwi																	eiju														
ASH_2																	ifu		vu˦	vu˦							ibu		itwe								
ASH_3										dito˦kua		mputulu˦		buto˨		ittuu˦ra										buto˩˥											
ASH_4																									do˨ta˨											su˨ve˦	
ASH_5	imi˨to				ma˦fu										bu˦tu																						
ASH_6																																	e˦ti̍ko˦				
ASH_7								mou					mulola																			mõlõrã		mulora			
ASH_8							lota											omutoko			lotʰa			umuɲota											umlotʰa		umlota
ASH_9		asup	asup	vvu																								sizi									
ASH_10																														nkuma	kʰuma						
ASH_11											bombi											pʰulusa															
ASH_12									mohu˥˩																												
BARK_1																														rihanti˦	hati˦						
BARK_2																		ejula																			
BARK_3																																					i˦liǁo˥˩lo
BARK_4													likwati																			kwa˨ti˦		ɡwati˦			
BARK_5											kibula			kiba˨le															cikwa								
BARK_6						ekiʃuʃu		ekɔndɛ		kiʃiʃi							ikanda				kʰonkotʰa	kʰunɡwa	ekiʃuʃu	iɡiʃiʃwa													
BARK_7		ebapele	ebap		ibada				ikɔni											ɡozi							iɡula								iǁolo		
BARK_8															ʧi˦zu˦bu˦																		o˦ʧi˦pe˦ta˨				
BARK_9	bo˦s											po˦so							ɡo˦zi						ko˨ko˦											ko˦ko˦	
BARK_10																										kifu˨su˨											
BARK_11																niku˦la																					
BELLY_1																																	i˦mo˨			ɛ˨i˨	
BELLY_2																																					i˨si˦su˨
BELLY_3																														kʰwi˦ri˦							
BELLY_4																			mi˦mba			mi˦mba			du˨mbu˨						ru˦mbu˦	m˦pa˦					
BELLY_5					nda	eibundaenda			nda								ndeu	epunda					enda	inda													
BELLY_6							tumbu						mba							mmba							ŋ̤umbi	tumbo						tʰumbu			
BELLY_7										divumu	kivumu				di˦fu																						
BELLY_8	i˨˨fumo	abum	abum									libumu																									
BELLY_9								eβu						fu							isisu					efu˨			ida						isisu		
BELLY_10																ntʰu˦kwa																					
BIG_1						hanɡo																	hanɡo								hombe˦			hulwane			
BIG_2																			libwa˦vu																		
BIG_3																													pati								
BIG_4							kulukulu														kʰulu	kulu			ɡuru			kubwa							kʰulu		
BIG_5																				ku˦u										ku˦lu˦		ɡo˦lo˦					kʰu˦lu˨
BIG_6	kala˨mba˨													ka˨ta˨												muka˨ta˨											
BIG_7		anen	nən	nene				nɛ˦nɛ˩	nɛ˦nɛ	nene	nene	monene	tuna		nene˦	wunnuwela	nini	omunene						nini									ne̍ne˨				
BIG_8																											ale									la˨i˦	
BIG_9					βaha																																
BIRD_1												ndeke																ndeɡe							intaka		
BIRD_2					nde˥˩je												ndeje																				
BIRD_3																						mba˦lame															
BIRD_4															ɲu˦u˦ɲi˦	mwaa˦nu˨ni			ɲu˦ɲi	nu˨ni												nɔ˨ɲa˦nɪ˦				ɲɔ˨di˦	i˦ɲo˨ni˨
BIRD_5																									ʃi˨ri˨												
BIRD_6																		okaʤila								ko˥˩ni											
BIRD_7				enɲoɲi		ekiɲoɲi	ɲuni	esone	ɲɔni		nuni		ɲuɲuni	koni									eɲoɲi	iɲoni			noni		imujuni	ɲaɲana	ʧiɲaɲani			ʧinoni			
BIRD_8		o˥˩non	onwan							njila											injoni												o˦nji̍la˦				
BIRD_9	i˨ʧoːni																																				
BITE_1																			remama˦ɲo	kazama˦ɲo																	
BITE_2		lo˦p						o˦ma˩~o˦ma	ro˦ma							lu˦ma									ru˦ma					lu˦ma		lʊ˦ma˦	lu̍ma˦na˨				lu˦ma˨
BITE_3			lop	luma	luma	ruma	luma			lumata			luma				imara	lumata			luma	womola	ruma	ruma			luma	uma	luma		luma			luma	luma		
BITE_4	suma											swa˦		su˨ma	suma˦											su˨ma											
BITE_5											ta																										
BITE_6																																				bo˨nz	
BLOOD_1												makila˦			ma˦ʃi˦															nɡa˦ti˦							
BLOOD_2	u˨mulopa																																			a˨nda˦	
BLOOD_3																																	o˦so˦nde˨				i˦ɡa˨zi˦
BLOOD_4																									ro˨mbe˨												
BLOOD_5								nðakamɛ								nikʰami																					
BLOOD_6					saka˦mi				θa˨ka˨mɛ˨														eʃaɡama														
BLOOD_7																			da˦mu													di˦					
BLOOD_8														ʃi			usao			damu								damu									
BLOOD_9						obwamba												ombinzi			iɡazi	ɡazi									kʰata				iɡazi		
BLOOD_10			məki							maɲinɡa	menɡa																mininɡa										
BLOOD_11		metʧi		musaaji																						mase˨											
BLOOD_12													mali											amaraso					bulowa					maloɸa			
BLOOD_13							lopa																														
BONE_1					i˦fupa																								i˦ci˦fuwa				e˦ke̍pa˦				
BONE_2									ihe˦nde˦																					rʱa˦mbo˦	ra˦mbu˦	ra˦pɔ˦					
