# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
319	Erzya	3SG	s o n	3 7 4	AXN	SUN	1	1.S.C 1.U.V 1.N.c	2.0 1.5 0.8	son	0	1
678	Estonian	3SG	t e m ɑ	1 7 4 7	AXBZ	TEMA	2	2.T.C 2.E.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	temɑ	0	2
1025	Finnish	3SG	h æ n	3 7 4	AXN	HEN	3	3.H.C 3.E.V 3.N.c	2.0 1.5 0.8	hæn	0	3
1383	Hungarian	3SG	øː	7	X	U	4	4.U.V	1.5	øː	0	4
1721	Ingrian	3SG	h æː	3 7	AX	HE	5	5.H.C 5.E.V	2.0 1.5	hæː	0	3
1722	Ingrian	3SG	s e	3 7	AX	SE	5	5.S.C 5.E.V	2.0 1.5	se	0	10
2011	Karelian	3SG	h i æ n	3 7 7 4	AXYN	HIEN	6	6.H.C 6.I.V 6.E.V 6.N.c	2.0 1.5 1.3 0.8	hiæn	0	3
2275	Khanty	3SG	j ø ɣ	6 7 3	AXN	JUG	7	7.J.C 7.U.V 7.G.c	2.0 1.5 0.8	jøɣ	0	7
2607	Kildin Saami	3SG	s oː nː	3 7 4	AXN	SUN	8	8.S.C 8.U.V 8.N.c	2.0 1.5 0.8	soːnː	0	1
2955	Komi-Permyak	3SG	s i j ɑ	3 7 6 7	AXBZ	SIJA	9	9.S.C 9.I.V 9.J.C 9.A.V	2.0 1.5 1.75 0.8	sijɑ	1	9
3317	Komi-Zyrian	3SG	s ɯ	3 7	AX	SI	10	10.S.C 10.I.V	2.0 1.5	sɯ	0	10
3630	Livonian	3SG	t æ m ɑː	1 7 4 7	AXBZ	TEMA	11	11.T.C 11.E.V 11.M.C 11.A.V	2.0 1.5 1.75 0.8	tæmɑː	0	2
3905	Mansi	3SG	t ɑ w	1 7 6	AXN	TAW	12	12.T.C 12.A.V 12.W.c	2.0 1.5 0.8	tɑw	0	12
4302	Meadow Mari	3SG	t u ð o	1 7 3 7	AXBZ	TYDU	13	13.T.C 13.Y.V 13.D.C 13.U.V	2.0 1.5 1.75 0.8	tuðo	0	12
4646	Nganasan	3SG	s ɯ t ɯ	3 7 1 7	AXBZ	SITI	14	14.S.C 14.I.V 14.T.C 14.I.V	2.0 1.5 1.75 0.8	sɯtɯ	0	14
4853	North Saami	3SG	s ɔ n	3 7 4	AXN	SUN	15	15.S.C 15.U.V 15.N.c	2.0 1.5 0.8	sɔn	0	1
5168	Selkup	3SG	t ɤ p	1 7 1	AXN	TEP	16	16.T.C 16.E.V 16.P.c	2.0 1.5 0.8	tɤp	0	9
5314	Skolt Saami	3SG	s o n ɐ	3 7 4 7	AXBZ	SUNE	17	17.S.C 17.U.V 17.N.C 17.E.V	2.0 1.5 1.75 0.8	sonɐ	0	1
5618	South Saami	3SG	t ɨ h t ɛ	1 7 3 1 7	AXMBZ	TIHTE	18	18.T.C 18.I.V 18.H.c 18.T.C 18.E.V	2.0 1.5 1.1 1.75 0.8	tɨhtɛ	0	18
5873	Tundra Nenets	3SG	p ɨ d ə	1 7 1 7	AXBZ	PITE	19	19.P.C 19.I.V 19.T.C 19.E.V	2.0 1.5 1.75 0.8	pɨdə	0	14
6162	Udmurt	3SG	s o	3 7	AX	SU	20	20.S.C 20.U.V	2.0 1.5	so	1	10
6456	Veps	3SG	h æ n	3 7 4	AXN	HEN	21	21.H.C 21.E.V 21.N.c	2.0 1.5 0.8	hæn	0	3
6762	Votic	3SG	t æ m æ	1 7 4 7	AXBZ	TEME	22	22.T.C 22.E.V 22.M.C 22.E.V	2.0 1.5 1.75 0.8	tæmæ	0	2
7115	Võro	3SG	t i m æ	1 7 4 7	AXBZ	TIME	23	23.T.C 23.I.V 23.M.C 23.E.V	2.0 1.5 1.75 0.8	timæ	0	2
#
6	Erzya	ALL	v e ɕ e	3 7 3 7	AXBZ	BESE	1	1.B.C 1.E.V 1.S.C 1.E.V	2.0 1.5 1.75 0.8	veɕe	0	19
411	Estonian	ALL	k ɤ i k	1 7 7 1	AXYN	KEIK	2	2.K.C 2.E.V 2.I.V 2.K.c	2.0 1.5 1.3 0.8	kɤik	0	20
756	Finnish	ALL	k ɑ i kː i	1 7 7 1 7	AXYBZ	KAIKI	3	3.K.C 3.A.V 3.I.V 3.K.C 3.I.V	2.0 1.5 1.3 1.75 0.8	kɑikːi	0	20
1106	Hungarian	ALL	ø sː ɛ ʃ	7 3 7 3	XBYN	USES	4	4.U.V 4.S.C 4.E.V 4.S.c	1.5 1.75 1.3 0.8	øsːɛʃ	0	22
1107	Hungarian	ALL	m i n d	4 7 4 1	AXLN	MINT	4	4.M.C 4.I.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	mind	0	33
1452	Ingrian	ALL	k ɑ i	1 7 7	AXZ	KAI	5	5.K.C 5.A.V 5.I.V	2.0 1.5 0.8	kɑi	0	20
1803	Karelian	ALL	k ɑ i kː i	1 7 7 1 7	AXYBZ	KAIKI	6	6.K.C 6.A.V 6.I.V 6.K.C 6.I.V	2.0 1.5 1.3 1.75 0.8	kɑikːi	0	20
2020	Khanty	ALL	ə j s ɑ ɣ ɯ t	7 6 3 7 3 7 1	XMBYBYN	EJSAGIT	7	7.E.V 7.J.c 7.S.C 7.A.V 7.G.C 7.I.V 7.T.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	əjsɑɣɯt	0	25
2363	Kildin Saami	ALL	p u ɡː	1 7 1	AXN	PYK	8	8.P.C 8.Y.V 8.K.c	2.0 1.5 0.8	puɡː	0	26
2689	Komi-Permyak	ALL	b ɯ d ɤ s	1 7 1 7 3	AXBYN	PITES	9	9.P.C 9.I.V 9.T.C 9.E.V 9.S.c	2.0 1.5 1.75 1.3 0.8	bɯdɤs	0	27
3038	Komi-Zyrian	ALL	b ɯ d	1 7 1	AXN	PIT	10	10.P.C 10.I.V 10.T.c	2.0 1.5 0.8	bɯd	0	27
3039	Komi-Zyrian	ALL	s t ɑ v	3 1 7 3	ACYN	STAB	10	10.S.C 10.T.C 10.A.V 10.B.c	2.0 1.5 1.3 0.8	stɑv	0	42
3636	Mansi	ALL	s oː χ	3 7 3	AXN	SUG	12	12.S.C 12.U.V 12.G.c	2.0 1.5 0.8	soːχ	0	29
3994	Meadow Mari	ALL	ʧ ə̠ l ɑ	2 7 5 7	AXBZ	CELA	13	13.C.C 13.E.V 13.L.C 13.A.V	2.0 1.5 1.75 0.8	ʧə̠lɑ	0	29
4391	Nganasan	ALL	b ə n s ə	1 7 4 3 7	AXMBZ	PENSE	14	14.P.C 14.E.V 14.N.c 14.S.C 14.E.V	2.0 1.5 1.1 1.75 0.8	bənsə	0	31
4721	North Saami	ALL	p ʊ̯ ɔ h	1 7 7 3	AXYN	PYUH	15	15.P.C 15.Y.V 15.U.V 15.H.c	2.0 1.5 1.3 0.8	pʊ̯ɔh	0	26
4945	Selkup	ALL	m u n t ə	4 7 4 1 7	AXMBZ	MYNTE	16	16.M.C 16.Y.V 16.N.c 16.T.C 16.E.V	2.0 1.5 1.1 1.75 0.8	muntə	0	33
5246	Skolt Saami	ALL	p u k ɐ	1 7 1 7	AXBZ	PYKE	17	17.P.C 17.Y.V 17.K.C 17.E.V	2.0 1.5 1.75 0.8	pukɐ	0	26
5479	South Saami	ALL	k ɑː j h k ɛ	1 7 6 3 1 7	AXLMBZ	KAJHKE	18	18.K.C 18.A.V 18.J.c 18.H.c 18.K.C 18.E.V	2.0 1.5 1.1 1.1 1.75 0.8	kɑːjhkɛ	0	35
5783	Tundra Nenets	ALL	m ɑ l ʔ	4 7 5 1	AXLN	MALH	19	19.M.C 19.A.V 19.L.c 19.H.c	2.0 1.5 1.1 0.8	mɑlʔ	0	36
5898	Udmurt	ALL	v ɑ ɲ m ɯ z	3 7 4 4 7 3	AXMBYN	BANMIS	20	20.B.C 20.A.V 20.N.c 20.M.C 20.I.V 20.S.c	2.0 1.5 1.1 1.75 1.3 0.8	vɑɲmɯz	0	37
6243	Veps	ALL	k ɑ i k	1 7 7 1	AXYN	KAIK	21	21.K.C 21.A.V 21.I.V 21.K.c	2.0 1.5 1.3 0.8	kɑik	0	20
6470	Votic	ALL	k ɤ i k	1 7 7 1	AXYN	KEIK	22	22.K.C 22.E.V 22.I.V 22.K.c	2.0 1.5 1.3 0.8	kɤik	0	20
6856	Võro	ALL	k ɤ i kʲ	1 7 7 1	AXYN	KEIK	23	23.K.C 23.E.V 23.I.V 23.K.c	2.0 1.5 1.3 0.8	kɤikʲ	0	20
#
7	Erzya	AND	d ɑ	1 7	AX	TA	1	1.T.C 1.A.V	2.0 1.5	dɑ	0	43
8	Erzya	AND	i	7	X	I	1	1.I.V	1.5	i	0	63
412	Estonian	AND	j ɑ	6 7	AX	JA	2	2.J.C 2.A.V	2.0 1.5	jɑ	0	44
757	Finnish	AND	j ɑ	6 7	AX	JA	3	3.J.C 3.A.V	2.0 1.5	jɑ	0	44
1108	Hungarian	AND	eː ʃ	7 3	XN	ES	4	4.E.V 4.S.c	1.5 0.8	eːʃ	0	46
1453	Ingrian	AND	i	7	X	I	5	5.I.V	1.5	i	0	47
1454	Ingrian	AND	t ɑ	1 7	AX	TA	5	5.T.C 5.A.V	2.0 1.5	tɑ	0	43
1455	Ingrian	AND	j ɑ	6 7	AX	JA	5	5.J.C 5.A.V	2.0 1.5	jɑ	0	44
2000	Karelian	AND	t ɑ	1 7	AX	TA	6	6.T.C 6.A.V	2.0 1.5	tɑ	0	43
2021	Khanty	AND	p æ n i	1 7 4 7	AXBZ	PENI	7	7.P.C 7.E.V 7.N.C 7.I.V	2.0 1.5 1.75 0.8	pæni	0	49
2022	Khanty	AND	o s	7 3	XN	US	7	7.U.V 7.S.c	1.5 0.8	os	0	46
2364	Kildin Saami	AND	a	7	X	A	8	8.A.V	1.5	a	0	50
2365	Kildin Saami	AND	j a	6 7	AX	JA	8	8.J.C 8.A.V	2.0 1.5	ja	0	44
2690	Komi-Permyak	AND	i	7	X	I	9	9.I.V	1.5	i	0	51
