Gloss	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
3SG_1	son							soːnː							sɔn		sonɐ						
3SG_2		temɑ									tæmɑː											tæmæ	timæ
3SG_3			hæn		hæː	hiæn															hæn		
3SG_4				øː																			
3SG_5					se					sɯ										so			
3SG_6							jøɣ																
3SG_7									sijɑ							tɤp							
3SG_8												tɑw	tuðo										
3SG_9														sɯtɯ					pɨdə				
3SG_10																		tɨhtɛ					
ALL_1	veɕe																						
ALL_2		kɤik	kɑikːi		kɑi	kɑikːi															kɑik	kɤik	kɤikʲ
ALL_3				øsːɛʃ																			
ALL_4				mind												muntə							
ALL_5							əjsɑɣɯt																
ALL_6								puɡː							pʊ̯ɔh		pukɐ						
ALL_7									bɯdɤs	bɯd													
ALL_8										stɑv													
ALL_9												soːχ	ʧə̠lɑ										
ALL_10														bənsə									
ALL_11																		kɑːjhkɛ					
ALL_12																			mɑlʔ				
ALL_13																				vɑɲmɯz			
AND_1	dɑ				tɑ	tɑ			dɑ	dɑ							diɐ			dɑ	dɑ		
AND_2	i																						
AND_3		jɑ	jɑ		jɑ			ja				jɑ			jɑ			jɨh				jɑ	jɑ
AND_4				eːʃ			os																
AND_5					i																	i	
AND_6							pæni																
AND_7								a															
AND_8									i	i		i								i			
AND_9													ðɑ										
AND_10													ðen										
AND_11																ɑj							
ANIMAL_1	ʑverʲ								vɤrpi	zvʲer													
ANIMAL_2	rɑkʃɑ																						
ANIMAL_3		loːm									luːomɨz											loːm	
ANIMAL_4			elæin																				elːæi
ANIMAL_5				aːlːɒt																			
ANIMAL_6					eloɡ̊ɑz																	elokɤz	
ANIMAL_7						siːvɑtːɑ		ʒɨva													ʒivɑt		
ANIMAL_8							wɑjəɣ																
ANIMAL_9										pemɤs													
ANIMAL_10												uːj											
ANIMAL_11													jɑnlə̠k										
ANIMAL_12														dʲɑməðə									
ANIMAL_13															e̯ælːi		ʝiɛlʲːi						
ANIMAL_14																suːrəm			sɑrmʲik				
ANIMAL_15																		jʉβrɛ					
ANIMAL_16																				pɤjʃur			
ANT_1	kotkudɑv												kutko										
ANT_2		sipːelkɑs									sipriki											sipːelikɑs	sipɤrlɑnɤ
ANT_3			muːrɑɦɑinen		muːrɑhɑin	muːrɑhɑini															mʊrɑhɑinɛ		
ANT_4				hɒɲɟɒ																			
ANT_5							koʧŋɯ									qɯʧɑ							
ANT_6								koːtːk							kɔtkɑ		kotkːɐ	karhkɛ					
ANT_7									kɤʥɯv	koʥuvkot~koʥuv										kuʑiʎi			
ANT_8												χoːswoj											
ANT_9																			xudumɡɑ				
ANT_10																							kuklɑnɤ
ANT_11																							pinʦlɑnɤ
ARMPIT_1	kɑvɑlɑlks																						
ARMPIT_2		kɑenlɑʔɑlune	kɑinɑlo																			kɑinɤnːɑluz	
