Concept	BaseConcept	N_Languages	N_Families	Families
KILL	KILL	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
LONG	LONG	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
NAME	NAME	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
TOOTH	TOOTH	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
WE	WE	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
RED	RED	223	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SAY	SAY	223	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SMALL	SMALL	223	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
STAND	STAND	223	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SWIM	SWIM	223	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BIRD	BIRD	222	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
FIRE	FIRE	222	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
TAIL	TAIL	222	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
THIS	THIS	222	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
YELLOW	YELLOW	222	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
ASH	ASH	221	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
GREEN	GREEN	221	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BIG	BIG	220	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
LEAF	LEAF	220	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
NEW	NEW	220	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
ROOT	ROOT	220	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
THAT	THAT	220	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BITE	BITE	219	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
FISH	FISH	219	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
LIVER	LIVER	219	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SAND	SAND	219	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
WALK	WALK	219	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BREAST	BREAST	217	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
EARTH (SOIL)	EARTH	202	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Dravidian
PERSON	PERSON	217	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
EGG	EGG	215	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
FLY (MOVE THROUGH AIR)	FLY	200	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Dravidian
SMOKE (EXHAUST)	SMOKE	201	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Dravidian
FEATHER	FEATHER	206	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
STONE	STONE	217	8	Arabic; Italic; Turkic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
HEAVY	HEAVY	202	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
LOUSE	LOUSE	199	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
KNOW (SOMETHING)	KNOW	183	7	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian
FAR	FAR	197	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
HAND	HAND	197	8	Arabic; Italic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
NEAR	NEAR	197	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
SHORT	SHORT	197	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
WIND	WIND	197	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
YEAR	YEAR	197	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
SALT	SALT	195	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
SUN	SUN	195	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
KNEE	KNEE	194	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
ALL	ALL	193	8	Arabic; Italic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
DIE	DIE	193	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
FULL	FULL	193	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
GIVE	GIVE	193	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
NOT	NOT	193	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
TREE	TREE	193	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
WOMAN	WOMAN	190	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
HEART	HEART	189	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
WORM	WORM	189	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
SNAKE	SNAKE	185	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic
BARK	BARK	183	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
HORN (ANATOMY)	HORN	166	7	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Dravidian
ROUND	ROUND	172	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
SEED	SEED	170	8	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
COLD	COLD	164	8	Arabic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
FAT (ORGANIC SUBSTANCE)	FAT	163	6	Arabic; Italic; Turkic; Balto-Slavic; Sinitic; Polynesian
MANY	MANY	172	7	Arabic; Italic; Turkic; Hokan; Sinitic; Uralic; Dravidian
FOOT	FOOT	164	7	Arabic; Italic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
MOUNTAIN	MOUNTAIN	164	7	Arabic; Italic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
SKIN	SKIN	147	7	Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
RAIN (PRECIPITATION)	RAIN	226	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Dravidian; Uralic
WARM	WARM	145	7	Arabic; Turkic; Balto-Slavic; Hokan; Polynesian; Uralic; Dravidian
MAN	MAN	136	7	Arabic; Turkic; Balto-Slavic; Hokan; Sinitic; Uralic; Dravidian
HAIR	HAIR	158	6	Arabic; Italic; Balto-Slavic; Hokan; Polynesian; Uralic
ROAD	PATH OR ROAD	124	5	Arabic; Italic; Balto-Slavic; Hokan; Dravidian
LIE (REST)	LIE	137	6	Arabic; Italic; Balto-Slavic; Hokan; Sinitic; Dravidian
DIG	DIG	130	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FIVE	FIVE	130	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
THREE	THREE	130	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
WHERE	WHERE	130	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
BACK	BACK	129	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FALL	FALL	129	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FATHER	FATHER	129	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FOUR	FOUR	129	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
LAUGH	LAUGH	129	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
HOW	HOW	128	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
RIGHT	RIGHT	128	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
SEW	SEW	128	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
DUST	DUST	127	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
MOTHER	MOTHER	127	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
WING	WING	127	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FLOW	FLOW	126	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
STICK	STICK	125	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
THEY	THEY	126	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
THROW	THROW	125	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
WET	WET	125	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
THICK	THICK	124	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
BLOW (OF WIND)	BLOW (OF WIND)	125	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
COUNT	COUNT	123	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
DAY (NOT NIGHT)	DAY	108	5	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian
NARROW	NARROW	123	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
SHARP	SHARP	123	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
WIDE	WIDE	123	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
BREATHE	BREATHE	122	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FEAR (BE AFRAID)	FEAR	107	5	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian
LEFT	LEFT	122	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
SKY	SKY	122	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
DIRTY	DIRTY	121	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FLOWER	FLOWER	121	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FOG	FOG	121	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
FOREST	FOREST	121	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
GRASS	GRASS	121	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
HUNT	HUNT	120	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
LAKE	LAKE	119	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
BE ALIVE	LIVE	104	5	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian
SEA	SEA	118	6	Arabic; Turkic; Balto-Slavic; Sinitic; Polynesian; Uralic
THIN	THIN	152	5	Arabic; Italic; Turkic; Polynesian; Uralic
BURN	BURN	119	5	Turkic; Sinitic; Polynesian; Uralic; Dravidian
ROPE	ROPE	109	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
ROTTEN	ROTTEN	108	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
SUCK	SUCK	108	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
IN	IN	107	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
SPIT	SPIT	107	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
YOU	YOU	107	5	Arabic; Turkic; Balto-Slavic; Polynesian; Uralic
VOMIT	VOMIT	106	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
SCRATCH	SCRATCH	104	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
SWELL	SWELL	104	5	Arabic; Turkic; Sinitic; Polynesian; Uralic
OTHER	OTHER	101	5	Arabic; Turkic; Balto-Slavic; Polynesian; Uralic
HERE	HERE	99	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
WASH	WASH	99	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
CLAW	FINGERNAIL	76	4	Turkic; Balto-Slavic; Sinitic; Dravidian
CUT	CUT	98	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
PULL	PULL	98	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
ICE	ICE	97	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
PLAY	PLAY	97	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
SING	SING	97	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
TIE	TIE	97	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
RIVER	RIVER	96	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
SNOW	SNOW	96	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
FREEZE	FREEZE	95	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
THERE	THERE	95	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
BAD	BAD	94	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
AND	AND	93	5	Arabic; Balto-Slavic; Sinitic; Polynesian; Uralic
FIGHT	FIGHT	93	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
WIFE	WIFE	93	5	Arabic; Balto-Slavic; Sinitic; Polynesian; Uralic
HUSBAND	HUSBAND	91	5	Arabic; Balto-Slavic; Sinitic; Polynesian; Uralic
MEAT	MEAT	111	6	Arabic; Turkic; Balto-Slavic; Hokan; Uralic; Dravidian
CORRECT (RIGHT)	CORRECT	75	4	Balto-Slavic; Arabic; Sinitic; Polynesian
PUSH	PUSH	89	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
SMOOTH	SMOOTH	89	5	Arabic; Turkic; Balto-Slavic; Sinitic; Uralic
BLUNT	BLUNT	86	5	Arabic; Balto-Slavic; Sinitic; Polynesian; Uralic
FINGERNAIL	FINGERNAIL	137	5	Arabic; Italic; Turkic; Balto-Slavic; Uralic
CRY	CRY	93	4	Turkic; Balto-Slavic; Polynesian; Uralic
WHEN	WHEN	91	4	Turkic; Polynesian; Arabic; Uralic
THINK	THINK	96	4	Turkic; Polynesian; Arabic; Uralic
HOUSE	HOUSE	89	4	Turkic; Balto-Slavic; Polynesian; Uralic
AT	AT	83	4	Turkic; Polynesian; Arabic; Uralic
FRUIT	FRUIT	83	4	Turkic; Polynesian; Arabic; Sinitic
SPLIT	SPLIT	81	4	Uralic; Polynesian; Arabic; Sinitic
HOLD	HOLD	79	4	Uralic; Balto-Slavic; Arabic; Polynesian
SQUEEZE	SQUEEZE	79	4	Uralic; Polynesian; Arabic; Sinitic
STAB	STAB	79	4	Uralic; Polynesian; Arabic; Sinitic
STRAIGHT	STRAIGHT	79	4	Turkic; Arabic; Sinitic; Uralic
GUTS	GUTS	77	4	Turkic; Arabic; Sinitic; Uralic
SMELL (PERCEIVE)	SMELL	76	4	Balto-Slavic; Arabic; Sinitic; Polynesian
HIT	HIT	75	4	Uralic; Balto-Slavic; Arabic; Polynesian
IF	IF	72	4	Uralic; Polynesian; Arabic; Sinitic
ANIMAL	ANIMAL	68	4	Uralic; Balto-Slavic; Arabic; Sinitic
LEG	LEG	67	4	Uralic; Balto-Slavic; Arabic; Sinitic
RUB	RUB	66	4	Uralic; Balto-Slavic; Arabic; Sinitic
FLESH OR MEAT	MEAT	89	2	Polynesian; Italic
BURN (SOMETHING)	BURN	81	3	Balto-Slavic; Hokan; Italic
LIE DOWN	LIE	62	2	Turkic; Polynesian
HAIR (HEAD)	HAIR	69	3	Turkic; Sinitic; Dravidian
ABOVE	ABOVE	68	3	Turkic; Balto-Slavic; Polynesian
GROW	GROW	68	3	Turkic; Balto-Slavic; Polynesian
OPEN	OPEN	67	3	Turkic; Balto-Slavic; Polynesian
SHOULDER	SHOULDER	66	3	Turkic; Balto-Slavic; Polynesian
BRANCH	BRANCH	65	3	Turkic; Balto-Slavic; Polynesian
GO	GO	64	3	Turkic; Balto-Slavic; Uralic
TAKE	TAKE	64	3	Turkic; Balto-Slavic; Uralic
RUN	RUN	63	3	Turkic; Balto-Slavic; Uralic
MOSQUITO	MOSQUITO	62	3	Uralic; Balto-Slavic; Polynesian
OLD	OLD	69	3	Uralic; Polynesian; Arabic
TEN	TEN	62	3	Uralic; Balto-Slavic; Polynesian
CARRY	CARRY	61	3	Turkic; Balto-Slavic; Uralic
HARD	HARD	61	3	Turkic; Balto-Slavic; Uralic
NAVEL	NAVEL	61	3	Turkic; Balto-Slavic; Uralic
NINE	NINE	61	3	Uralic; Balto-Slavic; Polynesian
YESTERDAY	YESTERDAY	61	3	Turkic; Balto-Slavic; Uralic
HOT	WARM	60	3	Turkic; Balto-Slavic; Sinitic
BITTER	BITTER	59	3	Turkic; Balto-Slavic; Uralic
SHADE	SHADE	59	3	Turkic; Balto-Slavic; Uralic
SPIDER	SPIDER	59	3	Uralic; Balto-Slavic; Polynesian
WITH	WITH	59	3	Turkic; Arabic; Uralic
ANT	ANT	58	3	Turkic; Balto-Slavic; Uralic
SWEET	SWEET	56	3	Turkic; Balto-Slavic; Uralic
FLY (INSECT)	FLY (INSECT)	60	3	Turkic; Balto-Slavic; Uralic
FEW	FEW	50	3	Uralic; Arabic; Sinitic
BECAUSE	BECAUSE	48	3	Uralic; Arabic; Sinitic
CHILD (YOUNG HUMAN)	CHILD (YOUNG HUMAN)	46	3	Balto-Slavic; Arabic; Sinitic
FLOAT	FLOAT	45	3	Uralic; Arabic; Sinitic
WIPE	WIPE	45	3	Uralic; Balto-Slavic; Arabic
MALE PERSON	MAN	89	2	Polynesian; Italic
SKIN (HUMAN)	SKIN	73	2	Arabic; Italic
RAIN (RAINING)	RAINING	11	1	Balto-Slavic
FOOT OR LEG	FOOT	62	2	Turkic; Polynesian
CHEW	CHEW	56	2	Turkic; Polynesian
HE OR SHE	3SG	31	1	Polynesian
CHILD	CHILD	53	2	Uralic; Polynesian
DO OR MAKE	DO OR MAKE	46	2	Turkic; Uralic
CHILD (DESCENDANT)	CHILD (DESCENDANT)	30	1	Turkic
TURN	TURN	45	2	Uralic; Polynesian
DREAM (SOMETHING)	DREAM	28	1	Polynesian
HE OR SHE OR IT	3SG	42	2	Turkic; Balto-Slavic
BEAT	BEAT	42	2	Turkic; Balto-Slavic
COOK (SOMETHING)	COOK	42	2	Balto-Slavic; Polynesian
FIND	FIND	42	2	Turkic; Balto-Slavic
GRASP	GRASP	42	2	Turkic; Balto-Slavic
HIDE (CONCEAL)	HIDE (CONCEAL)	42	2	Turkic; Balto-Slavic
LOOK	LOOK	42	2	Turkic; Balto-Slavic
MONTH	MONTH	42	2	Turkic; Balto-Slavic
PUT ON	PUT ON	42	2	Turkic; Balto-Slavic
REMAIN	REMAIN	42	2	Turkic; Balto-Slavic
THUNDER	THUNDER	42	2	Balto-Slavic; Polynesian
WOOD	WOOD	42	2	Turkic; Balto-Slavic
BREAK (CLEAVE)	BREAK (CLEAVE)	41	2	Turkic; Balto-Slavic
COVER	COVER	41	2	Turkic; Balto-Slavic
GRIND	GRIND	41	2	Turkic; Uralic
HIDE	HIDE	41	2	Uralic; Polynesian
JUMP	JUMP	41	2	Turkic; Balto-Slavic
LICK	LICK	41	2	Turkic; Balto-Slavic
LOOK FOR	LOOK FOR	41	2	Turkic; Balto-Slavic
THROAT	THROAT	41	2	Turkic; Balto-Slavic
WORK (ACTIVITY)	WORK (ACTIVITY)	41	2	Balto-Slavic; Polynesian
ASK (REQUEST)	ASK (REQUEST)	40	2	Turkic; Balto-Slavic
EIGHT	EIGHT	40	2	Balto-Slavic; Polynesian
HOLE	HOLE	40	2	Turkic; Balto-Slavic
RIPE	RIPE	40	2	Turkic; Balto-Slavic
RISE (MOVE UPWARDS)	RISE (MOVE UPWARDS)	40	2	Turkic; Balto-Slavic
SEVEN	SEVEN	40	2	Balto-Slavic; Polynesian
SWALLOW	SWALLOW	40	2	Turkic; Balto-Slavic
TEAR (SHRED)	TEAR (SHRED)	40	2	Turkic; Balto-Slavic
TOMORROW	TOMORROW	40	2	Turkic; Balto-Slavic
TRUE	TRUE	40	2	Turkic; Balto-Slavic
BELOW OR UNDER	BELOW OR UNDER	39	2	Balto-Slavic; Polynesian
BRAIN	BRAIN	39	2	Turkic; Balto-Slavic
CLIMB	CLIMB	39	2	Balto-Slavic; Polynesian
EDGE	EDGE	39	2	Turkic; Balto-Slavic
NEEDLE (FOR SEWING)	NEEDLE	39	2	Balto-Slavic; Polynesian
OLD (USED)	OLD	39	2	Turkic; Balto-Slavic
SOFT	SOFT	39	2	Turkic; Balto-Slavic
SIX	SIX	38	2	Balto-Slavic; Polynesian
STEAL	STEAL	38	2	Balto-Slavic; Polynesian
CHEEK	CHEEK	37	2	Turkic; Balto-Slavic
CHOOSE	CHOOSE	37	2	Balto-Slavic; Polynesian
COUGH	COUGH	37	2	Turkic; Balto-Slavic
HUNDRED	HUNDRED	37	2	Balto-Slavic; Polynesian
SMELL	SMELL	42	2	Turkic; Uralic
BUY	BUY	36	2	Balto-Slavic; Polynesian
FAT (FROM ANIMALS)	FAT	36	2	Hokan; Dravidian
FOAM	FOAM	36	2	Turkic; Balto-Slavic
RAW	RAW	36	2	Turkic; Balto-Slavic
HE	3SG	35	2	Arabic; Sinitic
CHIN	CHIN	35	2	Turkic; Balto-Slavic
THOUSAND	THOUSAND	35	2	Balto-Slavic; Polynesian
TURN (SOMETHING)	TURN (SOMETHING)	35	2	Turkic; Balto-Slavic
TURN AROUND	TURN AROUND	35	2	Arabic; Sinitic
SHOOT	SHOOT	34	2	Balto-Slavic; Polynesian
