Concept	BaseConcept	N_Languages	N_Families	Families
EAR	EAR	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
EYE	EYE	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
I	I	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
ONE	ONE	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
THOU	THOU	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
TWO	TWO	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
WATER	WATER	228	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BLOOD	BLOOD	227	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
EAT	EAT	227	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
MOUTH	MOUTH	227	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
TONGUE	TONGUE	227	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
WHAT	WHAT	227	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BELLY	BELLY	226	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
DOG	DOG	226	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
HEAR	HEAR	226	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SLEEP	SLEEP	226	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BLACK	BLACK	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
COME	COME	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
DRY	DRY	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
HEAD	HEAD	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
MOON	MOON	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
NECK	NECK	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
NIGHT	NIGHT	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
NOSE	NOSE	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SEE	SEE	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
SIT	SIT	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
STAR	STAR	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
WHITE	WHITE	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
WHO	WHO	225	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
BONE	BONE	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
CLOUD	CLOUD	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
DRINK	DRINK	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
GOOD	GOOD	224	9	Arabic; Italic; Turkic; Balto-Slavic; Hokan; Sinitic; Polynesian; Uralic; Dravidian
