Gloss	Erzya	Estonian	Finnish	Forest Enets	Hill Mari	Hungarian	Inari Sami	Kildin Sami	Komi-Permyak	Komi-Zyrian	Livonian	Lule Sami	Meadow Mari	Moksha	Nganasan	North Karelian	Northern Khanty	Northern Mansi	Northern Sami	Northern Selkup	Olonets Karelian	Skolt Sami	Southern Sami	Tundra Nenets	Udmurt	Veps
ABOVE	verʲe	ylɑl	ʏlhæːlːæ	æznɔn	vɯlnɯ	fɛnː~fɛlyl	pɑijeːn	pajeɲ	vʲevdəras	vɨɫɨn~vɨɫiɨn	ilːˈə	bɑdːjɛn	kyˑʃnø~ymbɑˑlnʲe	vʲarʲe	bəntunu	ylæhænæ	numan	numɪn	pɑcːin	jiɲːan	ʏlæhæn	pɐʝːʲɛn~tunɐːlʲmʲɛst	pijːɛnɛ	tʲuʔunɑ~tʲuʔuɲɑnɑ	vɨlɨn~vɨliɨn	ʏlæhæn
ACHE	serʲedʲems	vɑlutɑmɑ	særkɛæ~kiʋistæː	jɛɕʲ	kɑrʃtɑʃ	faːj	povʧɐstið	ʧuːʣe	viɕnɨ	viɕnɨ	vɑˀlːə~pʊˀdːə~piːrɡɑltə	bavʧɛstit	korʃtɑˑʃ	sʲarʲadʲems	dʲɐrʲisʲi~xetərəsɨ	kivistyæ~pɔrɔtːʊɑ		aːɣmɪŋɪɣoːluŋkʷʲe	paːvʧːɑstih~vaːrɑhkɑh	ʨyʃa	kivistiæ~ɔlːɑkibɛi	kəvʃtɛd~ʧɛarɡːɛd	βɑːrhkɛdh	jeːsʲ	visʲɨnɨ	kibiʃtɑdɑ
ADD	putoms~maksoms	lʲisɑmɑ	lisætæ	pærziɕʲ		hozːaːɒd	lɑsetːið	laʒçe	sodtɨnɨ	sodtɨnɨ	juːˀrɨpɑːndɑ	dʊu͡ɔdːit~lɑsɛdit	jeʃɑrɑˑʃ	puˑtomstaˑɡa~maˑksomstaˑɡa	xelɨðɨsɨ	lisætæ	ɲottɪ	ɲoːtuŋkʷʲe	lɑsihih	pʲeltɨqa	liʒætæ	lɐːzːʲtʲɛd	tiɛβhtɛdh	ɲɑdɑsʲ	vɑtsɑnɨ	liʒɑtɑ
AFTERWARDS	mʲejlʲe~sʲedʲemʲejlʲe	sʲeːjærel	sɛnjælkɛːn	tɔʧkuz~ʧikipuz	pɑkəlɑ	ɒzutaːn	mɑŋɑ	maŋːa	seɕːa	sesɕɑ	tɑɡɑːn	dɑnmɑŋːɛlɑ	vɑrɑˑ	mʲelʲe	təɡətə~təndəxʷo	jælɛsːæ~siːtæ	sʲaɬta	tajaχ	mɑŋːil~tɑsmɑŋːaː	pun	sɛnjælɡɛh	mɐŋːʲlʲɛst	mɨnːɡɛsnɛ	tɑdʲːikɑd	sobere	sidʲ
AGAIN	taɡo	jælʲːe	tɑːs~jælːɛːn	aɲ~dʲɔɔr	ueʃ	iʃmeːt~mɛɡint	vest	avːta~oːdtse	bəra	bɑrɑ	tɛɡiːʒ	vɑs~ɔdɔsis	ɑdɑˑk	taˑɡa	ŋonəiʔ	tʊɑs~uːvvɛstɑh	pasi	osta~oːs	fɑs~vʊ̯ɔh	nønɨ~nɨnaj	mʏœs~ʊvvɛsːɑh	dasɐ~ɛpʲɛt	βihth~ɑːjmuʌn	ŋɑɲiʔ	noʃ~kɑjtɑ	mœst
AGE	ʃka	iɡ̥ɑ	ikæ		iæʃ~iɣeʧɯ	kor	ɑhe	ɨɡ		ɑrɫɨd	iɡɑː	aldɑr	jijɡoˑt	erʲafkizot~erʲafoɲpinɡe	xyo~xyoŋukəðyʔ	ikæ	art	taːljanɪtə	ɑhki	pørɨ	iɡæ	ɐːcc͡çʲɘ	ɑːltɛrɛ	joːndʲeːrʔ	ɑrlɨd	iɡæ
AHEAD	vitʲste	otsʲeed̥ɑsʲi	suɔ̯rɑːn	nɔjʧʲ	vik~turɑ	ɛɟɛnɛʃɛn	ɲuolɡist~vuoiɡist	vuːjːkeɕt	vʲeɕkɨta	veɕkɨdɑ	kuːˀoɟɨn	njʊu͡ɔlɡːɑ	vik	vʲiˑdʲesta	nəməɡəiʔ	sʊɔrɑh~kɔhɑlːɑh	tuŋa	soχtɪl	ɲʊ̯ɔlɑkɑ	nurqɨŋ	kɔxti	vuiʝʲɟɟ͡ʝʲɛst		tʲidʔ	meʧɑk	kɔxthɑ
AIR	koʃt	ɤxk	ilmɑ	id	juʒ~vozðux	lɛvɛɡøː	æimu	vuːjnas	ru	sɨnəd	ɨːˀɡ	ajmːu͡ɔ	juʒ	koʒf	ŋʷobʲiə	ilmɑ	ɬɪɬʃuw	lɪlɪjɤːp	aːjbmʊ	nutkæj	ilmʊ	ʃəŋːɐ	ɛlmiɛ	jindʔ	omɨr	ilʲm
ALL	vesʲe~vesʲemʲesʲ	kɤik	kɑi̯kːi	ʧuk	ʦilæ	mindɛn	puoh	puɡk	bɨdəs	stɑv	tikːiʒ	ɡajkːɑ	ʧɤlɑˑ	sʲembʲe	bənsə	kɑikːi		pusːɪn	pʊ̯ɔh	muntɨk	kɑi	pukɐ	kɑːjhkɛ	mɑlʔ~tʲukuʔ	vɑɲmɨz	kɑik
ALL_AT_ONCE	vejse	korːɑɡ̥ɑ~yhekorːɑɡ̥ɑ	ʏxdɛlːækɛrtɑː	ʧikiruhun~minhuda	tørøk	ɛɟsɛrːɛ	tove	axːtan	tʃətʃ	ətpɨrjə	iːɲɨkst	ɑvtɑtrɑjɛs	jikɑnɑˑʃtʲe	vʲixʦok	ŋʷojʎɐɐtʲe	sɑmɑsːɑ	moχtɪ	akʷtorɪɣ	haːvaːlis~haːvil	ukːɨrʃaŋ	ʏxtɛlɑiɡʊɑ~kɛrːɑs			ŋoːbʔmɑʎŋɡənɑ	oɡdɨre	ʏxtɛnɑiɡɑn
ALONE	baʃka~sʲkamonzo	yksʲi	ʏksin	ŋɔʎu	iktɯ~iktɯt	ɛɟɛdyl	ohtuː	oːxːte		ətkɑ	ikʃiˀɡːiɲ	ɑktʊ	ʃket	sʲkamonza	ŋonəntu	yksin	uʨa~utsʲa	taktʲeːt	ɔktɔ	pʲelɨkølɨk	ʏksin~ʏksinæh	əxtːu	uktɛɡh~uktɛɡimsɛ~uktɛbisniɛ	ŋoːpoːjŋæ~ŋoːbʔlɑdʔ	oɡnɑz	ʏksnæzɛ
ALREADY	uʃ	jub̥ɑ	jɔ	maʎɛ~mɔɫɔɕʲ	uʒe~ɯnde	maːr	juo	jo	ɲi	ɲin	jɨbɑː	jʊu͡ɔ	ɤˑnde	ɲi	kurəɡuj~ŋʷojʎɐjʔ	jɔ	si	ta	jʊ̯ɔ	qaj	jɔ	ʝunʲɘ	juʌ	məʎeː	ɲi~jiɲi	jɔ
ALWAYS	sval	ikːɑ~ɑlɑtʲi	ɑi̯nɑ	pʲɛri	so~sook	mindiɡ	ɑin~ovtːuː	paj	bɨdpɨr~bɨdpɨrɕa	vek	ɑlz	ɑɡɛv	ereˑ~tuˑtɤʃ	falu~naj	xyotə	ɑinɑ	kaʃŋporana~kaʃŋpuʃ	akʷaɣ	aːlɔ	mʲelqa	ɑinɔs~ɑivɛn	pɐiɐ	iktɛsth~eːjnɛɡɛn	pʲiʎiʔ~sʲɑxɑrʲiʔ	pɨr~kotʲku	kɑikɛn
AMOUNT	lovovks	ɑrv~hulk	mæːræ	ɔk	ʃot	ʃokɒʃaːɡ~mɛɲːiʃeːɡ	meːri	tuxːk~laːɲːt		ɫun~ʨisɫə	touk	ɔlːu͡ɔ	ʧot	luvks	ŋuŋkə~ŋuŋkəðyʔ	miæræ		ʨisloː~saːwit	me̯ærːi~tɔ̯ɑhkːi	ʨislo	lʊɡʊmiærʏ	tukːɐ~miɛrːʲɘ	miɛriɛ	toːlɨr	lɨd~lɨdpus	æjʏzʲ
