# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
22	Chadian Arabic	ALL	k u l l a	1 7 5 5 7	AXMBZ	KYLLA	1	1.K.C 1.Y.V 1.L.c 1.L.C 1.A.V	2.0 1.5 1.1 1.75 0.8	kulla	0	3
270	Cypriot Arabic	ALL	k u l l	1 7 5 5	AXLN	KYLL	2	2.K.C 2.Y.V 2.L.c 2.L.c	2.0 1.5 1.1 0.8	kull	0	3
465	Dhofari Arabic	ALL	k u l l	1 7 5 5	AXLN	KYLL	3	3.K.C 3.Y.V 3.L.c 3.L.c	2.0 1.5 1.1 0.8	kull	0	3
718	Egyptian Arabic	ALL	k ɔ l l	1 7 5 5	AXLN	KULL	4	4.K.C 4.U.V 4.L.c 4.L.c	2.0 1.5 1.1 0.8	kɔll	0	3
989	Gulf Arabic	ALL	k ɛ l l	1 7 5 5	AXLN	KELL	5	5.K.C 5.E.V 5.L.c 5.L.c	2.0 1.5 1.1 0.8	kɛll	0	3
1288	Hassaniya Arabic	ALL	k aː m ə l	1 7 4 7 5	AXBYN	KAMEL	6	6.K.C 6.A.V 6.M.C 6.E.V 6.L.c	2.0 1.5 1.75 1.3 0.8	kaːməl	0	3
1289	Hassaniya Arabic	ALL	k aː m l iː n	1 7 4 5 7 4	AXBCYN	KAMLIN	6	6.K.C 6.A.V 6.M.C 6.L.C 6.I.V 6.N.c	2.0 1.5 1.75 1.5 1.3 0.8	kaːmliːn	0	17
1559	Iraqi Arabic	ALL	k u l l	1 7 5 5	AXLN	KYLL	7	7.K.C 7.Y.V 7.L.c 7.L.c	2.0 1.5 1.1 0.8	kull	0	3
1854	Levantine Arabic	ALL	k ɛ l l	1 7 5 5	AXLN	KELL	8	8.K.C 8.E.V 8.L.c 8.L.c	2.0 1.5 1.1 0.8	kɛll	0	3
2128	Maltese	ALL	k ʊ l l	1 7 5 5	AXLN	KYLL	9	9.K.C 9.Y.V 9.L.c 9.L.c	2.0 1.5 1.1 0.8	kʊll	0	3
2349	Modern Standard Arabic	ALL	k u l l	1 7 5 5	AXLN	KYLL	10	10.K.C 10.Y.V 10.L.c 10.L.c	2.0 1.5 1.1 0.8	kull	0	3
2350	Modern Standard Arabic	ALL	k aː m i l	1 7 4 7 5	AXBYN	KAMIL	10	10.K.C 10.A.V 10.M.C 10.I.V 10.L.c	2.0 1.5 1.75 1.3 0.8	kaːmil	0	3
