Gloss	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1	ella		kull		ella	ella		ellaːm				ella				ellaːm				
ALL_2		oːʈəja																		
ALL_3				bottiɡ																
ALL_4							maːk			majin										
ALL_5									antaː								anta			
ALL_6									mottam								mottamu		maːta	
ALL_7											haɾa									
ALL_8													ɡoːʈahiː							
ALL_9													ɡiːʈeniː							
ALL_10																	anni			
ALL_11																		oʋʋoɖimo		
ALL_12																				nanɡaːɭə
ASH_1	kolabuːdi	piːdi			buːdi	buːdi			buːɖida								buːɖida	puːdi		buːdi
ASH_2			his																	
ASH_3				niːɾ										niɖ	nĩd					
ASH_4							buɡɡi													
ASH_5								poːduatukə												
ASH_6										ʧind									ʧuːnja~ʧoːnja	
ASH_7												ʧaːmbal				saːmbal				
ASH_8												ʧaːɾam								
BARK_1	paʈʈe					aʈʈe						paʈʈa				paʈʈe	paʈʈa		ketta	
BARK_2		meɾtoːlə										maɾattoli								
BARK_3			bund																	
BARK_4				toːl																toːlu
BARK_5					naːɾu															
BARK_6					toɡaʈi															
BARK_7						ʧekke														
BARK_8							ɖanɖimaɖɖa		danʈi											
BARK_9								kolluʧo												
BARK_10									beɾaɖu								beɾaɖu			
BARK_11										oːɖak										
BARK_12																		puʈkoɾi		
BELLY_1	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe	ʈeʈʈe								poʈʈa		poʈʈa			
BELLY_2			peɖʰ																	
BELLY_3				piːɾ														piɾ		
BELLY_4								naɖpeːʈɡu												
BELLY_5									ɖokka											
BELLY_6										kuːl										
BELLY_7											banɖi					tonti			banʤi	
BELLY_8												ʋajaɾə								baːɾə
BELLY_9													puɖaː	puduɡ						
BELLY_10																vayiru				baiɾu
BELLY_11																toppai				
BELLY_12																	kaɖupu			
BIG_1	doɖɖadə				doɖɖadu			toɖut										ittuːɖə		
BIG_2		dappu																		
BIG_3			ballun																malla	
BIG_4				pedda									beːɖo				pedda			
BIG_5						baljadə										peɾija				baleji
BIG_6									beɾɾa		beːɾ				beɾto					
BIG_7										koha										
BIG_8												ʋaludə								
BIG_9														muɾe		peɾəsə				
BIRD_1		pikki			pakʂi	pakʂi						pakʂi					pakʂi			pakʧi
BIRD_2			ʧok																	
BIRD_3				piʈʈə			piʈʈa		piʈʈeːku					titə			pitta			
BIRD_4					hakki															
BIRD_5								pakkiɡaɭ												
BIRD_6										oɖa										
BIRD_7											minu									
BIRD_8												kili								
BIRD_9													puʤudu							
BIRD_10																paɾaʋai		paɾaʋai		
BIRD_11																			pakki	
BITE_1	kaʧʧə																	paɾʧiʈʧi		
BITE_2		kaɖi			kaɖi	kaɖi		kaɖə				kadikkuɡa				kaɖi				kaɖi
BITE_3		kajɾi											koːhi							
BITE_4			kaatkanninɡ																	
BITE_5				kask					kaʧʧaː											
BITE_6					kaʧʧu					kʰaʧʧna										
BITE_7							atekaʂin													
BITE_8									koɾaka						koɾk		koɾuku			
BITE_9											kaʧine								tinaːɾa	
BLACK_1	kappə				kappu							kaɾuppə				kaɾəppə		kappə	kappu	
BLACK_2		kaɾtənuipədə																		
BLACK_3			maːon																	
BLACK_4				kaɾə					kaːʈe		kadia									
BLACK_5					kaɾu			kaɾuppə												
BLACK_6						kaɾtadə														
BLACK_7							ɖaːɾiate													
BLACK_8									nalla								nalupu~nalla			
BLACK_9										mokʰaɾo			maɖhaɾo							
BLACK_10																				kaɾtaji
BLOOD_1	ɾattə				ɾakta											ɾattam				
BLOOD_2	nettuɾu	nəttəɾə		nettuɾ			nettuɾ	neːtuɾu	nettuɾ		nettiɾ			nettiɾ	netiɾ		nettuɾu		nettaɾə	
BLOOD_3			ditaɾ																	
BLOOD_4						ʧoːɾə						ʧoːɾa								ʧoːɾe
BLOOD_5										kʰeːns										
BLOOD_6												ɾektam					ɾaktamu			
BLOOD_7													ɾasadu							
BLOOD_8																		poːkʰə		
BONE_1	ilə				muːɭe	muːɭe														muːɭe
BONE_2		jaləʋə			jelubu			jeluʋə												
BONE_3			aɖɖə																	
BONE_4				bokka			bokka										bokka			
BONE_5									buːlaː						bũla					
BONE_6									buːlk											
BONE_7										kʰoʧol			oːʧuldiː							
BONE_8												ellə							ellə	
BONE_9												asti								
BONE_10																elumbə				
BONE_11																	jemuka			
BONE_12																		elf		
BREAST_1	maːɾə					mele		meːl				maːru~mula				maːɾə				mele
BREAST_2		kujndiɡi															ɡunde			
BREAST_3			xad																	
BREAST_4				dudo																
BREAST_5					ede															
BREAST_6					stʰana							stanam					stʰanamu			
BREAST_7							saːtti													
BREAST_8									eddam						edɾam					
BREAST_9										jeʋakʰ										
BREAST_10											sipadaki									
BREAST_11													daibuku							
BREAST_12														palɡil					tiɡala	
BREAST_13																maːɾbə				
BREAST_14																		niʤikuɖi		
BURN_1	kiʧiːkdə																			
BURN_2		bjaːɭ																		
BURN_3		ben																		
BURN_4		kattu~kettu						kaːto												
BURN_5			xaːxaɾtinninɡ																	
BURN_6				niɾus																
BURN_7					suɖu	ʧuːɖə														ʧuːɖə
BURN_8							ɡonɖka													
BURN_9									maɳɖu				meːda				maɳɖu			
BURN_10										olna										
BURN_11												katikkuɡa						tiːkkukaːttiti		
BURN_12																eɾi				
BURN_13																	kaːlu			
BURN_14																			pottaʋaɾa	
CLAW_1	uɡilə				uɡaɾu										ɡẽɾi				uɡuɾu	
CLAW_2		kiːjəɡɡəɾə						kaijoːɾu												
CLAW_3			hoɾad																	
CLAW_4			zeel																	
CLAW_5				ɡoɾk			ɡoːɾ		ɡoːɾk		ɡaɾka						ɡoːɾu			
CLAW_6						ʋoji														
CLAW_7										oɾokʰ										
CLAW_8												nakʰam				naɡam				
CLAW_9													oɾuɡdu							
CLAW_10														kaʂʋanɖe						
CLAW_11																		juːɾ		
CLAW_12																				ummi
CLOUD_1	manʤu																			
CLOUD_2		moːɖə			moːɖa	moːɖa											moːɖamu		moːɖa	moːɖa
CLOUD_3			ʤammaɾ																	
CLOUD_4				mabbu																
CLOUD_5					mẽɡha			meːɡam				mekʰam			malɡuɾ	meːɡam	meːɡʰamu	meːɡam		
CLOUD_6							aːbaɾ													
CLOUD_7									mabbu								mabbu			
CLOUD_8										badaːli			badliː							
CLOUD_9											haːɡu									
CLOUD_10											dunɖaɾa									
COLD_1	koɾuʋə							koɾʋə												
COLD_2		səjlijə																		
COLD_3			jakʰ~jax																	
COLD_4				sallaɡ					sallaː								ʧalla			
COLD_5					taɳɳiɡe															taɳiʤe
COLD_6						talinʤadə														
COLD_7						koːʈa												koɾti		
COLD_8							pani								paɲil					
COLD_9										kiːɾna			kiʋa							
COLD_10												taɳuppə							ʧappa	
COLD_11													panijaː							
COLD_12																kuɭiɾʧi				
COME_1	pappa																			
COME_2		baːɾ								baɾna			baɾəaː					paːɾti		
COME_3		ban~bu			baː	baː														baː
COME_4			banninɡ																	
COME_5				ʋa																
COME_6					baɾu							ʋaɾuɡa			veɾ				baɾaɾa	
COME_7							ʋa		ʋa					ʋa		ʋaː	ʋaʧʧu			
COME_8									ʋaːdaɖam											
COME_9																	ɾa			
DIE_1	saːʋadə				saːji															
DIE_2		maɾdoːɡ																		
DIE_3			kahinɡ							kʰena										
DIE_4				haː																
DIE_5						ʧːɭa									cay	ʧaː				ʧaːɭa
DIE_6							tiɡteːn													
DIE_7								taːʋə												
DIE_8									ɖollatam											
DIE_9												maɾikkuɡa								
DIE_10													keəaːnaːkeəidaːh							
DIE_11																sattəpo	ʧaʧʧipoːʋu			
DIE_12																		keɖuoisi		
DIE_13																			sajjaɾa	
DOG_1	ne	naːjə			naːji	naːji		naːji				naːja		ne		naːji		noi	naːji	naːji
DOG_2			kuʧak																	
DOG_3				nej					nej											
DOG_4							aːte													
DOG_5										alla										
DOG_6												paʈʈi								
DOG_7													kuʧʧo							
DOG_8															netta					
DOG_9																	kukka			
DRINK_1	kuɖapə	kuɖi			kuɖi~kudijoːdu	kuɖipa						kuʈi~kudikkuɡa				kuɖi				kuɖipə
DRINK_2		kujɾi																		
DRINK_3			kuninɡ																	
DRINK_4				un					unnu	onna				un	un					
DRINK_5							aniɾusaːt													
DRINK_6								unatukə									taːɡu			
DRINK_7													hoːnaː							
DRINK_8																		uʈʈudi		
DRINK_9																			paɾijaɾa	
DRY_1	oɳikiladə				oɳaɡidu															unaku
DRY_2		ajnɡənuipədə																		
DRY_3			baːɾun																	
DRY_4				ʋaʈʈa	battida															
DRY_5						oɳanɡina						uɳanɡija							nunɡuduna	
DRY_6							aːtiɾ													
DRY_7								kanʈiko									eɳɖu			
DRY_8									aɾtaːd											
DRY_9									poɖi								poɖi			
DRY_10										kʰajka						kaːnʤə				
DRY_11												vaɾaɳʈa				kaindadə				
DRY_12													aːikaː							
DRY_13																ulaɾnta				
DRY_14																		oɳikisi		
EAR_1	kiʋi							keʋə				ʧeʋi					ʧeʋi	kili	kebi	
EAR_2		kiʋija									kiɾiju									
EAR_3			xaf				keʋ		keʋ~keʋk											
EAR_4				keʋu																
EAR_5					kiʋi															
EAR_6						kemi														kemi
EAR_7										kʰebda		kaːtu				kaːdə				
EAR_8													daɾtiː							
EAR_9														kekal	kekol					
EARTH (SOIL)_1		buːmi					bʰuːmi				bʰumi		bʰumi							
EARTH (SOIL)_2			ɖaɡaːɾ																	
EARTH (SOIL)_3				mannə	maɳɳu	mannə						mannə				mannə	mannu		mannə	
EARTH (SOIL)_4								bʰuloːɡam												
EARTH (SOIL)_5									maʈʈi								maʈʈi			
EARTH (SOIL)_6										kʰekʰel										
EARTH (SOIL)_7											iɾaː									
EARTH (SOIL)_8														tukud	tũk					
EARTH (SOIL)_9																		koɖə		
EAT_1	timbə																			
EAT_2		tinn			tinnu	tinə			tinnu		tinu	tinnuɡa		tin	tin		tinu			tinnoː
EAT_3			kuninɡ																	
EAT_4				ʤeʋi																
EAT_5							aːntisatun	tinatej												
EAT_6										mokʰna										
EAT_7													ʤaːɡoːlpah~lapah							
EAT_8																saːpədə		toɾtin		
EAT_9																			uɳaːɾa	
EGG_1	moʈʈe				moʈʈe	muʈʈe		mooʈə				muʈʈa				muʈʈe		muʈʈe		muʈʈe
EGG_2		mujɾɡi																		
EGG_3			xuahae																	
EGG_4			baede																	
EGG_5				miːnʤ																
EGG_6					tatti												ɡuɖɖu		ketti	
EGG_7							sanku													
EGG_8									ɡaɾbam					kaɾbə						
EGG_9										biː										
EGG_10											tala									
EGG_11													ɾaɾapaːndu							
EYE_1	kaɳɳə	kaɳɳu	xan		kaɳɳə	kaɳɳə	kan	kaɳɳə	koɳɖ	kʰann	kanu	kaɳɳə		kaɳul	kan	kaɳɳə	kannu	kaɳ	kaɳɳu	kaɳɳə
EYE_2				kəɖə																
EYE_3												neːtɾam								
EYE_4													aːndu							
FAT (FROM ANIMALS)_1	koɭəppə				kobbu			koɭupu				koɻuppə				koɻuppə		koɻəppə		
FAT (FROM ANIMALS)_2		tanniʋi																		
FAT (FROM ANIMALS)_3		teɾija																		
FAT (FROM ANIMALS)_4			ʧaɾpiː			ʧeɾabi													ʧeɾabi	ʧiɾabi
FAT (FROM ANIMALS)_5				koɾonʤ											koɽukuɖ					
FAT (FROM ANIMALS)_6									kodoʋoːs											
FAT (FROM ANIMALS)_7									laːʋ								laːʋu			
FAT (FROM ANIMALS)_8										neʈa										
FAT (FROM ANIMALS)_9													neʤʤa							
FAT (FROM ANIMALS)_10														meːn						
FAT (FROM ANIMALS)_11																	koʋʋu			
FEATHER_1	ɾakke							ɾeːkə												
FEATHER_2		tiʋija																		
FEATHER_3			paɾɾe	buɾa																
FEATHER_4					ɡaɾi															
FEATHER_5					tupaʈa	topaʈa														toːpəʈaː
FEATHER_6							bull													
FEATHER_7									ɡeɾk											
FEATHER_8										penʧo										
FEATHER_9												tuːʋalə								
FEATHER_10													pakiː							
FEATHER_11																ɾekke		iɾakke		
FEATHER_12																	iːka			
FEATHER_13																			huʋi	
FIRE_1	kiʧʧə	tissə																		
FIRE_2		tiʧʧa																tiːttə		
FIRE_3			xaːxaɾ																	
FIRE_4				taɖmi																
FIRE_5					benki						dankeɾe									
FIRE_6						titta														
FIRE_7							kiss			ʧiʧʧ										
FIRE_8								nippu								neɾuppu				
FIRE_9									kis											
FIRE_10									neɡɡaɖ											
FIRE_11												teː				teː				tiː
FIRE_12												aɡni								
FIRE_13													ʧiʧadu							
FIRE_14															kic					
FIRE_15																	nippu			
FIRE_16																	maɳʈa			
FIRE_17																	aɡɡi			
FIRE_18																			tuʋu	
FISH_1	miːnə	miːnu		miːn	miːnə	miːnə		miːnə				miːn	miːndu	miːn		miːnə		miːn	miːnə	miːnə
FISH_2			maʧʧiː		maʦya															
FISH_3							ɡuɖɖi													
FISH_4									kiːke											
FISH_5										inʤo										
FISH_6												malsjam								
FISH_7															key					
FISH_8																	ʧeːpa			
FLY (MOVE THROUGH AIR)_1	paɾappə																			
FLY (MOVE THROUGH AIR)_2		paːɾ~peːɾ		paɾi	haːɾu	paːɾa		paːɾʋu								paɾə			ɾaːpaɾa	
FLY (MOVE THROUGH AIR)_3			baːlkanninɡ																	
FLY (MOVE THROUGH AIR)_4							tulsaːd		tulla											
FLY (MOVE THROUGH AIR)_5										uɖijaɾna										
FLY (MOVE THROUGH AIR)_6												paɾakkuɡa								
FLY (MOVE THROUGH AIR)_7													uɖaːɾi							
FLY (MOVE THROUGH AIR)_8																	eɡuɾu			
FLY (MOVE THROUGH AIR)_9																		poːɾʧ		
FLY (MOVE THROUGH AIR)_10																				mannə
FOOT_1	anɡaːlə	kaːlə		kaːl		anɡaːl										kaalə		koːl	kaːlə	kaːlə
FOOT_2			nat							kʰeɖ										
FOOT_3					aɖi							aʈi				aɖi				
FOOT_4					paːda						paːdami	paːdam		paːdam		paːdam	paːdamu			
FOOT_5							ʤeʈʈa													
FOOT_6								tapaɖ												
FOOT_7									aɖuɡu								aɖuɡu			
FOOT_8													ɾaɖadu							
FULL_1	tʰumbe				tumbidu	dumba														dumba
FULL_2		fullə																		
FULL_3			puɾ																	
FULL_4				niɳɖ			ninɖu		ninɖaː	nindka			nindpaː				ninɖu			
FULL_5											ɡuɾa									
FULL_6												niɾaɲa				nirainta				
FULL_7														puneʈ						
FULL_8																muɭu				
FULL_9																		soːkkaije		
FULL_10																			dinʤidunɖu	
GIVE_1	koɖu	koɖ			koɖu	koɖi										kuɖə			koɾo	koɖu
GIVE_2			tinninɡ																	
GIVE_3				hi											cĩ					
GIVE_4							siːtaːn	tej												
GIVE_5									iːm											
GIVE_6									iːdatam								iʋʋaɖam			
GIVE_7										ʧihna			ʧibaːh							
GIVE_8											taa					taː				
GIVE_9												koɖukkuɡa								
GIVE_10														ʧi						
GIVE_11																	iʧʧu			
GIVE_12																		itʧadta		
GOOD_1	oɭɭajadə				oɭɭijadu															
GOOD_2		nall				nalla						nalla				nalla				nallə
GOOD_3			ʤuaːn																	
GOOD_4				assal																
GOOD_5							sobhatan													
GOOD_6								oludə										ulti		
GOOD_7									manʧid								manʧi			
GOOD_8										daːʋ										
GOOD_9											nejun									
GOOD_10													heːɖu							
GOOD_11													ɾaɖu							
GOOD_12																			eɖɖedana	
GREEN_1	paʧʧe															paʧʧə				paʧʧe
GREEN_2		passlaːnɡi~paʧʧəlaːnɡi																		
GREEN_3			ɡuanakki																	
GREEN_4				paʧʧad					paʧʧa											
GREEN_5				hiː																
GREEN_6					hasiɾu						kasuli									
GREEN_7						paʧʧe		paʧʧə												
GREEN_8							niɡuɾ													
GREEN_9										haɾijaːɾ										
GREEN_10											aːkupaʧʧa									
GREEN_11											nilia		ɾanalo							
GREEN_12												paʧʧa								
GREEN_13															pay					
GREEN_14																	paʧʧa		paʧʧe	
GREEN_15																		paʧʧai		
HAIR (HEAD)_1	oɾame											ɾõmam								
HAIR (HEAD)_2		taːkəɾə																		
HAIR (HEAD)_3			puʒʒe																	
HAIR (HEAD)_4				kel					kelk											
HAIR (HEAD)_5					kũdalu~kuːdalu														kuːʤal	
HAIR (HEAD)_6						telami														tilami
HAIR (HEAD)_7							tiːɾu													
HAIR (HEAD)_8								manɖəmiːɾə								maiɾə				
HAIR (HEAD)_9									ʤuʈʈul	ʧuʈʈi				ʧendi~talʧenʈi			ʤuʈʈu			
HAIR (HEAD)_10											bana									
HAIR (HEAD)_11												muɖi				muɖi				
HAIR (HEAD)_12													taːli							
HAIR (HEAD)_13																	veɳʈɾukalu			
HAIR (HEAD)_14																		miːɾs		
HAND_1	kaj																			
HAND_2		kiːja		kaj					kaj		keju									
HAND_3			ɖuː										ʈeʈu							
HAND_4					kaj															
HAND_5						kaj														
HAND_6							keju			kʰekkʰa										
HAND_7								kaij						kiː	key			koi	kai	
HAND_8												kaj								
HAND_9																kaj				
HAND_10																	ʧejji			
HAND_11																				kaj
HEAD_1	manɖe	maɳɖi				maɳɖe		manɖə										maʈʈə	manɖa	
HEAD_2			kaːʈum																	
HEAD_3				talla	tale		tal					tala		taːl	tel	talə	tala			tile
HEAD_4									talakaːj											
HEAD_5										kuk			kukudu							
HEAD_6											tɾajun									
HEAD_7												ʂiɾasə								
HEAD LOUSE_1	ili~kili																			
HEAD LOUSE_2		pjaːnu			heːnu	peːnə	paːnu			peːn		peːn			pẽni	peːnə	peːnu		peːn	peːnə
HEAD LOUSE_3			boːdʰ																	
HEAD LOUSE_4				poɾki					poɾiki											
HEAD LOUSE_5								paiji												
HEAD LOUSE_6																		iɾs		
HEAR_1	keːpə	kəːɭ			keːɭu	keːɭə		keːlə				kelkuɡa				keːɭə		keːl		keːɭu
HEAR_2			bininɡ												ven					
HEAR_3				kenʤ																
HEAR_4							ʋinti										ʋinu			
HEAR_5									keːʤa											
HEAR_6										menna			meːna~meːnpo							
HEAR_7																			keɳaɾa	
HEART_1		jaddi																		
HEART_2			ust																	
HEART_3				ɡuɳɖe			ɡunɖe		ɡuɳɖekaːja								ɡuɳɖa			
HEART_4					hɾudaya	hɾudaja						hɾudajam				idajam	hɾudajamu			
HEART_5							paːnam													
HEART_6								nenʤu												nenʤi
HEART_7										buka										
HEART_8													huɡliː							
HEART_9														ʤibe						
HEART_10																		manasə		
HORN (ANATOMY)_1	kombə				kombu	kombə						kompə				kombə			kombu	kombə
HORN (ANATOMY)_2		kombbə																		
HORN (ANATOMY)_3			maɾɡʰ																	
HORN (ANATOMY)_4				koɾ														kuːɾ		
HORN (ANATOMY)_5							kommu		komm								kommu			
HORN (ANATOMY)_6									koːkku											
HORN (ANATOMY)_7										maɾaɡ			maɾɡadu							
HORN (ANATOMY)_8														kaɾɡuʧul						
I_1	na			nanna	naːnu	naːnə	neːnu		nanna		naːnu	ɲaːn				naːn	neːnu			naːn
I_2		naːʋə																		
I_3			iː																	
I_4								aːn		aeːn				aːn	aːn			oːn		
I_5											mu									
I_6													heːnu							
I_7																			jaːnu	
KILL_1	koppə																			
KILL_2		kenɡaːɭ																		
KILL_3			kasfinɡ																	
KILL_4				haʋka																
KILL_5				kʰatamki																
KILL_6					kollu	kollə						kolluɡa				kollə				kollə
KILL_7							alanɡʈaːn													
KILL_8								taːʋiɾ												
KILL_9									aʋakaː											
KILL_10										eɖabna										
KILL_11													baʤpo							
KILL_12																	ʧampu			
KILL_13																		keɖukisti		
KILL_14																			keɾijaɾa	
KNEE_1	muʈʈi											muʈʈə				muʈʈi~muːʈə		muʈʈi		
