	№	English	Arabic (MSA)	Najdi (Riyadh)	Gulf (Emirati)	Levantine (Central/Syro-Lebanese)	Basra (Southern Iraq)	Iraqi (Southern Iraq/Baghdad)	Moslawi (Northern Iraq)	Sanaani (Sana'a)	Dhofari (Oman)	Cypriot (Kormakitis)	Egyptian (Lower Egyptian)	Sudanese (Khartoum)	Chadian (Western Sudanic)	Tunisian (Tunis)	Moroccan (Casablanca)	Moroccan (Northern pre-Hilalian)	Hassaniya (Mauritanian)	Maltese
0	1	I	ʔanā	ana	ɑ̄na	ʔɑnɑ, ʔana	ʔānah	ʔɑ̄nī	anɑ̄	ʔane(h)	ānā	ana	ana, dana (statements)	ana	ana	ēne, āna	anɑ, anayɑ	āna	āna	jien
1	2	you(singular)	ʔanta (m), ʔant(i)	ənta (m), ənti (f)	entɑ (m), enti (f)	entɑ (m), ente (f)	atah (m), atī (f)	ente (m), enti (f)	ăntɑ (m), ăntē (f)	ant (m), anti (f)	intɑ (m), inti (f)	int (m), inti (f)	enta (m), enti (f)	intɑ (m), inti (f)	inta, inte (m), inti (f)	inti	ntɑ, ntayɑ (m), nti, ntiyɑ (f)	ntina	(ă)nta (m), (ă)ntiyya (f)	int, inti
2	3	he	huwa	huww(a)	(ə)hu	huwwe	hūh	huwwɑ	ōwe, -we	hū	hō	uo	howwɑ	hū	hū	huwwā	həwɑ́	huwwa	huwwɑ, hūwɑ	huwa
3	4	we	naħnu, ʔinnā	əħna, (ħ)ənnā	neħen	nɑħnɑ̄	aḥnh	eħne	niħnɑ̄	əħnə(h)	naħana	naxni	eħna	(n)eħna	ʔanīna	(a)ħənā	ħnɑ, ħnayɑ	ħna	(n)ăħna (m), (n)ăħnāti (f)	aħna
4	5	you(plural)	ʔantum (m), ʔantunna (f)	əntum (m), ənten (f)	entu (m), enten (f)	ʔento	antm (m), antn (f)	entu (m), enten (f)	ăntim	anto	intū (m), intēn (f)	intu	entu	intu	intu(m)	ntūma	ntumɑ	ntūma	(ă)ntūmɑ (m), ntūmāti (f)	intom
5	6	they	hum (m), hunna (f)	humm (m), hənn (f)	(ə)hum (m), (ə)hen (f)	hennē	hamh (m), hanh (f)	huṃṃɑ (m), heṇṇ (f)	hăyyəm, imme	hom (m), hen (f)	hum (m), hēn (f)	innen	homma	hum (m), hun (f, rare)	human (m/f), hinna (f, rare)	hūma	humɑ	hūma	hūṃɑ (m), hūmāti (f)	huma
6	7	this	hāðā (m), hāðihī (f)	(hā)ða (m), (hā)ði (f)	hɑ̄ða (m), hɑ̄ði (f)	haydɑ (m), hayde (f)	hʾāḏh (m), hʾāīh (f)	hɑ̄ðɑ (m), hīātā (f)	hāðā (m), hāðī (f)	ð̣ɑyyɑ̄h (m), tayyih (f)	hāðī	aða (m), aðī (f)	da(h) (m), di(h) (f)	da (m), de(h) (f)	dā (m), dī (f)	hāða (m), hāði (f)	hada (m), hadi (f)	hāda (m), hādi (f)	(hā)ðɑ (m), (hā)ði (f)	dan (m), din (f)
7	8	that	ðālika (m), tilka (f), tīka (f)	(ha)ðāk (m), (ha)ðīk (f)	haðɑ̄k (m), hāðīč (f)	haydīk (m), hīdēk (f)	hḏʾākh (m), hḏīčh (f)	ðɑ̄kɑ (m), ðíeče (f)	hăðēk (m), hăðīk (f)	ð̣ɑyyik (m), tayyik (f)	hāðāk (m), hāðīk (f)	áðak (m), áðik (f)	dawwat (m), dayyat (f), (variants) dawwan, dawwak, dawwa, etc.	dāk (m), dēk (f)	dāk (m), dīk (f)	hāðāka (m), hāðīka (f)	hadak, dak (m), hadik, dik (f)	hadāk (m), hadīk (f)	ðāk, ðowk-huwwa (m), ðīk, ðēk-hiyyɑ (f)	dak (m), dik (f)
8	9	here	hunā	fiðā, həna	əhni	hown ~ hōn	hnʾāh	əhnɑ̄na, əhnɑ̄	hūnī, hăwn	hāna	hinnī	ɑwnɑ, annaxula	hena; aho, henaho(wwat) (m), ahe, henahe(yyat) (f)	hina	hine	hūnī, hnē	hnɑ, hnayɑ	hna	hūn, hūnāti(yya)	hawn
9	10	there	hunāka, θamma	fiðāk, hənāk	əhnɑ̄k	honīk	ġʾād	ġɑ̄d	ġādi	hānāk	hinnāk	ɑwnké, axulla	henāk, yahō (more yonder)	hināk	hināk	ġādī	təmmɑ	tamma	vamm, vammāti(yyɑ), lhēh, howk (yonder)	hemm(hekk)
10	11	who	man	mən	men	mīn	īʾāhū	manū	mənu	man	mīn	men	mīn	minu	yātu	škūn	škun	škūn	mən (verbal phrases), mǝnhu (nominal phrases)	min
11	12	what	mā, māða (before verbs), (bi) ʔayyi šayʔin (lit. (with) what thing)	weš(u)	(w)ēš, šū, šenu	šu, ʔēš	šinī	šen(h)u, šə-	ăšū	meh, ʔayš, ʔayy (more which)	ēš	aš	ʔē(h)	šinu, ʔē(h)	šunu, yātu (more who)	šnuwwa (m), šneyya (f), šnūma (p)	aš, ašnu	šnu, šenni	š(ə)- (verbs), -āš (prep., phrase-finally), šənhu (nominal phrases)	x', x'inhu, (għal)xiex
12	13	where	ʔayna	wein	wēn	weyn ~ wēn	wīn	wíen	wǎyṣɑb, wĭn	(w)ayn	fēn, ħēn	ayn	fēn	wēn	wēn	wīn, fīn	fin	fīn	mneyn, weyn	fejn
13	14	when	matā	meta	meta	ēmtɑ	līmt	šwaket	ăšwaqet	(f)ayyəħīn, mata	mta	miten	emta	mitēn	mata	waqtāš, waqtē	fuqaš, imta	fuqtāš	eynta	meta
14	15	how	kayfa	keif ~ t͡sēf, (we)šlōn	čēf	kīf	šwn	šlōn	ăšōn	kayf	kē(f)	kif, aššikl	ezzāy	kēf(in), izzāy	(ki)kēf	kīfāš, kīfē	ki, kifaš	kifāš	bism il-ħīla	kif
15	16	not	laysa (m), laysat (f), mā, lā (imperfect/verbs), lam (perfect/verbs), lan (future/verbs)	mū(b), ma (verbs), la (imper.)	mu, mōb, ma (verbs), lā (imper.)	meš, mu, mɑ (verbs)	maū	mū, mɑ (verbs), lɑ̄ (imper.)	mâ	māš, ma...š (verbs), lɑ̄ (imper.), ġayr (adjectives)	mā, lōb, lɑ̄ (imper.)	la, má-, máy	meš (occasionally used as a modal verb), moš, ma...š (verbs)	ma, muš (only adjectives)	mā	mūš (frequently used as a modal verb), ma...š (verbs, some adjectives and nouns)	maši, ma...š (verbs)	ma...šay , ma...ši	mā, lā (imper.), māhu (nominal phrases)	mhux, ma...x (verbs)
16	17	all	kull(a/i), kāmil, jamīʕ(u)	kell(e), jəmīʕ	kell(e)	kell	kal	kull	kill, kāməl	kull, ğāmiʕ(iyyih)	kull	kull	koll(e)	kull	kulla	(l)kul	kul, geʕ	kāmlin	kāməl, kāmlīn	kull
17	18	many	kaθīr	wājid, kəθīr	wɑ̄yed	ktīr	hūʾāīh	(ə)hwɑ̄ya	ksīġ	xɑyrɑ̄t, ziyādih	wāgid, kiθīr, hazbīt	xtīr	ketīr	katīr	katīr	barša	bəzzaf	bazzaf	yāsər	ħafna
